Regulator	Symbol	CO	PD	PWM_num	PWM_source	PWM_name	rank	p-value	q-value	#hits	hits	PDtargets
AT5G25830	GATA12	2	0	PWM1092	CisBP	M0689_1.01	13	3.107108438958754e-10	4.285419562348497e-8	76	AT1G01550,AT1G02840,AT1G03900,AT1G06040,AT1G06390,AT1G07420,AT1G08650,AT1G11840,AT1G13560,AT1G20260,AT1G21190,AT1G26110,AT1G26670,AT1G27130,AT1G29150,AT1G35580,AT1G53850,AT1G74690,AT1G74920,AT1G80920,AT2G04780,AT2G17380,AT2G20990,AT2G21600,AT2G25490,AT2G27860,AT2G30410,AT2G33120,AT2G34520,AT2G36060,AT2G38810,AT3G02180,AT3G09300,AT3G10985,AT3G11130,AT3G12630,AT3G15000,AT3G17100,AT3G20770,AT3G24160,AT3G25040,AT3G26780,AT3G44310,AT3G46900,AT3G47520,AT3G59970,AT4G04830,AT4G12420,AT4G17530,AT4G21150,AT4G21980,AT4G23710,AT4G23850,AT4G34490,AT4G35830,AT4G38510,AT5G19690,AT5G20650,AT5G23860,AT5G24400,AT5G28540,AT5G34850,AT5G35620,AT5G38470,AT5G39320,AT5G42020,AT5G42080,AT5G42190,AT5G43970,AT5G45550,AT5G49720,AT5G50375,AT5G58290,AT5G59890,AT5G60360,AT5G60920	
AT5G25830	GATA12	2	0	PWM1589	PBM		14	3.107108438958754e-10	4.285419562348497e-8	76	AT1G01550,AT1G02840,AT1G03900,AT1G06040,AT1G06390,AT1G07420,AT1G08650,AT1G11840,AT1G13560,AT1G20260,AT1G21190,AT1G26110,AT1G26670,AT1G27130,AT1G29150,AT1G35580,AT1G53850,AT1G74690,AT1G74920,AT1G80920,AT2G04780,AT2G17380,AT2G20990,AT2G21600,AT2G25490,AT2G27860,AT2G30410,AT2G33120,AT2G34520,AT2G36060,AT2G38810,AT3G02180,AT3G09300,AT3G10985,AT3G11130,AT3G12630,AT3G15000,AT3G17100,AT3G20770,AT3G24160,AT3G25040,AT3G26780,AT3G44310,AT3G46900,AT3G47520,AT3G59970,AT4G04830,AT4G12420,AT4G17530,AT4G21150,AT4G21980,AT4G23710,AT4G23850,AT4G34490,AT4G35830,AT4G38510,AT5G19690,AT5G20650,AT5G23860,AT5G24400,AT5G28540,AT5G34850,AT5G35620,AT5G38470,AT5G39320,AT5G42020,AT5G42080,AT5G42190,AT5G43970,AT5G45550,AT5G49720,AT5G50375,AT5G58290,AT5G59890,AT5G60360,AT5G60920	
AT3G54810	BME3	3	0	PWM2614	JASPAR	MA1017.1	7	3.154944474103618e-13	9.428025736779645e-11	83	AT1G01550,AT1G02840,AT1G03900,AT1G06390,AT1G07420,AT1G08650,AT1G11650,AT1G11840,AT1G12910,AT1G20260,AT1G21190,AT1G24180,AT1G26110,AT1G26670,AT1G27130,AT1G35580,AT1G53850,AT1G54000,AT1G63000,AT1G74690,AT1G74920,AT1G79340,AT1G80920,AT2G04780,AT2G17380,AT2G20990,AT2G21600,AT2G25490,AT2G27860,AT2G30410,AT2G33120,AT2G34520,AT2G36060,AT2G38810,AT3G02180,AT3G09300,AT3G10985,AT3G11130,AT3G12630,AT3G17100,AT3G20770,AT3G24160,AT3G25040,AT3G26780,AT3G44310,AT3G46900,AT3G47833,AT3G50500,AT3G54110,AT3G59970,AT4G04830,AT4G13430,AT4G17530,AT4G17640,AT4G17870,AT4G20890,AT4G21150,AT4G21980,AT4G23710,AT4G23850,AT4G26570,AT4G27320,AT4G34490,AT4G35830,AT4G37910,AT5G05950,AT5G19690,AT5G23860,AT5G24400,AT5G25460,AT5G28540,AT5G38470,AT5G39320,AT5G42020,AT5G42080,AT5G43970,AT5G45010,AT5G45550,AT5G49720,AT5G50375,AT5G59890,AT5G60360,AT5G60920	
AT3G54810	BME3	3	0	PWM1517	CisBP	M0686_1.01	10	2.4632989187774506e-12	4.907438845964411e-10	81	AT1G01550,AT1G02840,AT1G03900,AT1G06390,AT1G07420,AT1G08650,AT1G11650,AT1G11840,AT1G12910,AT1G20260,AT1G21190,AT1G24180,AT1G26110,AT1G26670,AT1G27130,AT1G35580,AT1G53850,AT1G54000,AT1G63000,AT1G74690,AT1G74920,AT1G79340,AT1G80920,AT2G04780,AT2G17380,AT2G20990,AT2G21600,AT2G25490,AT2G27860,AT2G30410,AT2G33120,AT2G34520,AT2G36060,AT2G38810,AT3G02180,AT3G09300,AT3G10985,AT3G11130,AT3G12630,AT3G17100,AT3G20770,AT3G24160,AT3G25040,AT3G26780,AT3G44310,AT3G46900,AT3G47833,AT3G50500,AT3G59970,AT4G13430,AT4G17530,AT4G17640,AT4G17870,AT4G20890,AT4G21150,AT4G21980,AT4G23710,AT4G23850,AT4G26570,AT4G27320,AT4G34490,AT4G35830,AT4G37910,AT5G05950,AT5G19690,AT5G23860,AT5G24400,AT5G25460,AT5G28540,AT5G38470,AT5G39320,AT5G42020,AT5G42080,AT5G43970,AT5G45010,AT5G45550,AT5G49720,AT5G50375,AT5G59890,AT5G60360,AT5G60920	
AT3G24050	GATA1	0	0	PWM1124	CisBP	M0684_1.01	9	2.4632989187774506e-12	4.907438845964411e-10	81	AT1G01550,AT1G02840,AT1G03900,AT1G07420,AT1G08650,AT1G08880,AT1G11840,AT1G12910,AT1G20260,AT1G24180,AT1G26110,AT1G26670,AT1G27130,AT1G35580,AT1G43890,AT1G74690,AT1G79340,AT1G80920,AT2G04780,AT2G17380,AT2G17440,AT2G20990,AT2G21600,AT2G25490,AT2G27860,AT2G30410,AT2G34520,AT2G38810,AT2G41530,AT3G02180,AT3G09300,AT3G10850,AT3G10985,AT3G11130,AT3G12630,AT3G15580,AT3G17100,AT3G20770,AT3G24160,AT3G25040,AT3G26780,AT3G44310,AT3G46900,AT3G47833,AT3G50500,AT3G54110,AT3G59970,AT4G03520,AT4G04830,AT4G13430,AT4G17530,AT4G20890,AT4G21150,AT4G21980,AT4G23710,AT4G23850,AT4G26570,AT4G27320,AT4G34490,AT4G35830,AT5G02770,AT5G07470,AT5G11200,AT5G19690,AT5G20570,AT5G23860,AT5G25460,AT5G28540,AT5G38470,AT5G39320,AT5G42020,AT5G42080,AT5G45010,AT5G45130,AT5G45550,AT5G49720,AT5G50375,AT5G58290,AT5G60360,AT5G60920,AT5G66760	
AT4G34680	GATA3	0	0	PWM1295	CisBP	M0690_1.01	11	1.7964663109990564e-11	2.9282400869284617e-9	79	AT1G01550,AT1G02840,AT1G03900,AT1G07420,AT1G11840,AT1G12910,AT1G20260,AT1G24180,AT1G26110,AT1G26670,AT1G27130,AT1G35580,AT1G43890,AT1G63000,AT1G79340,AT1G80920,AT2G04780,AT2G17380,AT2G17440,AT2G20990,AT2G21600,AT2G25490,AT2G27860,AT2G30410,AT2G34520,AT2G36060,AT2G38810,AT3G02180,AT3G09300,AT3G10850,AT3G10985,AT3G11130,AT3G12630,AT3G17100,AT3G20770,AT3G24160,AT3G25040,AT3G26780,AT3G44310,AT3G46900,AT3G47833,AT3G50500,AT3G54110,AT3G58680,AT3G59970,AT4G04830,AT4G13430,AT4G17530,AT4G20890,AT4G21150,AT4G21980,AT4G23710,AT4G23850,AT4G26570,AT4G27320,AT4G34490,AT4G35830,AT5G05950,AT5G07470,AT5G11200,AT5G19690,AT5G23860,AT5G24400,AT5G25460,AT5G28540,AT5G38470,AT5G39320,AT5G42020,AT5G42080,AT5G45130,AT5G45550,AT5G49720,AT5G50375,AT5G59890,AT5G60360,AT5G60920,AT5G66760,AT5G67360,AT5G67420	
AT5G47140	GATA27	1	na	PWM857	CisBP	M0692_1.01	15	7.757977032734171e-10	9.273368546461579e-8	75	AT1G01550,AT1G01720,AT1G03860,AT1G03900,AT1G07420,AT1G08650,AT1G08880,AT1G11840,AT1G12910,AT1G20260,AT1G24180,AT1G26110,AT1G26670,AT1G35580,AT1G43890,AT1G50430,AT1G77440,AT1G79340,AT1G80920,AT2G04630,AT2G17380,AT2G21600,AT2G25490,AT2G27860,AT2G27960,AT2G30410,AT3G09300,AT3G10850,AT3G11130,AT3G12630,AT3G15580,AT3G17100,AT3G20770,AT3G24160,AT3G28860,AT3G46900,AT3G47833,AT3G50500,AT3G54110,AT3G59970,AT4G04830,AT4G13430,AT4G17530,AT4G17870,AT4G19640,AT4G21150,AT4G21980,AT4G22670,AT4G23710,AT4G23850,AT4G24220,AT4G26570,AT4G27320,AT4G34490,AT4G35830,AT4G37870,AT5G02770,AT5G07470,AT5G19690,AT5G20570,AT5G23860,AT5G25460,AT5G28540,AT5G39320,AT5G42020,AT5G42080,AT5G45010,AT5G45130,AT5G45550,AT5G46250,AT5G49720,AT5G50375,AT5G60360,AT5G60920,AT5G67360	na
AT1G51600	GATA28	0	0	PWM1412	CisBP	M0681_1.01	16	4.584816818911279e-9	5.137860347692453e-7	73	AT1G01550,AT1G02840,AT1G03860,AT1G03900,AT1G07420,AT1G08650,AT1G08880,AT1G11840,AT1G12910,AT1G24180,AT1G26110,AT1G26670,AT1G27130,AT1G30510,AT1G35580,AT1G43890,AT1G47200,AT1G63000,AT1G79340,AT1G80920,AT2G04630,AT2G17380,AT2G18960,AT2G20990,AT2G21600,AT2G25490,AT2G27860,AT2G27960,AT2G30410,AT2G39780,AT3G02180,AT3G09300,AT3G10850,AT3G11130,AT3G12630,AT3G15580,AT3G17100,AT3G20060,AT3G20770,AT3G24160,AT3G26780,AT3G46440,AT3G47833,AT3G48530,AT3G50500,AT3G54110,AT3G59970,AT4G03520,AT4G04830,AT4G17530,AT4G19640,AT4G21980,AT4G23850,AT4G24220,AT4G26570,AT4G27320,AT4G34490,AT4G35830,AT5G05950,AT5G07470,AT5G23860,AT5G28540,AT5G39320,AT5G42020,AT5G45130,AT5G45550,AT5G46250,AT5G49720,AT5G50375,AT5G53250,AT5G60360,AT5G60920,AT5G66760	
AT1G08010	GATA11	1	na	PWM3003	DAP-seq	GATA11_col	18	1.0848974662163828e-8	0.0000010806784205144302	72	AT1G01550,AT1G01720,AT1G07420,AT1G08650,AT1G11840,AT1G21190,AT1G26670,AT1G27130,AT1G29150,AT1G35580,AT1G49480,AT1G50430,AT1G63000,AT1G65960,AT1G70410,AT1G70710,AT1G74690,AT1G74920,AT1G78870,AT1G79340,AT2G04780,AT2G18960,AT2G21600,AT2G25490,AT2G27860,AT2G34690,AT2G35635,AT2G44100,AT3G09300,AT3G10985,AT3G11130,AT3G18820,AT3G23000,AT3G24160,AT3G25040,AT3G44310,AT3G48530,AT3G56190,AT3G56980,AT3G59970,AT4G12420,AT4G17530,AT4G20850,AT4G20890,AT4G21830,AT4G23850,AT4G26570,AT4G34490,AT4G37870,AT5G02770,AT5G05950,AT5G08040,AT5G11670,AT5G13420,AT5G18520,AT5G19690,AT5G19990,AT5G24400,AT5G25460,AT5G27670,AT5G28540,AT5G38470,AT5G39320,AT5G42020,AT5G42080,AT5G43970,AT5G48870,AT5G49720,AT5G54810,AT5G59890,AT5G63660,AT5G67360	na
AT1G08010	GATA11	1	na	PWM2611	JASPAR	MA1014.1	35	0.000041233801237746015	0.0021744766358611353	61	AT1G01550,AT1G02840,AT1G03900,AT1G06040,AT1G07420,AT1G07790,AT1G11840,AT1G21190,AT1G27130,AT1G30510,AT1G35580,AT1G54270,AT1G74690,AT1G74920,AT1G80920,AT2G04780,AT2G18160,AT2G18960,AT2G20990,AT2G21600,AT2G25490,AT2G31083,AT2G34690,AT3G02180,AT3G05530,AT3G09300,AT3G10985,AT3G11130,AT3G16240,AT3G17100,AT3G23000,AT3G23820,AT3G28860,AT3G48530,AT3G61440,AT4G12420,AT4G17530,AT4G20870,AT4G23710,AT4G24520,AT4G27000,AT4G34490,AT4G38510,AT5G13420,AT5G19520,AT5G19990,AT5G27670,AT5G28540,AT5G38470,AT5G39320,AT5G42020,AT5G42080,AT5G42190,AT5G43970,AT5G48870,AT5G49720,AT5G58290,AT5G59890,AT5G60340,AT5G60920,AT5G63660	na
