Regulator	Symbol	CO	PD	PWM_num	PWM_source	PWM_name	rank	p-value	q-value	#hits	hits	PDtargets
AT5G25830	GATA12	2	0	PWM2612	JASPAR	MA1015.1	28	0.00001758240949741004	0.0012125100088021617	66	AT1G17890,AT1G21190,AT1G27130,AT1G29900,AT1G35720,AT1G43890,AT1G49300,AT1G59610,AT1G71010,AT1G74690,AT1G79930,AT2G01470,AT2G05710,AT2G16850,AT2G17380,AT2G19830,AT2G20120,AT2G20990,AT2G30970,AT2G41900,AT2G44050,AT3G03250,AT3G06300,AT3G06420,AT3G09300,AT3G13300,AT3G13772,AT3G15000,AT3G19930,AT3G22380,AT3G23990,AT3G26780,AT3G29360,AT3G46640,AT3G47520,AT3G50070,AT3G51160,AT3G57050,AT3G59990,AT3G62600,AT4G01480,AT4G01750,AT4G11220,AT4G11600,AT4G12420,AT4G21990,AT4G23710,AT4G33360,AT4G34490,AT4G37590,AT5G07350,AT5G10840,AT5G15490,AT5G18480,AT5G18650,AT5G20900,AT5G38470,AT5G43700,AT5G48870,AT5G50375,AT5G55300,AT5G57870,AT5G59890,AT5G60920,AT5G65050,AT5G66170	
AT5G25830	GATA12	2	0	PWM3004	DAP-seq	GATA12_col	38	0.000033292678748246585	0.001705536371303032	65	AT1G05570,AT1G08930,AT1G11545,AT1G15670,AT1G19350,AT1G20840,AT1G27130,AT1G34370,AT1G35720,AT1G49300,AT1G53580,AT1G59610,AT1G74690,AT1G79340,AT1G79930,AT2G01470,AT2G05710,AT2G16720,AT2G20990,AT2G25110,AT2G29390,AT2G38700,AT2G44050,AT3G03250,AT3G06300,AT3G06420,AT3G09300,AT3G13772,AT3G19930,AT3G22380,AT3G25530,AT3G26780,AT3G28860,AT3G29360,AT3G48750,AT3G51160,AT3G59990,AT3G61060,AT3G61070,AT3G62600,AT4G00830,AT4G11220,AT4G12420,AT4G18040,AT4G21830,AT4G23710,AT4G28910,AT4G30550,AT4G34490,AT4G37010,AT4G38220,AT5G04470,AT5G07460,AT5G10840,AT5G15490,AT5G18480,AT5G38470,AT5G43350,AT5G48870,AT5G49450,AT5G50375,AT5G57870,AT5G59890,AT5G60920,AT5G63660	
AT4G34680	GATA3	1	1	PWM1295	CisBP	M0690_1.01	9	5.490259258376756e-7	0.00012305043562836905	71	AT1G08930,AT1G09970,AT1G15750,AT1G17890,AT1G27130,AT1G34370,AT1G35720,AT1G43890,AT1G53580,AT1G59610,AT1G71010,AT1G73030,AT1G79340,AT1G79930,AT2G01470,AT2G05710,AT2G16720,AT2G16850,AT2G17380,AT2G20120,AT2G20990,AT2G29390,AT2G41900,AT2G44050,AT2G47650,AT3G02260,AT3G03250,AT3G06300,AT3G06420,AT3G09300,AT3G18830,AT3G19930,AT3G22380,AT3G23990,AT3G26780,AT3G29360,AT3G46640,AT3G47833,AT3G51160,AT3G54620,AT3G61060,AT3G61070,AT3G62600,AT4G01480,AT4G01750,AT4G11220,AT4G14710,AT4G17510,AT4G18040,AT4G21990,AT4G23710,AT4G34490,AT5G04470,AT5G05950,AT5G07350,AT5G15490,AT5G18480,AT5G18650,AT5G25540,AT5G38470,AT5G50375,AT5G53160,AT5G55300,AT5G56760,AT5G57870,AT5G59890,AT5G60620,AT5G60920,AT5G65700,AT5G66170,ATCG00170	AT1G77450
AT1G75080	BZR1	0	na	PWM1390	CisBP	M2213_1.01	11	0.0000011385912545906425	0.00018559037449827472	70	AT1G04250,AT1G06110,AT1G06570,AT1G10470,AT1G13260,AT1G15340,AT1G19350,AT1G19850,AT1G20850,AT1G34370,AT1G35720,AT1G44800,AT1G49860,AT1G56200,AT1G60940,AT1G64040,AT1G68560,AT1G70710,AT1G74690,AT1G75380,AT1G77450,AT1G78670,AT1G80240,AT2G01420,AT2G06850,AT2G13360,AT2G16720,AT2G19830,AT2G24150,AT2G32300,AT2G33770,AT2G41900,AT2G47400,AT3G10410,AT3G15950,AT3G17810,AT3G22380,AT3G24503,AT3G25530,AT3G28860,AT3G43800,AT3G45600,AT3G46640,AT3G50070,AT3G52880,AT3G53460,AT3G54590,AT3G55830,AT3G61060,AT3G62600,AT4G11220,AT4G11600,AT4G12080,AT4G16370,AT4G16500,AT4G22930,AT4G30530,AT4G34490,AT4G38220,AT5G02260,AT5G04470,AT5G14920,AT5G18650,AT5G22000,AT5G37510,AT5G47120,AT5G54160,AT5G60200,AT5G63660,AT5G64260	na
AT1G75080	BZR1	0	na	PWM2150	JASPAR	MA0550.1	13	0.0000023193437671658313	0.000319891028809872	69	AT1G04250,AT1G06110,AT1G06570,AT1G10470,AT1G13260,AT1G15340,AT1G19350,AT1G19850,AT1G20850,AT1G34370,AT1G35720,AT1G44800,AT1G49860,AT1G56200,AT1G60940,AT1G64040,AT1G68560,AT1G70710,AT1G74690,AT1G75380,AT1G77450,AT1G78670,AT1G80240,AT2G01420,AT2G06850,AT2G13360,AT2G16720,AT2G19830,AT2G24150,AT2G32300,AT2G33770,AT2G41900,AT2G47400,AT3G10410,AT3G15950,AT3G17810,AT3G22380,AT3G24503,AT3G25530,AT3G28860,AT3G43800,AT3G45600,AT3G46640,AT3G50070,AT3G52880,AT3G53460,AT3G54590,AT3G61060,AT3G62600,AT4G11220,AT4G11600,AT4G12080,AT4G16370,AT4G16500,AT4G22930,AT4G30530,AT4G34490,AT4G38220,AT5G02260,AT5G04470,AT5G14920,AT5G18650,AT5G22000,AT5G37510,AT5G47120,AT5G54160,AT5G60200,AT5G63660,AT5G64260	na
AT1G75080	BZR1	0	na	PWM2960	DAP-seq	BZR1_col	419	0.010582226992386272	0.048901889168424195	54	AT1G03410,AT1G06570,AT1G10470,AT1G13260,AT1G15670,AT1G19850,AT1G22360,AT1G30120,AT1G37130,AT1G49860,AT1G56200,AT1G64040,AT1G74690,AT1G76930,AT1G80240,AT2G06850,AT2G14170,AT2G16720,AT2G24150,AT2G29390,AT2G33770,AT2G43910,AT2G47160,AT3G03250,AT3G06850,AT3G13570,AT3G15950,AT3G18035,AT3G22380,AT3G28860,AT3G50070,AT3G55830,AT3G57650,AT3G62600,AT3G63080,AT4G11240,AT4G15780,AT4G16370,AT4G16500,AT4G22930,AT4G34490,AT4G36930,AT4G37540,AT4G37590,AT4G38220,AT5G02260,AT5G09978,AT5G09980,AT5G47120,AT5G60920,AT5G65050,AT5G67320,ATCG00170,ATCG00830	na
AT1G08010	GATA11	1	na	PWM3003	DAP-seq	GATA11_col	12	0.0000011385912545906425	0.00018559037449827472	70	AT1G05570,AT1G08930,AT1G11545,AT1G15670,AT1G15750,AT1G19350,AT1G20840,AT1G21190,AT1G27130,AT1G34370,AT1G35720,AT1G47128,AT1G49860,AT1G53580,AT1G59610,AT1G59870,AT1G67730,AT1G70710,AT1G74690,AT1G77450,AT1G79340,AT1G79930,AT2G01470,AT2G05710,AT2G16720,AT2G19830,AT2G25110,AT2G29390,AT2G38700,AT2G41900,AT2G44050,AT3G03250,AT3G06300,AT3G06420,AT3G09300,AT3G19930,AT3G22380,AT3G25530,AT3G29360,AT3G45600,AT3G48750,AT3G51160,AT3G59990,AT3G61060,AT3G61070,AT4G00830,AT4G11220,AT4G12420,AT4G18040,AT4G21830,AT4G30550,AT4G34490,AT4G37010,AT4G37590,AT4G38220,AT5G04470,AT5G05950,AT5G07460,AT5G10840,AT5G15490,AT5G18480,AT5G38470,AT5G43350,AT5G48870,AT5G49450,AT5G57870,AT5G59890,AT5G60620,AT5G63660,AT5G66170	na
AT1G08010	GATA11	1	na	PWM2611	JASPAR	MA1014.1	266	0.002779451195536741	0.020014281098784645	57	AT1G10470,AT1G11545,AT1G20840,AT1G21190,AT1G23860,AT1G27130,AT1G30510,AT1G35720,AT1G37130,AT1G60940,AT1G63940,AT1G74690,AT1G79930,AT2G06850,AT2G16720,AT2G18160,AT2G20120,AT2G20990,AT2G30440,AT2G33740,AT2G38700,AT2G41900,AT2G47650,AT3G03250,AT3G06300,AT3G09300,AT3G13772,AT3G19930,AT3G23990,AT3G28860,AT3G45600,AT3G51920,AT4G11600,AT4G12420,AT4G23710,AT4G28910,AT4G34490,AT4G36930,AT4G37010,AT4G37590,AT5G07350,AT5G09978,AT5G09980,AT5G10840,AT5G18650,AT5G20900,AT5G38470,AT5G43350,AT5G43700,AT5G48870,AT5G49450,AT5G53160,AT5G59890,AT5G60620,AT5G60920,AT5G63660,AT5G64260	na
AT1G08010	GATA11	1	na	PWM1547	CisBP	M0680_1.01	313	0.004427471954864111	0.02718649731188819	56	AT1G10470,AT1G11545,AT1G20840,AT1G21190,AT1G23860,AT1G27130,AT1G30510,AT1G35720,AT1G37130,AT1G60940,AT1G63940,AT1G74690,AT1G79930,AT2G06850,AT2G16720,AT2G18160,AT2G20120,AT2G20990,AT2G30440,AT2G33740,AT2G38700,AT2G41900,AT3G03250,AT3G06300,AT3G13772,AT3G19930,AT3G23990,AT3G28860,AT3G45600,AT3G51920,AT4G11600,AT4G12420,AT4G12720,AT4G23710,AT4G28910,AT4G34490,AT4G36930,AT4G37010,AT4G37590,AT5G07350,AT5G09978,AT5G09980,AT5G10840,AT5G18650,AT5G20900,AT5G38470,AT5G43350,AT5G43700,AT5G48870,AT5G49450,AT5G53160,AT5G59890,AT5G60620,AT5G60920,AT5G63660,AT5G64260	na
AT5G61270	PIF7	9	na	PWM2901	DAP-seq	PIF7_col	14	0.0000023193437671658313	0.000319891028809872	69	AT1G04250,AT1G06110,AT1G06570,AT1G09970,AT1G10470,AT1G13260,AT1G14620,AT1G15670,AT1G19350,AT1G20850,AT1G22360,AT1G30120,AT1G35720,AT1G49860,AT1G56200,AT1G60940,AT1G68825,AT1G70710,AT1G75380,AT1G77450,AT1G78670,AT2G01420,AT2G05440,AT2G05710,AT2G06850,AT2G16720,AT2G19830,AT2G41900,AT2G47400,AT3G10410,AT3G15950,AT3G17810,AT3G18035,AT3G22380,AT3G25530,AT3G28860,AT3G46640,AT3G48990,AT3G50070,AT3G52880,AT3G53460,AT3G55830,AT3G62600,AT3G63080,AT4G11220,AT4G11240,AT4G11600,AT4G16370,AT4G16500,AT4G17640,AT4G19690,AT4G22930,AT4G34490,AT4G36930,AT4G38220,AT5G02260,AT5G04470,AT5G13180,AT5G14920,AT5G15490,AT5G18650,AT5G22000,AT5G44610,AT5G47120,AT5G54160,AT5G59090,AT5G60200,AT5G63660,AT5G64260	na
