"","col_FLT_c1.which.mclass....1...1."
"1","AT1G01183"
"2","AT1G01190"
"3","AT1G01310"
"4","AT1G01420"
"5","AT1G01600"
"6","AT1G01680"
"7","AT1G01695"
"8","AT1G02205"
"9","AT1G02490"
"10","AT1G02700"
"11","AT1G02710"
"12","AT1G02770"
"13","AT1G02813"
"14","AT1G02820"
"15","AT1G02952"
"16","AT1G03120"
"17","AT1G03390"
"18","AT1G03502"
"19","AT1G03506"
"20","AT1G03630"
"21","AT1G03710"
"22","AT1G03743"
"23","AT1G03746"
"24","AT1G04073"
"25","AT1G04083"
"26","AT1G04147"
"27","AT1G04187"
"28","AT1G04193"
"29","AT1G04197"
"30","AT1G04217"
"31","AT1G04223"
"32","AT1G04227"
"33","AT1G04237"
"34","AT1G04267"
"35","AT1G04273"
"36","AT1G04277"
"37","AT1G04297"
"38","AT1G04303"
"39","AT1G04343"
"40","AT1G04357"
"41","AT1G04363"
"42","AT1G04380"
"43","AT1G04403"
"44","AT1G04427"
"45","AT1G04493"
"46","AT1G04497"
"47","AT1G04507"
"48","AT1G04523"
"49","AT1G04533"
"50","AT1G04560"
"51","AT1G04563"
"52","AT1G04567"
"53","AT1G04577"
"54","AT1G04587"
"55","AT1G04600"
"56","AT1G04625"
"57","AT1G04657"
"58","AT1G04660"
"59","AT1G04670"
"60","AT1G04703"
"61","AT1G04713"
"62","AT1G04800"
"63","AT1G04817"
"64","AT1G04827"
"65","AT1G04853"
"66","AT1G04877"
"67","AT1G04913"
"68","AT1G05020"
"69","AT1G05023"
"70","AT1G05083"
"71","AT1G05143"
"72","AT1G05203"
"73","AT1G05207"
"74","AT1G05253"
"75","AT1G05283"
"76","AT1G05317"
"77","AT1G05327"
"78","AT1G05353"
"79","AT1G05357"
"80","AT1G05417"
"81","AT1G05423"
"82","AT1G05447"
"83","AT1G05463"
"84","AT1G05493"
"85","AT1G05517"
"86","AT1G05550"
"87","AT1G05675"
"88","AT1G05693"
"89","AT1G05703"
"90","AT1G05707"
"91","AT1G05727"
"92","AT1G05747"
"93","AT1G05757"
"94","AT1G05783"
"95","AT1G05813"
"96","AT1G05913"
"97","AT1G05917"
"98","AT1G05933"
"99","AT1G05937"
"100","AT1G05977"
"101","AT1G05990"
"102","AT1G05993"
"103","AT1G06030"
"104","AT1G06087"
"105","AT1G06100"
"106","AT1G06135"
"107","AT1G06148"
"108","AT1G06153"
"109","AT1G06170"
"110","AT1G06217"
"111","AT1G06237"
"112","AT1G06243"
"113","AT1G06257"
"114","AT1G06273"
"115","AT1G06283"
"116","AT1G06337"
"117","AT1G06350"
"118","AT1G06423"
"119","AT1G06453"
"120","AT1G06457"
"121","AT1G06483"
"122","AT1G06547"
"123","AT1G06587"
"124","AT1G06717"
"125","AT1G06753"
"126","AT1G06757"
"127","AT1G06773"
"128","AT1G06830"
"129","AT1G06837"
"130","AT1G06963"
"131","AT1G07017"
"132","AT1G07023"
"133","AT1G07143"
"134","AT1G07180"
"135","AT1G07267"
"136","AT1G07287"
"137","AT1G07476"
"138","AT1G07500"
"139","AT1G07563"
"140","AT1G07653"
"141","AT1G07663"
"142","AT1G07690"
"143","AT1G07693"
"144","AT1G07697"
"145","AT1G07823"
"146","AT1G07850"
"147","AT1G07853"
"148","AT1G07880"
"149","AT1G07943"
"150","AT1G07963"
"151","AT1G07987"
"152","AT1G08073"
"153","AT1G08093"
"154","AT1G08097"
"155","AT1G08103"
"156","AT1G08115"
"157","AT1G08123"
"158","AT1G08147"
"159","AT1G08273"
"160","AT1G08287"
"161","AT1G08323"
"162","AT1G08440"
"163","AT1G08537"
"164","AT1G08547"
"165","AT1G08557"
"166","AT1G08563"
"167","AT1G08567"
"168","AT1G08597"
"169","AT1G08633"
"170","AT1G08667"
"171","AT1G08697"
"172","AT1G08713"
"173","AT1G08823"
"174","AT1G08827"
"175","AT1G08860"
"176","AT1G08867"
"177","AT1G08937"
"178","AT1G08967"
"179","AT1G09003"
"180","AT1G09067"
"181","AT1G09080"
"182","AT1G09083"
"183","AT1G09127"
"184","AT1G09157"
"185","AT1G09163"
"186","AT1G09180"
"187","AT1G09233"
"188","AT1G09257"
"189","AT1G09260"
"190","AT1G09267"
"191","AT1G09287"
"192","AT1G09317"
"193","AT1G09323"
"194","AT1G09400"
"195","AT1G09421"
"196","AT1G09423"
"197","AT1G09447"
"198","AT1G09453"
"199","AT1G09463"
"200","AT1G09467"
"201","AT1G09500"
"202","AT1G09513"
"203","AT1G09527"
"204","AT1G09537"
"205","AT1G09603"
"206","AT1G09687"
"207","AT1G09720"
"208","AT1G09753"
"209","AT1G09757"
"210","AT1G09777"
"211","AT1G09793"
"212","AT1G09803"
"213","AT1G09823"
"214","AT1G09843"
"215","AT1G09853"
"216","AT1G09877"
"217","AT1G09897"
"218","AT1G09903"
"219","AT1G09907"
"220","AT1G09917"
"221","AT1G10010"
"222","AT1G10385"
"223","AT1G10588"
"224","AT1G10747"
"225","AT1G11112"
"226","AT1G11460"
"227","AT1G11510"
"228","AT1G11572"
"229","AT1G11590"
"230","AT1G11600"
"231","AT1G12294"
"232","AT1G12570"
"233","AT1G12672"
"234","AT1G12805"
"235","AT1G12900"
"236","AT1G13230"
"237","AT1G13400"
"238","AT1G13490"
"239","AT1G13608"
"240","AT1G14071"
"241","AT1G14630"
"242","AT1G14640"
"243","AT1G15015"
"244","AT1G15125"
"245","AT1G15320"
"246","AT1G15540"
"247","AT1G15580"
"248","AT1G15680"
"249","AT1G15980"
"250","AT1G16230"
"251","AT1G16530"
"252","AT1G16750"
"253","AT1G16770"
"254","AT1G16910"
"255","AT1G17260"
"256","AT1G17610"
"257","AT1G17700"
"258","AT1G17810"
"259","AT1G17990"
"260","AT1G18197"
"261","AT1G18400"
"262","AT1G18879"
"263","AT1G18960"
"264","AT1G18990"
"265","AT1G19373"
"266","AT1G19390"
"267","AT1G19630"
"268","AT1G20015"
"269","AT1G20120"
"270","AT1G20310"
"271","AT1G20590"
"272","AT1G20860"
"273","AT1G20870"
"274","AT1G20923"
"275","AT1G20990"
"276","AT1G21550"
"277","AT1G21990"
"278","AT1G22000"
"279","AT1G22080"
"280","AT1G22160"
"281","AT1G22250"
"282","AT1G22380"
"283","AT1G22590"
"284","AT1G23070"
"285","AT1G23110"
"286","AT1G23730"
"287","AT1G24000"
"288","AT1G24020"
"289","AT1G24270"
"290","AT1G24470"
"291","AT1G24485"
"292","AT1G24545"
"293","AT1G24577"
"294","AT1G24909"
"295","AT1G25155"
"296","AT1G25330"
"297","AT1G25440"
"298","AT1G26230"
"299","AT1G26560"
"300","AT1G26590"
"301","AT1G26762"
"302","AT1G26790"
"303","AT1G27610"
"304","AT1G27710"
"305","AT1G27820"
"306","AT1G28170"
"307","AT1G28265"
"308","AT1G28450"
"309","AT1G28570"
"310","AT1G29420"
"311","AT1G29500"
"312","AT1G29660"
"313","AT1G29775"
"314","AT1G29780"
"315","AT1G30210"
"316","AT1G30950"
"317","AT1G31200"
"318","AT1G31243"
"319","AT1G31290"
"320","AT1G31670"
"321","AT1G31772"
"322","AT1G31820"
"323","AT1G31960"
"324","AT1G32350"
"325","AT1G32520"
"326","AT1G32560"
"327","AT1G32570"
"328","AT1G32710"
"329","AT1G32713"
"330","AT1G33430"
"331","AT1G33890"
"332","AT1G34140"
"333","AT1G34500"
"334","AT1G35515"
"335","AT1G35730"
"336","AT1G35830"
"337","AT1G42550"
"338","AT1G43140"
"339","AT1G44010"
"340","AT1G44130"
"341","AT1G44575"
"342","AT1G44890"
"343","AT1G45010"
"344","AT1G45201"
"345","AT1G45474"
"346","AT1G45545"
"347","AT1G46480"
"348","AT1G46984"
"349","AT1G47130"
"350","AT1G47350"
"351","AT1G47700"
"352","AT1G47790"
"353","AT1G47990"
"354","AT1G48100"
"355","AT1G48180"
"356","AT1G48195"
"357","AT1G48400"
"358","AT1G48405"
"359","AT1G48470"
"360","AT1G48820"
"361","AT1G49000"
