"","col_FLT_c1.which.mclass....9...1."
"289","AT1G18270"
"290","AT1G18470"
"291","AT1G18480"
"292","AT1G18500"
"293","AT1G18700"
"294","AT1G18840"
"295","AT1G18890"
"296","AT1G18970"
"297","AT1G18980"
"298","AT1G19110"
"299","AT1G19210"
"300","AT1G19240"
"301","AT1G19370"
"302","AT1G19440"
"303","AT1G19450"
"304","AT1G19520"
"305","AT1G19580"
"306","AT1G19660"
"307","AT1G19680"
"308","AT1G19730"
"309","AT1G19800"
"310","AT1G19850"
"311","AT1G19880"
"312","AT1G20110"
"313","AT1G20140"
"314","AT1G20460"
"315","AT1G20490"
"316","AT1G20510"
"317","AT1G20540"
"318","AT1G20560"
"319","AT1G20575"
"320","AT1G20610"
"321","AT1G20620"
"322","AT1G20630"
"323","AT1G20770"
"324","AT1G20890"
"325","AT1G20970"
"326","AT1G20980"
"327","AT1G21010"
"328","AT1G21050"
"329","AT1G21100"
"330","AT1G21370"
"331","AT1G21380"
"332","AT1G21450"
"333","AT1G21560"
"334","AT1G21600"
"335","AT1G21660"
"336","AT1G21710"
"337","AT1G21730"
"338","AT1G21740"
"339","AT1G21760"
"340","AT1G21830"
"341","AT1G21880"
"342","AT1G21980"
"343","AT1G22070"
"344","AT1G22280"
"345","AT1G22330"
"346","AT1G22400"
"347","AT1G22470"
"348","AT1G22500"
"349","AT1G22510"
"350","AT1G22610"
"351","AT1G22620"
"352","AT1G22640"
"353","AT1G22770"
"354","AT1G22790"
"355","AT1G22910"
"356","AT1G22920"
"357","AT1G22930"
"358","AT1G22970"
"359","AT1G23030"
"360","AT1G23040"
"361","AT1G23050"
"362","AT1G23080"
"363","AT1G23100"
"364","AT1G23120"
"365","AT1G23220"
"366","AT1G23310"
"367","AT1G23480"
"368","AT1G23760"
"369","AT1G23780"
"370","AT1G23800"
"371","AT1G23850"
"372","AT1G23870"
"373","AT1G23900"
"374","AT1G23960"
"375","AT1G24120"
"376","AT1G24160"
"377","AT1G24170"
"378","AT1G24190"
"379","AT1G24240"
"380","AT1G24267"
"381","AT1G24350"
"382","AT1G24450"
"383","AT1G24460"
"384","AT1G24764"
"385","AT1G24793"
"386","AT1G25054"
"387","AT1G25150"
"388","AT1G25175"
"389","AT1G25211"
"390","AT1G25380"
"391","AT1G25420"
"392","AT1G25500"
"393","AT1G25510"
"394","AT1G25530"
"395","AT1G25560"
"396","AT1G25682"
"397","AT1G26300"
"398","AT1G26340"
"399","AT1G26440"
"400","AT1G26460"
"401","AT1G26580"
"402","AT1G26640"
"403","AT1G26690"
"404","AT1G26800"
"405","AT1G26830"
"406","AT1G26930"
"407","AT1G26940"
"408","AT1G26960"
"409","AT1G27050"
"410","AT1G27150"
"411","AT1G27190"
"412","AT1G27320"
"413","AT1G27385"
"414","AT1G27390"
"415","AT1G27470"
"416","AT1G27510"
"417","AT1G27540"
"418","AT1G27600"
"419","AT1G27695"
"420","AT1G27760"
"421","AT1G27930"
"422","AT1G28060"
"423","AT1G28110"
"424","AT1G28120"
"425","AT1G28130"
"426","AT1G28150"
"427","AT1G28260"
"428","AT1G28280"
"429","AT1G28310"
"430","AT1G28340"
"431","AT1G28350"
"432","AT1G28420"
"433","AT1G28480"
"434","AT1G28490"
"435","AT1G28510"
"436","AT1G28680"
"437","AT1G28960"
"438","AT1G29020"
"439","AT1G29025"
"440","AT1G29040"
"441","AT1G29050"
"442","AT1G29260"
"443","AT1G29290"
"444","AT1G29320"
"445","AT1G29357"
"446","AT1G29400"
"447","AT1G29418"
"448","AT1G29520"
"449","AT1G29785"
"450","AT1G29790"
"451","AT1G29820"
"452","AT1G29880"
"453","AT1G29890"
"454","AT1G29940"
"455","AT1G29950"
"456","AT1G29980"
"457","AT1G30000"
"458","AT1G30260"
"459","AT1G30300"
"460","AT1G30480"
"461","AT1G30550"
"462","AT1G30590"
"463","AT1G30650"
"464","AT1G30720"
"465","AT1G30730"
"466","AT1G30890"
"467","AT1G30910"
"468","AT1G31020"
"469","AT1G31160"
"470","AT1G31170"
"471","AT1G31180"
"472","AT1G31300"
"473","AT1G31340"
"474","AT1G31420"
"475","AT1G31440"
"476","AT1G31600"
"477","AT1G31660"
"478","AT1G31730"
"479","AT1G31760"
"480","AT1G31830"
"481","AT1G31935"
"482","AT1G31940"
"483","AT1G32100"
"484","AT1G32127"
"485","AT1G32190"
"486","AT1G32310"
"487","AT1G32370"
"488","AT1G32380"
"489","AT1G32410"
"490","AT1G32440"
"491","AT1G32490"
"492","AT1G32750"
"493","AT1G32928"
"494","AT1G32990"
"495","AT1G33050"
"496","AT1G33240"
"497","AT1G33265"
"498","AT1G33360"
"499","AT1G33490"
"500","AT1G33520"
"501","AT1G33590"
"502","AT1G33680"
"503","AT1G33700"
"504","AT1G33810"
"505","AT1G33980"
"506","AT1G33990"
"507","AT1G34010"
"508","AT1G34020"
"509","AT1G34110"
"510","AT1G34130"
"511","AT1G34190"
"512","AT1G34220"
"513","AT1G34320"
"514","AT1G34350"
"515","AT1G34430"
"516","AT1G34630"
"517","AT1G35220"
"518","AT1G35320"
"519","AT1G35620"
"520","AT1G35670"
"521","AT1G36310"
"522","AT1G36370"
"523","AT1G36380"
"524","AT1G42440"
"525","AT1G42990"
"526","AT1G43580"
"527","AT1G43690"
"528","AT1G43700"
"529","AT1G43850"
"530","AT1G43860"
"531","AT1G43900"
"532","AT1G43910"
"533","AT1G44170"
"534","AT1G44760"
