"","X","col_FLT_c1.which.mclass....5...1."
"2867",2867,"AT5G03355"
"1333",1333,"AT2G31930"
"1071",1071,"AT2G04795"
"3493",3493,"AT5G57130"
"2455",2455,"AT4G15130"
"3637",3637,"AT5G67245"
"1715",1715,"AT3G07900"
"386",386,"AT1G22980"
"563",563,"AT1G49730"
"635",635,"AT1G55265"
"3048",3048,"AT5G17260"
"3629",3629,"AT5G66790"
"2585",2585,"AT4G23940"
"369",369,"AT1G21250"
"1606",1606,"AT3G01670"
"1331",1331,"AT2G31870"
"266",266,"AT1G14660"
"1438",1438,"AT2G37920"
"2315",2315,"AT4G03400"
"318",318,"AT1G17870"
"1198",1198,"AT2G21540"
"659",659,"AT1G56670"
"3537",3537,"AT5G59940"
"346",346,"AT1G19290"
"1610",1610,"AT3G01750"
"2665",2665,"AT4G29730"
"2416",2416,"AT4G12580"
"3429",3429,"AT5G52230"
"2629",2629,"AT4G27240"
"2436",2436,"AT4G14170"
"2510",2510,"AT4G18550"
"2190",2190,"AT3G58690"
"2178",2178,"AT3G57730"
"2168",2168,"AT3G56450"
"1648",1648,"AT3G03680"
"1629",1629,"AT3G02830"
"929",929,"AT1G74170"
"402",402,"AT1G24430"
"1150",1150,"AT2G17650"
"2788",2788,"AT4G38690"
"1449",1449,"AT2G38330"
"412",412,"AT1G26208"
"2604",2604,"AT4G25350"
"2914",2914,"AT5G06720"
"1390",1390,"AT2G35350"
"791",791,"AT1G66230"
"2554",2554,"AT4G21705"
"1884",1884,"AT3G20910"
"1801",1801,"AT3G14340"
"1905",1905,"AT3G23370"
"1140",1140,"AT2G16870"
"243",243,"AT1G13410"
"194",194,"AT1G09993"
"1091",1091,"AT2G07665"
"2779",2779,"AT4G37930"
"783",783,"AT1G65620"
"436",436,"AT1G27720"
"1269",1269,"AT2G26390"
"2153",2153,"AT3G55640"
"1262",1262,"AT2G25605"
"295",295,"AT1G16489"
"512",512,"AT1G36940"
"1858",1858,"AT3G18660"
"1954",1954,"AT3G27120"
"3579",3579,"AT5G62990"
"697",697,"AT1G60890"
"1682",1682,"AT3G05800"
"1672",1672,"AT3G05320"
"2076",2076,"AT3G49690"
"3205",3205,"AT5G37800"
"1266",1266,"AT2G26030"
"1166",1166,"AT2G18938"
"885",885,"AT1G71810"
"3486",3486,"AT5G56450"
"3191",3191,"AT5G35450"
"1323",1323,"AT2G31190"
"2688",2688,"AT4G32190"
"2166",2166,"AT3G56320"
"2208",2208,"AT3G59700"
"1452",1452,"AT2G38570"
"1477",1477,"AT2G40480"
"1718",1718,"AT3G07980"
"3079",3079,"AT5G19040"
"3000",3000,"AT5G13410"
"1325",1325,"AT2G31580"
"3297",3297,"AT5G43950"
"180",180,"AT1G09610"
"3281",3281,"AT5G42655"
"1364",1364,"AT2G33820"
"1439",1439,"AT2G37925"
"1215",1215,"AT2G22730"
"862",862,"AT1G70140"
"1454",1454,"AT2G38695"
"1479",1479,"AT2G40690"
"2241",2241,"AT3G62090"
"190",190,"AT1G09890"
"25",25,"AT1G02420"
"840",840,"AT1G68940"
"2399",2399,"AT4G11370"
"501",501,"AT1G34180"
"112",112,"AT1G06330"
"2269",2269,"AT4G00850"
"859",859,"AT1G69970"
"1117",1117,"AT2G13960"
"3407",3407,"AT5G50990"
"1480",1480,"AT2G40770"
"1817",1817,"AT3G15518"
"3531",3531,"AT5G59610"
"1387",1387,"AT2G35160"
"2894",2894,"AT5G05365"
"2964",2964,"AT5G10180"
"1109",1109,"AT2G09660"
"806",806,"AT1G67150"
"1476",1476,"AT2G40240"
"1094",1094,"AT2G07687"
"1416",1416,"AT2G36990"
"948",948,"AT1G75110"
"1164",1164,"AT2G18890"
"513",513,"AT1G37150"
"1211",1211,"AT2G22360"
"1569",1569,"AT2G46160"
"2033",2033,"AT3G47070"
"2559",2559,"AT4G22110"
