"","X","col_FLT_c1.which.mclass....5...1."
"1035",1035,"AT2G02150"
"2023",2023,"AT3G46658"
"1437",1437,"AT2G37820"
"3477",3477,"AT5G55930"
"1464",1464,"AT2G39290"
"874",874,"AT1G70750"
"900",900,"AT1G72860"
"2785",2785,"AT4G38380"
"1122",1122,"AT2G14620"
"2793",2793,"AT4G39030"
"1252",1252,"AT2G24592"
"984",984,"AT1G78190"
"3653",3653,"ATCG00520"
"1030",1030,"AT2G01880"
"1496",1496,"AT2G41720"
"1482",1482,"AT2G40880"
"3076",3076,"AT5G18980"
"1679",1679,"AT3G05640"
"2516",2516,"AT4G19060"
"1052",1052,"AT2G03330"
"3084",3084,"AT5G19670"
"1037",1037,"AT2G02310"
"2085",2085,"AT3G50100"
"777",777,"AT1G64960"
"2568",2568,"AT4G22710"
"2672",2672,"AT4G30680"
"1532",1532,"AT2G43465"
"2386",2386,"AT4G10630"
"691",691,"AT1G60550"
"3102",3102,"AT5G21280"
"1182",1182,"AT2G20180"
"3577",3577,"AT5G62920"
"1218",1218,"AT2G22830"
"2911",2911,"AT5G06670"
"3619",3619,"AT5G66270"
"607",607,"AT1G53345"
"692",692,"AT1G60560"
"1588",1588,"AT2G47300"
"3433",3433,"AT5G52850"
"3584",3584,"AT5G63300"
"1911",1911,"AT3G24110"
"115",115,"AT1G06440"
"891",891,"AT1G72240"
"2041",2041,"AT3G47675"
"615",615,"AT1G53950"
"3539",3539,"AT5G60050"
"1521",1521,"AT2G42920"
"2581",2581,"AT4G23880"
"199",199,"AT1G10280"
"956",956,"AT1G76220"
"2982",2982,"AT5G11350"
"1337",1337,"AT2G32120"
"1450",1450,"AT2G38420"
"57",57,"AT1G04180"
"45",45,"AT1G03600"
"2522",2522,"AT4G19510"
"728",728,"AT1G62170"
"2977",2977,"AT5G11100"
"355",355,"AT1G20060"
"630",630,"AT1G55040"
"2865",2865,"AT5G03110"
"2439",2439,"AT4G14210"
"3666",3666,"ATCG01230"
"1973",1973,"AT3G28760"
"2063",2063,"AT3G48830"
"3135",3135,"AT5G24105"
"3636",3636,"AT5G67230"
"1339",1339,"AT2G32180"
"1347",1347,"AT2G32500"
"1593",1593,"AT2G47800"
"756",756,"AT1G63650"
"1289",1289,"AT2G28650"
"1897",1897,"AT3G22670"
"552",552,"AT1G49005"
"1909",1909,"AT3G23700"
"1237",1237,"AT2G23910"
"2582",2582,"AT4G23890"
"3545",3545,"AT5G60430"
"1782",1782,"AT3G12955"
"3489",3489,"AT5G56780"
"85",85,"AT1G05370"
"122",122,"AT1G06980"
"2908",2908,"AT5G06430"
"10",10,"AT1G01670"
"603",603,"AT1G52660"
"3682",3682,"ATMG01120"
"663",663,"AT1G58037"
"331",331,"AT1G18320"
"1176",1176,"AT2G19690"
"1152",1152,"AT2G17820"
"257",257,"AT1G14185"
"3250",3250,"AT5G40860"
"879",879,"AT1G71240"
"2228",2228,"AT3G61360"
"2260",2260,"AT4G00370"
"2821",2821,"AT5G01380"
"3116",3116,"AT5G23100"
"2897",2897,"AT5G05580"
"1306",1306,"AT2G30230"
"2787",2787,"AT4G38650"
"2003",2003,"AT3G44716"
"2180",2180,"AT3G57760"
"2895",2895,"AT5G05510"
"87",87,"AT1G05440"
"3173",3173,"AT5G27030"
"3107",3107,"AT5G22608"
"1115",1115,"AT2G13440"
"1191",1191,"AT2G20680"
"3441",3441,"AT5G53220"
"3220",3220,"AT5G38730"
"2959",2959,"AT5G09630"
"2227",2227,"AT3G61320"
"2643",2643,"AT4G27852"
"3375",3375,"AT5G48950"
"926",926,"AT1G74088"
"157",157,"AT1G08540"
"2119",2119,"AT3G52340"
"904",904,"AT1G72970"
"3635",3635,"AT5G67210"
"3538",3538,"AT5G59980"
"2132",2132,"AT3G53450"
"1940",1940,"AT3G25830"
"1745",1745,"AT3G09830"
"1534",1534,"AT2G43560"
"1866",1866,"AT3G18970"
"160",160,"AT1G08840"
"1072",1072,"AT2G04805"
"602",602,"AT1G52620"
"2165",2165,"AT3G56300"
"2205",2205,"AT3G59420"
"648",648,"AT1G55940"
"844",844,"AT1G69200"
"3507",3507,"AT5G57760"
"208",208,"AT1G11160"
"230",230,"AT1G12430"
"3423",3423,"AT5G51810"
"1163",1163,"AT2G18780"
"1980",1980,"AT3G30841"
"1154",1154,"AT2G17880"
"1942",1942,"AT3G25950"
"2515",2515,"AT4G19010"
"667",667,"AT1G58420"
"843",843,"AT1G69170"
"710",710,"AT1G61380"
"1419",1419,"AT2G37240"
"2727",2727,"AT4G35130"
"593",593,"AT1G52240"
"2415",2415,"AT4G12555"
"1754",1754,"AT3G10527"
"3550",3550,"AT5G60860"
"2454",2454,"AT4G15070"
"2752",2752,"AT4G36540"
"2433",2433,"AT4G14070"
"2968",2968,"AT5G10440"
"1976",1976,"AT3G29230"
"1144",1144,"AT2G17040"
"1239",1239,"AT2G23960"
"1698",1698,"AT3G06690"
"1277",1277,"AT2G27690"
"3142",3142,"AT5G24600"
"1763",1763,"AT3G11570"
"517",517,"AT1G43650"
"1040",1040,"AT2G02410"
"1786",1786,"AT3G13170"
"1043",1043,"AT2G02635"
"974",974,"AT1G77700"
"1361",1361,"AT2G33640"
"3113",3113,"AT5G22820"
"2021",2021,"AT3G46270"
"2682",2682,"AT4G31380"
"2612",2612,"AT4G25800"
"848",848,"AT1G69485"
"274",274,"AT1G15415"
"2309",2309,"AT4G03115"
"559",559,"AT1G49520"
"172",172,"AT1G09247"
"1360",1360,"AT2G33550"
"497",497,"AT1G33840"
"2031",2031,"AT3G46950"
"408",408,"AT1G25390"
"1759",1759,"AT3G11390"
"312",312,"AT1G17650"
"357",357,"AT1G20230"
"18",18,"AT1G02020"
"2465",2465,"AT4G15530"
"573",573,"AT1G50790"
"2592",2592,"AT4G24140"
"2842",2842,"AT5G02140"
"1937",1937,"AT3G25740"
"2941",2941,"AT5G08270"
"617",617,"AT1G53980"
"2334",2334,"AT4G04435"
"542",542,"AT1G48390"
"1139",1139,"AT2G16760"
"1493",1493,"AT2G41505"
"3677",3677,"ATMG00690"
"2880",2880,"AT5G04220"
"1517",1517,"AT2G42640"
"256",256,"AT1G13970"
"97",97,"AT1G05700"
"1151",1151,"AT2G17787"
"2049",2049,"AT3G48260"
"1359",1359,"AT2G33540"
"639",639,"AT1G55380"
"1633",1633,"AT3G03020"
"872",872,"AT1G70650"
"3416",3416,"AT5G51450"
"3136",3136,"AT5G24220"
"2278",2278,"AT4G01037"
"2955",2955,"AT5G09520"
"3409",3409,"AT5G51050"
"1717",1717,"AT3G07960"
"912",912,"AT1G73370"
"3472",3472,"AT5G55650"
"3080",3080,"AT5G19210"
"3451",3451,"AT5G54030"
"1509",1509,"AT2G42330"
"2056",2056,"AT3G48510"
"1735",1735,"AT3G09070"
"2213",2213,"AT3G60160"
"1155",1155,"AT2G17940"
"1700",1700,"AT3G06910"
"3630",3630,"AT5G66840"
"1335",1335,"AT2G31990"
"3385",3385,"AT5G49800"
"1341",1341,"AT2G32390"
"2548",2548,"AT4G21480"
"1055",1055,"AT2G03600"
"3462",3462,"AT5G54780"
"340",340,"AT1G19010"
"548",548,"AT1G48745"
"2169",2169,"AT3G56770"
"1032",1032,"AT2G01905"
"2778",2778,"AT4G37900"
"2625",2625,"AT4G26880"
"498",498,"AT1G34040"
"1137",1137,"AT2G16430"
"2467",2467,"AT4G15730"
"2427",2427,"AT4G13860"
"1889",1889,"AT3G21360"
"2002",2002,"AT3G44703"
"1738",1738,"AT3G09600"
"3337",3337,"AT5G46510"
"59",59,"AT1G04233"
"1142",1142,"AT2G16980"
"942",942,"AT1G74830"
"562",562,"AT1G49650"
"239",239,"AT1G13100"
"62",62,"AT1G04310"
"1012",1012,"AT1G80120"
"1158",1158,"AT2G18570"
"828",828,"AT1G68590"
"2681",2681,"AT4G31370"
"1958",1958,"AT3G27290"
"766",766,"AT1G64570"
"2007",2007,"AT3G45210"
"598",598,"AT1G52550"
"3298",3298,"AT5G44005"
"2741",2741,"AT4G36032"
"2226",2226,"AT3G61160"
"32",32,"AT1G03010"
"1852",1852,"AT3G18110"
"2016",2016,"AT3G45750"
"931",931,"AT1G74300"
"2142",2142,"AT3G54460"
"3208",3208,"AT5G38050"
"2267",2267,"AT4G00750"
"1688",1688,"AT3G06150"
"1913",1913,"AT3G24190"
"2535",2535,"AT4G21060"
"868",868,"AT1G70505"
"1473",1473,"AT2G40120"
"1243",1243,"AT2G24250"
"433",433,"AT1G27620"
"2887",2887,"AT5G04950"
"2871",2871,"AT5G03555"
"418",418,"AT1G26760"
"220",220,"AT1G11960"
"1351",1351,"AT2G32990"
"1485",1485,"AT2G41080"
"1281",1281,"AT2G27930"
"3415",3415,"AT5G51440"
"3017",3017,"AT5G14960"
"3152",3152,"AT5G25220"
"3340",3340,"AT5G46590"
"3345",3345,"AT5G47220"
"2437",2437,"AT4G14180"
"1873",1873,"AT3G20040"
"555",555,"AT1G49180"
"889",889,"AT1G72125"
"3041",3041,"AT5G16860"
"2935",2935,"AT5G07790"
"2270",2270,"AT4G00880"
"1994",1994,"AT3G44120"
"636",636,"AT1G55280"
"2796",2796,"AT4G39235"
"2816",2816,"AT5G01170"
"2729",2729,"AT4G35380"
"1373",1373,"AT2G34355"
"101",101,"AT1G05835"
"741",741,"AT1G62840"
"2098",2098,"AT3G50650"
"2756",2756,"AT4G36840"
"613",613,"AT1G53790"
"1192",1192,"AT2G20710"
"492",492,"AT1G33080"
"354",354,"AT1G20030"
"193",193,"AT1G09987"
"2841",2841,"AT5G02105"
"3424",3424,"AT5G51850"
"466",466,"AT1G30290"
"1596",1596,"AT2G48110"
"3160",3160,"AT5G25570"
"3183",3183,"AT5G28610"
"1349",1349,"AT2G32840"
"2371",2371,"AT4G09750"
"397",397,"AT1G23980"
"802",802,"AT1G66810"
"1447",1447,"AT2G38240"
"2456",2456,"AT4G15230"
"2882",2882,"AT5G04375"
"3293",3293,"AT5G43790"
"88",88,"AT1G05467"
"3425",3425,"AT5G52010"
"2995",2995,"AT5G12890"
"2107",2107,"AT3G51340"
"851",851,"AT1G69570"
"3210",3210,"AT5G38070"
"3162",3162,"AT5G25620"
"2022",2022,"AT3G46610"
"836",836,"AT1G68850"
"3325",3325,"AT5G45580"
"1057",1057,"AT2G03750"
"200",200,"AT1G10320"
"959",959,"AT1G76740"
"1320",1320,"AT2G30960"
"1106",1106,"AT2G09350"
"2036",2036,"AT3G47530"
"487",487,"AT1G32550"
"3541",3541,"AT5G60250"
"347",347,"AT1G19340"
"2435",2435,"AT4G14150"
"504",504,"AT1G34380"
"1102",1102,"AT2G08345"
"955",955,"AT1G76130"
"543",543,"AT1G48540"
"2579",2579,"AT4G23420"
"2676",2676,"AT4G31050"
"175",175,"AT1G09390"
"830",830,"AT1G68640"
"3518",3518,"AT5G58840"
"304",304,"AT1G17255"
"2761",2761,"AT4G37200"
"2856",2856,"AT5G02680"
"997",997,"AT1G79220"
"864",864,"AT1G70335"
"2686",2686,"AT4G31730"
"1500",1500,"AT2G42010"
"326",326,"AT1G18170"
"1835",1835,"AT3G17030"
"2933",2933,"AT5G07720"
"2222",2222,"AT3G60680"
"430",430,"AT1G27380"
"518",518,"AT1G43770"
"2477",2477,"AT4G16270"
"811",811,"AT1G67410"
"405",405,"AT1G25145"
"296",296,"AT1G16590"
"1503",1503,"AT2G42247"
"1240",1240,"AT2G24120"
"6",6,"AT1G01450"
"2362",2362,"AT4G08700"
"2442",2442,"AT4G14380"
"2095",2095,"AT3G50380"
"3212",3212,"AT5G38210"
"2798",2798,"AT4G39470"
"1554",1554,"AT2G44900"
"1951",1951,"AT3G26480"
"403",403,"AT1G24530"
"1621",1621,"AT3G02215"
"1981",1981,"AT3G32030"
"1415",1415,"AT2G36885"
"499",499,"AT1G34120"
"2584",2584,"AT4G23930"
"1617",1617,"AT3G02060"
"3654",3654,"ATCG00640"
"1579",1579,"AT2G46650"
"3251",3251,"AT5G41025"
"2907",2907,"AT5G06420"
"680",680,"AT1G59970"
"365",365,"AT1G21120"
"2583",2583,"AT4G23920"
"907",907,"AT1G73130"
"114",114,"AT1G06430"
"3508",3508,"AT5G57800"
"2774",2774,"AT4G37670"
"2799",2799,"AT4G39580"
"92",92,"AT1G05600"
"3049",3049,"AT5G17300"
"1543",1543,"AT2G44190"
"292",292,"AT1G16370"
"2864",2864,"AT5G02950"
"1943",1943,"AT3G25970"
"187",187,"AT1G09800"
"5",5,"AT1G01225"
"2635",2635,"AT4G27520"
"2069",2069,"AT3G49190"
"1818",1818,"AT3G15540"
"103",103,"AT1G05900"
"1646",1646,"AT3G03650"
"858",858,"AT1G69935"
"1701",1701,"AT3G06920"
"390",390,"AT1G23150"
"121",121,"AT1G06910"
"1684",1684,"AT3G05932"
"3410",3410,"AT5G51110"
"2346",2346,"AT4G06135"
"672",672,"AT1G59312"
"1926",1926,"AT3G24840"
"605",605,"AT1G53330"
"476",476,"AT1G31350"
"1045",1045,"AT2G02750"
"178",178,"AT1G09575"
"60",60,"AT1G04240"
"867",867,"AT1G70500"
"506",506,"AT1G34844"
"2447",2447,"AT4G14700"
"2660",2660,"AT4G29420"
"3190",3190,"AT5G35410"
"3161",3161,"AT5G25580"
"270",270,"AT1G14790"
"2170",2170,"AT3G56790"
"638",638,"AT1G55370"
"333",333,"AT1G18420"
"752",752,"AT1G63240"
"2598",2598,"AT4G24810"
"3321",3321,"AT5G45220"
"3392",3392,"AT5G50260"
"1344",1344,"AT2G32430"
"1367",1367,"AT2G34060"
"223",223,"AT1G12220"
"914",914,"AT1G73510"
"3002",3002,"AT5G13700"
"1264",1264,"AT2G25940"
"1726",1726,"AT3G08665"
"2231",2231,"AT3G61630"
"3616",3616,"AT5G66005"
"3395",3395,"AT5G50340"
"105",105,"AT1G06050"
"2199",2199,"AT3G58990"
"800",800,"AT1G66690"
"2068",2068,"AT3G49170"
"93",93,"AT1G05630"
"3223",3223,"AT5G38900"
"502",502,"AT1G34260"
"1536",1536,"AT2G43690"
"2931",2931,"AT5G07650"
"1548",1548,"AT2G44600"
"3664",3664,"ATCG01100"
"3348",3348,"AT5G47360"
"2637",2637,"AT4G27630"
"3594",3594,"AT5G64380"
"3226",3226,"AT5G39240"
"1874",1874,"AT3G20110"
"2607",2607,"AT4G25440"
"2852",2852,"AT5G02490"
"2777",2777,"AT4G37895"
"3580",3580,"AT5G63020"
"1135",1135,"AT2G16390"
"3559",3559,"AT5G61460"
"3096",3096,"AT5G20510"
"647",647,"AT1G55930"
"3627",3627,"AT5G66640"
"3604",3604,"AT5G65200"
"854",854,"AT1G69670"
"2311",2311,"AT4G03230"
"2110",2110,"AT3G51450"
"2404",2404,"AT4G11960"
"3356",3356,"AT5G48130"
"539",539,"AT1G48120"
"2532",2532,"AT4G20230"
"3529",3529,"AT5G59580"
"3140",3140,"AT5G24318"
"2167",2167,"AT3G56440"
"1931",1931,"AT3G25480"
"3086",3086,"AT5G19790"
"1368",1368,"AT2G34090"
"3001",3001,"AT5G13660"
"399",399,"AT1G24150"
"2400",2400,"AT4G11440"
"3189",3189,"AT5G35370"
"971",971,"AT1G77530"
"1299",1299,"AT2G29450"
"162",162,"AT1G08900"
"3404",3404,"AT5G50820"
"2411",2411,"AT4G12270"
"1497",1497,"AT2G41830"
"2699",2699,"AT4G32790"
"1379",1379,"AT2G34910"
"2649",2649,"AT4G28430"
"2118",2118,"AT3G52115"
"3494",3494,"AT5G57160"
"1654",1654,"AT3G04110"
"1064",1064,"AT2G04270"
"735",735,"AT1G62590"
"1665",1665,"AT3G04850"
"3114",3114,"AT5G22930"
"1377",1377,"AT2G34510"
"1380",1380,"AT2G34920"
"1300",1300,"AT2G29640"
"2626",2626,"AT4G26890"
"215",215,"AT1G11800"
"2121",2121,"AT3G52440"
"3262",3262,"AT5G41610"
"381",381,"AT1G22460"
"2926",2926,"AT5G07130"
"2079",2079,"AT3G49820"
"2746",2746,"AT4G36150"
"104",104,"AT1G05950"
"1313",1313,"AT2G30660"
"704",704,"AT1G61215"
"999",999,"AT1G79320"
"1870",1870,"AT3G19500"
"1780",1780,"AT3G12770"
"579",579,"AT1G51100"
"3217",3217,"AT5G38540"
"1728",1728,"AT3G08800"
"2308",2308,"AT4G03010"
"1778",1778,"AT3G12720"
"1592",1592,"AT2G47680"
"878",878,"AT1G71140"
"1125",1125,"AT2G15370"
"185",185,"AT1G09750"
"2530",2530,"AT4G19985"
"2236",2236,"AT3G61830"
"384",384,"AT1G22810"
"2558",2558,"AT4G21890"
"2257",2257,"AT4G00040"
"1084",1084,"AT2G06200"
"2776",2776,"AT4G37850"
"1711",1711,"AT3G07550"
"1887",1887,"AT3G21180"
"1787",1787,"AT3G13380"
"681",681,"AT1G59980"
"396",396,"AT1G23970"
"3501",3501,"AT5G57530"
"2832",2832,"AT5G01840"
"338",338,"AT1G18670"
"790",790,"AT1G66173"
"2855",2855,"AT5G02670"
"2805",2805,"AT4G39795"
"3591",3591,"AT5G64000"
"291",291,"AT1G16310"
"3073",3073,"AT5G18820"
"2648",2648,"AT4G28320"
"3075",3075,"AT5G18950"
"314",314,"AT1G17744"
"471",471,"AT1G30810"
"2567",2567,"AT4G22690"
"77",77,"AT1G04840"
"398",398,"AT1G24030"
"3061",3061,"AT5G17980"
"2886",2886,"AT5G04900"
"1225",1225,"AT2G23348"
"2806",2806,"AT4G39810"
"856",856,"AT1G69880"
"626",626,"AT1G54790"
"1673",1673,"AT3G05340"
"2176",2176,"AT3G57670"
"2704",2704,"AT4G33470"
"96",96,"AT1G05670"
"3158",3158,"AT5G25500"
"140",140,"AT1G07737"
"209",209,"AT1G11180"
"2512",2512,"AT4G18630"
"3435",3435,"AT5G52970"
"2650",2650,"AT4G28500"
"3028",3028,"AT5G15710"
"264",264,"AT1G14580"
"138",138,"AT1G07710"
"359",359,"AT1G20480"
"3548",3548,"AT5G60610"
"1744",1744,"AT3G09780"
"435",435,"AT1G27690"
"2967",2967,"AT5G10370"
"3455",3455,"AT5G54130"
"3151",3151,"AT5G25190"
"2533",2533,"AT4G20740"
"100",100,"AT1G05770"
"2904",2904,"AT5G06230"
"1877",1877,"AT3G20440"
"3125",3125,"AT5G23570"
"2061",2061,"AT3G48700"
"1371",1371,"AT2G34200"
"1989",1989,"AT3G43790"
"1661",1661,"AT3G04550"
"3303",3303,"AT5G44260"
"757",757,"AT1G63670"
"2055",2055,"AT3G48500"
"1802",1802,"AT3G14360"
"1970",1970,"AT3G28640"
"702",702,"AT1G61180"
"3224",3224,"AT5G39020"
"530",530,"AT1G45231"
"281",281,"AT1G15890"
"1490",1490,"AT2G41300"
"372",372,"AT1G21460"
"3209",3209,"AT5G38060"
"1066",1066,"AT2G04530"
"1049",1049,"AT2G03200"
"2961",2961,"AT5G09820"
"3124",3124,"AT5G23530"
"1507",1507,"AT2G42290"
"3288",3288,"AT5G43403"
"2745",2745,"AT4G36120"
"2015",2015,"AT3G45720"
"479",479,"AT1G31720"
"2103",2103,"AT3G51180"
"322",322,"AT1G18030"
"3589",3589,"AT5G63690"
"1669",1669,"AT3G05015"
"1318",1318,"AT2G30933"
"2638",2638,"AT4G27660"
"2302",2302,"AT4G02410"
"2716",2716,"AT4G34139"
"2249",2249,"AT3G63160"
"2810",2810,"AT5G00875"
"944",944,"AT1G74900"
"1750",1750,"AT3G10120"
"945",945,"AT1G75000"
"388",388,"AT1G23010"
"534",534,"AT1G47600"
"1385",1385,"AT2G35035"
"3386",3386,"AT5G49840"
"1224",1224,"AT2G23290"
"1201",1201,"AT2G21610"
"2239",2239,"AT3G62050"
"416",416,"AT1G26680"
"1111",1111,"AT2G09975"
"2139",2139,"AT3G54090"
"3285",3285,"AT5G43210"
"3141",3141,"AT5G24380"
"2889",2889,"AT5G04980"
"857",857,"AT1G69900"
"2090",2090,"AT3G50240"
"1293",1293,"AT2G28970"
"2693",2693,"AT4G32350"
"3536",3536,"AT5G59900"
"1006",1006,"AT1G79640"
"2144",2144,"AT3G54780"
"1736",1736,"AT3G09430"
"1611",1611,"AT3G01795"
"1420",1420,"AT2G37260"
"2666",2666,"AT4G29750"
"1559",1559,"AT2G45150"
"3368",3368,"AT5G48770"
"2701",2701,"AT4G33000"
"3440",3440,"AT5G53200"
"739",739,"AT1G62760"
"805",805,"AT1G67050"
"2441",2441,"AT4G14370"
"462",462,"AT1G29960"
"1078",1078,"AT2G05215"
"2509",2509,"AT4G18520"
"166",166,"AT1G09027"
"2120",2120,"AT3G52370"
"1088",1088,"AT2G07638"
"3057",3057,"AT5G17790"
"1992",1992,"AT3G43960"
"361",361,"AT1G20720"
"1138",1138,"AT2G16750"
"694",694,"AT1G60700"
"2179",2179,"AT3G57740"
"3243",3243,"AT5G40390"
"3365",3365,"AT5G48650"
"1004",1004,"AT1G79520"
"2100",2100,"AT3G50750"
"815",815,"AT1G67600"
"3469",3469,"AT5G55490"
"676",676,"AT1G59700"
"2218",2218,"AT3G60400"
"2390",2390,"AT4G11050"
"2316",2316,"AT4G03440"
"740",740,"AT1G62830"
"2609",2609,"AT4G25610"
"2354",2354,"AT4G07400"
"1860",1860,"AT3G18730"
"3026",3026,"AT5G15300"
"1330",1330,"AT2G31865"
"1401",1401,"AT2G35760"
"1630",1630,"AT3G02832"
"2330",2330,"AT4G04190"
"796",796,"AT1G66480"
"949",949,"AT1G75300"
"586",586,"AT1G51520"
"761",761,"AT1G63750"
"2438",2438,"AT4G14190"
"1098",1098,"AT2G07773"
"2903",2903,"AT5G06100"
"3549",3549,"AT5G60720"
"1938",1938,"AT3G25805"
"2333",2333,"AT4G04350"
"1902",1902,"AT3G23210"
"2001",2001,"AT3G44700"
"1849",1849,"AT3G18080"
"3405",3405,"AT5G50890"
"3324",3324,"AT5G45460"
"1315",1315,"AT2G30695"
"2034",2034,"AT3G47080"
"3248",3248,"AT5G40820"
"1235",1235,"AT2G23760"
"3656",3656,"ATCG00660"
"1411",1411,"AT2G36430"
"527",527,"AT1G45163"
"1131",1131,"AT2G16050"
"2130",2130,"AT3G53150"
"842",842,"AT1G69020"
"932",932,"AT1G74310"
"1060",1060,"AT2G04038"
"895",895,"AT1G72500"
"2562",2562,"AT4G22280"
"850",850,"AT1G69550"
"1038",1038,"AT2G02350"
"29",29,"AT1G02575"
"293",293,"AT1G16390"
"221",221,"AT1G12210"
"2376",2376,"AT4G09950"
"2808",2808,"AT4G40000"
"1075",1075,"AT2G05120"
"3265",3265,"AT5G41860"
"2221",2221,"AT3G60540"
"106",106,"AT1G06120"
"1625",1625,"AT3G02535"
"2789",2789,"AT4G38730"
"2171",2171,"AT3G56830"
"3127",3127,"AT5G23730"
"2758",2758,"AT4G37000"
"718",718,"AT1G61760"
"1017",1017,"AT1G80760"
"192",192,"AT1G09960"
"1699",1699,"AT3G06830"
"2062",2062,"AT3G48810"
"1227",1227,"AT2G23430"
"1165",1165,"AT2G18915"
"1358",1358,"AT2G33530"
"3308",3308,"AT5G44520"
"707",707,"AT1G61310"
"3478",3478,"AT5G55950"
"3393",3393,"AT5G50280"
"2053",2053,"AT3G48470"
"3422",3422,"AT5G51790"
"1332",1332,"AT2G31902"
"2989",2989,"AT5G11780"
"1535",1535,"AT2G43600"
"2177",2177,"AT3G57720"
"1020",1020,"AT1G80970"
"2181",2181,"AT3G57830"
"662",662,"AT1G57790"
"2555",2555,"AT4G21820"
"1868",1868,"AT3G19280"
"3381",3381,"AT5G49320"
"588",588,"AT1G51790"
"1862",1862,"AT3G18773"
"2861",2861,"AT5G02890"
"754",754,"AT1G63450"
"1407",1407,"AT2G36090"
"2113",2113,"AT3G51540"
"2045",2045,"AT3G48120"
"1206",1206,"AT2G21830"
"151",151,"AT1G08070"
"1053",1053,"AT2G03450"
"2127",2127,"AT3G53010"
"3661",3661,"ATCG00905"
"729",729,"AT1G62200"
"2736",2736,"AT4G35970"
"2384",2384,"AT4G10550"
"2273",2273,"AT4G00950"
"3491",3491,"AT5G57070"
"1658",1658,"AT3G04310"
"2709",2709,"AT4G33770"
"939",939,"AT1G74680"
"117",117,"AT1G06580"
"3175",3175,"AT5G27270"
"2314",2314,"AT4G03340"
"429",429,"AT1G27370"
"1618",1618,"AT3G02130"
"50",50,"AT1G03980"
"148",148,"AT1G08003"
"1567",1567,"AT2G45890"
"1826",1826,"AT3G16170"
"2337",2337,"AT4G04790"
"2700",2700,"AT4G32820"
"572",572,"AT1G50700"
"3657",3657,"ATCG00680"
"342",342,"AT1G19100"
"1574",1574,"AT2G46510"
"3625",3625,"AT5G66500"
"132",132,"AT1G07490"
"2089",2089,"AT3G50230"
"637",637,"AT1G55320"
"1622",1622,"AT3G02410"
"2773",2773,"AT4G37553"
"74",74,"AT1G04730"
"2173",2173,"AT3G57180"
"1159",1159,"AT2G18620"
"3658",3658,"ATCG00770"
"290",290,"AT1G16260"
"917",917,"AT1G73640"
"3606",3606,"AT5G65280"
"1460",1460,"AT2G39120"
"774",774,"AT1G64860"
"3495",3495,"AT5G57190"
"437",437,"AT1G27740"
"2883",2883,"AT5G04460"
"3447",3447,"AT5G53750"
"2432",2432,"AT4G14050"
"2372",2372,"AT4G09770"
"2690",2690,"AT4G32295"
"3118",3118,"AT5G23170"
"124",124,"AT1G07119"
"3033",3033,"AT5G16200"
"845",845,"AT1G69240"
"1731",1731,"AT3G09010"
"224",224,"AT1G12244"
"1328",1328,"AT2G31790"
"2902",2902,"AT5G05940"
"1455",1455,"AT2G38760"
"3188",3188,"AT5G35220"
"3426",3426,"AT5G52020"
"2734",2734,"AT4G35740"
"2251",2251,"AT3G63350"
"1451",1451,"AT2G38500"
"2565",2565,"AT4G22610"
"1143",1143,"AT2G16990"
"2870",2870,"AT5G03553"
"3071",3071,"AT5G18770"
"1555",1555,"AT2G44940"
"2248",2248,"AT3G63110"
"1576",1576,"AT2G46570"
"544",544,"AT1G48580"
"2597",2597,"AT4G24670"
"2755",2755,"AT4G36830"
"1991",1991,"AT3G43920"
"1603",1603,"AT3G01480"
"1231",1231,"AT2G23672"
"2667",2667,"AT4G29920"
"576",576,"AT1G50970"
"55",55,"AT1G04117"
"3024",3024,"AT5G15240"
"2094",2094,"AT3G50310"
"3522",3522,"AT5G59050"
"1916",1916,"AT3G24360"
"1307",1307,"AT2G30320"
"2801",2801,"AT4G39600"
"2705",2705,"AT4G33490"
"2495",2495,"AT4G17750"
"1696",1696,"AT3G06600"
"2043",2043,"AT3G47830"
"2294",2294,"AT4G01883"
"2790",2790,"AT4G38910"
"1458",1458,"AT2G38830"
"52",52,"AT1G04050"
"1047",1047,"AT2G03050"
"158",158,"AT1G08543"
"2795",2795,"AT4G39210"
"308",308,"AT1G17460"
"3617",3617,"AT5G66053"
"1803",1803,"AT3G14470"
"2531",2531,"AT4G20140"
"1100",1100,"AT2G07850"
"458",458,"AT1G29730"
"1334",1334,"AT2G31940"
"529",529,"AT1G45180"
"1539",1539,"AT2G43850"
"2138",2138,"AT3G54060"
"3367",3367,"AT5G48740"
"3238",3238,"AT5G40160"
"3165",3165,"AT5G25930"
"3005",3005,"AT5G13800"
"2197",2197,"AT3G58940"
"1410",1410,"AT2G36370"
"644",644,"AT1G55700"
"671",671,"AT1G59171"
"523",523,"AT1G44446"
"1964",1964,"AT3G28030"
"2025",2025,"AT3G46668"
"364",364,"AT1G21110"
"1031",1031,"AT2G01900"
"1963",1963,"AT3G27870"
"2570",2570,"AT4G22760"
"1059",1059,"AT2G03925"
"3010",3010,"AT5G14340"
"540",540,"AT1G48280"
"2106",2106,"AT3G51325"
"2214",2214,"AT3G60220"
"1467",1467,"AT2G39560"
"169",169,"AT1G09190"
"699",699,"AT1G60950"
"503",503,"AT1G34340"
"70",70,"AT1G04570"
"580",580,"AT1G51220"
"3063",3063,"AT5G18240"
"2325",2325,"AT4G03960"
"234",234,"AT1G12710"
"3439",3439,"AT5G53080"
