"","X","col_FLT_c1.which.mclass....6...1."
"2793",2793,"AT4G14580"
"1702",1702,"AT2G45340"
"2669",2669,"AT4G03180"
"2058",2058,"AT3G15920"
"587",587,"AT1G43860"
"291",291,"AT1G15960"
"557",557,"AT1G33780"
"1695",1695,"AT2G45210"
"12",12,"AT1G01920"
"2672",2672,"AT4G03320"
"3293",3293,"AT5G03540"
"3203",3203,"AT4G37640"
"3557",3557,"AT5G17550"
"1820",1820,"AT3G04480"
"1762",1762,"AT3G01516"
"2322",2322,"AT3G47000"
"4133",4133,"AT5G59840"
"2811",2811,"AT4G15545"
"2351",2351,"AT3G48760"
"1144",1144,"AT2G03220"
"846",846,"AT1G66590"
"335",335,"AT1G18860"
"3515",3515,"AT5G14710"
"4047",4047,"AT5G55630"
"3796",3796,"AT5G40650"
"712",712,"AT1G55205"
"1524",1524,"AT2G35510"
"3210",3210,"AT4G38040"
"1935",1935,"AT3G10650"
"2384",2384,"AT3G50880"
"4301",4301,"AT5G67400"
"307",307,"AT1G17130"
"4096",4096,"AT5G58000"
"4062",4062,"AT5G56280"
"6",6,"AT1G01540"
"1573",1573,"AT2G38620"
"48",48,"AT1G03687"
"3997",3997,"AT5G52440"
"2239",2239,"AT3G26670"
"950",950,"AT1G72210"
"4214",4214,"AT5G63880"
"964",964,"AT1G72740"
"3694",3694,"AT5G25890"
"3782",3782,"AT5G39800"
"2670",2670,"AT4G03240"
"2442",2442,"AT3G53900"
"2011",2011,"AT3G13750"
"2992",2992,"AT4G27470"
"3407",3407,"AT5G09590"
"708",708,"AT1G54990"
"2470",2470,"AT3G55450"
"1230",1230,"AT2G17705"
"3851",3851,"AT5G43720"
"2224",2224,"AT3G25900"
"3520",3520,"AT5G15080"
"10",10,"AT1G01650"
"1881",1881,"AT3G07300"
"956",956,"AT1G72416"
"2317",2317,"AT3G46550"
"2069",2069,"AT3G16340"
"887",887,"AT1G69220"
"2366",2366,"AT3G49640"
"973",973,"AT1G73250"
"1806",1806,"AT3G03740"
"3672",3672,"AT5G24670"
"2610",2610,"AT4G00238"
"4220",4220,"AT5G63980"
"2452",2452,"AT3G54420"
