"","col_FLT_c1.which.mclass....8...1."
"1","AT1G01010"
"2","AT1G01030"
"3","AT1G01040"
"4","AT1G01180"
"5","AT1G01240"
"6","AT1G01260"
"7","AT1G01290"
"8","AT1G01320"
"9","AT1G01370"
"10","AT1G01430"
"11","AT1G01440"
"12","AT1G01448"
"13","AT1G01610"
"14","AT1G01690"
"15","AT1G01710"
"16","AT1G01760"
"17","AT1G01770"
"18","AT1G01780"
"19","AT1G01830"
"20","AT1G01930"
"21","AT1G01950"
"22","AT1G02000"
"23","AT1G02110"
"24","AT1G02180"
"25","AT1G02260"
"26","AT1G02280"
"27","AT1G02340"
"28","AT1G02370"
"29","AT1G02430"
"30","AT1G02475"
"31","AT1G02640"
"32","AT1G02720"
"33","AT1G02730"
"34","AT1G02740"
"35","AT1G02750"
"36","AT1G02860"
"37","AT1G02950"
"38","AT1G02960"
"39","AT1G02990"
"40","AT1G03000"
"41","AT1G03180"
"42","AT1G03250"
"43","AT1G03260"
"44","AT1G03365"
"45","AT1G03370"
"46","AT1G03400"
"47","AT1G03457"
"48","AT1G03470"
"49","AT1G03550"
"50","AT1G03650"
"51","AT1G03660"
"52","AT1G03680"
"53","AT1G03760"
"54","AT1G03770"
"55","AT1G03780"
"56","AT1G03830"
"57","AT1G03905"
"58","AT1G03930"
"59","AT1G03960"
"60","AT1G04000"
"61","AT1G04020"
"62","AT1G04130"
"63","AT1G04200"
"64","AT1G04230"
"65","AT1G04290"
"66","AT1G04360"
"67","AT1G04463"
"68","AT1G04550"
"69","AT1G04555"
"70","AT1G04610"
"71","AT1G04635"
"72","AT1G04640"
"73","AT1G04647"
"74","AT1G04773"
"75","AT1G04790"
"76","AT1G04803"
"77","AT1G04830"
"78","AT1G04833"
"79","AT1G04837"
"80","AT1G04930"
"81","AT1G04945"
"82","AT1G04970"
"83","AT1G04977"
"84","AT1G04990"
"85","AT1G05060"
"86","AT1G05090"
"87","AT1G05120"
"88","AT1G05160"
"89","AT1G05163"
"90","AT1G05183"
"91","AT1G05190"
"92","AT1G05213"
"93","AT1G05280"
"94","AT1G05300"
"95","AT1G05320"
"96","AT1G05385"
"97","AT1G05410"
"98","AT1G05460"
"99","AT1G05470"
"100","AT1G05523"
"101","AT1G05590"
"102","AT1G05660"
"103","AT1G05687"
"104","AT1G05730"
"105","AT1G05750"
"106","AT1G05760"
"107","AT1G05790"
"108","AT1G05810"
"109","AT1G05830"
"110","AT1G05837"
"111","AT1G05970"
"112","AT1G06000"
"113","AT1G06002"
"114","AT1G06040"
"115","AT1G06090"
"116","AT1G06150"
"117","AT1G06180"
"118","AT1G06225"
"119","AT1G06240"
"120","AT1G06380"
"121","AT1G06450"
"122","AT1G06473"
"123","AT1G06475"
"124","AT1G06510"
"125","AT1G06560"
"126","AT1G06590"
"127","AT1G06650"
"128","AT1G06660"
"129","AT1G06730"
"130","AT1G06770"
"131","AT1G06780"
"132","AT1G06790"
"133","AT1G06800"
"134","AT1G06820"
"135","AT1G06840"
"136","AT1G07000"
"137","AT1G07110"
"138","AT1G07128"
"139","AT1G07130"
"140","AT1G07200"
"141","AT1G07220"
"142","AT1G07240"
"143","AT1G07280"
"144","AT1G07300"
"145","AT1G07320"
"146","AT1G07323"
"147","AT1G07410"
"148","AT1G07520"
"149","AT1G07570"
"150","AT1G07615"
"151","AT1G07630"
"152","AT1G07650"
"153","AT1G07705"
"154","AT1G07725"
"155","AT1G07728"
"156","AT1G07745"
"157","AT1G07780"
"158","AT1G07847"
"159","AT1G07870"
"160","AT1G07893"
"161","AT1G07980"
"162","AT1G07983"
"163","AT1G08000"
"164","AT1G08030"
"165","AT1G08040"
"166","AT1G08060"
"167","AT1G08220"
"168","AT1G08250"
"169","AT1G08280"
"170","AT1G08283"
"171","AT1G08315"
"172","AT1G08320"
"173","AT1G08390"
"174","AT1G08400"
"175","AT1G08430"
"176","AT1G08470"
"177","AT1G08520"
"178","AT1G08530"
"179","AT1G08550"
"180","AT1G08590"
"181","AT1G08592"
"182","AT1G08610"
"183","AT1G08645"
