"","col_FLT_c1.which.mclass....3...1."
"1","AT1G01190"
"2","AT1G01310"
"3","AT1G01453"
"4","AT1G02205"
"5","AT1G02490"
"6","AT1G02650"
"7","AT1G02710"
"8","AT1G02770"
"9","AT1G02820"
"10","AT1G02952"
"11","AT1G02980"
"12","AT1G03170"
"13","AT1G03390"
"14","AT1G03445"
"15","AT1G03506"
"16","AT1G03630"
"17","AT1G03700"
"18","AT1G03743"
"19","AT1G03746"
"20","AT1G04017"
"21","AT1G04023"
"22","AT1G04103"
"23","AT1G04105"
"24","AT1G04217"
"25","AT1G04227"
"26","AT1G04237"
"27","AT1G04267"
"28","AT1G04277"
"29","AT1G04297"
"30","AT1G04343"
"31","AT1G04347"
"32","AT1G04357"
"33","AT1G04397"
"34","AT1G04467"
"35","AT1G04497"
"36","AT1G04577"
"37","AT1G04583"
"38","AT1G04600"
"39","AT1G04643"
"40","AT1G04660"
"41","AT1G04670"
"42","AT1G04703"
"43","AT1G04767"
"44","AT1G04797"
"45","AT1G04817"
"46","AT1G04827"
"47","AT1G04853"
"48","AT1G04877"
"49","AT1G04913"
"50","AT1G04973"
"51","AT1G05020"
"52","AT1G05043"
"53","AT1G05047"
"54","AT1G05083"
"55","AT1G05143"
"56","AT1G05153"
"57","AT1G05203"
"58","AT1G05207"
"59","AT1G05243"
"60","AT1G05253"
"61","AT1G05283"
"62","AT1G05297"
"63","AT1G05383"
"64","AT1G05423"
"65","AT1G05447"
"66","AT1G05450"
"67","AT1G05463"
"68","AT1G05490"
"69","AT1G05510"
"70","AT1G05517"
"71","AT1G05540"
"72","AT1G05607"
"73","AT1G05690"
"74","AT1G05703"
"75","AT1G05783"
"76","AT1G05813"
"77","AT1G05843"
"78","AT1G05913"
"79","AT1G05920"
"80","AT1G05933"
"81","AT1G05937"
"82","AT1G05943"
"83","AT1G05977"
"84","AT1G05990"
"85","AT1G05997"
"86","AT1G06003"
"87","AT1G06017"
"88","AT1G06020"
"89","AT1G06045"
"90","AT1G06100"
"91","AT1G06117"
"92","AT1G06148"
"93","AT1G06153"
"94","AT1G06173"
"95","AT1G06177"
"96","AT1G06207"
"97","AT1G06217"
"98","AT1G06233"
"99","AT1G06237"
"100","AT1G06253"
"101","AT1G06260"
"102","AT1G06273"
"103","AT1G06283"
"104","AT1G06337"
"105","AT1G06453"
"106","AT1G06467"
"107","AT1G06483"
"108","AT1G06487"
"109","AT1G06553"
"110","AT1G06607"
"111","AT1G06645"
"112","AT1G06667"
"113","AT1G06687"
"114","AT1G06717"
"115","AT1G06750"
"116","AT1G06753"
"117","AT1G06757"
"118","AT1G06773"
"119","AT1G06830"
"120","AT1G06837"
"121","AT1G06970"
"122","AT1G06977"
"123","AT1G07010"
"124","AT1G07017"
"125","AT1G07023"
"126","AT1G07060"
"127","AT1G07143"
"128","AT1G07180"
"129","AT1G07287"
"130","AT1G07340"
"131","AT1G07397"
"132","AT1G07407"
"133","AT1G07430"
"134","AT1G07473"
"135","AT1G07477"
"136","AT1G07517"
"137","AT1G07547"
"138","AT1G07550"
"139","AT1G07647"
"140","AT1G07690"
"141","AT1G07693"
"142","AT1G07697"
"143","AT1G07703"
"144","AT1G07823"
"145","AT1G07850"
"146","AT1G07853"
"147","AT1G07877"
"148","AT1G07880"
"149","AT1G07901"
"150","AT1G07913"
"151","AT1G07943"
"152","AT1G08005"
"153","AT1G08097"
"154","AT1G08103"
"155","AT1G08120"
"156","AT1G08273"
"157","AT1G08323"
"158","AT1G08393"
"159","AT1G08537"
"160","AT1G08547"
"161","AT1G08597"
"162","AT1G08633"
"163","AT1G08667"
"164","AT1G08707"
"165","AT1G08713"
"166","AT1G08853"
"167","AT1G08903"
"168","AT1G08937"
"169","AT1G09003"
"170","AT1G09063"
"171","AT1G09067"
"172","AT1G09080"
"173","AT1G09083"
"174","AT1G09127"
"175","AT1G09167"
"176","AT1G09176"
"177","AT1G09180"
"178","AT1G09193"
"179","AT1G09233"
"180","AT1G09253"
"181","AT1G09257"
"182","AT1G09260"
"183","AT1G09287"
"184","AT1G09310"
"185","AT1G09317"
"186","AT1G09323"
"187","AT1G09421"
"188","AT1G09423"
"189","AT1G09427"
"190","AT1G09433"
"191","AT1G09447"
"192","AT1G09453"
"193","AT1G09463"
"194","AT1G09467"
"195","AT1G09473"
"196","AT1G09500"
"197","AT1G09510"
"198","AT1G09513"
"199","AT1G09517"
"200","AT1G09527"
"201","AT1G09537"
"202","AT1G09553"
"203","AT1G09677"
"204","AT1G09687"
"205","AT1G09753"
"206","AT1G09777"
"207","AT1G09793"
"208","AT1G09797"
"209","AT1G09803"
"210","AT1G09833"
"211","AT1G09843"
"212","AT1G09867"
"213","AT1G09877"
"214","AT1G09897"
"215","AT1G09903"
"216","AT1G09907"
"217","AT1G09917"
"218","AT1G09930"
"219","AT1G10588"
"220","AT1G10680"
"221","AT1G10710"
"222","AT1G10747"
"223","AT1G10790"
"224","AT1G11350"
"225","AT1G11460"
"226","AT1G11470"
"227","AT1G11590"
"228","AT1G11600"
"229","AT1G12100"
"230","AT1G12672"
"231","AT1G12805"
"232","AT1G12900"
"233","AT1G13143"
"234","AT1G13400"
