"","WS_GC_c1.which.mclass....6...1."
"289","AT1G17020"
"290","AT1G17060"
"291","AT1G17065"
"292","AT1G17090"
"293","AT1G17147"
"294","AT1G17235"
"295","AT1G17400"
"296","AT1G17420"
"297","AT1G17744"
"298","AT1G17750"
"299","AT1G17780"
"300","AT1G17820"
"301","AT1G17870"
"302","AT1G17950"
"303","AT1G17960"
"304","AT1G18000"
"305","AT1G18100"
"306","AT1G18180"
"307","AT1G18200"
"308","AT1G18265"
"309","AT1G18280"
"310","AT1G18290"
"311","AT1G18300"
"312","AT1G18330"
"313","AT1G18382"
"314","AT1G18390"
"315","AT1G18460"
"316","AT1G18570"
"317","AT1G18670"
"318","AT1G18740"
"319","AT1G18773"
"320","AT1G18860"
"321","AT1G18940"
"322","AT1G18970"
"323","AT1G18975"
"324","AT1G18980"
"325","AT1G19020"
"326","AT1G19050"
"327","AT1G19115"
"328","AT1G19200"
"329","AT1G19210"
"330","AT1G19220"
"331","AT1G19230"
"332","AT1G19330"
"333","AT1G19380"
"334","AT1G19396"
"335","AT1G19397"
"336","AT1G19540"
"337","AT1G19550"
"338","AT1G19650"
"339","AT1G19700"
"340","AT1G19770"
"341","AT1G19780"
"342","AT1G19840"
"343","AT1G19900"
"344","AT1G19940"
"345","AT1G20070"
"346","AT1G20340"
"347","AT1G20530"
"348","AT1G20570"
"349","AT1G20630"
"350","AT1G20690"
"351","AT1G20691"
"352","AT1G20780"
"353","AT1G20810"
"354","AT1G20880"
"355","AT1G21010"
"356","AT1G21060"
"357","AT1G21100"
"358","AT1G21110"
"359","AT1G21120"
"360","AT1G21130"
"361","AT1G21140"
"362","AT1G21150"
"363","AT1G21210"
"364","AT1G21340"
"365","AT1G21360"
"366","AT1G21390"
"367","AT1G21400"
"368","AT1G21520"
"369","AT1G21670"
"370","AT1G21910"
"371","AT1G22030"
"372","AT1G22040"
"373","AT1G22050"
"374","AT1G22065"
"375","AT1G22180"
"376","AT1G22275"
"377","AT1G22460"
"378","AT1G22500"
"379","AT1G22540"
"380","AT1G22550"
"381","AT1G22740"
"382","AT1G22750"
"383","AT1G22810"
"384","AT1G22890"
"385","AT1G22985"
"386","AT1G22990"
"387","AT1G23010"
"388","AT1G23050"
"389","AT1G23052"
"390","AT1G23060"
"391","AT1G23110"
"392","AT1G23120"
"393","AT1G23140"
"394","AT1G23150"
"395","AT1G23205"
"396","AT1G23210"
"397","AT1G23390"
"398","AT1G23460"
"399","AT1G23465"
"400","AT1G23530"
"401","AT1G23560"
"402","AT1G23710"
"403","AT1G23740"
"404","AT1G23830"
"405","AT1G23840"
"406","AT1G23880"
"407","AT1G23995"
"408","AT1G24030"
"409","AT1G24130"
"410","AT1G24140"
"411","AT1G24150"
"412","AT1G24405"
"413","AT1G24420"
"414","AT1G24440"
"415","AT1G24530"
"416","AT1G24600"
"417","AT1G24620"
"418","AT1G25390"
"419","AT1G25400"
"420","AT1G25450"
"421","AT1G25460"
"422","AT1G25560"
"423","AT1G26200"
"424","AT1G26250"
"425","AT1G26255"
"426","AT1G26570"
"427","AT1G26680"
"428","AT1G26730"
"429","AT1G26770"
"430","AT1G26790"
"431","AT1G26800"
"432","AT1G26970"
"433","AT1G27020"
"434","AT1G27030"
"435","AT1G27100"
"436","AT1G27140"
"437","AT1G27380"
"438","AT1G27410"
"439","AT1G27420"
"440","AT1G27670"
"441","AT1G27720"
"442","AT1G27740"
"443","AT1G28070"
"444","AT1G28260"
"445","AT1G28380"
"446","AT1G28470"
"447","AT1G28480"
"448","AT1G28550"
"449","AT1G28570"
"450","AT1G28660"
"451","AT1G28685"
"452","AT1G28715"
"453","AT1G28765"
"454","AT1G28815"
"455","AT1G29020"
"456","AT1G29025"
"457","AT1G29180"
"458","AT1G29240"
"459","AT1G29290"
"460","AT1G29300"
"461","AT1G29355"
"462","AT1G29357"
"463","AT1G29640"
"464","AT1G29930"
"465","AT1G30050"
"466","AT1G30260"
"467","AT1G30280"
"468","AT1G30370"
"469","AT1G30380"
"470","AT1G30500"
"471","AT1G30515"
"472","AT1G30520"
"473","AT1G30540"
"474","AT1G30640"
"475","AT1G30650"
"476","AT1G30700"
"477","AT1G30720"
"478","AT1G30730"
"479","AT1G30755"
"480","AT1G30757"
"481","AT1G30840"
"482","AT1G30860"
"483","AT1G30870"
"484","AT1G30990"
"485","AT1G31120"
"486","AT1G31170"
"487","AT1G31175"
"488","AT1G31310"
"489","AT1G31330"
"490","AT1G31350"
"491","AT1G31470"
"492","AT1G31480"
"493","AT1G31540"
"494","AT1G31710"
"495","AT1G31720"
"496","AT1G31885"
"497","AT1G32070"
"498","AT1G32160"
"499","AT1G32270"
"500","AT1G32550"
"501","AT1G32690"
"502","AT1G32740"
"503","AT1G32900"
"504","AT1G32928"
"505","AT1G33030"
"506","AT1G33280"
"507","AT1G33560"
"508","AT1G33590"
"509","AT1G33612"
"510","AT1G33970"
"511","AT1G34000"
"512","AT1G34040"
"513","AT1G34180"
"514","AT1G34300"
"515","AT1G34317"
"516","AT1G34750"
"517","AT1G34760"
"518","AT1G35140"
"519","AT1G35210"
"520","AT1G35230"
"521","AT1G35260"
"522","AT1G35330"
"523","AT1G35350"
"524","AT1G35430"
"525","AT1G35460"
"526","AT1G36622"
"527","AT1G36640"
"528","AT1G42470"
"529","AT1G42560"
"530","AT1G42970"
"531","AT1G43020"
"532","AT1G43160"
"533","AT1G43245"
"534","AT1G44020"
"535","AT1G44050"
"536","AT1G44160"
"537","AT1G44446"
"538","AT1G44542"
"539","AT1G44608"
"540","AT1G44830"
"541","AT1G44970"
"542","AT1G46554"
"543","AT1G46768"
"544","AT1G47480"
"545","AT1G47510"
"546","AT1G47603"
"547","AT1G47790"
"548","AT1G48100"
"549","AT1G48320"
"550","AT1G48490"
"551","AT1G48640"
"552","AT1G48690"
"553","AT1G48745"
"554","AT1G48930"
"555","AT1G49010"
"556","AT1G49030"
"557","AT1G49032"
"558","AT1G49180"
"559","AT1G49320"
"560","AT1G49360"
"561","AT1G49520"
"562","AT1G49960"
"563","AT1G50020"
"564","AT1G50040"
"565","AT1G50090"
"566","AT1G50170"
"567","AT1G50250"
"568","AT1G50590"
"569","AT1G50745"
"570","AT1G50900"
"571","AT1G50930"
"572","AT1G51035"
"573","AT1G51340"
"574","AT1G51360"
"575","AT1G51400"
"576","AT1G51402"
"577","AT1G51420"
"578","AT1G51700"
"579","AT1G51770"
"580","AT1G51790"
"581","AT1G51800"
"582","AT1G51830"
"583","AT1G51840"
"584","AT1G51850"
"585","AT1G51860"
"586","AT1G51890"
"587","AT1G52110"
"588","AT1G52130"
"589","AT1G52155"
"590","AT1G52220"
"591","AT1G52230"
"592","AT1G52240"
"593","AT1G52290"
"594","AT1G52315"
"595","AT1G52330"
"596","AT1G52342"
"597","AT1G52343"
"598","AT1G52400"
"599","AT1G52410"
"600","AT1G52520"
"601","AT1G52565"
"602","AT1G52590"
"603","AT1G52660"
"604","AT1G52700"
"605","AT1G52870"
"606","AT1G52880"
"607","AT1G53090"
"608","AT1G53163"
"609","AT1G53440"
"610","AT1G53633"
"611","AT1G53635"
"612","AT1G53670"
"613","AT1G53680"
"614","AT1G53830"
"615","AT1G53885"
"616","AT1G53903"
"617","AT1G53920"
"618","AT1G53940"
"619","AT1G53990"
"620","AT1G54095"
"621","AT1G54210"
"622","AT1G54290"
"623","AT1G54450"
"624","AT1G54500"
"625","AT1G54575"
"626","AT1G54710"
"627","AT1G54740"
"628","AT1G54890"
"629","AT1G54940"
"630","AT1G55152"
"631","AT1G55280"
"632","AT1G55320"
"633","AT1G55365"
"634","AT1G55370"
"635","AT1G55390"
"636","AT1G55430"
"637","AT1G55450"
"638","AT1G55510"
"639","AT1G55580"
"640","AT1G55610"
"641","AT1G55675"
"642","AT1G55740"
"643","AT1G55755"
"644","AT1G56010"
"645","AT1G56090"
"646","AT1G56300"
"647","AT1G56550"
"648","AT1G56560"
"649","AT1G56630"
"650","AT1G56660"
"651","AT1G57560"
"652","AT1G57570"
"653","AT1G57990"
"654","AT1G58037"
"655","AT1G58160"
"656","AT1G58190"
"657","AT1G58200"
"658","AT1G58290"
"659","AT1G58340"
"660","AT1G58370"
"661","AT1G58420"
"662","AT1G59530"
"663","AT1G59590"
"664","AT1G59620"
"665","AT1G59700"
"666","AT1G59740"
"667","AT1G59780"
"668","AT1G59850"
"669","AT1G59970"
"670","AT1G60000"
"671","AT1G60095"
"672","AT1G60130"
"673","AT1G60190"
"674","AT1G60430"
"675","AT1G60670"
"676","AT1G60740"
"677","AT1G60810"
"678","AT1G60950"
"679","AT1G61050"
"680","AT1G61230"
"681","AT1G61340"
"682","AT1G61470"
"683","AT1G61520"
"684","AT1G61560"
"685","AT1G61562"
"686","AT1G61590"
"687","AT1G61660"
"688","AT1G61750"
"689","AT1G61795"
"690","AT1G61810"
"691","AT1G61860"
"692","AT1G62250"
"693","AT1G62280"
"694","AT1G62290"
"695","AT1G62300"
"696","AT1G62305"
"697","AT1G62320"
"698","AT1G62370"
"699","AT1G62400"
"700","AT1G62440"
"701","AT1G62510"
"702","AT1G62515"
"703","AT1G62590"
"704","AT1G62700"
"705","AT1G62800"
"706","AT1G62840"
"707","AT1G62975"
"708","AT1G62980"
"709","AT1G62990"
"710","AT1G63080"
"711","AT1G63090"
"712","AT1G63230"
"713","AT1G63245"
"714","AT1G63295"
"715","AT1G63330"
"716","AT1G63410"
"717","AT1G63440"
"718","AT1G63450"
"719","AT1G63490"
"720","AT1G63520"
"721","AT1G63530"
"722","AT1G63580"
"723","AT1G63720"
"724","AT1G63750"
"725","AT1G63820"
"726","AT1G64020"
"727","AT1G64110"
"728","AT1G64170"
"729","AT1G64320"
"730","AT1G64370"
"731","AT1G64380"
"732","AT1G64400"
"733","AT1G64480"
"734","AT1G64563"
"735","AT1G64570"
"736","AT1G64610"
"737","AT1G64620"
"738","AT1G64780"
"739","AT1G64820"
"740","AT1G64910"
"741","AT1G64970"
"742","AT1G65310"
"743","AT1G65481"
"744","AT1G65510"
"745","AT1G65570"
"746","AT1G65610"
"747","AT1G65620"
"748","AT1G65690"
"749","AT1G65850"
"750","AT1G65985"
"751","AT1G66020"
"752","AT1G66130"
"753","AT1G66160"
"754","AT1G66173"
"755","AT1G66190"
"756","AT1G66400"
"757","AT1G66480"
"758","AT1G66500"
"759","AT1G66690"
"760","AT1G66730"
"761","AT1G66780"
"762","AT1G66800"
"763","AT1G66810"
"764","AT1G66890"
"765","AT1G66900"
"766","AT1G66920"
"767","AT1G66930"
"768","AT1G67000"
"769","AT1G67070"
"770","AT1G67148"
"771","AT1G67190"
"772","AT1G67270"
"773","AT1G67328"
"774","AT1G67330"
"775","AT1G67440"
"776","AT1G67470"
"777","AT1G67600"
"778","AT1G67650"
"779","AT1G67710"
"780","AT1G67810"
"781","AT1G67830"
"782","AT1G67850"
"783","AT1G67870"
"784","AT1G67910"
"785","AT1G67920"
"786","AT1G68050"
"787","AT1G68110"
"788","AT1G68160"
"789","AT1G68330"
"790","AT1G68340"
"791","AT1G68390"
"792","AT1G68450"
"793","AT1G68500"
"794","AT1G68585"
"795","AT1G68590"
"796","AT1G68620"
"797","AT1G68650"
"798","AT1G68710"
"799","AT1G68725"
"800","AT1G68750"
"801","AT1G68795"
"802","AT1G68840"
"803","AT1G68880"
"804","AT1G68940"
"805","AT1G69050"
"806","AT1G69080"
"807","AT1G69240"
"808","AT1G69325"
"809","AT1G69360"
"810","AT1G69450"
"811","AT1G69480"
"812","AT1G69490"
"813","AT1G69790"
"814","AT1G69800"
"815","AT1G69810"
"816","AT1G69830"
"817","AT1G69890"
"818","AT1G69900"
"819","AT1G69920"
"820","AT1G69930"
"821","AT1G70000"
"822","AT1G70140"
"823","AT1G70170"
"824","AT1G70230"
"825","AT1G70250"
"826","AT1G70420"
"827","AT1G70430"
"828","AT1G70460"
"829","AT1G70500"
"830","AT1G70520"
"831","AT1G70581"
"832","AT1G70630"
"833","AT1G70680"
"834","AT1G70690"
"835","AT1G70700"
"836","AT1G70810"
"837","AT1G70850"
"838","AT1G70860"
"839","AT1G70880"
"840","AT1G70890"
"841","AT1G71030"
"842","AT1G71330"
"843","AT1G71360"
"844","AT1G71500"
"845","AT1G71520"
"846","AT1G71697"
"847","AT1G71710"
"848","AT1G71740"
"849","AT1G71960"
"850","AT1G71970"
"851","AT1G72070"
"852","AT1G72125"
"853","AT1G72180"
"854","AT1G72200"
"855","AT1G72220"
"856","AT1G72240"
"857","AT1G72360"
"858","AT1G72416"
"859","AT1G72450"
"860","AT1G72500"
"861","AT1G72520"
"862","AT1G72640"
"863","AT1G72690"
"864","AT1G72800"
"865","AT1G72870"
"866","AT1G72890"
"867","AT1G72920"
"868","AT1G72930"
"869","AT1G72940"
"870","AT1G73060"
"871","AT1G73120"
"872","AT1G73170"
"873","AT1G73220"
"874","AT1G73270"
"875","AT1G73280"
"876","AT1G73300"
"877","AT1G73310"
"878","AT1G73340"
"879","AT1G73390"
"880","AT1G73410"
"881","AT1G73480"
"882","AT1G73500"
"883","AT1G73580"
"884","AT1G73640"
"885","AT1G73655"
"886","AT1G73660"
"887","AT1G73750"
"888","AT1G73860"
"889","AT1G73885"
"890","AT1G73965"
"891","AT1G74010"
"892","AT1G74080"
"893","AT1G74210"
"894","AT1G74300"
"895","AT1G74360"
"896","AT1G74430"
"897","AT1G74440"
"898","AT1G74450"
"899","AT1G74460"
"900","AT1G74470"
"901","AT1G74590"
"902","AT1G74650"
"903","AT1G74740"
"904","AT1G74780"
"905","AT1G74860"
"906","AT1G74930"
"907","AT1G74940"
"908","AT1G75000"
"909","AT1G75030"
"910","AT1G75090"
"911","AT1G75250"
"912","AT1G75410"
"913","AT1G75440"
"914","AT1G75490"
"915","AT1G75600"
"916","AT1G75700"
"917","AT1G75770"
"918","AT1G75830"
"919","AT1G76020"
"920","AT1G76070"
"921","AT1G76080"
"922","AT1G76220"
"923","AT1G76240"
"924","AT1G76250"
"925","AT1G76360"
"926","AT1G76450"
"927","AT1G76590"
"928","AT1G76640"
"929","AT1G76650"
"930","AT1G76800"
"931","AT1G76820"
"932","AT1G76890"
"933","AT1G76980"
"934","AT1G77000"
"935","AT1G77010"
"936","AT1G77060"
"937","AT1G77280"
"938","AT1G77410"
"939","AT1G77530"
"940","AT1G77640"
"941","AT1G77765"
"942","AT1G77850"
"943","AT1G77870"
"944","AT1G77880"
"945","AT1G77990"
"946","AT1G78070"
"947","AT1G78200"
"948","AT1G78290"
"949","AT1G78310"
"950","AT1G78360"
"951","AT1G78390"
"952","AT1G78476"
"953","AT1G78480"
"954","AT1G78510"
"955","AT1G78530"
"956","AT1G78710"
"957","AT1G78790"
"958","AT1G78820"
"959","AT1G78830"
"960","AT1G78950"
"961","AT1G79040"
"962","AT1G79310"
"963","AT1G79320"
