"","WS_GC_c1.which.mclass....7...1."
"1","AT1G01090"
"2","AT1G01160"
"3","AT1G01210"
"4","AT1G01300"
"5","AT1G01510"
"6","AT1G01730"
"7","AT1G01910"
"8","AT1G01940"
"9","AT1G02090"
"10","AT1G02130"
"11","AT1G02160"
"12","AT1G02816"
"13","AT1G02840"
"14","AT1G02850"
"15","AT1G02870"
"16","AT1G03110"
"17","AT1G03140"
"18","AT1G03210"
"19","AT1G03230"
"20","AT1G03330"
"21","AT1G03900"
"22","AT1G03910"
"23","AT1G04080"
"24","AT1G04140"
"25","AT1G04170"
"26","AT1G04190"
"27","AT1G04340"
"28","AT1G04430"
"29","AT1G04503"
"30","AT1G04510"
"31","AT1G04630"
"32","AT1G04680"
"33","AT1G04690"
"34","AT1G04850"
"35","AT1G04870"
"36","AT1G04940"
"37","AT1G04980"
"38","AT1G05205"
"39","AT1G05260"
"40","AT1G05620"
"41","AT1G05680"
"42","AT1G05720"
"43","AT1G06110"
"44","AT1G06200"
"45","AT1G06220"
"46","AT1G06390"
"47","AT1G06410"
"48","AT1G06515"
"49","AT1G06670"
"50","AT1G06700"
"51","AT1G06720"
"52","AT1G06760"
"53","AT1G06890"
"54","AT1G06900"
"55","AT1G07020"
"56","AT1G07070"
"57","AT1G07080"
"58","AT1G07170"
"59","AT1G07210"
"60","AT1G07360"
"61","AT1G07370"
"62","AT1G07420"
"63","AT1G07830"
"64","AT1G07960"
"65","AT1G08110"
"66","AT1G08200"
"67","AT1G08480"
"68","AT1G08560"
"69","AT1G08580"
"70","AT1G08780"
"71","AT1G09140"
"72","AT1G09150"
"73","AT1G09270"
"74","AT1G09330"
"75","AT1G09620"
"76","AT1G09630"
"77","AT1G09660"
"78","AT1G09760"
"79","AT1G09840"
"80","AT1G10030"
"81","AT1G10200"
"82","AT1G10290"
"83","AT1G11240"
"84","AT1G11360"
"85","AT1G11480"
"86","AT1G11545"
"87","AT1G11670"
"88","AT1G11750"
"89","AT1G11840"
"90","AT1G11860"
"91","AT1G11890"
"92","AT1G11910"
"93","AT1G12270"
"94","AT1G12440"
"95","AT1G12910"
"96","AT1G13060"
"97","AT1G13220"
"98","AT1G13280"
"99","AT1G13380"
"100","AT1G13560"
"101","AT1G13730"
"102","AT1G14010"
"103","AT1G14060"
"104","AT1G14210"
"105","AT1G14300"
"106","AT1G14570"
"107","AT1G14610"
"108","AT1G14620"
"109","AT1G14670"
"110","AT1G14810"
"111","AT1G14830"
"112","AT1G14900"
"113","AT1G15200"
"114","AT1G15210"
"115","AT1G15250"
"116","AT1G15340"
"117","AT1G15370"
"118","AT1G15420"
"119","AT1G15500"
"120","AT1G15750"
"121","AT1G15950"
"122","AT1G16000"
"123","AT1G16190"
"124","AT1G16350"
"125","AT1G16470"
"126","AT1G16610"
"127","AT1G16700"
"128","AT1G16740"
"129","AT1G16810"
"130","AT1G16870"
"131","AT1G16880"
"132","AT1G17285"
"133","AT1G17290"
"134","AT1G17370"
"135","AT1G17470"
"136","AT1G17510"
"137","AT1G17890"
"138","AT1G18070"
"139","AT1G18250"
"140","AT1G18450"
"141","AT1G18640"
"142","AT1G18800"
"143","AT1G18880"
"144","AT1G19120"
