RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT3G62190,171.6068965,403.9968148,263.2881493,163.5078479,285.9066736,204.620229,285.6964248,388.7542076,409.7693488,192.4802067,159.0191002,233.6064845
AT3G62270,399.8942253,367.0321927,273.887149,320.3925643,350.7244719,201.8686742,62.84819881,360.7752396,263.2435699,298.9624279,164.7957408,175.2578677
AT3G62360,266.6745444,146.9356979,175.2808004,473.9528787,282.4593462,359.3472013,455.8162663,242.5550336,295.4467589,476.2894672,423.7842702,467.4118768
AT3G62370,342.7578826,246.2202683,279.3676825,274.7080289,221.5971486,244.5515424,210.409876,273.0907013,252.6930178,231.6112209,252.2845824,218.1962576
AT3G62420,442.4423327,667.08409,468.5451942,539.4770198,664.5180147,551.2689409,362.8029625,601.6228428,455.0588568,380.439532,353.2892368,429.1479457
AT3G62560,301.1183055,447.2492494,410.5300909,219.9002009,324.2725083,276.9473732,253.2916841,330.4856394,377.5478499,240.3624647,275.5654047,266.24307
AT3G62650,324.3229527,302.9242339,339.4566032,303.2538577,258.9381026,165.4105858,269.0635288,300.3420571,273.0390196,319.8390432,271.2735391,270.859766
AT3G62660,329.5302565,328.264523,285.389348,284.687399,337.1579355,281.8477521,204.2949265,452.1020682,237.7315004,246.1798659,191.3799441,199.8266793
AT3G62810,245.0227809,365.9766136,242.4072714,271.7676285,255.9400007,241.7257779,233.3180274,289.5212137,166.1763208,337.5584555,341.9788859,233.2984859
AT3G62830,576.3657427,360.0601107,478.275783,424.1784487,381.7400102,405.8503973,292.778914,530.2261924,373.65522,280.0291284,456.8951989,454.992259
