$RNA_seq	FLT_Light_Rep1	FLT_Light_Rep2	FLT_Light_Rep3	FLT_Dark_Rep1	FLT_Dark_Rep2	FLT_Dark_Rep3	GC_Light_Rep1	GC_Light_Rep2	GC_Light_Rep3	GC_Dark_Rep1	GC_Dark_Rep2	GC_Dark_Rep3
AT5G22330	430.6833515	299.4829209	289.8785854	382.0819268	340.807297	269.3299234	373.733169	383.4674768	289.1244209	386.1633406	433.8341177	257.04744
AT5G22370	303.7445445	267.0137744	227.7511111	266.1498675	362.1993878	397.2648844	292.1635323	354.9420872	327.0644435	394.1102568	410.6780989	276.3437111
AT5G22480	389.416927	383.919561	342.5276874	341.5199849	338.7776556	460.7231041	449.6789116	320.3627039	270.1728645	352.0932511	421.4294035	357.1943328
AT5G22570	184.3325778	106.2903676	255.8028957	199.362068	16.13589334	194.8998385	24.37804213	41.21202172	36.99017129	18.63807052	1.783343893	24.77131454
AT5G22770	239.1306564	238.0164628	227.541384	318.5116192	245.8589719	233.5631989	251.7768683	160.6246566	192.5947819	249.1895128	178.7496136	192.1568643
AT5G22890	80.77206494	55.42223371	318.9972188	144.8346456	57.14138887	201.1154509	50.36989661	159.9492086	183.0752168	43.73254172	35.69168336	99.09625065
AT5G22920	119.7861756	145.100153	216.4320769	91.49580702	71.20331534	130.2907252	167.3168783	245.4052497	582.9085738	103.9452223	69.73557006	147.8872034
AT5G22940	294.3734782	287.6686626	273.940383	318.4789807	370.0597736	135.9190501	324.8284243	201.796696	188.6947365	372.9912319	230.4687332	309.36467
AT5G22950	350.3328043	347.1115234	390.8966251	353.1351498	262.2479549	303.3843575	359.0911815	384.8734875	379.7830119	346.3068272	329.5986306	314.7512625
AT5G23090	226.0215672	271.6406361	242.6187894	222.9390745	234.7107343	369.6705634	261.1405048	288.1815283	329.3823828	183.5099692	305.948989	317.6331583
AT5G23210	333.7270014	208.9301657	354.2841497	380.2740843	76.56692643	193.1124705	161.0114922	82.54514491	207.3537617	146.4464549	41.94103373	131.3885735
AT5G23250	356.5169635	285.2291693	281.6105158	333.5633911	322.1740143	335.6191885	258.5445436	321.6012362	360.2354236	324.1444302	251.9772318	293.8783383
AT5G23340	241.4155581	278.4169841	418.6254336	303.7081476	149.2287288	209.2626846	374.5738163	191.7422087	209.7022538	164.3392516	214.2432116	279.7592866
