RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT1G01080,33.22143032,31.95793978,39.50535979,34.64673754,51.12371861,64.98539227,39.28040781,59.42044553,50.70260339,41.59811385,23.78511892,37.85665118
AT1G01120,16.60810866,53.00469941,6.108476112,56.94627198,27.53283963,17.56598994,49.57648461,18.82358641,19.04112301,19.12119715,48.69131095,80.91369691
AT1G01140,21.35211875,29.08007171,33.60874095,11.6007088,13.32860732,10.08741339,9.336421425,18.36966365,6.417532801,36.39305418,29.18370197,8.690305107
AT1G01200,24.0708507,21.46023024,13.22755646,0.909412311,29.78345399,50.75319332,7.279861321,7.530237942,24.02502377,22.97133037,17.37125292,18.67243642
AT1G01340,7.439273238,16.46116462,15.96623468,50.64696475,7.409012971,1.016683906,21.34681969,34.59299027,6.908653274,33.87601273,15.75547299,48.55225709
AT1G01570,4.847858416,11.2824676,5.816972364,21.74183401,42.86309813,5.905999761,31.93309297,17.48077078,7.634211016,5.46372131,31.79309215,27.9841697
AT1G01610,7.546553324,22.35410386,7.126178719,36.1773991,2.500957004,0,84.55973621,40.1574477,7.014406235,0.956164441,75.81168557,87.41486246
AT1G01670,28.52417694,25.15582595,50.93352814,22.83252148,10.92221338,9.5958971,15.62404513,32.6133179,24.64613677,29.04331141,3.518849292,14.74399398
AT1G01715,19.14261319,21.94324111,30.96641932,24.26676501,16.92360053,45.89501181,25.78783761,13.56235228,20.62642894,21.21233237,22.49993655,35.27984383
AT1G01840,12.72757032,10.68234358,15.25054407,33.91554601,22.09413322,32.20867235,26.15559898,16.31695646,21.98968886,13.41902625,35.38694277,33.42999636
AT1G01860,32.66982229,30.39119863,27.83430735,15.05736924,50.83025402,35.14151229,23.89074898,44.31991872,8.49992522,25.74196618,21.92441816,32.89024054
AT1G01970,36.95466341,41.37163835,34.60945914,56.13533046,0,47.56282971,45.18391605,12.54946111,43.08001027,53.55600488,47.98190501,46.9728897
AT1G02010,24.08404878,18.97096493,23.69701158,41.10990163,29.39381163,40.64325864,31.48387274,15.09389574,21.03149093,16.84643573,28.71565179,34.04247473
AT1G02050,24.87124193,23.98040347,22.39201639,47.13449666,39.89261154,56.89409487,24.77145431,26.35441218,28.04626923,20.08773608,18.77181958,34.03604376
AT1G02060,50.59798292,24.02617857,31.56225477,48.78039978,65.13473351,35.12317902,18.95859768,42.66625026,23.05241897,23.89866206,18.78297594,33.97194458
AT1G02180,18.74866037,27.16018096,36.61197199,57.58507677,51.75497593,24.9084231,82.88552408,30.12296308,20.00161261,42.15306155,34.71072906,26.86572408
AT1G02230,21.09240391,42.9791469,9.159652746,19.05109065,14.94226398,114.8608279,8.741071167,42.66967379,12.01796459,19.13416306,0.695150034,7.29681256
