RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT1G01080,27.291016,37.91492537,23.88275532,29.41366992,37.51031468,17.5670146,23.92039924,36.55759892,28.90311306,23.13759251,56.13735584,21.55209
AT1G01120,4.20515154,9.987806959,12.14662347,9.098144345,9.410341624,6.010276426,17.32298875,6.460248007,2.119359575,6.474765501,16.07289762,89.81597245
AT1G01140,45.95972139,34.63952992,54.52254761,66.24163527,12.51857742,13.6839866,5.558611646,45.99259222,9.302117927,12.67580326,0,15.11116685
AT1G01570,26.43445845,23.24310761,28.53236175,26.14735795,10.13033191,34.90601101,4.953028181,22.75281666,24.7306945,22.35658692,46.26232934,4.915677272
AT1G01610,2.523332653,0,4.048716878,2.799269565,4.705310127,78.11298761,7.800140545,28.41417232,25.42428229,9.713590731,1.785577756,89.8136916
AT1G01660,13.22713868,5.453776508,32.63396632,32.33161047,8.589122604,32.49060723,5.960375561,15.23876852,10.41526855,9.546726999,2.111248234,10.14745846
AT1G01670,25.71659029,18.70054996,15.05588873,10.86274524,17.56296955,3.596761954,20.05162053,44.43949354,8.662523631,22.3572812,31.60008775,15.30737995
AT1G01715,7.09156476,15.17407256,22.25308486,19.2255184,23.12280308,20.54965371,23.26977435,27.69868398,22.74937762,15.15152662,29.69611792,8.108131745
AT1G01740,20.45181766,19.93162878,16.03039966,14.04740276,14.12286796,29.74247918,17.99140235,8.464316193,15.86865545,12.14758719,11.83297504,34.08921973
AT1G01840,14.32956113,16.53587105,21.03272313,16.77246859,30.9391702,27.86887084,15.82356823,38.40401848,26.29008763,30.86280191,53.35652723,19.60169233
AT1G01860,42.97607444,14.62384222,24.11243709,28.6877137,48.52454812,23.5734015,41.58536899,17.62011375,23.93103599,31.1139926,25.23380712,25.96420212
AT1G01970,35.33289214,23.2866588,14.57432092,29.38921293,19.49448105,9.008636537,55.53080655,40.00969888,34.93795433,35.62625953,24.99031278,58.8406469
AT1G02010,14.95249498,20.26378771,25.13478593,43.69576989,25.62949325,27.04843401,19.88510456,30.50046847,21.11963795,23.22025795,55.29274971,38.08593565
