"","phyD_GC_c1.which.mclass....4...1."
"1","AT1G01080"
"2","AT1G01140"
"3","AT1G01200"
"4","AT1G01340"
"5","AT1G01380"
"6","AT1G01500"
"7","AT1G01570"
"8","AT1G01670"
"9","AT1G01700"
"10","AT1G01715"
"11","AT1G01740"
"12","AT1G01810"
"13","AT1G01840"
"14","AT1G01860"
"15","AT1G01880"
"16","AT1G01900"
"17","AT1G01970"
"18","AT1G02010"
"19","AT1G02050"
"20","AT1G02060"
"21","AT1G02230"
"22","AT1G02290"
"23","AT1G02300"
"24","AT1G02380"
"25","AT1G02390"
"26","AT1G02420"
"27","AT1G02440"
"28","AT1G02660"
"29","AT1G03100"
"30","AT1G03130"
"31","AT1G03200"
"32","AT1G03270"
"33","AT1G03300"
"34","AT1G03310"
"35","AT1G03340"
"36","AT1G03400"
"37","AT1G03470"
"38","AT1G03495"
"39","AT1G03510"
"40","AT1G03520"
"41","AT1G03545"
"42","AT1G03560"
"43","AT1G03620"
"44","AT1G03750"
"45","AT1G03800"
"46","AT1G03820"
"47","AT1G03920"
"48","AT1G03940"
"49","AT1G03950"
"50","AT1G03980"
"51","AT1G03990"
"52","AT1G03993"
"53","AT1G04053"
"54","AT1G04067"
"55","AT1G04100"
"56","AT1G04117"
"57","AT1G04150"
"58","AT1G04160"
"59","AT1G04163"
"60","AT1G04180"
"61","AT1G04233"
"62","AT1G04247"
"63","AT1G04295"
"64","AT1G04310"
"65","AT1G04330"
"66","AT1G04350"
"67","AT1G04390"
"68","AT1G04420"
"69","AT1G04425"
"70","AT1G04433"
"71","AT1G04477"
"72","AT1G04490"
"73","AT1G04513"
"74","AT1G04540"
"75","AT1G04570"
"76","AT1G04650"
"77","AT1G04700"
"78","AT1G04707"
"79","AT1G04778"
"80","AT1G04823"
"81","AT1G04917"
"82","AT1G05030"
"83","AT1G05065"
"84","AT1G05087"
"85","AT1G05100"
"86","AT1G05140"
"87","AT1G05163"
"88","AT1G05230"
"89","AT1G05277"
"90","AT1G05310"
"91","AT1G05370"
"92","AT1G05385"
"93","AT1G05397"
"94","AT1G05400"
"95","AT1G05420"
"96","AT1G05440"
"97","AT1G05453"
"98","AT1G05467"
"99","AT1G05530"
"100","AT1G05557"
"101","AT1G05577"
"102","AT1G05600"
"103","AT1G05630"
"104","AT1G05640"
"105","AT1G05650"
"106","AT1G05670"
"107","AT1G05687"
"108","AT1G05773"
"109","AT1G05820"
"110","AT1G05837"
"111","AT1G05873"
"112","AT1G05950"
"113","AT1G06050"
"114","AT1G06120"
"115","AT1G06140"
"116","AT1G06143"
"117","AT1G06213"
"118","AT1G06265"
"119","AT1G06287"
"120","AT1G06310"
"121","AT1G06330"
"122","AT1G06357"
"123","AT1G06420"
"124","AT1G06430"
"125","AT1G06440"
"126","AT1G06463"
"127","AT1G06473"
"128","AT1G06520"
"129","AT1G06580"
"130","AT1G06660"
"131","AT1G06680"
"132","AT1G06690"
"133","AT1G06710"
"134","AT1G06740"
"135","AT1G06787"
"136","AT1G06923"
"137","AT1G06980"
"138","AT1G07119"
"139","AT1G07150"
"140","AT1G07270"
"141","AT1G07280"
"142","AT1G07290"
"143","AT1G07373"
"144","AT1G07400"
"145","AT1G07407"
"146","AT1G07485"
"147","AT1G07490"
"148","AT1G07560"
"149","AT1G07603"
"150","AT1G07607"
"151","AT1G07620"
"152","AT1G07667"
"153","AT1G07710"
"154","AT1G07733"
"155","AT1G07737"
"156","AT1G07743"
"157","AT1G07795"
"158","AT1G07803"
"159","AT1G07897"
"160","AT1G07902"
"161","AT1G07903"
"162","AT1G07933"
"163","AT1G07937"
"164","AT1G08003"
"165","AT1G08050"
"166","AT1G08087"
"167","AT1G08173"
"168","AT1G08180"
"169","AT1G08213"
"170","AT1G08217"
"171","AT1G08270"
"172","AT1G08300"
"173","AT1G08380"
"174","AT1G08387"
"175","AT1G08540"
"176","AT1G08543"
"177","AT1G08643"
"178","AT1G08727"
"179","AT1G08753"
"180","AT1G08857"
"181","AT1G08900"
"182","AT1G08973"
"183","AT1G09040"
"184","AT1G09050"
"185","AT1G09155"
"186","AT1G09170"
"187","AT1G09190"
"188","AT1G09220"
"189","AT1G09247"
"190","AT1G09297"
"191","AT1G09327"
"192","AT1G09340"
"193","AT1G09383"
"194","AT1G09390"
"195","AT1G09440"
"196","AT1G09443"
"197","AT1G09480"
"198","AT1G09497"
"199","AT1G09523"
"200","AT1G09530"
"201","AT1G09533"
"202","AT1G09543"
"203","AT1G09600"
"204","AT1G09610"
"205","AT1G09627"
"206","AT1G09650"
"207","AT1G09680"
"208","AT1G09710"
"209","AT1G09812"
"210","AT1G09820"
"211","AT1G09863"
"212","AT1G09880"
"213","AT1G09890"
"214","AT1G09900"
"215","AT1G09987"
"216","AT1G09993"
"217","AT1G10000"
"218","AT1G10050"
"219","AT1G10090"
"220","AT1G10220"
"221","AT1G10280"
"222","AT1G10300"
"223","AT1G10330"
"224","AT1G10417"
"225","AT1G10460"
"226","AT1G10480"
"227","AT1G10520"
"228","AT1G10610"
"229","AT1G10800"
"230","AT1G10920"
"231","AT1G10960"
"232","AT1G11080"
"233","AT1G11100"
"234","AT1G11125"
"235","AT1G11160"
"236","AT1G11170"
"237","AT1G11180"
"238","AT1G11210"
"239","AT1G11320"
"240","AT1G11330"
"241","AT1G11460"
"242","AT1G11500"
"243","AT1G11540"
"244","AT1G11591"
"245","AT1G11700"
"246","AT1G11710"
"247","AT1G11800"
"248","AT1G11900"
"249","AT1G11915"
"250","AT1G11940"
"251","AT1G11950"
"252","AT1G11960"
"253","AT1G12030"
"254","AT1G12060"
"255","AT1G12210"
"256","AT1G12211"
"257","AT1G12220"
"258","AT1G12244"
"259","AT1G12250"
"260","AT1G12280"
"261","AT1G12290"
"262","AT1G12300"
"263","AT1G12330"
"264","AT1G12370"
"265","AT1G12380"
"266","AT1G12460"
"267","AT1G12480"
"268","AT1G12550"
"269","AT1G12600"
"270","AT1G12700"
"271","AT1G12730"
"272","AT1G12775"
"273","AT1G12805"
"274","AT1G13040"
"275","AT1G13050"
"276","AT1G13100"
"277","AT1G13140"
"278","AT1G13330"
"279","AT1G13340"
"280","AT1G13370"
