"","phyD_GC_c1.which.mclass....8...1."
"1","AT1G01020"
"2","AT1G01070"
"3","AT1G01160"
"4","AT1G01230"
"5","AT1G01300"
"6","AT1G01360"
"7","AT1G01490"
"8","AT1G01510"
"9","AT1G01630"
"10","AT1G01730"
"11","AT1G01820"
"12","AT1G01910"
"13","AT1G01940"
"14","AT1G01960"
"15","AT1G02090"
"16","AT1G02100"
"17","AT1G02335"
"18","AT1G02410"
"19","AT1G02560"
"20","AT1G02870"
"21","AT1G03040"
"22","AT1G03080"
"23","AT1G03110"
"24","AT1G03140"
"25","AT1G03910"
"26","AT1G04080"
"27","AT1G04260"
"28","AT1G04440"
"29","AT1G04510"
"30","AT1G04590"
"31","AT1G04810"
"32","AT1G04940"
"33","AT1G04960"
"34","AT1G04985"
"35","AT1G05350"
"36","AT1G05360"
"37","AT1G05380"
"38","AT1G05620"
"39","AT1G05680"
"40","AT1G05785"
"41","AT1G05840"
"42","AT1G05890"
"43","AT1G05940"
"44","AT1G06220"
"45","AT1G06230"
"46","AT1G06400"
"47","AT1G06410"
"48","AT1G06470"
"49","AT1G06530"
"50","AT1G06540"
"51","AT1G06550"
"52","AT1G06670"
"53","AT1G06720"
"54","AT1G06870"
"55","AT1G06890"
"56","AT1G06900"
"57","AT1G06960"
"58","AT1G07030"
"59","AT1G07310"
"60","AT1G07350"
"61","AT1G07370"
"62","AT1G07470"
"63","AT1G07660"
"64","AT1G07670"
"65","AT1G08037"
"66","AT1G08160"
"67","AT1G08370"
"68","AT1G08450"
"69","AT1G08510"
"70","AT1G08570"
"71","AT1G08660"
"72","AT1G08770"
"73","AT1G08780"
"74","AT1G08820"
"75","AT1G08930"
"76","AT1G08970"
"77","AT1G09160"
"78","AT1G09250"
"79","AT1G09280"
"80","AT1G09520"
"81","AT1G09570"
"82","AT1G09580"
"83","AT1G09630"
"84","AT1G09645"
"85","AT1G09815"
"86","AT1G09920"
"87","AT1G09932"
"88","AT1G10140"
"89","AT1G10290"
"90","AT1G10380"
"91","AT1G10430"
"92","AT1G10500"
"93","AT1G10530"
"94","AT1G10580"
"95","AT1G10760"
"96","AT1G10865"
"97","AT1G10890"
"98","AT1G10940"
"99","AT1G10990"
"100","AT1G11185"
"101","AT1G11240"
"102","AT1G11260"
"103","AT1G11310"
"104","AT1G11400"
"105","AT1G11430"
"106","AT1G11750"
"107","AT1G11890"
"108","AT1G12110"
"109","AT1G12120"
"110","AT1G12160"
"111","AT1G12270"
"112","AT1G12360"
"113","AT1G12390"
"114","AT1G12410"
"115","AT1G12520"
"116","AT1G12580"
"117","AT1G12640"
"118","AT1G12650"
"119","AT1G12760"
"120","AT1G12810"
"121","AT1G12820"
"122","AT1G12830"
"123","AT1G12850"
"124","AT1G13300"
"125","AT1G13320"
"126","AT1G13360"
"127","AT1G13450"
"128","AT1G13640"
"129","AT1G13730"
"130","AT1G13950"
"131","AT1G14000"
"132","AT1G14060"
"133","AT1G14290"
"134","AT1G14300"
"135","AT1G14380"
"136","AT1G14510"
"137","AT1G14570"
"138","AT1G14650"
"139","AT1G14685"
"140","AT1G14690"
"141","AT1G14740"
"142","AT1G14860"
"143","AT1G14890"
"144","AT1G15200"
"145","AT1G15230"
"146","AT1G15390"
"147","AT1G15740"
"148","AT1G15860"
"149","AT1G15880"
"150","AT1G15920"
"151","AT1G15960"
"152","AT1G16190"
"153","AT1G16210"
"154","AT1G16460"
"155","AT1G16840"
"156","AT1G16860"
"157","AT1G16870"
"158","AT1G17190"
"159","AT1G17210"
"160","AT1G17280"
"161","AT1G17285"
"162","AT1G17455"
"163","AT1G17510"
"164","AT1G17530"
"165","AT1G17620"
"166","AT1G17720"
"167","AT1G17745"
"168","AT1G17970"
"169","AT1G18150"
"170","AT1G18250"
"171","AT1G18270"
"172","AT1G18470"
"173","AT1G18480"
"174","AT1G18720"
"175","AT1G18840"
"176","AT1G18890"
"177","AT1G19310"
"178","AT1G19400"
"179","AT1G19580"
"180","AT1G19600"
"181","AT1G19680"
"182","AT1G20110"
"183","AT1G20190"
"184","AT1G20225"
"185","AT1G20460"
"186","AT1G20575"
"187","AT1G20770"
"188","AT1G20900"
"189","AT1G20920"
"190","AT1G20970"
"191","AT1G21050"
"192","AT1G21065"
"193","AT1G21080"
"194","AT1G21450"
"195","AT1G21630"
"196","AT1G21680"
"197","AT1G21690"
"198","AT1G21710"
"199","AT1G21900"
"200","AT1G21920"
"201","AT1G21930"
"202","AT1G22065"
"203","AT1G22140"
"204","AT1G22200"
"205","AT1G22330"
"206","AT1G22360"
"207","AT1G22440"
"208","AT1G22620"
"209","AT1G22790"
"210","AT1G22910"
"211","AT1G22920"
"212","AT1G22930"
"213","AT1G23020"
"214","AT1G23030"
"215","AT1G23040"
"216","AT1G23080"
"217","AT1G23100"
"218","AT1G23260"
"219","AT1G23310"
"220","AT1G23750"
"221","AT1G23800"
"222","AT1G23870"
"223","AT1G23960"
"224","AT1G24170"
"225","AT1G24350"
"226","AT1G24450"
"227","AT1G24460"
"228","AT1G25175"
"229","AT1G25220"
"230","AT1G25280"
"231","AT1G25350"
"232","AT1G26270"
"233","AT1G26440"
"234","AT1G26460"
"235","AT1G26580"
"236","AT1G26640"
"237","AT1G26740"
"238","AT1G26920"
"239","AT1G26945"
"240","AT1G27000"
"241","AT1G27150"
"242","AT1G27300"
"243","AT1G27340"
"244","AT1G27390"
"245","AT1G28060"
"246","AT1G28110"
"247","AT1G28200"
"248","AT1G28395"
"249","AT1G28420"
"250","AT1G28510"
"251","AT1G28680"
"252","AT1G29025"
"253","AT1G29050"
"254","AT1G29070"
"255","AT1G29260"
"256","AT1G29320"
