"","phyD_GC_c1.which.mclass....9...1."
"1","AT1G01150"
"2","AT1G01680"
"3","AT1G01695"
"4","AT1G02205"
"5","AT1G02510"
"6","AT1G02820"
"7","AT1G03390"
"8","AT1G04083"
"9","AT1G04403"
"10","AT1G04500"
"11","AT1G04560"
"12","AT1G04703"
"13","AT1G04817"
"14","AT1G05297"
"15","AT1G05303"
"16","AT1G05353"
"17","AT1G05493"
"18","AT1G05550"
"19","AT1G05693"
"20","AT1G05757"
"21","AT1G05920"
"22","AT1G06487"
"23","AT1G06645"
"24","AT1G06963"
"25","AT1G07340"
"26","AT1G07430"
"27","AT1G07476"
"28","AT1G07493"
"29","AT1G07657"
"30","AT1G07720"
"31","AT1G07887"
"32","AT1G08090"
"33","AT1G08457"
"34","AT1G09080"
"35","AT1G09157"
"36","AT1G09163"
"37","AT1G09260"
"38","AT1G09513"
"39","AT1G09720"
"40","AT1G09853"
"41","AT1G10010"
"42","AT1G10455"
"43","AT1G10540"
"44","AT1G10588"
"45","AT1G10640"
"46","AT1G11470"
"47","AT1G11560"
"48","AT1G12672"
"49","AT1G15015"
"50","AT1G15600"
"51","AT1G15680"
"52","AT1G17990"
"53","AT1G18310"
"54","AT1G18350"
"55","AT1G19890"
"56","AT1G20590"
"57","AT1G21550"
"58","AT1G22380"
"59","AT1G22900"
"60","AT1G23520"
"61","AT1G24260"
"62","AT1G24545"
"63","AT1G24807"
"64","AT1G24909"
"65","AT1G25155"
"66","AT1G25210"
"67","AT1G25988"
"68","AT1G26410"
"69","AT1G27565"
"70","AT1G27570"
"71","AT1G28270"
"72","AT1G28327"
"73","AT1G29090"
"74","AT1G29100"
"75","AT1G29680"
"76","AT1G30740"
"77","AT1G32060"
"78","AT1G32172"
"79","AT1G32560"
"80","AT1G33670"
"81","AT1G34140"
"82","AT1G35617"
"83","AT1G36580"
"84","AT1G42560"
"85","AT1G44575"
"86","AT1G45191"
"87","AT1G46984"
"88","AT1G47350"
"89","AT1G47920"
"90","AT1G48020"
"91","AT1G48405"
"92","AT1G48820"
"93","AT1G49100"
"94","AT1G49610"
"95","AT1G49938"
"96","AT1G50610"
"97","AT1G50830"
"98","AT1G51538"
"99","AT1G51990"
"100","AT1G52615"
"101","AT1G52857"
"102","AT1G53480"
"103","AT1G54470"
"104","AT1G55600"
"105","AT1G55720"
"106","AT1G57770"
"107","AT1G58684"
"108","AT1G59359"
"109","AT1G59670"
"110","AT1G60380"
"111","AT1G60760"
"112","AT1G61080"
"113","AT1G61224"
"114","AT1G62190"
"115","AT1G63070"
"116","AT1G63320"
"117","AT1G63540"
"118","AT1G63550"
"119","AT1G63600"
"120","AT1G64010"
"121","AT1G64100"
"122","AT1G64130"
"123","AT1G64235"
"124","AT1G64260"
"125","AT1G64710"
"126","AT1G65480"
"127","AT1G66360"
"128","AT1G66420"
"129","AT1G66910"
"130","AT1G66920"
