"","X","phyD_GC_c1.which.mclass....6...1."
"1849",1849,"AT3G61670"
"1601",1601,"AT3G26750"
"2197",2197,"AT4G29360"
"2759",2759,"AT5G45560"
"502",502,"AT1G54260"
"109",109,"AT1G08760"
"1045",1045,"AT2G32230"
"2011",2011,"AT4G13572"
"2665",2665,"AT5G32460"
"2365",2365,"AT5G04150"
"1716",1716,"AT3G51530"
"1181",1181,"AT2G42110"
"1751",1751,"AT3G53560"
"2801",2801,"AT5G49030"
"1058",1058,"AT2G33490"
"2392",2392,"AT5G06180"
"2617",2617,"AT5G23550"
"526",526,"AT1G55830"
"2384",2384,"AT5G05830"
"2541",2541,"AT5G16690"
"121",121,"AT1G10020"
"2916",2916,"AT5G58440"
"1744",1744,"AT3G53030"
"2150",2150,"AT4G25250"
"578",578,"AT1G62740"
"2360",2360,"AT5G03910"
"325",325,"AT1G27900"
"1706",1706,"AT3G50340"
"2875",2875,"AT5G54920"
"635",635,"AT1G67950"
"1270",1270,"AT3G02065"
"2544",2544,"AT5G16950"
"2772",2772,"AT5G46640"
"690",690,"AT1G72880"
"1062",1062,"AT2G33620"
"901",901,"AT2G19490"
"1808",1808,"AT3G57800"
"801",801,"AT2G02230"
"2522",2522,"AT5G15700"
"3036",3036,"ATCG00180"
"3016",3016,"AT5G66580"
"642",642,"AT1G68410"
"277",277,"AT1G22860"
"943",943,"AT2G23890"
"1610",1610,"AT3G27070"
"2792",2792,"AT5G48520"
"2167",2167,"AT4G27010"
"1772",1772,"AT3G55160"
"2695",2695,"AT5G39410"
"2810",2810,"AT5G49580"
"2613",2613,"AT5G23390"
"3045",3045,"ATCG01050"
"476",476,"AT1G52160"
"2065",2065,"AT4G17070"
"2921",2921,"AT5G58600"
"748",748,"AT1G77930"
"761",761,"AT1G78910"
"2006",2006,"AT4G12700"
"1286",1286,"AT3G03140"
"1183",1183,"AT2G42520"
"1257",1257,"AT3G01300"
"250",250,"AT1G19860"
"413",413,"AT1G44960"
"174",174,"AT1G14180"
"1308",1308,"AT3G04820"
"1150",1150,"AT2G40400"
"2672",2672,"AT5G35700"
"2429",2429,"AT5G08820"
"212",212,"AT1G17070"
"2786",2786,"AT5G48120"
"2766",2766,"AT5G46050"
"2295",2295,"AT4G38120"
"273",273,"AT1G22060"
"2348",2348,"AT5G03050"
"1403",1403,"AT3G12080"
"1893",1893,"AT4G00930"
"1342",1342,"AT3G07200"
"587",587,"AT1G63490"
"2729",2729,"AT5G42830"
"2362",2362,"AT5G03970"
"67",67,"AT1G06450"
"443",443,"AT1G49475"
"1876",1876,"AT3G63270"
"1647",1647,"AT3G44220"
"1096",1096,"AT2G36480"
"1071",1071,"AT2G34670"
"354",354,"AT1G30480"
"2733",2733,"AT5G43050"
"2802",2802,"AT5G49060"
"1725",1725,"AT3G52050"
"1488",1488,"AT3G17611"
"163",163,"AT1G13170"
"3018",3018,"AT5G66750"
"2374",2374,"AT5G04940"
"1003",1003,"AT2G28250"
"769",769,"AT1G79529"
"71",71,"AT1G06590"
"993",993,"AT2G27260"
"1139",1139,"AT2G39830"
"1754",1754,"AT3G53880"
"203",203,"AT1G16310"
"200",200,"AT1G16220"
"1743",1743,"AT3G53000"
"2882",2882,"AT5G55640"
"1576",1576,"AT3G24010"
"1904",1904,"AT4G01790"
"356",356,"AT1G30545"
"2486",2486,"AT5G13360"
"1425",1425,"AT3G13190"
"1360",1360,"AT3G08740"
"677",677,"AT1G71528"
"2912",2912,"AT5G58270"
"2028",2028,"AT4G14680"
"447",447,"AT1G49710"
"1993",1993,"AT4G11120"
"152",152,"AT1G12200"
"831",831,"AT2G05440"
"1616",1616,"AT3G27320"
"2114",2114,"AT4G21900"
"2906",2906,"AT5G57980"
"1567",1567,"AT3G23160"
"2131",2131,"AT4G23660"
"74",74,"AT1G06800"
"2068",2068,"AT4G17300"
"2924",2924,"AT5G58790"
"2806",2806,"AT5G49430"
"1710",1710,"AT3G50860"
"2090",2090,"AT4G19720"
"534",534,"AT1G56320"
"1582",1582,"AT3G24810"
"79",79,"AT1G07323"
"832",832,"AT2G05510"
"2176",2176,"AT4G27780"
"1321",1321,"AT3G05830"
"2423",2423,"AT5G08520"
"2638",2638,"AT5G25590"
"1609",1609,"AT3G27020"
"803",803,"AT2G02730"
"606",606,"AT1G64920"
"2232",2232,"AT4G32900"
"2111",2111,"AT4G21770"
"994",994,"AT2G27285"
"2017",2017,"AT4G13970"
"308",308,"AT1G26180"
"150",150,"AT1G12020"
"2308",2308,"AT4G38900"
"39",39,"AT1G04790"
"922",922,"AT2G21380"
"323",323,"AT1G27840"
"169",169,"AT1G13810"
"2301",2301,"AT4G38215"
"888",888,"AT2G18240"
"1341",1341,"AT3G07190"
"1571",1571,"AT3G23710"
"1054",1054,"AT2G32970"
"975",975,"AT2G26360"
"2158",2158,"AT4G26450"
"1518",1518,"AT3G19670"
"396",396,"AT1G34550"
"2994",2994,"AT5G65120"
"112",112,"AT1G09230"
"1927",1927,"AT4G03080"
"3009",3009,"AT5G66100"
"1217",1217,"AT2G44993"
"3012",3012,"AT5G66320"
"379",379,"AT1G32930"
"2206",2206,"AT4G30510"
"1236",1236,"AT2G46700"
"637",637,"AT1G68020"
"518",518,"AT1G55300"
"260",260,"AT1G20816"
"3025",3025,"AT5G67170"
"2171",2171,"AT4G27350"
"1092",1092,"AT2G36305"
"2837",2837,"AT5G51130"
"2554",2554,"AT5G17890"
"2698",2698,"AT5G39960"
"2088",2088,"AT4G19600"
"2073",2073,"AT4G17910"
"94",94,"AT1G08040"
"2154",2154,"AT4G25530"
"1928",1928,"AT4G03100"
"623",623,"AT1G67150"
"239",239,"AT1G18700"
"1956",1956,"AT4G08320"
"2777",2777,"AT5G47420"
"366",366,"AT1G31360"
"347",347,"AT1G29960"
"806",806,"AT2G02860"
"1931",1931,"AT4G03205"
"1346",1346,"AT3G07360"
"2333",2333,"AT5G01940"
"1980",1980,"AT4G10130"
"1844",1844,"AT3G61370"
"618",618,"AT1G66740"
"1617",1617,"AT3G27325"
"2128",2128,"AT4G23490"
"1549",1549,"AT3G21390"
"916",916,"AT2G20850"
"1472",1472,"AT3G16290"
"1741",1741,"AT3G52905"
"804",804,"AT2G02765"
"2688",2688,"AT5G37890"
"256",256,"AT1G20380"
"2804",2804,"AT5G49220"
"1484",1484,"AT3G17340"
"2314",2314,"AT4G39550"
"907",907,"AT2G20142"
"2244",2244,"AT4G33620"
"589",589,"AT1G63810"
"1218",1218,"AT2G45280"
"332",332,"AT1G28350"
"359",359,"AT1G30680"
"2868",2868,"AT5G54590"
"1875",1875,"AT3G63190"
"1347",1347,"AT3G07370"
"2960",2960,"AT5G62620"
"2138",2138,"AT4G24200"
"2593",2593,"AT5G21010"
"158",158,"AT1G12880"
"601",601,"AT1G64630"
"2965",2965,"AT5G62920"
"1765",1765,"AT3G54710"
"2781",2781,"AT5G47660"
"1422",1422,"AT3G13062"
"2147",2147,"AT4G24960"
"404",404,"AT1G36390"
"2590",2590,"AT5G20840"
"2153",2153,"AT4G25520"
"1290",1290,"AT3G03510"
"352",352,"AT1G30450"
"1226",1226,"AT2G45690"
"767",767,"AT1G79460"
"2973",2973,"AT5G63530"
"1865",1865,"AT3G62620"
"2732",2732,"AT5G43040"
"211",211,"AT1G17050"
"2883",2883,"AT5G55650"
"1159",1159,"AT2G40930"
"1915",1915,"AT4G02405"
"1154",1154,"AT2G40570"
"2337",2337,"AT5G02240"
"577",577,"AT1G62730"
"376",376,"AT1G32760"
"1922",1922,"AT4G02800"
"894",894,"AT2G18520"
"2258",2258,"AT4G34630"
"1644",1644,"AT3G43700"
"1747",1747,"AT3G53320"
"926",926,"AT2G22090"
"2909",2909,"AT5G58150"
"5",5,"AT1G01430"
"1283",1283,"AT3G02980"
"424",424,"AT1G47900"
"1799",1799,"AT3G57360"
"2052",2052,"AT4G16440"
"1746",1746,"AT3G53270"
"1311",1311,"AT3G05150"
"125",125,"AT1G10400"
"1216",1216,"AT2G44950"
"2464",2464,"AT5G11000"
"2508",2508,"AT5G14620"
"12",12,"AT1G01950"
"1182",1182,"AT2G42120"
"2034",2034,"AT4G15020"
"874",874,"AT2G16900"
"2799",2799,"AT5G48990"
"1721",1721,"AT3G51780"
"1938",1938,"AT4G04870"
"9",9,"AT1G01690"
