"","phyD_GC_c1.which.mclass....6...1."
"1","AT1G01260"
"2","AT1G01290"
"3","AT1G01320"
"4","AT1G01370"
"5","AT1G01430"
"6","AT1G01440"
"7","AT1G01540"
"8","AT1G01580"
"9","AT1G01690"
"10","AT1G01830"
"11","AT1G01930"
"12","AT1G01950"
"13","AT1G02000"
"14","AT1G02110"
"15","AT1G02260"
"16","AT1G02270"
"17","AT1G02370"
"18","AT1G02720"
"19","AT1G02730"
"20","AT1G02810"
"21","AT1G02910"
"22","AT1G02960"
"23","AT1G02990"
"24","AT1G03000"
"25","AT1G03180"
"26","AT1G03250"
"27","AT1G03260"
"28","AT1G03365"
"29","AT1G03475"
"30","AT1G03780"
"31","AT1G03905"
"32","AT1G04000"
"33","AT1G04020"
"34","AT1G04130"
"35","AT1G04200"
"36","AT1G04230"
"37","AT1G04290"
"38","AT1G04610"
"39","AT1G04790"
"40","AT1G04803"
"41","AT1G04830"
"42","AT1G04833"
"43","AT1G04837"
"44","AT1G04945"
"45","AT1G05010"
"46","AT1G05060"
"47","AT1G05120"
"48","AT1G05160"
"49","AT1G05170"
"50","AT1G05190"
"51","AT1G05590"
"52","AT1G05660"
"53","AT1G05730"
"54","AT1G05780"
"55","AT1G05830"
"56","AT1G05860"
"57","AT1G05910"
"58","AT1G05970"
"59","AT1G06000"
"60","AT1G06002"
"61","AT1G06010"
"62","AT1G06150"
"63","AT1G06180"
"64","AT1G06227"
"65","AT1G06240"
"66","AT1G06380"
"67","AT1G06450"
"68","AT1G06475"
"69","AT1G06500"
"70","AT1G06560"
"71","AT1G06590"
"72","AT1G06730"
"73","AT1G06790"
"74","AT1G06800"
"75","AT1G06840"
"76","AT1G07175"
"77","AT1G07220"
"78","AT1G07320"
"79","AT1G07323"
"80","AT1G07367"
"81","AT1G07410"
"82","AT1G07520"
"83","AT1G07615"
"84","AT1G07705"
"85","AT1G07725"
"86","AT1G07728"
"87","AT1G07780"
"88","AT1G07893"
"89","AT1G07970"
"90","AT1G07980"
"91","AT1G07983"
"92","AT1G08000"
"93","AT1G08030"
"94","AT1G08040"
"95","AT1G08060"
"96","AT1G08123"
"97","AT1G08220"
"98","AT1G08250"
"99","AT1G08280"
"100","AT1G08390"
"101","AT1G08420"
"102","AT1G08470"
"103","AT1G08530"
"104","AT1G08550"
"105","AT1G08600"
"106","AT1G08645"
"107","AT1G08710"
"108","AT1G08750"
"109","AT1G08760"
"110","AT1G08845"
"111","AT1G08960"
"112","AT1G09230"
"113","AT1G09300"
"114","AT1G09470"
"115","AT1G09490"
"116","AT1G09700"
"117","AT1G09795"
"118","AT1G09810"
"119","AT1G09850"
"120","AT1G09995"
"121","AT1G10020"
"122","AT1G10270"
"123","AT1G10350"
"124","AT1G10385"
"125","AT1G10400"
"126","AT1G10450"
"127","AT1G10522"
"128","AT1G10570"
"129","AT1G10650"
"130","AT1G10750"
"131","AT1G10780"
"132","AT1G10870"
"133","AT1G10910"
"134","AT1G11060"
"135","AT1G11090"
"136","AT1G11120"
"137","AT1G11130"
"138","AT1G11270"
"139","AT1G11280"
"140","AT1G11390"
"141","AT1G11420"
"142","AT1G11630"
"143","AT1G11660"
"144","AT1G11720"
"145","AT1G11755"
"146","AT1G11780"
"147","AT1G11790"
"148","AT1G11870"
"149","AT1G11905"
"150","AT1G12020"
"151","AT1G12140"
"152","AT1G12200"
"153","AT1G12240"
"154","AT1G12470"
"155","AT1G12570"
"156","AT1G12770"
"157","AT1G12845"
"158","AT1G12880"
"159","AT1G12930"
"160","AT1G12990"
"161","AT1G13020"
"162","AT1G13030"
"163","AT1G13170"
"164","AT1G13180"
"165","AT1G13210"
"166","AT1G13580"
"167","AT1G13750"
"168","AT1G13770"
"169","AT1G13810"
"170","AT1G13860"
"171","AT1G14020"
"172","AT1G14040"
"173","AT1G14140"
"174","AT1G14180"
"175","AT1G14310"
"176","AT1G14350"
"177","AT1G14390"
"178","AT1G14560"
"179","AT1G14770"
"180","AT1G14820"
"181","AT1G14850"
"182","AT1G14910"
"183","AT1G15000"
"184","AT1G15002"
"185","AT1G15060"
"186","AT1G15215"
"187","AT1G15220"
"188","AT1G15330"
"189","AT1G15480"
"190","AT1G15550"
"191","AT1G15630"
"192","AT1G15660"
"193","AT1G15710"
"194","AT1G15760"
"195","AT1G15780"
"196","AT1G15970"
"197","AT1G16020"
"198","AT1G16060"
"199","AT1G16070"
"200","AT1G16220"
"201","AT1G16270"
"202","AT1G16280"
"203","AT1G16310"
"204","AT1G16430"
"205","AT1G16570"
"206","AT1G16650"
"207","AT1G16680"
"208","AT1G16690"
"209","AT1G16800"
"210","AT1G16930"
"211","AT1G17050"
"212","AT1G17070"
"213","AT1G17090"
"214","AT1G17140"
"215","AT1G17160"
"216","AT1G17330"
"217","AT1G17440"
"218","AT1G17550"
"219","AT1G17560"
"220","AT1G17580"
"221","AT1G17680"
"222","AT1G17690"
"223","AT1G17760"
"224","AT1G17790"
"225","AT1G17810"
"226","AT1G17850"
"227","AT1G18190"
"228","AT1G18340"
"229","AT1G18370"
"230","AT1G18415"
"231","AT1G18490"
"232","AT1G18580"
"233","AT1G18600"
"234","AT1G18620"
"235","AT1G18630"
"236","AT1G18650"
"237","AT1G18660"
"238","AT1G18690"
"239","AT1G18700"
"240","AT1G18850"
"241","AT1G18900"
"242","AT1G18950"
"243","AT1G19080"
"244","AT1G19140"
"245","AT1G19170"
"246","AT1G19370"
"247","AT1G19430"
"248","AT1G19485"
"249","AT1G19710"
"250","AT1G19860"
"251","AT1G19990"
"252","AT1G20080"
"253","AT1G20270"
"254","AT1G20300"
"255","AT1G20370"
"256","AT1G20380"
"257","AT1G20410"
"258","AT1G20690"
"259","AT1G20700"
"260","AT1G20816"
"261","AT1G20830"
"262","AT1G20910"
"263","AT1G20930"
"264","AT1G21070"
"265","AT1G21170"
"266","AT1G21200"
"267","AT1G21350"
"268","AT1G21370"
"269","AT1G21440"
"270","AT1G21520"
"271","AT1G21610"
"272","AT1G21700"
"273","AT1G22060"
"274","AT1G22170"
"275","AT1G22400"
"276","AT1G22730"
"277","AT1G22860"
"278","AT1G22882"
"279","AT1G22940"
"280","AT1G22950"
"281","AT1G22960"
"282","AT1G22990"
"283","AT1G23000"
"284","AT1G23070"
"285","AT1G23160"
"286","AT1G23170"
"287","AT1G23330"
"288","AT1G23340"
"289","AT1G23380"
"290","AT1G23900"
"291","AT1G23935"
"292","AT1G23950"
"293","AT1G24030"
"294","AT1G24040"
"295","AT1G24090"
"296","AT1G24095"
"297","AT1G24100"
"298","AT1G24320"
"299","AT1G24490"
"300","AT1G24610"
"301","AT1G24706"
"302","AT1G25290"
"303","AT1G25320"
"304","AT1G25570"
"305","AT1G25580"
"306","AT1G26120"
"307","AT1G26170"
"308","AT1G26180"
"309","AT1G26260"
"310","AT1G26370"
"311","AT1G26520"
"312","AT1G26650"
"313","AT1G26660"
"314","AT1G26840"
"315","AT1G26910"
"316","AT1G27210"
"317","AT1G27460"
"318","AT1G27630"
"319","AT1G27660"
"320","AT1G27680"
"321","AT1G27750"
"322","AT1G27752"
"323","AT1G27840"
"324","AT1G27850"
"325","AT1G27900"
"326","AT1G27950"
"327","AT1G27980"
"328","AT1G28090"
"329","AT1G28100"
"330","AT1G28240"
"331","AT1G28320"
"332","AT1G28350"
"333","AT1G28410"
"334","AT1G28440"
"335","AT1G28685"
"336","AT1G28715"
"337","AT1G29020"
"338","AT1G29030"
"339","AT1G29060"
"340","AT1G29160"
"341","AT1G29170"
"342","AT1G29300"
"343","AT1G29535"
"344","AT1G29550"
"345","AT1G29630"
"346","AT1G29690"
"347","AT1G29960"
"348","AT1G30070"
"349","AT1G30240"
"350","AT1G30320"
"351","AT1G30330"
"352","AT1G30450"
"353","AT1G30470"
"354","AT1G30480"
"355","AT1G30540"
"356","AT1G30545"
"357","AT1G30600"
"358","AT1G30620"
"359","AT1G30680"
"360","AT1G30825"
"361","AT1G30960"
"362","AT1G31150"
"363","AT1G31175"
"364","AT1G31220"
"365","AT1G31230"
"366","AT1G31360"
"367","AT1G31470"
"368","AT1G31500"
"369","AT1G31810"
"370","AT1G31870"
"371","AT1G31930"
"372","AT1G32240"
"373","AT1G32330"
"374","AT1G32500"
"375","AT1G32730"
"376","AT1G32760"
"377","AT1G32860"
"378","AT1G32870"
"379","AT1G32930"
"380","AT1G33080"
"381","AT1G33170"
"382","AT1G33270"
"383","AT1G33330"
"384","AT1G33400"
"385","AT1G33415"
"386","AT1G33420"
"387","AT1G33480"
"388","AT1G33490"
"389","AT1G33780"
"390","AT1G34065"
"391","AT1G34150"
"392","AT1G34200"
"393","AT1G34270"
"394","AT1G34360"
"395","AT1G34470"
"396","AT1G34550"
"397","AT1G34670"
"398","AT1G34770"
"399","AT1G35340"
"400","AT1G35470"
"401","AT1G35510"
"402","AT1G36280"
"403","AT1G36320"
"404","AT1G36390"
"405","AT1G36990"
"406","AT1G42430"
"407","AT1G43020"
"408","AT1G43650"
"409","AT1G44000"
"410","AT1G44100"
"411","AT1G44110"
"412","AT1G44780"
"413","AT1G44960"
"414","AT1G45160"
"415","AT1G45207"
"416","AT1G45233"
"417","AT1G47240"
"418","AT1G47340"
"419","AT1G47480"
"420","AT1G47620"
"421","AT1G47720"
"422","AT1G47750"
"423","AT1G47820"
"424","AT1G47900"
"425","AT1G48090"
"426","AT1G48175"
"427","AT1G48270"
"428","AT1G48310"
"429","AT1G48315"
"430","AT1G48320"
"431","AT1G48370"
"432","AT1G48430"
"433","AT1G48460"
"434","AT1G48480"
"435","AT1G48520"
"436","AT1G48570"
"437","AT1G48970"
"438","AT1G49040"
"439","AT1G49230"
