"","phyD_GC_c1.which.mclass....7...1."
"289","AT2G16850"
"290","AT2G16930"
"291","AT2G16940"
"292","AT2G17380"
"293","AT2G17720"
"294","AT2G18030"
"295","AT2G18160"
"296","AT2G18390"
"297","AT2G18400"
"298","AT2G18800"
"299","AT2G19520"
"300","AT2G19540"
"301","AT2G19830"
"302","AT2G20060"
"303","AT2G20120"
"304","AT2G20530"
"305","AT2G20585"
"306","AT2G20930"
"307","AT2G20990"
"308","AT2G21050"
"309","AT2G21060"
"310","AT2G21190"
"311","AT2G21250"
"312","AT2G21290"
"313","AT2G21390"
"314","AT2G22125"
"315","AT2G22510"
"316","AT2G22795"
"317","AT2G23780"
"318","AT2G24200"
"319","AT2G24360"
"320","AT2G25070"
"321","AT2G25110"
"322","AT2G25310"
"323","AT2G25430"
"324","AT2G25610"
"325","AT2G25910"
"326","AT2G25970"
"327","AT2G25980"
"328","AT2G26080"
"329","AT2G26230"
"330","AT2G26730"
"331","AT2G27230"
"332","AT2G27330"
"333","AT2G27370"
"334","AT2G27960"
"335","AT2G28000"
"336","AT2G28290"
"337","AT2G28670"
"338","AT2G28671"
"339","AT2G29390"
"340","AT2G29540"
"341","AT2G29700"
"342","AT2G30050"
"343","AT2G30200"
"344","AT2G30260"
"345","AT2G31083"
"346","AT2G31410"
"347","AT2G31670"
"348","AT2G32070"
"349","AT2G32300"
"350","AT2G32380"
"351","AT2G32700"
"352","AT2G32730"
"353","AT2G33410"
"354","AT2G33730"
"355","AT2G34160"
"356","AT2G34300"
"357","AT2G34470"
"358","AT2G34520"
"359","AT2G34590"
"360","AT2G34750"
"361","AT2G34770"
"362","AT2G35240"
"363","AT2G35610"
"364","AT2G35635"
"365","AT2G35680"
"366","AT2G35790"
"367","AT2G35810"
"368","AT2G36130"
"369","AT2G36580"
"370","AT2G36910"
"371","AT2G37050"
"372","AT2G37470"
"373","AT2G37870"
"374","AT2G37990"
"375","AT2G38040"
"376","AT2G38120"
"377","AT2G38130"
"378","AT2G38700"
"379","AT2G38710"
"380","AT2G38810"
"381","AT2G39430"
"382","AT2G39681"
"383","AT2G39870"
"384","AT2G39900"
"385","AT2G39960"
"386","AT2G40430"
"387","AT2G40620"
"388","AT2G41100"
"389","AT2G41160"
"390","AT2G41475"
"391","AT2G41660"
