"","phyD_GC_c1.which.mclass....2...1."
"1","AT1G01010"
"2","AT1G01030"
"3","AT1G01040"
"4","AT1G01060"
"5","AT1G01170"
"6","AT1G01180"
"7","AT1G01225"
"8","AT1G01240"
"9","AT1G01448"
"10","AT1G01450"
"11","AT1G01470"
"12","AT1G01710"
"13","AT1G01725"
"14","AT1G01750"
"15","AT1G01770"
"16","AT1G01780"
"17","AT1G02120"
"18","AT1G02220"
"19","AT1G02280"
"20","AT1G02340"
"21","AT1G02360"
"22","AT1G02430"
"23","AT1G02475"
"24","AT1G02610"
"25","AT1G02740"
"26","AT1G02750"
"27","AT1G02860"
"28","AT1G02880"
"29","AT1G02890"
"30","AT1G02920"
"31","AT1G02950"
"32","AT1G03010"
"33","AT1G03060"
"34","AT1G03090"
"35","AT1G03370"
"36","AT1G03380"
"37","AT1G03430"
"38","AT1G03457"
"39","AT1G03550"
"40","AT1G03610"
"41","AT1G03660"
"42","AT1G03680"
"43","AT1G03730"
"44","AT1G03740"
"45","AT1G03760"
"46","AT1G03970"
"47","AT1G04030"
"48","AT1G04240"
"49","AT1G04280"
"50","AT1G04300"
"51","AT1G04353"
"52","AT1G04400"
"53","AT1G04463"
"54","AT1G04550"
"55","AT1G04555"
"56","AT1G04647"
"57","AT1G04770"
"58","AT1G04780"
"59","AT1G04910"
"60","AT1G04970"
"61","AT1G04990"
"62","AT1G05090"
"63","AT1G05147"
"64","AT1G05213"
"65","AT1G05250"
"66","AT1G05300"
"67","AT1G05320"
"68","AT1G05340"
"69","AT1G05470"
"70","AT1G05523"
"71","AT1G05560"
"72","AT1G05562"
"73","AT1G05710"
"74","AT1G05750"
"75","AT1G05753"
"76","AT1G05760"
"77","AT1G05770"
"78","AT1G05790"
"79","AT1G05810"
"80","AT1G05835"
"81","AT1G05960"
"82","AT1G06060"
"83","AT1G06090"
"84","AT1G06225"
"85","AT1G06290"
"86","AT1G06460"
"87","AT1G06510"
"88","AT1G06570"
"89","AT1G06620"
"90","AT1G06630"
"91","AT1G06650"
"92","AT1G06770"
"93","AT1G06780"
"94","AT1G07000"
"95","AT1G07040"
"96","AT1G07110"
"97","AT1G07128"
"98","AT1G07130"
"99","AT1G07200"
"100","AT1G07230"
"101","AT1G07240"
"102","AT1G07250"
"103","AT1G07260"
"104","AT1G07300"
"105","AT1G07530"
"106","AT1G07570"
"107","AT1G07630"
"108","AT1G07640"
"109","AT1G07700"
"110","AT1G07730"
"111","AT1G07870"
"112","AT1G07985"
"113","AT1G07990"
"114","AT1G08230"
"115","AT1G08315"
"116","AT1G08320"
"117","AT1G08340"
"118","AT1G08460"
"119","AT1G08500"
"120","AT1G08520"
"121","AT1G08590"
"122","AT1G08592"
"123","AT1G08670"
"124","AT1G08720"
"125","AT1G08800"
"126","AT1G08803"
"127","AT1G08890"
"128","AT1G08920"
"129","AT1G08940"
"130","AT1G08990"
"131","AT1G09010"
"132","AT1G09023"
"133","AT1G09060"
"134","AT1G09090"
"135","AT1G09363"
"136","AT1G09540"
"137","AT1G09575"
"138","AT1G09730"
"139","AT1G09794"
"140","AT1G09910"
"141","AT1G09940"
"142","AT1G10070"
"143","AT1G10150"
"144","AT1G10155"
"145","AT1G10210"
"146","AT1G10340"
"147","AT1G10600"
"148","AT1G10660"
"149","AT1G10740"
"150","AT1G10830"
"151","AT1G10970"
"152","AT1G11020"
"153","AT1G11050"
"154","AT1G11175"
"155","AT1G11190"
"156","AT1G11380"
"157","AT1G11440"
"158","AT1G11450"
"159","AT1G11530"
"160","AT1G11570"
"161","AT1G11592"
"162","AT1G11740"
"163","AT1G11930"
"164","AT1G12040"
"165","AT1G12260"
"166","AT1G12350"
"167","AT1G12450"
"168","AT1G12560"
"169","AT1G12680"
"170","AT1G12710"
"171","AT1G12740"
"172","AT1G12750"
"173","AT1G12780"
"174","AT1G12790"
"175","AT1G13000"
"176","AT1G13080"
"177","AT1G13090"
"178","AT1G13110"
"179","AT1G13190"
"180","AT1G13195"
"181","AT1G13245"
"182","AT1G13350"
"183","AT1G13390"
