TAIR,SYMBOL,Log2fc_.Col.0_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_dark.
AT1G04440,CKL13,0.081980648,-0.603390907,-0.051991326,-0.479840787,-0.112713351,-0.309963995,0.043738296,-0.041900827,0.565635595,-0.685371554,-0.133971973,-0.561821435,-0.194693999,-0.391944643,-0.038242351,-0.123881475,0.483654947,-0.436866582,-0.51884723,-0.120968741,-0.202949389
AT1G08190,ATVAM2,-0.547161173,-0.316029905,-0.267151153,0.061905195,-0.549621776,0.057018313,-0.375076624,-0.093270477,-0.037352514,0.231131268,0.28001002,0.609066368,-0.002460603,0.604179486,0.172084549,0.453890695,0.509808659,-0.492673895,0.054487278,-0.160714237,0.386446936
AT1G12360,KEU,-0.078779022,-0.194292259,0.010016205,-0.156318399,0.320969345,0.030698288,0.263742662,-0.20413329,0.17414746,-0.115513236,0.088795228,-0.077539377,0.399748368,0.10947731,0.342521684,-0.125354267,0.252926482,-0.124409038,-0.045630016,0.0376417,0.116420722
AT1G13980,EMB30,-0.657586377,-0.059015135,-0.834832425,-0.32042492,-0.07565849,0.465250817,-0.337371937,-0.417812751,-0.174262419,0.598571242,-0.177246048,0.337161457,0.581927887,1.122837194,0.32021444,0.239773626,0.483323958,-0.019281094,0.638305284,-0.15465027,0.502936107
AT1G17730,CHMP1B,0.49536338,0.400845403,0.572931291,0.378377304,0.248599018,0.163883974,0.372880532,0.27689744,0.479009335,-0.094517977,0.077567911,-0.116986076,-0.246764361,-0.331479406,-0.122482848,-0.21846594,-0.016354045,0.577217021,0.081853641,0.482326782,-0.013036598
AT1G23900,GAMMA-ADAPTIN,-0.107537154,0.097976083,0.548163759,0.245794182,0.095645347,0.766206336,0.80343242,0.298328601,0.44540526,0.205513238,0.655700913,0.353331336,0.203182501,0.87374349,0.910969574,0.405865755,0.552942415,-0.217841656,-0.110304502,-0.023376324,0.08416083
AT1G28490,ATSYP61,0.184366943,0.188219292,0.174045595,0.347324464,0.21622111,-0.118686726,-0.0903191,0.025252945,-0.142802211,0.003852348,-0.010321349,0.16295752,0.031854166,-0.30305367,-0.274686043,-0.159113999,-0.327169155,0.186557819,0.002190875,0.136633638,-0.047733306
AT1G47550,SEC3A,-0.4586771,-0.2850068,-0.1067667,-0.3102344,-0.3489632,0.3276275,-0.3548343,-0.3261767,-0.5350488,0.1736704,0.3519104,0.1484427,0.1097139,0.7863046,0.1038428,0.1325004,-0.07637165,-0.3465118,0.1121653,-0.05816512,0.400512
AT1G48240,ATNPSN12,-0.3869556,0.0421271,-0.5747493,-0.07097461,-0.2873164,-0.271992,-0.4472087,-0.1615023,-0.03404541,0.4290827,-0.1877937,0.315981,0.09963919,0.1149636,-0.06025314,0.2254533,0.3529102,-0.05122195,0.3357336,0.04307714,0.4300327
AT1G50500,ATVPS53,-0.431882,-0.09710292,-0.2380589,-0.2925573,-0.08686814,-0.2585575,-0.3970398,-0.4171841,-0.4745498,0.3347791,0.1938232,0.1393248,0.3450139,0.1733246,0.03484219,0.01469791,-0.04266777,-0.4521479,-0.02026588,-0.2134707,0.2184113
AT1G56590,AP3M,0.04694886,0.2400064,0.09431387,0.2110536,0.05943402,0.2023358,0.206315,0.5768191,0.2138702,0.1930576,0.04736501,0.1641047,0.01248515,0.155387,0.1593661,0.5298702,0.1669213,0.1242236,0.07727471,0.05281331,0.005864451
AT1G71270,ATVPS52,-0.1776667,0.2660939,-0.01355789,0.1876236,-0.3602541,0.1463912,-0.2722393,-0.05822867,-0.4448952,0.4437606,0.1641089,0.3652903,-0.1825874,0.3240579,-0.09457258,0.1194381,-0.2672285,-0.3244461,-0.1467794,-0.2638443,-0.08617752
AT1G71820,SEC6,0.07223154,-0.2540313,-0.061431,0.2345798,-0.1009648,0.3216732,-0.5017497,0.05182583,-0.2255894,-0.3262628,-0.1336625,0.1623482,-0.1731963,0.2494417,-0.5739812,-0.02040571,-0.2978209,-0.3827077,-0.4549392,-0.1617939,-0.2340254
AT1G75850,VPS35B,-0.001694068,-0.2574965,-0.07164416,-0.4813185,-0.1195982,0.01203343,-0.1237481,-0.2829842,-0.0752978,-0.2558024,-0.06995009,-0.4796245,-0.1179042,0.0137275,-0.122054,-0.2812902,-0.07360373,-0.1979807,-0.1962866,-0.2162652,-0.2145711
AT2G06530,VPS2.1,0.3142356,-0.3548887,0.09555525,0.05613174,-0.1757413,-0.2827402,-0.1341037,-0.09904091,0.1398876,-0.6691242,-0.2186803,-0.2581038,-0.4899768,-0.5969758,-0.4483393,-0.4132765,-0.1743479,-0.237385,-0.5516205,-0.1905462,-0.5047817
AT2G17790,VPS35A,-0.1061906,0.1326981,-0.2747226,0.2798777,-0.005136293,0.4232387,-0.04449791,-0.02143725,0.04294928,0.2388887,-0.168532,0.3860682,0.1010543,0.5294293,0.06169266,0.08475332,0.1491399,-0.3702379,-0.2640473,-0.005724709,0.1004659
