TAIR,SYMBOL,Log2fc_.Col.0_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_dark.
AT2G45200,ATGOS12,0.1729557,0.1698661,-0.03249481,0.2814296,0.3231893,0.103158,0.3596724,0.09798447,0.2463445,-0.003089614,-0.2054505,0.108474,0.1502337,-0.06979771,0.1867167,-0.07497119,0.07338886,0.2754942,0.1025386,0.1019184,-0.07103729
AT3G07100,AtSEC24A,-0.2153913,0.01733736,-0.4405553,-0.009138061,0.07953198,-0.1065606,-0.2788068,-0.1038411,-0.2079472,0.2327287,-0.225164,0.2062532,0.2949233,0.1088307,-0.06341549,0.1115502,0.007444067,-0.5770289,-0.3616376,-0.1000006,0.1153907
AT3G09900,ATRAB8E,-0.2700601,-0.03135841,-0.3258595,-0.2821099,0.324784,0.7415103,0.7988232,0.8797528,0.8110348,0.2387017,-0.05579936,-0.01204981,0.5948441,1.01157,1.068883,1.149813,1.081095,0.1112449,0.381305,0.08278214,0.3528422
AT3G11730,ATFP8,0.3472112,0.4185537,0.1270199,0.283846,0.393553,0.1837649,0.6212747,0.7592191,0.5957476,0.07134243,-0.2201914,-0.06336518,0.04634174,-0.1634463,0.2740634,0.4120079,0.2485364,0.4456797,0.09846845,0.2536778,-0.09353343
AT3G13720,PRA1.F3,0.4056562,0.08790407,0.2570022,-0.2410452,0.3951375,-0.2754087,0.418387,0.1702243,0.8181796,-0.3177521,-0.1486539,-0.6467013,-0.01051866,-0.6810648,0.01273079,-0.2354319,0.4125234,0.4178021,0.01214589,0.2856658,-0.1199904
AT3G13870,GOM8,-0.1006877,0.1382895,-0.1151911,0.1192673,-0.2497569,0.1898525,-0.03827889,0.07892088,-0.1264248,0.2389772,-0.01450339,0.219955,-0.1490692,0.2905402,0.06240882,0.1796086,-0.02573706,-0.04258861,0.0580991,-0.09834632,0.002341386
AT3G19960,ATM1,1.111091,-0.3701763,-0.08556439,-0.03709651,0.9657324,-0.4703311,0.5891942,-0.3009066,1.097943,-1.481268,-1.196656,-1.148188,-0.1453589,-1.581422,-0.5218972,-1.411998,-0.01314844,0.4649076,-0.6461837,0.8100201,-0.3010712
AT3G22950,ARFC1,0.750237,0.2889875,0.4695473,0.7312026,0.2748191,-0.195413,0.16554,0.0578321,0.2759278,-0.4612495,-0.2806898,-0.01903443,-0.4754179,-0.94565,-0.5846971,-0.692405,-0.4743093,0.5075896,-0.2426475,0.3974278,-0.3528093
AT3G43300,ATMIN7,-0.2394251,-0.2331435,-0.2660053,-0.2336533,-0.1826689,0.3370449,-0.04956877,-0.000268485,-0.02483869,0.006281556,-0.02658021,0.005771744,0.05675616,0.5764699,0.1898563,0.2391566,0.2145864,-0.3168616,-0.07743653,-0.15947,0.0799551
AT3G52850,ATELP,-0.3049759,-0.3486359,-0.2367323,-0.2464354,0.1950238,0.2438876,0.1387838,0.05579089,-0.06539213,-0.04365997,0.06824357,0.05854049,0.4999997,0.5488635,0.4437597,0.3607668,0.2395838,-0.5912885,-0.2863126,-0.2187131,0.08626276
