"","WS_c1.which.mclass....9...1."
"1","AT1G01090"
"2","AT1G01100"
"3","AT1G01550"
"4","AT1G01790"
"5","AT1G01960"
"6","AT1G02080"
"7","AT1G02150"
"8","AT1G02280"
"9","AT1G02840"
"10","AT1G02890"
"11","AT1G03080"
"12","AT1G03220"
"13","AT1G03475"
"14","AT1G03870"
"15","AT1G04040"
"16","AT1G04080"
"17","AT1G04120"
"18","AT1G04140"
"19","AT1G04170"
"20","AT1G04250"
"21","AT1G04400"
"22","AT1G04430"
"23","AT1G04680"
"24","AT1G04850"
"25","AT1G05250"
"26","AT1G05260"
"27","AT1G05570"
"28","AT1G06040"
"29","AT1G06220"
"30","AT1G06410"
"31","AT1G06550"
"32","AT1G06640"
"33","AT1G06760"
"34","AT1G07110"
"35","AT1G07140"
"36","AT1G07350"
"37","AT1G07610"
"38","AT1G07670"
"39","AT1G07770"
"40","AT1G08110"
"41","AT1G08190"
"42","AT1G08200"
"43","AT1G08430"
"44","AT1G08930"
"45","AT1G09070"
"46","AT1G09130"
"47","AT1G09570"
"48","AT1G09590"
"49","AT1G09620"
"50","AT1G09750"
"51","AT1G09770"
"52","AT1G10290"
"53","AT1G10470"
"54","AT1G10760"
"55","AT1G10840"
"56","AT1G10950"
"57","AT1G11310"
"58","AT1G11650"
"59","AT1G11680"
"60","AT1G12000"
"61","AT1G12080"
"62","AT1G12110"
"63","AT1G12230"
"64","AT1G12240"
"65","AT1G12840"
"66","AT1G12920"
"67","AT1G14400"
"68","AT1G14610"
"69","AT1G14670"
"70","AT1G14810"
"71","AT1G14830"
"72","AT1G15210"
"73","AT1G15290"
"74","AT1G15380"
"75","AT1G15750"
"76","AT1G15950"
"77","AT1G16180"
"78","AT1G16400"
"79","AT1G17290"
"80","AT1G17370"
"81","AT1G17745"
"82","AT1G18070"
"83","AT1G18270"
"84","AT1G18880"
"85","AT1G19000"
"86","AT1G19350"
"87","AT1G19450"
"88","AT1G19660"
"89","AT1G19770"
"90","AT1G19870"
"91","AT1G19910"
"92","AT1G19920"
"93","AT1G20010"
"94","AT1G20260"
"95","AT1G20330"
"96","AT1G20450"
"97","AT1G20840"
"98","AT1G20950"
"99","AT1G20960"
"100","AT1G20980"
"101","AT1G21110"
"102","AT1G21313"
"103","AT1G21440"
"104","AT1G21630"
"105","AT1G21750"
"106","AT1G22450"
"107","AT1G22530"
"108","AT1G22620"
"109","AT1G22780"
"110","AT1G22840"
"111","AT1G22930"
"112","AT1G23080"
"113","AT1G23190"
"114","AT1G23490"
"115","AT1G23720"
"116","AT1G23820"
"117","AT1G24180"
"118","AT1G24360"
"119","AT1G24510"
"120","AT1G25490"
"121","AT1G26110"
"122","AT1G26250"
"123","AT1G27030"
"124","AT1G27090"
"125","AT1G27400"
"126","AT1G27450"
"127","AT1G28400"
"128","AT1G29150"
"129","AT1G29350"
"130","AT1G29880"
"131","AT1G29900"
"132","AT1G30120"
"133","AT1G30270"
"134","AT1G30400"
"135","AT1G30510"
"136","AT1G30690"
"137","AT1G31180"
"138","AT1G31230"
"139","AT1G31420"
"140","AT1G31710"
"141","AT1G31730"
"142","AT1G31770"
"143","AT1G31812"
"144","AT1G31850"
"145","AT1G31970"
"146","AT1G32050"
"147","AT1G32230"
"148","AT1G32400"
"149","AT1G32630"
"150","AT1G32640"
"151","AT1G32790"
"152","AT1G33590"
"153","AT1G35160"
"154","AT1G35580"
"155","AT1G41830"
"156","AT1G41880"
"157","AT1G42960"
"158","AT1G43710"
"159","AT1G44170"
"160","AT1G44800"
"161","AT1G45130"
"162","AT1G45201"
"163","AT1G45688"
"164","AT1G47260"
"165","AT1G47420"
"166","AT1G47530"
"167","AT1G48300"
"168","AT1G48630"
"169","AT1G48650"
"170","AT1G48750"
"171","AT1G48760"
"172","AT1G48830"
"173","AT1G49340"
"174","AT1G49600"
"175","AT1G49860"
"176","AT1G49970"
"177","AT1G50250"
"178","AT1G50480"
"179","AT1G50920"
"180","AT1G51060"
"181","AT1G51070"
"182","AT1G51200"
"183","AT1G51570"
"184","AT1G51650"
"185","AT1G51680"
"186","AT1G52070"
"187","AT1G52300"
"188","AT1G52360"
"189","AT1G52760"
"190","AT1G53210"
"191","AT1G53310"
"192","AT1G53750"
"193","AT1G53910"
"194","AT1G54000"
"195","AT1G54080"
"196","AT1G54100"
"197","AT1G54270"
"198","AT1G54580"
"199","AT1G55020"
"200","AT1G55210"
"201","AT1G55350"
"202","AT1G55360"
"203","AT1G55850"
"204","AT1G55860"
"205","AT1G56110"
"206","AT1G56330"
"207","AT1G56570"
"208","AT1G56580"
"209","AT1G57680"
"210","AT1G58080"
"211","AT1G58380"
"212","AT1G60070"
"213","AT1G60680"
"214","AT1G61740"
"215","AT1G61790"
"216","AT1G62020"
"217","AT1G62180"
"218","AT1G62390"
"219","AT1G62570"
"220","AT1G62660"
"221","AT1G63000"
"222","AT1G63980"
"223","AT1G64090"
"224","AT1G64140"
"225","AT1G64190"
"226","AT1G64370"
"227","AT1G64390"
"228","AT1G64780"
"229","AT1G64790"
"230","AT1G65010"
"231","AT1G65290"
"232","AT1G65440"
"233","AT1G65840"
"234","AT1G65980"
"235","AT1G66180"
"236","AT1G66280"
"237","AT1G66410"
"238","AT1G66580"
"239","AT1G67230"
"240","AT1G67280"
"241","AT1G67730"
"242","AT1G67870"
"243","AT1G68840"
"244","AT1G69740"
"245","AT1G69830"
"246","AT1G70160"
"247","AT1G70310"
"248","AT1G70410"
"249","AT1G70490"
"250","AT1G70730"
"251","AT1G70770"
"252","AT1G70780"
"253","AT1G70940"
"254","AT1G71010"
"255","AT1G71220"
"256","AT1G71880"
"257","AT1G72150"
"258","AT1G72160"
"259","AT1G72700"
"260","AT1G72710"
"261","AT1G73230"
"262","AT1G73660"
"263","AT1G74030"
"264","AT1G74060"
"265","AT1G74100"
"266","AT1G74260"
"267","AT1G74840"
"268","AT1G74910"
"269","AT1G74920"
"270","AT1G74960"
"271","AT1G75280"
"272","AT1G75330"
"273","AT1G75380"
"274","AT1G75680"
"275","AT1G75750"
"276","AT1G75780"
"277","AT1G75950"
"278","AT1G76010"
"279","AT1G76030"
"280","AT1G76090"
"281","AT1G76160"
"282","AT1G76670"
"283","AT1G76680"
"284","AT1G76790"
"285","AT1G76810"
"286","AT1G76930"
"287","AT1G76990"
"288","AT1G77180"
"289","AT1G77520"
"290","AT1G77590"
"291","AT1G77940"
"292","AT1G78000"
"293","AT1G78080"
"294","AT1G78300"
"295","AT1G78830"
"296","AT1G78850"
"297","AT1G78920"
"298","AT1G79230"
"299","AT1G79280"
"300","AT1G79340"
"301","AT1G79530"
"302","AT1G79560"
"303","AT1G79600"
"304","AT1G79830"
"305","AT1G79930"
"306","AT1G79990"
"307","AT1G80300"
"308","AT1G80410"
"309","AT1G80600"
"310","AT2G01570"
"311","AT2G01820"
"312","AT2G01850"
"313","AT2G01950"
"314","AT2G01970"
"315","AT2G02100"
"316","AT2G02130"
"317","AT2G03090"
"318","AT2G03120"
"319","AT2G03680"
"320","AT2G03890"
"321","AT2G04170"
"322","AT2G04780"
"323","AT2G05220"
"324","AT2G05440"
"325","AT2G05790"
"326","AT2G05914"
"327","AT2G05990"
"328","AT2G06850"
"329","AT2G07050"
"330","AT2G07360"
"331","AT2G13560"
"332","AT2G14750"
"333","AT2G14890"
"334","AT2G14910"
"335","AT2G15970"
"336","AT2G17390"
"337","AT2G17420"
"338","AT2G17500"
"339","AT2G17930"
"340","AT2G18160"
"341","AT2G18440"
"342","AT2G19110"
"343","AT2G19480"
"344","AT2G19730"
"345","AT2G19760"
"346","AT2G20190"
"347","AT2G20360"
"348","AT2G20420"
"349","AT2G20580"
"350","AT2G20610"
"351","AT2G20760"
"352","AT2G20820"
"353","AT2G20860"
"354","AT2G20990"
"355","AT2G21160"
"356","AT2G21620"
"357","AT2G21870"
"358","AT2G22125"
"359","AT2G22170"
"360","AT2G22330"
"361","AT2G22430"
"362","AT2G22660"
"363","AT2G22670"
"364","AT2G23070"
"365","AT2G23090"
"366","AT2G23540"
"367","AT2G23600"
"368","AT2G24790"
"369","AT2G24980"
"370","AT2G25170"
"371","AT2G25430"
"372","AT2G25490"
"373","AT2G25520"
"374","AT2G25810"
"375","AT2G25970"
"376","AT2G26140"
"377","AT2G26890"
"378","AT2G26900"
"379","AT2G27510"
"380","AT2G27600"
"381","AT2G27710"
"382","AT2G27720"
"383","AT2G28290"
"384","AT2G28670"
"385","AT2G28671"
"386","AT2G28840"
"387","AT2G28910"
"388","AT2G28950"
"389","AT2G29080"
"390","AT2G29400"
"391","AT2G29550"
"392","AT2G29980"
"393","AT2G30110"
"394","AT2G30210"
"395","AT2G30440"
"396","AT2G30620"
"397","AT2G30970"
"398","AT2G31360"
"399","AT2G31390"
"400","AT2G31660"
"401","AT2G31670"
"402","AT2G31790"
"403","AT2G31880"
"404","AT2G31960"
"405","AT2G32060"
"406","AT2G32080"
"407","AT2G32240"
"408","AT2G32700"
"409","AT2G32730"
"410","AT2G33150"
"411","AT2G33340"
"412","AT2G33370"
"413","AT2G33770"
"414","AT2G34300"
"415","AT2G34590"
"416","AT2G34660"
"417","AT2G34680"
"418","AT2G35040"
"419","AT2G35050"
"420","AT2G35120"
"421","AT2G35610"
"422","AT2G35630"
"423","AT2G36120"
"424","AT2G36250"
"425","AT2G36290"
"426","AT2G36380"
"427","AT2G36460"
"428","AT2G36580"
"429","AT2G36620"
"430","AT2G36850"
"431","AT2G36910"
"432","AT2G37190"
"433","AT2G37270"
"434","AT2G38120"
"435","AT2G38170"
"436","AT2G38310"
"437","AT2G38380"
"438","AT2G38390"
"439","AT2G38700"
"440","AT2G38800"
"441","AT2G39390"
"442","AT2G39700"
"443","AT2G39770"
"444","AT2G40000"
"445","AT2G40140"
"446","AT2G40290"
"447","AT2G40360"
"448","AT2G40840"
"449","AT2G40890"
"450","AT2G40900"
"451","AT2G41220"
"452","AT2G41430"
"453","AT2G41740"
"454","AT2G42490"
"455","AT2G42590"
"456","AT2G42840"
"457","AT2G43090"
"458","AT2G43100"
"459","AT2G43160"
"460","AT2G43460"
"461","AT2G43680"
"462","AT2G43710"
"463","AT2G43750"
"464","AT2G43910"
"465","AT2G44060"
"466","AT2G44100"
"467","AT2G44120"
"468","AT2G44160"
"469","AT2G44350"
"470","AT2G44490"
"471","AT2G44670"
"472","AT2G44790"
"473","AT2G45290"
"474","AT2G45300"
"475","AT2G45470"
"476","AT2G45540"
"477","AT2G45820"
"478","AT2G46020"
"479","AT2G46280"
"480","AT2G46340"
"481","AT2G47000"
"482","AT2G47070"
"483","AT2G47170"
"484","AT2G47390"
"485","AT2G47470"
"486","AT2G47510"
"487","AT2G47590"
"488","AT2G47800"
"489","AT2G47940"
"490","AT3G01190"
"491","AT3G01290"
"492","AT3G01420"
"493","AT3G01470"
"494","AT3G01540"
"495","AT3G01910"
"496","AT3G02020"
"497","AT3G02230"
"498","AT3G02260"
"499","AT3G02350"
"500","AT3G02360"
"501","AT3G02560"
"502","AT3G02780"
"503","AT3G03050"
"504","AT3G03250"
"505","AT3G03380"
"506","AT3G03920"
"507","AT3G03960"
"508","AT3G04340"
"509","AT3G04730"
"510","AT3G05060"
"511","AT3G05530"
"512","AT3G05560"
"513","AT3G05840"
"514","AT3G05900"
"515","AT3G05905"
"516","AT3G06350"
"517","AT3G06400"
"518","AT3G06510"
"519","AT3G06650"
"520","AT3G06860"
"521","AT3G07100"
"522","AT3G07110"
"523","AT3G07160"
"524","AT3G07460"
"525","AT3G07470"
"526","AT3G07480"
"527","AT3G07770"
"528","AT3G08030"
"529","AT3G08510"
"530","AT3G08590"
"531","AT3G08610"
"532","AT3G08730"
"533","AT3G08850"
"534","AT3G09220"
"535","AT3G09390"
"536","AT3G10410"
"537","AT3G10860"
"538","AT3G10920"
"539","AT3G11560"
"540","AT3G11700"
"541","AT3G11710"
"542","AT3G11830"
"543","AT3G11910"
"544","AT3G12050"
"545","AT3G12390"
"546","AT3G12610"
"547","AT3G12630"
"548","AT3G13300"
"549","AT3G13410"
"550","AT3G13670"
"551","AT3G13790"
"552","AT3G13870"
"553","AT3G13930"
"554","AT3G14067"
"555","AT3G14230"
"556","AT3G14240"
"557","AT3G14600"
"558","AT3G14660"
"559","AT3G14690"
"560","AT3G14940"
"561","AT3G15000"
"562","AT3G15980"
"563","AT3G16080"
"564","AT3G16290"
"565","AT3G16340"
"566","AT3G16410"
"567","AT3G16430"
"568","AT3G16460"
"569","AT3G16530"
"570","AT3G16770"
"571","AT3G16910"
"572","AT3G17020"
"573","AT3G17240"
"574","AT3G17810"
"575","AT3G17820"
"576","AT3G18000"
"577","AT3G18060"
"578","AT3G18190"
"579","AT3G18290"
"580","AT3G18490"
"581","AT3G18740"
"582","AT3G19370"
"583","AT3G19450"
"584","AT3G19720"
"585","AT3G19760"
"586","AT3G20000"
"587","AT3G20050"
"588","AT3G20370"
"589","AT3G20380"
"590","AT3G20390"
"591","AT3G20770"
"592","AT3G21690"
"593","AT3G21770"
"594","AT3G22110"
"595","AT3G22200"
"596","AT3G22230"
"597","AT3G22240"
"598","AT3G22600"
"599","AT3G22620"
"600","AT3G22850"
"601","AT3G22960"
"602","AT3G23000"
"603","AT3G23050"
