TAIR,SYMBOL,Log2fc_.Col.0_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_dark.
AT4G23400,PIP1;5,1.26296,-0.2723158,0.3837596,-0.958285,0.2561359,-0.07961408,0.5996891,-0.5103785,2.255005,-1.535276,-0.8792007,-2.221245,-1.006824,-1.342574,-0.6632712,-1.773339,0.9920445,0.06690241,-1.196058,0.2586993,-1.004261
AT4G23710,VAG2,0.8130907,0.228761,0.5345162,0.2424398,0.06047993,-0.2576361,0.1309918,0.197803,0.4947169,-0.5843297,-0.2785745,-0.5706509,-0.7526108,-1.070727,-0.6820989,-0.6152877,-0.3183738,0.3261592,-0.4869315,0.4076689,-0.4054218
AT4G23850,LACS4,-0.1411932,-0.2875276,-0.1499683,-0.00366246,-0.1037029,0.3395282,-0.01287125,-0.001505983,0.08779255,-0.1463344,-0.008775063,0.1375308,0.03749028,0.4807214,0.128322,0.1396872,0.2289858,-0.2434987,-0.1023054,-0.2381033,-0.09691003
AT4G24220,5[beta]-StR,0.3880215,-0.6630999,-0.152643,-0.3511675,0.09054424,-0.2125655,0.5187375,0.0203531,0.9759982,-1.051121,-0.5406646,-0.739189,-0.2974773,-0.600587,0.130716,-0.3676684,0.5879766,-0.5973678,-0.9853894,-0.2579279,-0.6459494
AT4G24520,AR1,-0.3468508,-0.415086,-0.4350079,-0.127438,-0.07134022,0.05143376,0.08431827,-0.1943021,0.1963971,-0.0682352,-0.08815709,0.2194129,0.2755106,0.3982846,0.4311691,0.1525487,0.543248,-0.5105203,-0.1636695,-0.4389509,-0.09210004
AT4G26570,ATCBL3,0.1231943,0.06386238,-0.01869648,0.0707579,-0.08769945,-0.1887528,0.006289784,0.06959892,0.2091558,-0.0593319,-0.1418908,-0.05243638,-0.2108937,-0.3119471,-0.1169045,-0.05359536,0.08596153,0.08838222,-0.03481206,0.06205617,-0.0611381
AT4G27000,ATRBP45C,-0.3635544,-0.1230646,-0.6371934,-0.2655513,0.03904564,-0.03745056,-0.206508,-0.0405197,-0.1847386,0.2404898,-0.273639,0.09800311,0.4026001,0.3261039,0.1570465,0.3230347,0.1788159,-0.1794048,0.1841496,-0.08609084,0.2774636
AT4G27230,HTA2,-0.02109457,0.4677264,0.1143595,0.1333844,0.1878971,-0.2646304,-0.3408909,-0.07910303,-0.4975989,0.4888209,0.135454,0.154479,0.2089916,-0.2435358,-0.3197963,-0.05800846,-0.4765043,0.2524856,0.2735802,0.1474012,0.1684958
AT4G27320,ATPHOS34,0.3020949,-0.2077746,-0.05613429,-0.1131214,0.3230495,-0.4131124,0.2841179,0.144766,0.9248398,-0.5098695,-0.3582292,-0.4152163,0.0209546,-0.7152073,-0.01797701,-0.1573288,0.6227449,-0.1372955,-0.4393904,-0.1117366,-0.4138315
AT4G28410,RSA1,-0.4697761,-0.9328184,0.1882132,-0.3654428,-0.7566506,-0.4213395,-0.6255269,-0.2992585,-0.6818461,-0.4630424,0.6579892,0.1043332,-0.2868745,0.04843656,-0.1557508,0.1705175,-0.21207,-0.7080125,-0.2382365,-0.3751361,0.09463997
