"","WS_FLT_c1.which.mclass....6...1."
"1","AT1G01183"
"2","AT1G01190"
"3","AT1G01420"
"4","AT1G01453"
"5","AT1G01600"
"6","AT1G01695"
"7","AT1G02490"
"8","AT1G02650"
"9","AT1G02705"
"10","AT1G02710"
"11","AT1G02820"
"12","AT1G02980"
"13","AT1G03120"
"14","AT1G03170"
"15","AT1G03502"
"16","AT1G03506"
"17","AT1G03630"
"18","AT1G03710"
"19","AT1G03746"
"20","AT1G03790"
"21","AT1G03820"
"22","AT1G04007"
"23","AT1G04013"
"24","AT1G04023"
"25","AT1G04037"
"26","AT1G04073"
"27","AT1G04083"
"28","AT1G04147"
"29","AT1G04197"
"30","AT1G04217"
"31","AT1G04223"
"32","AT1G04227"
"33","AT1G04267"
"34","AT1G04273"
"35","AT1G04277"
"36","AT1G04343"
"37","AT1G04357"
"38","AT1G04363"
"39","AT1G04380"
"40","AT1G04397"
"41","AT1G04403"
"42","AT1G04467"
"43","AT1G04487"
"44","AT1G04493"
"45","AT1G04497"
"46","AT1G04500"
"47","AT1G04507"
"48","AT1G04523"
"49","AT1G04533"
"50","AT1G04560"
"51","AT1G04563"
"52","AT1G04577"
"53","AT1G04587"
"54","AT1G04625"
"55","AT1G04643"
"56","AT1G04657"
"57","AT1G04670"
"58","AT1G04703"
"59","AT1G04713"
"60","AT1G04767"
"61","AT1G04797"
"62","AT1G04800"
"63","AT1G04817"
"64","AT1G04827"
"65","AT1G04853"
"66","AT1G04877"
"67","AT1G04913"
"68","AT1G04933"
"69","AT1G05020"
"70","AT1G05023"
"71","AT1G05043"
"72","AT1G05047"
"73","AT1G05057"
"74","AT1G05083"
"75","AT1G05203"
"76","AT1G05207"
"77","AT1G05247"
"78","AT1G05253"
"79","AT1G05283"
"80","AT1G05303"
"81","AT1G05327"
"82","AT1G05383"
"83","AT1G05417"
"84","AT1G05447"
"85","AT1G05450"
"86","AT1G05463"
"87","AT1G05510"
"88","AT1G05517"
"89","AT1G05550"
"90","AT1G05703"
"91","AT1G05723"
"92","AT1G05813"
"93","AT1G05913"
"94","AT1G05920"
"95","AT1G05937"
"96","AT1G05977"
"97","AT1G05990"
"98","AT1G05997"
"99","AT1G06003"
"100","AT1G06017"
"101","AT1G06030"
"102","AT1G06087"
"103","AT1G06148"
"104","AT1G06153"
"105","AT1G06163"
"106","AT1G06170"
"107","AT1G06207"
"108","AT1G06217"
"109","AT1G06233"
"110","AT1G06237"
"111","AT1G06253"
"112","AT1G06257"
"113","AT1G06260"
"114","AT1G06337"
"115","AT1G06350"
"116","AT1G06457"
"117","AT1G06487"
"118","AT1G06547"
"119","AT1G06583"
"120","AT1G06587"
"121","AT1G06613"
"122","AT1G06645"
"123","AT1G06667"
"124","AT1G06687"
"125","AT1G06750"
"126","AT1G06753"
"127","AT1G06757"
"128","AT1G06830"
"129","AT1G06837"
"130","AT1G06963"
"131","AT1G06970"
"132","AT1G07023"
"133","AT1G07180"
"134","AT1G07267"
"135","AT1G07323"
"136","AT1G07340"
"137","AT1G07430"
"138","AT1G07476"
"139","AT1G07500"
"140","AT1G07517"
"141","AT1G07547"
"142","AT1G07563"
"143","AT1G07653"
"144","AT1G07657"
"145","AT1G07693"
"146","AT1G07697"
"147","AT1G07703"
"148","AT1G07850"
"149","AT1G07877"
"150","AT1G07880"
"151","AT1G07887"
"152","AT1G07963"
"153","AT1G08005"
"154","AT1G08073"
"155","AT1G08093"
"156","AT1G08097"
"157","AT1G08115"
"158","AT1G08120"
"159","AT1G08123"
"160","AT1G08147"
"161","AT1G08165"
"162","AT1G08273"
"163","AT1G08290"
"164","AT1G08323"
"165","AT1G08440"
"166","AT1G08513"
"167","AT1G08537"
"168","AT1G08543"
"169","AT1G08547"
"170","AT1G08557"
"171","AT1G08567"
"172","AT1G08597"
"173","AT1G08633"
"174","AT1G08643"
"175","AT1G08667"
"176","AT1G08697"
"177","AT1G08713"
"178","AT1G08810"
"179","AT1G08823"
"180","AT1G08827"
"181","AT1G08847"
"182","AT1G08860"
"183","AT1G08967"
"184","AT1G09003"
"185","AT1G09017"
"186","AT1G09080"
"187","AT1G09163"
"188","AT1G09176"
"189","AT1G09180"
"190","AT1G09233"
"191","AT1G09253"
"192","AT1G09267"
"193","AT1G09287"
"194","AT1G09323"
"195","AT1G09400"
"196","AT1G09410"
"197","AT1G09423"
"198","AT1G09427"
"199","AT1G09433"
"200","AT1G09447"
"201","AT1G09453"
"202","AT1G09467"
"203","AT1G09500"
"204","AT1G09510"
"205","AT1G09513"
"206","AT1G09527"
"207","AT1G09537"
"208","AT1G09553"
"209","AT1G09573"
"210","AT1G09607"
"211","AT1G09617"
"212","AT1G09663"
"213","AT1G09677"
"214","AT1G09687"
"215","AT1G09720"
"216","AT1G09753"
"217","AT1G09773"
"218","AT1G09793"
"219","AT1G09797"
"220","AT1G09803"
"221","AT1G09823"
"222","AT1G09833"
"223","AT1G09843"
"224","AT1G09853"
"225","AT1G09877"
"226","AT1G09897"
"227","AT1G09903"
"228","AT1G09907"
"229","AT1G09917"
"230","AT1G09950"
"231","AT1G10010"
"232","AT1G10110"
"233","AT1G10385"
"234","AT1G10455"
"235","AT1G10540"
"236","AT1G10550"
"237","AT1G10680"
"238","AT1G10747"
"239","AT1G10790"
"240","AT1G11112"
"241","AT1G11330"
"242","AT1G11350"
"243","AT1G11510"
"244","AT1G11560"
"245","AT1G11572"
"246","AT1G11590"
"247","AT1G11600"
"248","AT1G11920"
"249","AT1G12013"
"250","AT1G12070"
"251","AT1G12130"
"252","AT1G12294"
"253","AT1G12570"
"254","AT1G12900"
"255","AT1G13143"
"256","AT1G13230"
"257","AT1G13310"
"258","AT1G13400"
"259","AT1G13490"
"260","AT1G13500"
"261","AT1G13608"
"262","AT1G13790"
"263","AT1G14630"
"264","AT1G14640"
"265","AT1G14960"
"266","AT1G15015"
"267","AT1G15125"
"268","AT1G15320"
"269","AT1G15460"
"270","AT1G15540"
"271","AT1G15580"
"272","AT1G15600"
"273","AT1G15680"
"274","AT1G15772"
"275","AT1G15830"
"276","AT1G15840"
"277","AT1G15980"
"278","AT1G16120"
"279","AT1G16230"
"280","AT1G16260"
"281","AT1G16530"
"282","AT1G16705"
"283","AT1G16750"
"284","AT1G16770"
"285","AT1G16910"
"286","AT1G17240"
"287","AT1G17310"
"288","AT1G17380"
"289","AT1G17420"
"290","AT1G17600"
"291","AT1G17700"
"292","AT1G17810"
"293","AT1G17960"
"294","AT1G17990"
"295","AT1G18020"
"296","AT1G18310"
"297","AT1G18530"
"298","AT1G18879"
"299","AT1G18990"
"300","AT1G19160"
"301","AT1G19373"
"302","AT1G19610"
"303","AT1G20015"
"304","AT1G20080"
"305","AT1G20120"
"306","AT1G20130"
"307","AT1G20400"
"308","AT1G20870"
"309","AT1G20923"
"310","AT1G20925"
"311","AT1G20990"
"312","AT1G21120"
"313","AT1G21230"
"314","AT1G21510"
"315","AT1G21890"
"316","AT1G22080"
"317","AT1G22110"
"318","AT1G22250"
"319","AT1G22260"
"320","AT1G22290"
"321","AT1G22380"
"322","AT1G22590"
"323","AT1G22680"
"324","AT1G22900"
"325","AT1G23070"
"326","AT1G23450"
"327","AT1G23510"
"328","AT1G23730"
"329","AT1G23740"
"330","AT1G23935"
"331","AT1G23950"
"332","AT1G23965"
"333","AT1G24405"
"334","AT1G24470"
"335","AT1G24480"
"336","AT1G24485"
"337","AT1G24545"
"338","AT1G24570"
"339","AT1G24575"
"340","AT1G24800"
"341","AT1G25180"
"342","AT1G25277"
"343","AT1G25330"
"344","AT1G25422"
"345","AT1G26410"
"346","AT1G26510"
"347","AT1G26540"
"348","AT1G26560"
"349","AT1G26710"
"350","AT1G26790"
"351","AT1G27080"
"352","AT1G27180"
"353","AT1G27820"
"354","AT1G28010"
"355","AT1G28040"
"356","AT1G28170"
"357","AT1G28265"
"358","AT1G28327"
"359","AT1G28370"
"360","AT1G28570"
"361","AT1G28600"
