"","WS_c1.which.mclass....3...1."
"1","AT1G01080"
"2","AT1G01120"
"3","AT1G01200"
"4","AT1G01340"
"5","AT1G01380"
"6","AT1G01450"
"7","AT1G01570"
"8","AT1G01600"
"9","AT1G01610"
"10","AT1G01660"
"11","AT1G01700"
"12","AT1G01715"
"13","AT1G01740"
"14","AT1G01810"
"15","AT1G01840"
"16","AT1G01860"
"17","AT1G01880"
"18","AT1G02010"
"19","AT1G02020"
"20","AT1G02180"
"21","AT1G02220"
"22","AT1G02230"
"23","AT1G02260"
"24","AT1G02340"
"25","AT1G02380"
"26","AT1G02390"
"27","AT1G02400"
"28","AT1G02420"
"29","AT1G02450"
"30","AT1G02530"
"31","AT1G02575"
"32","AT1G02670"
"33","AT1G03100"
"34","AT1G03130"
"35","AT1G03200"
"36","AT1G03300"
"37","AT1G03310"
"38","AT1G03400"
"39","AT1G03510"
"40","AT1G03540"
"41","AT1G03545"
"42","AT1G03920"
"43","AT1G03940"
"44","AT1G03980"
"45","AT1G03990"
"46","AT1G03993"
"47","AT1G04047"
"48","AT1G04050"
"49","AT1G04067"
"50","AT1G04150"
"51","AT1G04160"
"52","AT1G04180"
"53","AT1G04220"
"54","AT1G04233"
"55","AT1G04247"
"56","AT1G04310"
"57","AT1G04330"
"58","AT1G04390"
"59","AT1G04425"
"60","AT1G04433"
"61","AT1G04477"
"62","AT1G04490"
"63","AT1G04513"
"64","AT1G04570"
"65","AT1G04580"
"66","AT1G04620"
"67","AT1G04650"
"68","AT1G04700"
"69","AT1G04707"
"70","AT1G04778"
"71","AT1G04823"
"72","AT1G04840"
"73","AT1G04880"
"74","AT1G04917"
"75","AT1G05030"
"76","AT1G05065"
"77","AT1G05087"
"78","AT1G05140"
"79","AT1G05163"
"80","AT1G05187"
"81","AT1G05230"
"82","AT1G05267"
"83","AT1G05277"
"84","AT1G05287"
"85","AT1G05300"
"86","AT1G05310"
"87","AT1G05370"
"88","AT1G05385"
"89","AT1G05397"
"90","AT1G05420"
"91","AT1G05453"
"92","AT1G05467"
"93","AT1G05530"
"94","AT1G05557"
"95","AT1G05577"
"96","AT1G05600"
"97","AT1G05630"
"98","AT1G05640"
"99","AT1G05670"
"100","AT1G05690"
"101","AT1G05767"
"102","AT1G05773"
"103","AT1G05820"
"104","AT1G05837"
"105","AT1G05873"
"106","AT1G05950"
"107","AT1G06080"
"108","AT1G06140"
"109","AT1G06143"
"110","AT1G06265"
"111","AT1G06287"
"112","AT1G06320"
"113","AT1G06330"
"114","AT1G06350"
"115","AT1G06357"
"116","AT1G06430"
"117","AT1G06440"
"118","AT1G06460"
"119","AT1G06473"
"120","AT1G06580"
"121","AT1G06643"
"122","AT1G06647"
"123","AT1G06680"
"124","AT1G06710"
"125","AT1G06740"
"126","AT1G06787"
"127","AT1G06980"
"128","AT1G07119"
"129","AT1G07160"
"130","AT1G07270"
"131","AT1G07290"
"132","AT1G07390"
"133","AT1G07400"
"134","AT1G07485"
"135","AT1G07620"
"136","AT1G07667"
"137","AT1G07733"
"138","AT1G07737"
"139","AT1G07753"
"140","AT1G07897"
"141","AT1G07902"
"142","AT1G07903"
"143","AT1G07937"
"144","AT1G08003"
"145","AT1G08070"
"146","AT1G08087"
"147","AT1G08270"
"148","AT1G08283"
"149","AT1G08293"
"150","AT1G08300"
"151","AT1G08310"
"152","AT1G08387"
"153","AT1G08463"
"154","AT1G08540"
"155","AT1G08730"
"156","AT1G08753"
"157","AT1G09023"
"158","AT1G09040"
"159","AT1G09050"
"160","AT1G09155"
"161","AT1G09195"
"162","AT1G09220"
"163","AT1G09247"
"164","AT1G09327"
"165","AT1G09340"
"166","AT1G09415"
"167","AT1G09421"
"168","AT1G09443"
"169","AT1G09493"
"170","AT1G09497"
"171","AT1G09523"
"172","AT1G09530"
"173","AT1G09533"
"174","AT1G09543"
"175","AT1G09600"
"176","AT1G09610"
"177","AT1G09627"
"178","AT1G09650"
"179","AT1G09673"
"180","AT1G09680"
"181","AT1G09710"
"182","AT1G09783"
"183","AT1G09812"
"184","AT1G09860"
"185","AT1G09880"
"186","AT1G09910"
"187","AT1G09930"
"188","AT1G09963"
"189","AT1G09987"
"190","AT1G09993"
"191","AT1G10090"
"192","AT1G10330"
"193","AT1G10340"
"194","AT1G10417"
"195","AT1G10460"
"196","AT1G10560"
"197","AT1G10610"
"198","AT1G10800"
"199","AT1G10875"
"200","AT1G10920"
"201","AT1G10960"
"202","AT1G11080"
"203","AT1G11100"
"204","AT1G11125"
"205","AT1G11160"
"206","AT1G11170"
"207","AT1G11270"
"208","AT1G11280"
"209","AT1G11290"
"210","AT1G11320"
"211","AT1G11440"
"212","AT1G11500"
"213","AT1G11540"
"214","AT1G11591"
"215","AT1G11700"
"216","AT1G11710"
"217","AT1G11880"
"218","AT1G11900"
"219","AT1G11915"
"220","AT1G11960"
"221","AT1G12030"
"222","AT1G12060"
"223","AT1G12211"
"224","AT1G12220"
"225","AT1G12250"
"226","AT1G12290"
"227","AT1G12300"
"228","AT1G12330"
"229","AT1G12370"
"230","AT1G12480"
"231","AT1G12550"
"232","AT1G12620"
"233","AT1G12700"
"234","AT1G12775"
"235","AT1G12805"
"236","AT1G12860"
"237","AT1G13040"
"238","AT1G13050"
"239","AT1G13090"
"240","AT1G13100"
"241","AT1G13140"
"242","AT1G13250"
"243","AT1G13330"
"244","AT1G13340"
"245","AT1G13420"
"246","AT1G13448"
"247","AT1G13550"
"248","AT1G13609"
"249","AT1G13780"
"250","AT1G13800"
"251","AT1G13820"
"252","AT1G14030"
"253","AT1G14150"
"254","AT1G14185"
"255","AT1G14190"
"256","AT1G14205"
"257","AT1G14260"
"258","AT1G14270"
"259","AT1G14280"
"260","AT1G14500"
"261","AT1G14540"
"262","AT1G14660"
"263","AT1G14680"
"264","AT1G14750"
"265","AT1G14780"
"266","AT1G14790"
"267","AT1G15050"
"268","AT1G15175"
"269","AT1G15180"
"270","AT1G15190"
"271","AT1G15415"
"272","AT1G15510"
"273","AT1G15720"
"274","AT1G15790"
"275","AT1G15820"
"276","AT1G15900"
"277","AT1G16110"
"278","AT1G16160"
"279","AT1G16225"
"280","AT1G16360"
"281","AT1G16370"
"282","AT1G16390"
"283","AT1G16400"
"284","AT1G16445"
"285","AT1G16480"
"286","AT1G16490"
"287","AT1G16500"
"288","AT1G16515"
"289","AT1G16640"
"290","AT1G16720"
"291","AT1G16780"
"292","AT1G16905"
"293","AT1G17065"
"294","AT1G17100"
"295","AT1G17200"
"296","AT1G17230"
"297","AT1G17232"
"298","AT1G17235"
"299","AT1G17250"
"300","AT1G17255"
"301","AT1G17480"
"302","AT1G17630"
"303","AT1G17744"
"304","AT1G17750"
"305","AT1G17820"
"306","AT1G17920"
"307","AT1G17940"
"308","AT1G17950"
"309","AT1G18000"
"310","AT1G18010"
"311","AT1G18140"
"312","AT1G18170"
"313","AT1G18200"
"314","AT1G18280"
"315","AT1G18382"
