"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
1.01306757374597e-24,157,1133,"Carboxylic acid metabolic process ","AT1G09620 AT1G11860 AT1G14610 AT1G18640 AT1G29880 AT1G29900 AT1G50200 AT1G75330 AT1G78660 AT2G02390 AT2G26080 AT2G26400 AT2G30200 AT2G31810 AT2G34770 AT2G36580 AT2G43710 AT2G43750 AT2G44160 AT2G44350 AT2G47510 AT3G02760 AT3G06300 AT3G06350 AT3G11710 AT3G12290 AT3G22200 AT3G22960 AT3G23940 AT3G27740 AT3G52990 AT3G53580 AT3G54640 AT3G55360 AT3G55410 AT3G57050 AT3G59760 AT3G59970 AT3G61440 AT3G62120 AT3G63250 AT4G10320 AT4G14710 AT4G14716 AT4G14880 AT4G20870 AT4G24620 AT4G24830 AT4G31180 AT4G31810 AT4G34180 AT4G35630 AT4G35830 AT5G08100 AT5G08300 AT5G08570 AT5G11670 AT5G11880 AT5G26710 AT5G26780 AT5G26830 AT5G27470 AT5G46290 AT5G51040 AT5G54810 AT5G66760 AT2G43820 AT2G46370 AT3G29360 AT3G48560 AT3G51840 AT5G15490 AT5G39320 AT1G01090 AT1G08480 AT1G13280 AT1G14810 AT1G15040 AT1G17290 AT1G20950 AT1G22410 AT1G24180 AT1G30120 AT1G30820 AT1G31860 AT1G43710 AT1G53310 AT1G55920 AT1G63660 AT1G64190 AT1G66200 AT1G67730 AT1G74030 AT2G01490 AT2G22230 AT2G30970 AT2G34590 AT2G37040 AT2G38040 AT2G43360 AT3G02360 AT3G10850 AT3G12800 AT3G13110 AT3G17810 AT3G25860 AT3G27380 AT3G47520 AT3G47833 AT3G48530 AT3G49680 AT3G56310 AT4G13430 AT4G23850 AT4G28410 AT4G29840 AT4G30530 AT4G30950 AT4G31990 AT4G33680 AT4G38220 AT5G03290 AT5G07440 AT5G10160 AT5G10330 AT5G11520 AT5G36880 AT5G37510 AT5G41670 AT5G56680 AT5G62575 AT5G42890 AT1G08110 AT1G11840 AT4G30440 AT1G05680 AT1G05850 AT1G35580 AT1G52670 AT2G26300 AT2G37250 AT2G39770 AT2G45790 AT3G07560 AT3G15730 AT3G23820 AT3G56130 AT4G31500 AT5G07350 AT5G40770 AT5G47120 AT5G47435 AT5G49450 AT5G60620 AT5G67490 AT3G16950 AT3G44310"
7.80804245016026e-24,169,1302,"Organic acid metabolic process ","AT1G09620 AT1G11860 AT1G14610 AT1G18640 AT1G29880 AT1G29900 AT1G50200 AT1G75330 AT1G78660 AT2G02390 AT2G26080 AT2G26400 AT2G30200 AT2G31810 AT2G34770 AT2G36580 AT2G43710 AT2G43750 AT2G44160 AT2G44350 AT2G47510 AT3G02760 AT3G06300 AT3G06350 AT3G11710 AT3G12290 AT3G22200 AT3G22960 AT3G23940 AT3G27740 AT3G28740 AT3G52990 AT3G53580 AT3G54640 AT3G55360 AT3G55410 AT3G57050 AT3G59760 AT3G59970 AT3G61440 AT3G62120 AT3G63250 AT4G10320 AT4G14710 AT4G14716 AT4G14880 AT4G20870 AT4G24620 AT4G24830 AT4G31180 AT4G31810 AT4G34180 AT4G35630 AT4G35830 AT5G08100 AT5G08300 AT5G08570 AT5G11670 AT5G11880 AT5G26710 AT5G26780 AT5G26830 AT5G27470 AT5G46290 AT5G51040 AT5G54810 AT5G66760 AT2G43820 AT2G43910 AT2G46370 AT3G29360 AT3G48560 AT3G51840 AT4G30530 AT4G31500 AT5G15490 AT5G39320 AT1G01090 AT1G08480 AT1G13280 AT1G14810 AT1G15040 AT1G17290 AT1G20950 AT1G22410 AT1G24180 AT1G30120 AT1G30820 AT1G31860 AT1G43710 AT1G53310 AT1G55920 AT1G63660 AT1G64190 AT1G66200 AT1G67730 AT1G74030 AT2G01490 AT2G22230 AT2G30970 AT2G34590 AT2G37040 AT2G38040 AT2G43360 AT3G02360 AT3G10850 AT3G12800 AT3G13110 AT3G17810 AT3G23490 AT3G25860 AT3G27380 AT3G47520 AT3G47833 AT3G48530 AT3G49680 AT3G56310 AT4G13430 AT4G23850 AT4G28410 AT4G29840 AT4G30950 AT4G31990 AT4G33680 AT4G38220 AT5G03290 AT5G07440 AT5G10160 AT5G10330 AT5G11520 AT5G36880 AT5G37510 AT5G41670 AT5G56680 AT5G62575 AT5G42890 AT1G08110 AT1G11840 AT4G30440 AT1G05680 AT1G05850 AT1G35580 AT1G52670 AT1G66140 AT1G76790 AT2G26300 AT2G37250 AT2G39770 AT2G45790 AT3G07560 AT3G15730 AT3G23430 AT3G23820 AT3G56130 AT4G00830 AT4G23100 AT5G07350 AT5G24400 AT5G40770 AT5G47120 AT5G47435 AT5G49450 AT5G54680 AT5G60620 AT5G61590 AT5G63790 AT5G67490 AT3G16950 AT3G44310"
1.13097054641696e-23,168,1299,"Oxoacid metabolic process ","AT1G09620 AT1G11860 AT1G14610 AT1G18640 AT1G29880 AT1G29900 AT1G50200 AT1G75330 AT1G78660 AT2G02390 AT2G26080 AT2G26400 AT2G30200 AT2G31810 AT2G34770 AT2G36580 AT2G43710 AT2G43750 AT2G44160 AT2G44350 AT2G47510 AT3G02760 AT3G06300 AT3G06350 AT3G11710 AT3G12290 AT3G22200 AT3G22960 AT3G23940 AT3G27740 AT3G28740 AT3G52990 AT3G53580 AT3G54640 AT3G55360 AT3G55410 AT3G57050 AT3G59760 AT3G59970 AT3G61440 AT3G62120 AT3G63250 AT4G10320 AT4G14710 AT4G14716 AT4G14880 AT4G20870 AT4G24620 AT4G24830 AT4G31180 AT4G31810 AT4G34180 AT4G35630 AT4G35830 AT5G08100 AT5G08300 AT5G08570 AT5G11670 AT5G11880 AT5G26710 AT5G26780 AT5G26830 AT5G27470 AT5G46290 AT5G51040 AT5G54810 AT5G66760 AT2G43820 AT2G43910 AT2G46370 AT3G29360 AT3G48560 AT3G51840 AT4G30530 AT4G31500 AT5G15490 AT5G39320 AT1G01090 AT1G08480 AT1G13280 AT1G14810 AT1G15040 AT1G17290 AT1G20950 AT1G22410 AT1G24180 AT1G30120 AT1G30820 AT1G31860 AT1G43710 AT1G53310 AT1G55920 AT1G63660 AT1G64190 AT1G66200 AT1G67730 AT1G74030 AT2G01490 AT2G22230 AT2G30970 AT2G34590 AT2G37040 AT2G38040 AT2G43360 AT3G02360 AT3G10850 AT3G12800 AT3G13110 AT3G17810 AT3G25860 AT3G27380 AT3G47520 AT3G47833 AT3G48530 AT3G49680 AT3G56310 AT4G13430 AT4G23850 AT4G28410 AT4G29840 AT4G30950 AT4G31990 AT4G33680 AT4G38220 AT5G03290 AT5G07440 AT5G10160 AT5G10330 AT5G11520 AT5G36880 AT5G37510 AT5G41670 AT5G56680 AT5G62575 AT5G42890 AT1G08110 AT1G11840 AT4G30440 AT1G05680 AT1G05850 AT1G35580 AT1G52670 AT1G66140 AT1G76790 AT2G26300 AT2G37250 AT2G39770 AT2G45790 AT3G07560 AT3G15730 AT3G23430 AT3G23820 AT3G56130 AT4G00830 AT4G23100 AT5G07350 AT5G24400 AT5G40770 AT5G47120 AT5G47435 AT5G49450 AT5G54680 AT5G60620 AT5G61590 AT5G63790 AT5G67490 AT3G16950 AT3G44310"
1.40839668333448e-22,75,348,"Response to cadmium ion ","AT1G35720 AT3G03170 AT4G14030 AT4G14880 AT4G35090 AT1G02130 AT1G04510 AT1G08110 AT1G11840 AT1G11860 AT1G13060 AT1G17290 AT1G23190 AT1G29150 AT1G29880 AT1G48030 AT1G50200 AT1G54270 AT1G63770 AT1G63940 AT1G64550 AT1G68560 AT1G78870 AT1G79930 AT2G21250 AT2G24200 AT2G24765 AT2G30970 AT2G32240 AT2G41530 AT2G43750 AT2G44060 AT2G44350 AT3G02530 AT3G09440 AT3G11830 AT3G13110 AT3G15730 AT3G17240 AT3G22200 AT3G22890 AT3G22960 AT3G23990 AT3G25230 AT3G48000 AT3G52990 AT3G53620 AT3G54470 AT3G57610 AT3G60750 AT4G02520 AT4G10320 AT4G11360 AT4G11600 AT4G13430 AT4G20890 AT4G22670 AT4G23100 AT4G24280 AT4G29040 AT4G31180 AT4G31990 AT4G35450 AT4G37870 AT5G07350 AT5G07440 AT5G08300 AT5G10540 AT5G11170 AT5G11670 AT5G16050 AT5G27470 AT5G41670 AT5G56680 AT5G64250"
7.60886120509894e-22,216,1963,"Small molecule metabolic process ","AT1G05620 AT1G09620 AT1G10030 AT1G11860 AT1G14610 AT1G16350 AT1G16700 AT1G18640 AT1G23190 AT1G29880 AT1G29900 AT1G30820 AT1G31910 AT1G50200 AT1G63000 AT1G63660 AT1G74340 AT1G75330 AT1G78660 AT1G80230 AT2G02390 AT2G07671 AT2G07698 AT2G26080 AT2G26400 AT2G30200 AT2G31810 AT2G34770 AT2G36580 AT2G38700 AT2G42910 AT2G43710 AT2G43750 AT2G44050 AT2G44160 AT2G44350 AT2G45790 AT2G47510 AT2G47650 AT3G02760 AT3G03250 AT3G06300 AT3G06350 AT3G11710 AT3G12290 AT3G17810 AT3G22200 AT3G22960 AT3G23940 AT3G27740 AT3G28740 AT3G46940 AT3G51160 AT3G52990 AT3G53580 AT3G54640 AT3G55360 AT3G55410 AT3G57050 AT3G57610 AT3G59760 AT3G59970 AT3G60750 AT3G61440 AT3G62120 AT3G63250 AT4G10320 AT4G11820 AT4G13720 AT4G14710 AT4G14716 AT4G14880 AT4G20870 AT4G22930 AT4G24620 AT4G24830 AT4G31180 AT4G31810 AT4G34180 AT4G35630 AT4G35830 AT4G37870 AT4G39800 AT5G08100 AT5G08300 AT5G08530 AT5G08570 AT5G11670 AT5G11880 AT5G24400 AT5G24760 AT5G26710 AT5G26780 AT5G26830 AT5G27470 AT5G28050 AT5G40810 AT5G46290 AT5G51040 AT5G54810 AT5G59290 AT5G66760 AT1G76490 AT2G43820 AT2G43910 AT2G46370 AT3G29360 AT3G48560 AT3G51840 AT4G30530 AT4G31500 AT5G15490 AT5G23670 AT5G39320 AT5G60340 AT1G01090 AT1G08480 AT1G13280 AT1G14810 AT1G15040 AT1G17290 AT1G20260 AT1G20950 AT1G22410 AT1G24180 AT1G30120 AT1G31860 AT1G43710 AT1G50430 AT1G53310 AT1G55920 AT1G64190 AT1G66200 AT1G67730 AT1G71340 AT1G74030 AT2G01490 AT2G22230 AT2G30970 AT2G34590 AT2G37040 AT2G37250 AT2G38040 AT2G39770 AT2G41530 AT2G43360 AT3G02360 AT3G10850 AT3G12800 AT3G13110 AT3G23490 AT3G25860 AT3G27380 AT3G47520 AT3G47833 AT3G48530 AT3G49680 AT3G54470 AT3G56310 AT3G57550 AT3G57650 AT4G13430 AT4G17190 AT4G23850 AT4G28410 AT4G29840 AT4G30950 AT4G31990 AT4G33680 AT4G38220 AT4G38510 AT5G03290 AT5G07440 AT5G10160 AT5G10330 AT5G11520 AT5G23220 AT5G36880 AT5G37510 AT5G41670 AT5G47435 AT5G56680 AT5G57655 AT5G62575 ATMG01190 AT5G42890 AT1G08110 AT1G11840 AT4G30440 AT1G05680 AT1G05850 AT1G35580 AT1G52670 AT1G66140 AT1G76790 AT2G26300 AT3G07560 AT3G15730 AT3G23430 AT3G23820 AT3G56130 AT4G00830 AT4G23100 AT5G07350 AT5G40770 AT5G47120 AT5G49450 AT5G54680 AT5G60620 AT5G61590 AT5G63790 AT5G67490 AT3G06650 AT3G16950 AT3G44310 AT5G49460"
9.45686785231785e-21,87,485,"Response to metal ion ","AT1G35720 AT3G03170 AT3G20770 AT4G14030 AT4G14880 AT4G20260 AT2G33740 AT4G35090 AT1G02130 AT1G04510 AT1G08110 AT1G11840 AT1G11860 AT1G13060 AT1G16470 AT1G17290 AT1G23190 AT1G29150 AT1G29880 AT1G48030 AT1G50200 AT1G54270 AT1G63770 AT1G63940 AT1G64550 AT1G68560 AT1G78870 AT1G79930 AT2G21250 AT2G24200 AT2G24765 AT2G30970 AT2G32240 AT2G41530 AT2G43750 AT2G44060 AT2G44350 AT3G02530 AT3G07720 AT3G09440 AT3G11830 AT3G13110 AT3G15730 AT3G17240 AT3G22200 AT3G22890 AT3G22960 AT3G23990 AT3G25190 AT3G25230 AT3G48000 AT3G52990 AT3G53620 AT3G54470 AT3G57610 AT3G60750 AT4G02520 AT4G10320 AT4G11360 AT4G11600 AT4G13430 AT4G20890 AT4G22670 AT4G23100 AT4G24280 AT4G29040 AT4G31180 AT4G31990 AT4G35450 AT4G37870 AT4G38220 AT5G07350 AT5G07440 AT5G08300 AT5G10540 AT5G11170 AT5G11670 AT5G13740 AT5G16050 AT5G27470 AT5G41670 AT5G44610 AT5G56680 AT5G64250 AT5G09830 AT3G51920 AT4G26570"
6.57048874068053e-20,133,995,"Response to inorganic substance ","AT1G32450 AT1G35720 AT2G16850 AT2G37180 AT3G03170 AT3G20770 AT4G00430 AT4G23400 AT4G35090 AT5G60660 AT4G14030 AT4G14880 AT4G20260 AT2G33740 AT2G44060 AT2G46140 AT3G56880 AT1G02130 AT1G04510 AT1G05680 AT1G08110 AT1G11840 AT1G11860 AT1G13060 AT1G16470 AT1G17290 AT1G22190 AT1G23190 AT1G29150 AT1G29880 AT1G35580 AT1G48030 AT1G50200 AT1G54270 AT1G63770 AT1G63940 AT1G64550 AT1G68560 AT1G73260 AT1G78870 AT1G79930 AT2G14210 AT2G15970 AT2G21250 AT2G24200 AT2G24765 AT2G28740 AT2G30970 AT2G32240 AT2G39770 AT2G41530 AT2G43750 AT2G44350 AT3G02530 AT3G07720 AT3G09440 AT3G10985 AT3G11830 AT3G13110 AT3G15730 AT3G17240 AT3G22200 AT3G22890 AT3G22960 AT3G23990 AT3G25190 AT3G25230 AT3G45930 AT3G46320 AT3G48000 AT3G52990 AT3G53620 AT3G53730 AT3G54470 AT3G57610 AT3G60750 AT4G02520 AT4G10320 AT4G11360 AT4G11600 AT4G13430 AT4G20890 AT4G21830 AT4G22670 AT4G23100 AT4G24280 AT4G29040 AT4G31180 AT4G31990 AT4G35450 AT4G37870 AT4G38220 AT5G07350 AT5G07440 AT5G08300 AT5G10540 AT5G11170 AT5G11670 AT5G13740 AT5G16050 AT5G27470 AT5G41670 AT5G44610 AT5G47120 AT5G56680 AT5G61590 AT5G64250 AT1G05850 AT1G19120 AT1G32230 AT1G36060 AT1G69600 AT1G74920 AT1G80410 AT2G04030 AT2G18960 AT2G37040 AT2G43350 AT2G46370 AT3G12490 AT3G12630 AT3G22380 AT3G51920 AT4G01370 AT4G24275 AT5G03740 AT5G08620 AT5G09830 AT5G13750 AT5G40770 AT5G48870 AT5G56030 AT4G26570"
8.5416677471167e-20,137,1046,"Cellular amide metabolic process ","AT1G04170 AT1G07070 AT1G07830 AT1G09150 AT1G09620 AT1G14610 AT1G18070 AT1G29880 AT1G29900 AT1G31910 AT1G49860 AT1G50200 AT1G51730 AT1G52600 AT1G63770 AT1G78340 AT1G78660 AT1G80780 AT2G02390 AT2G15910 AT2G21290 AT2G22425 AT2G29420 AT2G29490 AT2G38700 AT2G39960 AT2G44065 AT2G44160 AT3G01790 AT3G02760 AT3G11250 AT3G11710 AT3G11800 AT3G12290 AT3G22200 AT3G27740 AT3G43800 AT3G59970 AT3G62120 AT4G02520 AT4G10320 AT4G11420 AT4G11820 AT4G19210 AT4G20980 AT4G23620 AT4G24830 AT4G31180 AT4G35490 AT4G39520 AT5G02050 AT5G08100 AT5G08300 AT5G10540 AT5G10960 AT5G15610 AT5G25754 AT5G26710 AT5G26780 AT5G26830 AT5G27430 AT5G27470 AT5G27640 AT5G66860 ATCG00830 AT1G76490 AT2G25900 AT4G23100 AT1G01090 AT1G06220 AT1G07210 AT1G15250 AT1G16740 AT1G23410 AT1G24180 AT1G26110 AT1G26740 AT1G29965 AT1G36730 AT1G48410 AT1G54270 AT1G58983 AT1G76810 AT2G16930 AT2G18110 AT2G18400 AT2G20060 AT2G34520 AT2G34750 AT2G38040 AT2G40290 AT2G43360 AT2G45710 AT3G06040 AT3G06320 AT3G16780 AT3G17465 AT3G18760 AT3G19030 AT3G49100 AT3G55620 AT3G56310 AT3G57490 AT3G59650 AT3G61240 AT4G18040 AT4G25890 AT4G28360 AT4G29430 AT4G30800 AT4G30930 AT4G31460 AT4G34620 AT4G36420 AT5G09770 AT5G15220 AT5G18790 AT5G20180 AT5G23535 AT5G35620 AT5G35680 AT5G36880 AT5G37475 AT5G47320 AT5G54160 AT5G54760 AT5G54940 AT5G56680 AT5G57870 AT1G43190 AT3G01470 AT5G18480 AT5G47435 AT3G06650 AT3G16950 AT3G25860 AT5G49460"
6.52924193052028e-19,295,3194,"Response to chemical ","AT1G11670 AT1G19180 AT1G20950 AT1G27350 AT1G32450 AT1G35720 AT1G45000 AT1G70410 AT2G07698 AT2G16850 AT2G23780 AT2G24150 AT2G30050 AT2G36580 AT2G37180 AT2G38310 AT3G01340 AT3G03170 AT3G09440 AT3G20770 AT3G22960 AT3G27740 AT3G52960 AT3G52990 AT4G00430 AT4G17870 AT4G23400 AT4G24280 AT4G28270 AT4G28910 AT4G33580 AT4G35090 AT5G05440 AT5G07460 AT5G07470 AT5G08570 AT5G20900 AT5G24760 AT5G26780 AT5G28540 AT5G39340 AT5G53160 AT5G60660 AT5G63600 AT1G11910 AT1G16350 AT1G16880 AT1G19870 AT1G51980 AT1G59610 AT1G74030 AT2G01530 AT2G14835 AT2G32240 AT2G43750 AT2G44060 AT2G46540 AT3G02180 AT3G05000 AT3G22890 AT3G25230 AT3G27890 AT3G32980 AT3G47520 AT3G54640 AT4G00830 AT4G10380 AT4G14030 AT4G14880 AT4G20260 AT4G24520 AT4G27320 AT4G33680 AT4G35630 AT5G04430 AT5G16840 AT5G20650 AT5G42890 AT5G46290 AT5G60980 AT1G04250 AT1G05850 AT1G15100 AT1G15500 AT1G19350 AT1G22190 AT1G25490 AT1G36060 AT1G49570 AT1G49860 AT1G53910 AT1G66140 AT1G75270 AT1G76520 AT1G78340 AT2G02390 AT2G14900 AT2G15490 AT2G18980 AT2G25490 AT2G26300 AT2G29420 AT2G29490 AT2G33740 AT2G37130 AT2G38120 AT2G41530 AT2G43350 AT2G46140 AT2G46370 AT2G46690 AT3G02260 AT3G04730 AT3G14230 AT3G15730 AT3G21770 AT3G28860 AT3G43800 AT3G48560 AT3G56880 AT3G59280 AT3G63080 AT3G63310 AT4G02520 AT4G02570 AT4G03190 AT4G11600 AT4G18710 AT4G26410 AT4G33420 AT4G33780 AT4G35890 AT4G39400 AT5G13910 AT5G14920 AT5G17820 AT5G25890 AT5G34850 AT5G37740 AT5G42180 AT5G42190 AT5G43700 AT5G61590 AT5G61600 AT5G64100 AT1G02130 AT1G03850 AT1G04510 AT1G05680 AT1G08110 AT1G11840 AT1G11860 AT1G13060 AT1G16470 AT1G17290 AT1G23190 AT1G29150 AT1G29880 AT1G35580 AT1G48030 AT1G50200 AT1G54270 AT1G63770 AT1G63840 AT1G63940 AT1G64550 AT1G66180 AT1G68560 AT1G73260 AT1G77180 AT1G78870 AT1G79930 AT2G06850 AT2G14210 AT2G15970 AT2G21250 AT2G24200 AT2G24765 AT2G28740 AT2G30970 AT2G39770 AT2G44350 AT3G02530 AT3G03990 AT3G07720 AT3G10985 AT3G11830 AT3G13110 AT3G17240 AT3G22200 AT3G23990 AT3G25190 AT3G45930 AT3G46060 AT3G46130 AT3G46320 AT3G48000 AT3G52800 AT3G53620 AT3G53730 AT3G54470 AT3G55620 AT3G57610 AT3G60750 AT3G63210 AT4G01370 AT4G10320 AT4G11360 AT4G12550 AT4G13180 AT4G13430 AT4G20890 AT4G21830 AT4G22670 AT4G23100 AT4G29040 AT4G31180 AT4G31990 AT4G35450 AT4G37870 AT4G38220 AT5G03740 AT5G06320 AT5G07350 AT5G07440 AT5G08300 AT5G08790 AT5G09980 AT5G10540 AT5G11170 AT5G11670 AT5G13180 AT5G13740 AT5G16050 AT5G18520 AT5G27470 AT5G40770 AT5G41670 AT5G44610 AT5G47120 AT5G49450 AT5G56680 AT5G59090 AT5G64250 AT1G22530 AT1G48410 AT2G23070 AT3G48680 AT3G51670 AT5G45550 AT5G63510 AT1G01720 AT1G06400 AT1G16610 AT1G19120 AT1G20160 AT1G32230 AT1G69600 AT1G74660 AT1G74920 AT1G80410 AT2G04030 AT2G18960 AT2G34690 AT2G37040 AT3G12490 AT3G12630 AT3G13300 AT3G16950 AT3G22380 AT3G50360 AT3G51920 AT3G53480 AT4G08950 AT4G08980 AT4G24275 AT4G32150 AT4G32330 AT4G36800 AT5G03455 AT5G08620 AT5G09830 AT5G13750 AT5G20570 AT5G42790 AT5G48870 AT5G49720 AT5G56030 AT1G06390 AT2G30980 AT1G15210 AT4G26570 AT1G31340 AT2G43710 AT3G61440"
1.21916824746926e-18,199,1865,"Organonitrogen compound biosynthetic process ","AT1G04170 AT1G07070 AT1G07830 AT1G09150 AT1G09620 AT1G14610 AT1G16350 AT1G18070 AT1G18640 AT1G23820 AT1G27350 AT1G29880 AT1G29900 AT1G30820 AT1G50200 AT1G51730 AT1G63660 AT1G74340 AT1G75330 AT1G80230 AT1G80780 AT2G07671 AT2G07698 AT2G15910 AT2G21290 AT2G31810 AT2G36580 AT2G42910 AT2G43750 AT2G44050 AT2G44065 AT2G44160 AT2G45790 AT3G01790 AT3G02760 AT3G07720 AT3G11250 AT3G11710 AT3G11800 AT3G22200 AT3G22960 AT3G23940 AT3G27740 AT3G29360 AT3G46940 AT3G52990 AT3G53580 AT3G54640 AT3G57050 AT3G57610 AT3G59760 AT3G59970 AT3G61440 AT3G62120 AT3G63250 AT4G10320 AT4G11420 AT4G14880 AT4G19210 AT4G20980 AT4G21150 AT4G22930 AT4G23620 AT4G24620 AT4G24830 AT4G31180 AT4G35490 AT4G35630 AT4G39520 AT5G02050 AT5G08570 AT5G10960 AT5G11880 AT5G15490 AT5G15610 AT5G25754 AT5G26710 AT5G26780 AT5G26830 AT5G27470 AT5G27640 AT5G39320 AT5G40810 AT5G54810 AT5G57020 AT5G66860 ATCG00830 AT1G48600 AT2G25900 AT3G48560 AT4G23100 AT4G31500 AT5G23670 AT1G01090 AT1G06220 AT1G07210 AT1G13560 AT1G14810 AT1G15250 AT1G16740 AT1G20950 AT1G22410 AT1G23410 AT1G24180 AT1G26110 AT1G26740 AT1G29965 AT1G30120 AT1G31860 AT1G36730 AT1G48410 AT1G54270 AT1G55920 AT1G58983 AT1G66200 AT1G74030 AT1G74920 AT1G76810 AT1G80860 AT2G16930 AT2G18110 AT2G18400 AT2G20060 AT2G26400 AT2G34520 AT2G34590 AT2G34750 AT2G38040 AT2G40290 AT2G43360 AT2G45710 AT3G06040 AT3G06320 AT3G06350 AT3G13110 AT3G16780 AT3G17465 AT3G17810 AT3G18760 AT3G19030 AT3G25860 AT3G49100 AT3G49680 AT3G54470 AT3G55620 AT3G56310 AT3G57490 AT3G57650 AT3G59650 AT3G61240 AT4G13430 AT4G14710 AT4G14716 AT4G18040 AT4G25890 AT4G28360 AT4G29430 AT4G29840 AT4G30800 AT4G30930 AT4G31460 AT4G33680 AT4G34620 AT4G36420 AT5G09770 AT5G10330 AT5G15220 AT5G18790 AT5G19690 AT5G20180 AT5G23220 AT5G23535 AT5G35620 AT5G35680 AT5G36880 AT5G37475 AT5G47320 AT5G47435 AT5G54160 AT5G54760 AT5G54940 AT5G56680 AT5G57870 ATMG01190 AT1G43190 AT1G06515 AT1G76790 AT2G26300 AT2G37250 AT3G01470 AT4G00830 AT4G20260 AT4G30530 AT4G39800 AT5G18480 AT3G06650 AT3G16950 AT3G44310 AT5G49460"
