"","col_GC_c1.which.mclass....4...1."
"1","AT1G01550"
"2","AT1G01720"
"3","AT1G01800"
"4","AT1G02130"
"5","AT1G02840"
"6","AT1G02900"
"7","AT1G03330"
"8","AT1G03410"
"9","AT1G03850"
"10","AT1G03860"
"11","AT1G03900"
"12","AT1G04170"
"13","AT1G04183"
"14","AT1G04250"
"15","AT1G04340"
"16","AT1G04503"
"17","AT1G04630"
"18","AT1G04680"
"19","AT1G04850"
"20","AT1G04870"
"21","AT1G05205"
"22","AT1G05347"
"23","AT1G05720"
"24","AT1G05927"
"25","AT1G06040"
"26","AT1G06110"
"27","AT1G06200"
"28","AT1G06390"
"29","AT1G06515"
"30","AT1G07070"
"31","AT1G07080"
"32","AT1G07170"
"33","AT1G07210"
"34","AT1G07420"
"35","AT1G07790"
"36","AT1G07830"
"37","AT1G07887"
"38","AT1G07960"
"39","AT1G08110"
"40","AT1G08580"
"41","AT1G08650"
"42","AT1G08880"
"43","AT1G09150"
"44","AT1G09330"
"45","AT1G09620"
"46","AT1G09740"
"47","AT1G09760"
"48","AT1G10030"
"49","AT1G10120"
"50","AT1G10200"
"51","AT1G11475"
"52","AT1G11545"
"53","AT1G11650"
"54","AT1G11670"
"55","AT1G11840"
"56","AT1G11860"
"57","AT1G11910"
"58","AT1G12110"
"59","AT1G12390"
"60","AT1G12440"
"61","AT1G12910"
"62","AT1G13060"
"63","AT1G13280"
"64","AT1G13380"
"65","AT1G13560"
"66","AT1G13590"
"67","AT1G13930"
"68","AT1G14010"
"69","AT1G14210"
"70","AT1G14620"
"71","AT1G14670"
"72","AT1G14830"
"73","AT1G14860"
"74","AT1G14870"
"75","AT1G14900"
"76","AT1G15040"
"77","AT1G15100"
"78","AT1G15210"
"79","AT1G15340"
"80","AT1G15350"
"81","AT1G15370"
"82","AT1G15400"
"83","AT1G15500"
"84","AT1G15950"
"85","AT1G16000"
"86","AT1G16170"
"87","AT1G16240"
"88","AT1G16470"
"89","AT1G16560"
"90","AT1G16610"
"91","AT1G16740"
"92","AT1G16880"
"93","AT1G17080"
"94","AT1G17170"
"95","AT1G17180"
"96","AT1G17370"
"97","AT1G17860"
"98","AT1G17890"
"99","AT1G18450"
"100","AT1G18640"
"101","AT1G18800"
"102","AT1G18880"
"103","AT1G19120"
"104","AT1G19130"
"105","AT1G19350"
"106","AT1G19360"
"107","AT1G19570"
"108","AT1G19870"
"109","AT1G19960"
"110","AT1G20100"
"111","AT1G20190"
"112","AT1G20200"
"113","AT1G20220"
"114","AT1G20260"
"115","AT1G20430"
"116","AT1G20450"
"117","AT1G20850"
"118","AT1G20960"
"119","AT1G21000"
"120","AT1G21090"
"121","AT1G21190"
"122","AT1G21313"
"123","AT1G21770"
"124","AT1G21780"
"125","AT1G22190"
"126","AT1G22410"
"127","AT1G22520"
"128","AT1G22880"
"129","AT1G23400"
"130","AT1G23410"
"131","AT1G23440"
"132","AT1G23750"
"133","AT1G23820"
"134","AT1G23860"
"135","AT1G24180"
"136","AT1G24880"
"137","AT1G24881"
"138","AT1G24996"
"139","AT1G25490"
"140","AT1G26110"
"141","AT1G26470"
"142","AT1G26550"
"143","AT1G26670"
"144","AT1G26750"
"145","AT1G26850"
"146","AT1G27090"
"147","AT1G27130"
"148","AT1G27290"
"149","AT1G27435"
"150","AT1G27650"
"151","AT1G28400"
"152","AT1G29150"
"153","AT1G29350"
"154","AT1G29370"
"155","AT1G29470"
"156","AT1G29850"
"157","AT1G29900"
"158","AT1G29990"
"159","AT1G30120"
"160","AT1G30360"
"161","AT1G30510"
"162","AT1G30820"
"163","AT1G30880"
"164","AT1G31770"
"165","AT1G31860"
"166","AT1G31970"
"167","AT1G32170"
"168","AT1G32230"
"169","AT1G32580"
"170","AT1G32790"
"171","AT1G33470"
"172","AT1G34418"
"173","AT1G35516"
"174","AT1G35580"
"175","AT1G36060"
"176","AT1G36730"
"177","AT1G43190"
"178","AT1G43790"
"179","AT1G43890"
"180","AT1G45000"
"181","AT1G47128"
"182","AT1G47200"
"183","AT1G47278"
"184","AT1G47395"
"185","AT1G47400"
"186","AT1G47640"
"187","AT1G47670"
"188","AT1G47830"
"189","AT1G48160"
"190","AT1G48200"
"191","AT1G48440"
"192","AT1G49140"
"193","AT1G49300"
"194","AT1G49310"
"195","AT1G49470"
"196","AT1G49480"
"197","AT1G49500"
"198","AT1G50060"
"199","AT1G50200"
"200","AT1G50370"
"201","AT1G50430"
"202","AT1G51070"
"203","AT1G51160"
"204","AT1G51680"
"205","AT1G51730"
"206","AT1G51980"
"207","AT1G52200"
"208","AT1G52600"
"209","AT1G52670"
"210","AT1G52720"
"211","AT1G52910"
"212","AT1G52930"
"213","AT1G53210"
"214","AT1G53320"
"215","AT1G53480"
"216","AT1G53580"
"217","AT1G53850"
"218","AT1G53910"
"219","AT1G54000"
"220","AT1G54080"
"221","AT1G54270"
"222","AT1G54320"
"223","AT1G54690"
"224","AT1G55920"
"225","AT1G56680"
"226","AT1G56700"
"227","AT1G57620"
"228","AT1G57680"
"229","AT1G58235"
"230","AT1G58380"
"231","AT1G59610"
"232","AT1G59900"
"233","AT1G60710"
"234","AT1G60780"
"235","AT1G61250"
"236","AT1G61780"
"237","AT1G62280"
"238","AT1G62790"
"239","AT1G63000"
"240","AT1G63180"
"241","AT1G63220"
"242","AT1G63660"
"243","AT1G63840"
"244","AT1G63940"
"245","AT1G63980"
"246","AT1G64190"
"247","AT1G64640"
"248","AT1G64650"
"249","AT1G64720"
"250","AT1G65010"
"251","AT1G65220"
"252","AT1G65845"
"253","AT1G65960"
