"","X","col_GC_c1.which.mclass....6...1."
"735",735,"AT1G65840"
"2220",2220,"AT3G62770"
"1923",1923,"AT3G26440"
"2639",2639,"AT4G33550"
"3313",3313,"AT5G50430"
"603",603,"AT1G53530"
"130",130,"AT1G07950"
"1255",1255,"AT2G30920"
"2416",2416,"AT4G16447"
"3202",3202,"AT5G41940"
"2842",2842,"AT5G06570"
"2063",2063,"AT3G52105"
"1419",1419,"AT2G42030"
"2105",2105,"AT3G54750"
"3367",3367,"AT5G54380"
"1272",1272,"AT2G32080"
"2875",2875,"AT5G09410"
"3145",3145,"AT5G35320"
"632",632,"AT1G55730"
"2866",2866,"AT5G08565"
"3056",3056,"AT5G22100"
"146",146,"AT1G08477"
"3550",3550,"AT5G64730"
"3502",3502,"AT5G62580"
"2585",2585,"AT4G30580"
"695",695,"AT1G62422"
"2838",2838,"AT5G06340"
"391",391,"AT1G26945"
"2053",2053,"AT3G51310"
"343",343,"AT1G22930"
"763",763,"AT1G68150"
"1528",1528,"AT3G02245"
"3061",3061,"AT5G22450"
"3335",3335,"AT5G51980"
"831",831,"AT1G72840"
"3598",3598,"AT5G66850"
"1084",1084,"AT2G18840"
"2176",2176,"AT3G59765"
"964",964,"AT2G02090"
"3035",3035,"AT5G19570"
"786",786,"AT1G69450"
"3588",3588,"AT5G66380"
"773",773,"AT1G68820"
"333",333,"AT1G22280"
"1135",1135,"AT2G22120"
"1939",1939,"AT3G27390"
"3363",3363,"AT5G53860"
"2610",2610,"AT4G31870"
"2134",2134,"AT3G56740"
"3245",3245,"AT5G45020"
"2177",2177,"AT3G59770"
"3147",3147,"AT5G35430"
"1443",1443,"AT2G43980"
"574",574,"AT1G50940"
"2488",2488,"AT4G24015"
"1821",1821,"AT3G18980"
"901",901,"AT1G78290"
"916",916,"AT1G79440"
"2417",2417,"AT4G16510"
"1550",1550,"AT3G03330"
"1426",1426,"AT2G42490"
"1515",1515,"AT3G01516"
"301",301,"AT1G19530"
"497",497,"AT1G35670"
"209",209,"AT1G13120"
"1577",1577,"AT3G05010"
"1387",1387,"AT2G39760"
"3221",3221,"AT5G43280"
"2929",2929,"AT5G12440"
"255",255,"AT1G16010"
"1516",1516,"AT3G01560"
"3336",3336,"AT5G52060"
"2768",2768,"AT5G01960"
"329",329,"AT1G21980"
"2833",2833,"AT5G06265"
"1693",1693,"AT3G11770"
"2283",2283,"AT4G02980"
"1619",1619,"AT3G07315"
"3451",3451,"AT5G59430"
"3293",3293,"AT5G49360"
"2850",2850,"AT5G06950"
"81",81,"AT1G05270"
"535",535,"AT1G47820"
"2264",2264,"AT4G01700"
"1988",1988,"AT3G45190"
"1323",1323,"AT2G36250"
"1293",1293,"AT2G33800"
"427",427,"AT1G28510"
"3300",3300,"AT5G49760"
"1944",1944,"AT3G27850"
"2082",2082,"AT3G53120"
"1796",1796,"AT3G17340"
"197",197,"AT1G11930"
"4",4,"AT1G01210"
"2867",2867,"AT5G08580"
"1211",1211,"AT2G27470"
"929",929,"AT1G80270"
"86",86,"AT1G05430"
"1199",1199,"AT2G26810"
"3552",3552,"AT5G64816"
"2120",2120,"AT3G55600"
"245",245,"AT1G15405"
"241",241,"AT1G15130"
"2107",2107,"AT3G54860"
"1785",1785,"AT3G16440"
"1905",1905,"AT3G24750"
"2301",2301,"AT4G04972"
"430",430,"AT1G28960"
"3006",3006,"AT5G17530"
"1722",1722,"AT3G13235"
"1645",1645,"AT3G09180"
"819",819,"AT1G71900"
"2771",2771,"AT5G01990"
"2452",2452,"AT4G19700"
"541",541,"AT1G48240"
"2410",2410,"AT4G16260"
"184",184,"AT1G10900"
"1005",1005,"AT2G07690"
"1955",1955,"AT3G28970"
"2557",2557,"AT4G28470"
"1320",1320,"AT2G36080"
"1896",1896,"AT3G24350"
"2578",2578,"AT4G30210"
"89",89,"AT1G05523"
"2502",2502,"AT4G24940"
"2938",2938,"AT5G13260"
"3378",3378,"AT5G55230"
"2070",2070,"AT3G52390"
"2529",2529,"AT4G26720"
"646",646,"AT1G56550"
"1914",1914,"AT3G25790"
"96",96,"AT1G05870"
"1008",1008,"AT2G09795"
"2634",2634,"AT4G33150"
"1600",1600,"AT3G06530"
"2934",2934,"AT5G13050"
"3194",3194,"AT5G41190"
"3609",3609,"AT5G67330"
"973",973,"AT2G03070"
"733",733,"AT1G65650"
"2703",2703,"AT4G36990"
"3331",3331,"AT5G51620"
"1204",1204,"AT2G27050"
"2444",2444,"AT4G19045"
"373",373,"AT1G25380"
"182",182,"AT1G10820"
"2797",2797,"AT5G03860"
"47",47,"AT1G03687"
"1117",1117,"AT2G20740"
"392",392,"AT1G26960"
"205",205,"AT1G12760"
"2789",2789,"AT5G03280"
"1076",1076,"AT2G18410"
"1626",1626,"AT3G07565"
"1904",1904,"AT3G24740"
"3384",3384,"AT5G55550"
"1182",1182,"AT2G25950"
"2616",2616,"AT4G32420"
"1841",1841,"AT3G20500"
"480",480,"AT1G33780"
"1975",1975,"AT3G44150"
"136",136,"AT1G08130"
"2338",2338,"AT4G10280"
"3231",3231,"AT5G44005"
"1477",1477,"AT2G46340"
"1375",1375,"AT2G39420"
"459",459,"AT1G31760"
"2677",2677,"AT4G35580"
"1500",1500,"AT2G47840"
"3377",3377,"AT5G55210"
"629",629,"AT1G55535"
"315",315,"AT1G20823"
"2747",2747,"AT4G39460"
"2635",2635,"AT4G33300"
"1325",1325,"AT2G36307"
"2872",2872,"AT5G09300"
"3101",3101,"AT5G25060"
"393",393,"AT1G27050"
"2535",2535,"AT4G27180"
"2517",2517,"AT4G26000"
"114",114,"AT1G06790"
"3262",3262,"AT5G46620"
"2342",2342,"AT4G10640"
"756",756,"AT1G67810"
"291",291,"AT1G18980"
"2376",2376,"AT4G14300"
"3388",3388,"AT5G55920"
"445",445,"AT1G30000"
"422",422,"AT1G28310"
"979",979,"AT2G03505"
"2347",2347,"AT4G11060"
"1636",1636,"AT3G08640"
"2836",2836,"AT5G06290"
"2406",2406,"AT4G15920"
"3622",3622,"ATMG00660"
"751",751,"AT1G67140"
"1966",1966,"AT3G33520"
"2587",2587,"AT4G30662"
"3397",3397,"AT5G56460"
"1114",1114,"AT2G20610"
"1790",1790,"AT3G16840"
"2118",2118,"AT3G55490"
"978",978,"AT2G03470"
"481",481,"AT1G33790"
"311",311,"AT1G20540"
"337",337,"AT1G22510"
"1805",1805,"AT3G17650"
"3584",3584,"AT5G66160"
"1103",1103,"AT2G19880"
"2731",2731,"AT4G38280"
"717",717,"AT1G63970"
"1483",1483,"AT2G46830"
"404",404,"AT1G27540"
"437",437,"AT1G29390"
"2398",2398,"AT4G15520"
"3343",3343,"AT5G52540"
"1639",1639,"AT3G08760"
"3537",3537,"AT5G63980"
"2604",2604,"AT4G31550"
"3157",3157,"AT5G36210"
"192",192,"AT1G11430"
"732",732,"AT1G65520"
"1309",1309,"AT2G35320"
"2149",2149,"AT3G58020"
"1401",1401,"AT2G40800"
"3565",3565,"AT5G65495"
"2615",2615,"AT4G32270"
"492",492,"AT1G34630"
"3155",3155,"AT5G35980"
"2623",2623,"AT4G32850"
"1572",1572,"AT3G04770"
"429",429,"AT1G28680"
"1494",1494,"AT2G47500"
"935",935,"AT1G80600"
"2599",2599,"AT4G31420"
"2273",2273,"AT4G02200"
"2430",2430,"AT4G17830"
"3449",3449,"AT5G59350"
"2133",2133,"AT3G56720"
"1413",1413,"AT2G41740"
"2336",2336,"AT4G10080"
"1407",1407,"AT2G41220"
"3339",3339,"AT5G52180"
"703",703,"AT1G63260"
"458",458,"AT1G31730"
"2344",2344,"AT4G10750"
"1091",1091,"AT2G19385"
"2755",2755,"AT4G40050"
"2006",2006,"AT3G47590"
"2131",2131,"AT3G56210"
"1129",1129,"AT2G21340"
"90",90,"AT1G05570"
"6",6,"AT1G01290"
"1566",1566,"AT3G04480"
"518",518,"AT1G45015"
"2195",2195,"AT3G60800"
"2505",2505,"AT4G25230"
"3170",3170,"AT5G38220"
"3285",3285,"AT5G48600"
"153",153,"AT1G08680"
"1485",1485,"AT2G46930"
"3009",3009,"AT5G17890"
"3063",3063,"AT5G22770"
"15",15,"AT1G01920"
"3591",3591,"AT5G66540"
"3445",3445,"AT5G59030"
"1068",1068,"AT2G17640"
"2165",2165,"AT3G58840"
"2103",2103,"AT3G54690"
"2368",2368,"AT4G13590"
"3616",3616,"ATCG00180"
"1748",1748,"AT3G14560"
"498",498,"AT1G36160"
"3005",3005,"AT5G17440"
"3359",3359,"AT5G53590"
"1628",1628,"AT3G07630"
"2579",2579,"AT4G30280"
"1611",1611,"AT3G07020"
"2822",2822,"AT5G05540"
"3123",3123,"AT5G26742"
"1169",1169,"AT2G24640"
"2965",2965,"AT5G14710"
"1292",1292,"AT2G33770"
"1734",1734,"AT3G13790"
"899",899,"AT1G78110"
"1258",1258,"AT2G31082"
"1802",1802,"AT3G17580"
"70",70,"AT1G04970"
"1643",1643,"AT3G09090"
"2908",2908,"AT5G11710"
"2899",2899,"AT5G11010"
"1162",1162,"AT2G24170"
"3166",3166,"AT5G37770"
"668",668,"AT1G60080"
"1263",1263,"AT2G31510"
"1560",1560,"AT3G03880"
"2091",2091,"AT3G53970"
"851",851,"AT1G74970"
"2362",2362,"AT4G13050"
"3351",3351,"AT5G53280"
"423",423,"AT1G28340"
"403",403,"AT1G27520"
"543",543,"AT1G48450"
"319",319,"AT1G21380"
"3053",3053,"AT5G21990"
"739",739,"AT1G66250"
"3452",3452,"AT5G59450"
"2780",2780,"AT5G02600"
"878",878,"AT1G76600"
"1744",1744,"AT3G14190"
"1072",1072,"AT2G18090"
"2126",2126,"AT3G55960"
"2011",2011,"AT3G47850"
"2436",2436,"AT4G18600"
"1708",1708,"AT3G12560"
"482",482,"AT1G33810"
"106",106,"AT1G06130"
"151",151,"AT1G08657"
"1026",1026,"AT2G15320"
"1310",1310,"AT2G35470"
"2093",2093,"AT3G54140"
"2208",2208,"AT3G61990"
"1861",1861,"AT3G21465"
"3540",3540,"AT5G64070"
"2441",2441,"AT4G18880"
"270",270,"AT1G17430"
"2164",2164,"AT3G58750"
"206",206,"AT1G12820"
"845",845,"AT1G74090"
"3402",3402,"AT5G56740"
"2337",2337,"AT4G10180"
"2574",2574,"AT4G29680"
"2690",2690,"AT4G36500"
"1178",1178,"AT2G25710"
"1215",1215,"AT2G27740"
"25",25,"AT1G02520"
"578",578,"AT1G51420"
"340",340,"AT1G22750"
"1308",1308,"AT2G34840"
"820",820,"AT1G71940"
"2003",2003,"AT3G47470"
"507",507,"AT1G43860"
"3060",3060,"AT5G22320"
"27",27,"AT1G02690"
"2562",2562,"AT4G28820"
"3380",3380,"AT5G55280"
"1711",1711,"AT3G12680"
"2500",2500,"AT4G24760"
"789",789,"AT1G69780"
"3133",3133,"AT5G27830"
"2970",2970,"AT5G14910"
"611",611,"AT1G53920"
"772",772,"AT1G68760"
"266",266,"AT1G17110"
"1930",1930,"AT3G26890"
"1713",1713,"AT3G12830"
"2309",2309,"AT4G05450"
"9",9,"AT1G01540"
"2922",2922,"AT5G12120"
"2374",2374,"AT4G14147"
"1918",1918,"AT3G25940"
"635",635,"AT1G55880"
"663",663,"AT1G58440"
"2608",2608,"AT4G31790"
"2462",2462,"AT4G20360"
"1061",1061,"AT2G17410"
"765",765,"AT1G68370"
"1539",1539,"AT3G02920"
"2129",2129,"AT3G56120"
"2554",2554,"AT4G28190"
"2835",2835,"AT5G06280"
"2473",2473,"AT4G22230"
"1463",1463,"AT2G45250"
"51",51,"AT1G04030"
"2439",2439,"AT4G18780"
"3",3,"AT1G01110"
"21",21,"AT1G02150"
"818",818,"AT1G71865"
"3572",3572,"AT5G65830"
"2724",2724,"AT4G37790"
"486",486,"AT1G34020"
"1246",1246,"AT2G30130"
"2284",2284,"AT4G03020"
"3265",3265,"AT5G47010"
"2681",2681,"AT4G35860"
"3437",3437,"AT5G58560"
"2013",2013,"AT3G47930"
"913",913,"AT1G79270"
"2419",2419,"AT4G16630"
"2927",2927,"AT5G12370"
"3077",3077,"AT5G23400"
"3165",3165,"AT5G37720"
"1898",1898,"AT3G24503"
"857",857,"AT1G75350"
"1764",1764,"AT3G15190"
"2481",2481,"AT4G22756"
"3553",3553,"AT5G64850"
"1240",1240,"AT2G29440"
"2137",2137,"AT3G56930"
"2662",2662,"AT4G34840"
"844",844,"AT1G73930"
"2825",2825,"AT5G05690"
"513",513,"AT1G44750"
"2790",2790,"AT5G03370"
"1415",1415,"AT2G41790"
"2984",2984,"AT5G16000"
"821",821,"AT1G72090"
"2972",2972,"AT5G15130"
"577",577,"AT1G51390"
"2414",2414,"AT4G16430"
"3191",3191,"AT5G40980"
"3144",3144,"AT5G35160"
"2400",2400,"AT4G15550"
"3431",3431,"AT5G58200"
"2140",2140,"AT3G57000"
"1581",1581,"AT3G05150"
"212",212,"AT1G13220"
"3052",3052,"AT5G21060"
"3490",3490,"AT5G61960"
"1776",1776,"AT3G16060"
"725",725,"AT1G64920"
"3386",3386,"AT5G55730"
"2253",2253,"AT4G00840"
"3617",3617,"ATCG00340"
"903",903,"AT1G78520"
"983",983,"AT2G03830"
"1553",1553,"AT3G03500"
"1227",1227,"AT2G28520"
"1595",1595,"AT3G06345"
"338",338,"AT1G22610"
"52",52,"AT1G04070"
"918",918,"AT1G79690"
"2868",2868,"AT5G08630"
"2072",2072,"AT3G52480"
"943",943,"AT2G01010"
"1646",1646,"AT3G09320"
"1362",1362,"AT2G38650"
"911",911,"AT1G79200"
"2785",2785,"AT5G03160"
"1150",1150,"AT2G23080"
"107",107,"AT1G06190"
"2352",2352,"AT4G11790"
"490",490,"AT1G34320"
"2255",2255,"AT4G00905"
"946",946,"AT2G01150"
"1540",1540,"AT3G02935"
"1677",1677,"AT3G10810"
"67",67,"AT1G04910"
"1571",1571,"AT3G04740"
"1614",1614,"AT3G07200"
"2269",2269,"AT4G02010"
"2424",2424,"AT4G17310"
"2461",2461,"AT4G20325"
"2841",2841,"AT5G06560"
"2277",2277,"AT4G02640"
"3211",3211,"AT5G42770"
"3186",3186,"AT5G40610"
"2343",2343,"AT4G10710"
"1779",1779,"AT3G16190"
"939",939,"AT1G80890"
"3419",3419,"AT5G57685"
"213",213,"AT1G13245"
"1865",1865,"AT3G22170"
"3427",3427,"AT5G58010"
"2002",2002,"AT3G47360"
"2858",2858,"AT5G08280"
"1487",1487,"AT2G47060"
"3457",3457,"AT5G59550"
"868",868,"AT1G76240"
"3039",3039,"AT5G20070"
"1924",1924,"AT3G26560"
"992",992,"AT2G04880"
"1690",1690,"AT3G11620"
"904",904,"AT1G78620"
"1863",1863,"AT3G21640"
"271",271,"AT1G17490"
"3261",3261,"AT5G46530"
"664",664,"AT1G59600"
"1164",1164,"AT2G24280"
"444",444,"AT1G29980"
"1302",1302,"AT2G34410"
"1593",1593,"AT3G06130"
"2750",2750,"AT4G39690"
"2247",2247,"AT4G00420"
"1179",1179,"AT2G25730"
"394",394,"AT1G27150"
"1167",1167,"AT2G24580"
"1729",1729,"AT3G13560"
"2527",2527,"AT4G26660"
"3410",3410,"AT5G57230"
"65",65,"AT1G04810"
"1631",1631,"AT3G07800"
"3090",3090,"AT5G24410"
"759",759,"AT1G67950"
"1220",1220,"AT2G28080"
"560",560,"AT1G49860"
"2397",2397,"AT4G15420"
"1283",1283,"AT2G32980"
"3606",3606,"AT5G67250"
"2086",2086,"AT3G53370"
"2876",2876,"AT5G09450"
"3281",3281,"AT5G48240"
"873",873,"AT1G76440"
"1098",1098,"AT2G19572"
"3523",3523,"AT5G63610"
"1332",1332,"AT2G36890"
"601",601,"AT1G53500"
"726",726,"AT1G64990"
"2788",2788,"AT5G03260"
"60",60,"AT1G04530"
"334",334,"AT1G22330"
"3517",3517,"AT5G63260"
"3082",3082,"AT5G23630"
"749",749,"AT1G67105"
"2573",2573,"AT4G29660"
"2514",2514,"AT4G25720"
"1702",1702,"AT3G12280"
"16",16,"AT1G01990"
"729",729,"AT1G65030"
"3116",3116,"AT5G26180"
"1449",1449,"AT2G44370"
"3197",3197,"AT5G41400"
"3325",3325,"AT5G51430"
"2178",2178,"AT3G59800"
"822",822,"AT1G72175"
"1367",1367,"AT2G39080"
"2603",2603,"AT4G31530"
"2879",2879,"AT5G09590"
"1759",1759,"AT3G15020"
"1276",1276,"AT2G32600"
"1234",1234,"AT2G28900"
"3171",3171,"AT5G38380"
"1983",1983,"AT3G44720"
"80",80,"AT1G05220"
"2251",2251,"AT4G00752"
"2431",2431,"AT4G17940"
"537",537,"AT1G47900"
"985",985,"AT2G04305"
