"","col_GC_c1.which.mclass....8...1."
"290","AT1G32920"
"291","AT1G33040"
"292","AT1G33050"
"293","AT1G33055"
"294","AT1G33110"
"295","AT1G33230"
"296","AT1G33240"
"297","AT1G33265"
"298","AT1G33520"
"299","AT1G33680"
"300","AT1G33800"
"301","AT1G33990"
"302","AT1G34110"
"303","AT1G34350"
"304","AT1G34370"
"305","AT1G34430"
"306","AT1G35190"
"307","AT1G35680"
"308","AT1G35780"
"309","AT1G36050"
"310","AT1G36310"
"311","AT1G37130"
"312","AT1G41830"
"313","AT1G42480"
"314","AT1G43130"
"315","AT1G43580"
"316","AT1G43700"
"317","AT1G44770"
"318","AT1G44810"
"319","AT1G44835"
"320","AT1G45130"
"321","AT1G45688"
"322","AT1G46264"
"323","AT1G47250"
"324","AT1G47290"
"325","AT1G47490"
"326","AT1G47740"
"327","AT1G48030"
"328","AT1G48140"
"329","AT1G48170"
"330","AT1G48230"
"331","AT1G48330"
"332","AT1G48350"
"333","AT1G48410"
"334","AT1G48420"
"335","AT1G48610"
"336","AT1G48620"
"337","AT1G48790"
"338","AT1G48850"
"339","AT1G49320"
"340","AT1G49400"
"341","AT1G49590"
"342","AT1G49820"
"343","AT1G49850"
"344","AT1G49950"
"345","AT1G49970"
"346","AT1G50050"
"347","AT1G50480"
"348","AT1G50640"
"349","AT1G50660"
"350","AT1G50670"
"351","AT1G50710"
"352","AT1G50740"
"353","AT1G51570"
"354","AT1G51630"
"355","AT1G51690"
"356","AT1G51710"
"357","AT1G51760"
"358","AT1G51850"
"359","AT1G52060"
"360","AT1G52280"
"361","AT1G52360"
"362","AT1G52380"
"363","AT1G52710"
"364","AT1G52980"
"365","AT1G53000"
"366","AT1G53310"
"367","AT1G53380"
"368","AT1G53400"
"369","AT1G53760"
"370","AT1G53840"
"371","AT1G54030"
"372","AT1G54360"
"373","AT1G54460"
"374","AT1G54610"
"375","AT1G54770"
"376","AT1G54830"
"377","AT1G54990"
"378","AT1G55160"
"379","AT1G55190"
"380","AT1G55205"
"381","AT1G55210"
"382","AT1G55310"
"383","AT1G55340"
"384","AT1G55520"
"385","AT1G55805"
"386","AT1G55840"
"387","AT1G55850"
"388","AT1G55890"
"389","AT1G56200"
"390","AT1G57540"
"391","AT1G57765"
"392","AT1G58080"
"393","AT1G58270"
"394","AT1G59580"
"395","AT1G59830"
"396","AT1G59960"
"397","AT1G60010"
"398","AT1G60070"
"399","AT1G60660"
"400","AT1G60770"
"401","AT1G60810"
"402","AT1G60940"
"403","AT1G61150"
"404","AT1G61580"
"405","AT1G61620"
"406","AT1G61740"
"407","AT1G61770"
"408","AT1G61870"
"409","AT1G61890"
"410","AT1G62040"
"411","AT1G62180"
"412","AT1G62390"
"413","AT1G62430"
"414","AT1G62640"
"415","AT1G62660"
"416","AT1G62820"
"417","AT1G63050"
"418","AT1G63110"
"419","AT1G63120"
"420","AT1G63290"
"421","AT1G63420"
"422","AT1G63690"
"423","AT1G63770"
"424","AT1G63780"
"425","AT1G63830"
"426","AT1G64040"
"427","AT1G64200"
"428","AT1G64490"
"429","AT1G64550"
"430","AT1G64850"
"431","AT1G64880"
"432","AT1G64980"
"433","AT1G65270"
"434","AT1G65295"
"435","AT1G65370"
"436","AT1G65440"
"437","AT1G65510"
"438","AT1G65700"
"439","AT1G66150"
"440","AT1G66260"
"441","AT1G66680"
"442","AT1G67030"
"443","AT1G67280"
"444","AT1G67328"
"445","AT1G67330"
"446","AT1G67360"
"447","AT1G67480"
"448","AT1G67590"
"449","AT1G67680"
"450","AT1G67870"
"451","AT1G68060"
"452","AT1G68220"
"453","AT1G68300"
"454","AT1G68310"
"455","AT1G68440"
"456","AT1G68490"
"457","AT1G68790"
"458","AT1G68810"
"459","AT1G68825"
"460","AT1G68945"
"461","AT1G69530"
"462","AT1G69640"
"463","AT1G69750"
"464","AT1G69960"
"465","AT1G69980"
"466","AT1G70160"
"467","AT1G70190"
"468","AT1G70290"
"469","AT1G70300"
"470","AT1G70320"
"471","AT1G70330"
"472","AT1G70850"
"473","AT1G70940"
"474","AT1G71070"
"475","AT1G71200"
"476","AT1G71260"
"477","AT1G71340"
"478","AT1G71692"
"479","AT1G71730"
"480","AT1G71780"
"481","AT1G71790"
"482","AT1G71840"
"483","AT1G71860"
"484","AT1G71980"
"485","AT1G72040"
"486","AT1G72050"
"487","AT1G72160"
"488","AT1G72200"
"489","AT1G72230"
"490","AT1G72430"
"491","AT1G72550"
"492","AT1G72630"
"493","AT1G72680"
"494","AT1G72710"
"495","AT1G72730"
"496","AT1G72820"
"497","AT1G72850"
"498","AT1G72852"
"499","AT1G73180"
"500","AT1G73260"
"501","AT1G73590"
"502","AT1G73720"
"503","AT1G73840"
"504","AT1G74020"
"505","AT1G74030"
"506","AT1G74100"
"507","AT1G74210"
"508","AT1G74230"
"509","AT1G74250"
"510","AT1G74260"
"511","AT1G74380"
"512","AT1G74510"
"513","AT1G74910"
"514","AT1G74960"
"515","AT1G75180"
"516","AT1G75220"
"517","AT1G75280"
"518","AT1G75330"
"519","AT1G75380"
"520","AT1G75440"
"521","AT1G75760"
"522","AT1G75780"
"523","AT1G75840"
"524","AT1G75945"
"525","AT1G75990"
"526","AT1G76030"
"527","AT1G76150"
"528","AT1G76160"
"529","AT1G76300"
"530","AT1G76400"
"531","AT1G76540"
"532","AT1G76690"
"533","AT1G76790"
"534","AT1G76900"
"535","AT1G76920"
"536","AT1G77080"
"537","AT1G77370"
"538","AT1G77450"
"539","AT1G77540"
"540","AT1G77610"
"541","AT1G77750"
"542","AT1G77770"
"543","AT1G77840"
"544","AT1G78000"
"545","AT1G78100"
"546","AT1G78560"
"547","AT1G78570"
"548","AT1G78630"
"549","AT1G78670"
"550","AT1G78700"
"551","AT1G78880"
"552","AT1G78920"
"553","AT1G79040"
"554","AT1G79150"
"555","AT1G79280"
"556","AT1G79590"
"557","AT1G79650"
"558","AT1G79660"
"559","AT1G79870"
"560","AT1G79985"
"561","AT1G79990"
"562","AT1G80040"
"563","AT1G80160"
"564","AT1G80280"
"565","AT1G80360"
"566","AT1G80460"
"567","AT1G80530"
"568","AT1G80620"
"569","AT1G80670"
"570","AT1G80690"
"571","AT1G80790"
"572","AT1G80930"
"573","AT2G01008"
"574","AT2G01020"
"575","AT2G01090"
"576","AT2G01220"
"577","AT2G01270"
"578","AT2G01350"
"579","AT2G01420"
"580","AT2G01540"
"581","AT2G01570"
"582","AT2G01600"
"583","AT2G01710"
"584","AT2G01970"
"585","AT2G02040"
"586","AT2G02470"
"587","AT2G02710"
"588","AT2G02820"
"589","AT2G02870"
"590","AT2G02960"
"591","AT2G03240"
"592","AT2G03350"
"593","AT2G03440"
"594","AT2G03510"
"595","AT2G03640"
"596","AT2G03690"
"597","AT2G03890"
"598","AT2G04025"
"599","AT2G04030"
"600","AT2G04170"
"601","AT2G04240"
"602","AT2G04280"
"603","AT2G04700"
"604","AT2G05230"
"605","AT2G05440"
"606","AT2G05830"
"607","AT2G05920"
"608","AT2G06050"
"609","AT2G07050"
"610","AT2G07175"
"611","AT2G07360"
"612","AT2G07671"
"613","AT2G07696"
"614","AT2G07725"
"615","AT2G08340"
"616","AT2G11890"
"617","AT2G12646"
"618","AT2G13560"
"619","AT2G14045"
"620","AT2G14100"
"621","AT2G14170"
"622","AT2G14720"
"623","AT2G15292"
"624","AT2G15620"
"625","AT2G16460"
"626","AT2G16780"
"627","AT2G16860"
"628","AT2G17130"
"629","AT2G17200"
"630","AT2G17240"
"631","AT2G17265"
"632","AT2G17450"
"633","AT2G17500"
"634","AT2G17800"
"635","AT2G17990"
"636","AT2G18050"
"637","AT2G18196"
"638","AT2G18230"
"639","AT2G18370"
"640","AT2G18390"
"641","AT2G18750"
"642","AT2G18800"
"643","AT2G18910"
"644","AT2G19080"
"645","AT2G19270"
"646","AT2G19340"
"647","AT2G19350"
"648","AT2G19520"
"649","AT2G19540"
"650","AT2G19680"
"651","AT2G19800"
"652","AT2G19810"
"653","AT2G20140"
"654","AT2G20280"
"655","AT2G20530"
"656","AT2G20580"
"657","AT2G20585"
"658","AT2G20750"
"659","AT2G20810"
"660","AT2G20890"
"661","AT2G21185"
"662","AT2G21187"
"663","AT2G21195"
"664","AT2G21270"
"665","AT2G21520"
"666","AT2G21560"
"667","AT2G21790"
"668","AT2G21970"
"669","AT2G22080"
"670","AT2G22125"
"671","AT2G22230"
"672","AT2G22330"
"673","AT2G22400"
"674","AT2G22430"
"675","AT2G22480"
"676","AT2G22490"
"677","AT2G22510"
"678","AT2G22540"
"679","AT2G22780"
"680","AT2G22860"
"681","AT2G23050"
"682","AT2G23320"
"683","AT2G23780"
"684","AT2G23810"
"685","AT2G23820"
"686","AT2G23940"
"687","AT2G24150"
"688","AT2G24290"
"689","AT2G24420"
"690","AT2G24500"
"691","AT2G24570"
"692","AT2G24790"
"693","AT2G25070"
"694","AT2G25080"
"695","AT2G25110"
"696","AT2G25250"
"697","AT2G25280"
"698","AT2G25310"
"699","AT2G25430"
"700","AT2G25450"
"701","AT2G25870"
"702","AT2G25964"
"703","AT2G25980"
"704","AT2G26060"
"705","AT2G26140"
"706","AT2G26280"
"707","AT2G26355"
"708","AT2G26590"
"709","AT2G26670"
"710","AT2G26680"
"711","AT2G26730"
"712","AT2G26760"
"713","AT2G26900"
"714","AT2G26990"
"715","AT2G27040"
"716","AT2G27100"
"717","AT2G27170"
"718","AT2G27190"
"719","AT2G27230"
"720","AT2G27330"
"721","AT2G27450"
"722","AT2G27600"
"723","AT2G27775"
"724","AT2G27970"
"725","AT2G28230"
"726","AT2G28290"
"727","AT2G28310"
"728","AT2G28370"
"729","AT2G28380"
"730","AT2G28410"
"731","AT2G28430"
"732","AT2G28450"
"733","AT2G28510"
"734","AT2G28550"
"735","AT2G28671"
"736","AT2G28740"
"737","AT2G28760"
"738","AT2G28810"
"739","AT2G29125"
"740","AT2G29560"
"741","AT2G29570"
"742","AT2G29700"
"743","AT2G29995"
"744","AT2G30000"
"745","AT2G30060"
"746","AT2G30110"
"747","AT2G30260"
"748","AT2G30440"
"749","AT2G30500"
"750","AT2G30700"
"751","AT2G30766"
"752","AT2G31085"
"753","AT2G31140"
"754","AT2G31200"
"755","AT2G31350"
"756","AT2G31440"
"757","AT2G31570"
"758","AT2G31585"
"759","AT2G32260"
"760","AT2G32280"
"761","AT2G32300"
"762","AT2G32520"
"763","AT2G32580"
"764","AT2G32700"
"765","AT2G32730"
"766","AT2G32920"
"767","AT2G33310"
"768","AT2G33390"
"769","AT2G33410"
"770","AT2G33435"
"771","AT2G33510"
"772","AT2G33590"
"773","AT2G33740"
"774","AT2G33840"
"775","AT2G34020"
"776","AT2G34040"
"777","AT2G34070"
"778","AT2G34300"
"779","AT2G34680"
"780","AT2G34730"
"781","AT2G34900"
"782","AT2G35010"
"783","AT2G35040"
"784","AT2G35050"
"785","AT2G35190"
"786","AT2G35520"
"787","AT2G35610"
"788","AT2G35630"
"789","AT2G35680"
"790","AT2G35795"
"791","AT2G35880"
"792","AT2G36290"
"793","AT2G36310"
"794","AT2G36400"
"795","AT2G36580"
"796","AT2G36900"
"797","AT2G36910"
"798","AT2G37050"
"799","AT2G37080"
"800","AT2G37550"
"801","AT2G37678"
"802","AT2G37790"
"803","AT2G37860"
"804","AT2G37870"
"805","AT2G37940"
"806","AT2G37975"
"807","AT2G37990"
"808","AT2G38040"
"809","AT2G38130"
"810","AT2G38140"
"811","AT2G38550"
"812","AT2G38640"
"813","AT2G38670"
"814","AT2G38710"
"815","AT2G38740"
"816","AT2G39020"
"817","AT2G39210"
"818","AT2G39700"
"819","AT2G39705"
"820","AT2G39800"
"821","AT2G39900"
"822","AT2G39970"
"823","AT2G40110"
"824","AT2G40113"
"825","AT2G40140"
"826","AT2G40290"
"827","AT2G40316"
"828","AT2G40380"
"829","AT2G40600"
"830","AT2G40620"
"831","AT2G40650"
"832","AT2G40660"
"833","AT2G40940"
"834","AT2G40970"
"835","AT2G41070"
"836","AT2G41100"
"837","AT2G41160"
"838","AT2G41310"
"839","AT2G41600"
"840","AT2G41630"
"841","AT2G41780"
"842","AT2G41800"
"843","AT2G42390"
"844","AT2G42780"
"845","AT2G42810"
"846","AT2G43030"
"847","AT2G43110"
"848","AT2G43160"
"849","AT2G43210"
"850","AT2G43340"
"851","AT2G43650"
"852","AT2G43760"
"853","AT2G43770"
"854","AT2G43790"
"855","AT2G43820"
"856","AT2G43940"
"857","AT2G43950"
"858","AT2G44010"
"859","AT2G44065"
"860","AT2G44180"
"861","AT2G44310"
"862","AT2G44360"
"863","AT2G44380"
"864","AT2G44500"
"865","AT2G44520"
"866","AT2G44525"
"867","AT2G44650"
"868","AT2G44670"
"869","AT2G44680"
"870","AT2G44740"
"871","AT2G44770"
"872","AT2G45000"
"873","AT2G45010"
"874","AT2G45050"
"875","AT2G45060"
"876","AT2G45160"
"877","AT2G45200"
"878","AT2G45210"
"879","AT2G45290"
"880","AT2G45300"
"881","AT2G45330"
"882","AT2G45380"
"883","AT2G45520"
"884","AT2G45670"
"885","AT2G45730"
"886","AT2G45810"
"887","AT2G45830"
"888","AT2G45860"
"889","AT2G45990"
"890","AT2G46000"
"891","AT2G46020"
"892","AT2G46030"
"893","AT2G46170"
"894","AT2G46225"
"895","AT2G46370"
"896","AT2G46470"
"897","AT2G46500"
"898","AT2G46550"
"899","AT2G46780"
"900","AT2G46890"
"901","AT2G46900"
"902","AT2G47000"
"903","AT2G47130"
"904","AT2G47160"
"905","AT2G47210"
"906","AT2G47250"
"907","AT2G47270"
"908","AT2G47485"
"909","AT2G47540"
"910","AT2G47580"
"911","AT2G47650"
"912","AT2G47700"
"913","AT2G47710"
"914","AT2G47900"
"915","AT2G47930"
"916","AT2G47960"
"917","AT2G48020"
"918","AT3G01050"
"919","AT3G01090"
"920","AT3G01205"
"921","AT3G01220"
"922","AT3G01260"
"923","AT3G01310"
"924","AT3G01345"
"925","AT3G01420"
"926","AT3G01690"
"927","AT3G01770"
"928","AT3G01910"
"929","AT3G01950"
"930","AT3G01960"
"931","AT3G02120"
