"","col_GC_c1.which.mclass....5...1."
"1","AT1G01183"
"2","AT1G01520"
"3","AT1G01560"
"4","AT1G01600"
"5","AT1G01680"
"6","AT1G02770"
"7","AT1G02820"
"8","AT1G03445"
"9","AT1G03502"
"10","AT1G03506"
"11","AT1G03710"
"12","AT1G03790"
"13","AT1G04013"
"14","AT1G04023"
"15","AT1G04037"
"16","AT1G04083"
"17","AT1G04147"
"18","AT1G04187"
"19","AT1G04193"
"20","AT1G04217"
"21","AT1G04223"
"22","AT1G04227"
"23","AT1G04267"
"24","AT1G04343"
"25","AT1G04363"
"26","AT1G04380"
"27","AT1G04397"
"28","AT1G04403"
"29","AT1G04427"
"30","AT1G04467"
"31","AT1G04493"
"32","AT1G04497"
"33","AT1G04500"
"34","AT1G04507"
"35","AT1G04533"
"36","AT1G04560"
"37","AT1G04563"
"38","AT1G04567"
"39","AT1G04577"
"40","AT1G04580"
"41","AT1G04587"
"42","AT1G04625"
"43","AT1G04643"
"44","AT1G04657"
"45","AT1G04703"
"46","AT1G04713"
"47","AT1G04797"
"48","AT1G04800"
"49","AT1G04817"
"50","AT1G04853"
"51","AT1G04913"
"52","AT1G05020"
"53","AT1G05023"
"54","AT1G05043"
"55","AT1G05083"
"56","AT1G05103"
"57","AT1G05203"
"58","AT1G05207"
"59","AT1G05243"
"60","AT1G05297"
"61","AT1G05303"
"62","AT1G05317"
"63","AT1G05327"
"64","AT1G05330"
"65","AT1G05383"
"66","AT1G05417"
"67","AT1G05423"
"68","AT1G05450"
"69","AT1G05493"
"70","AT1G05510"
"71","AT1G05550"
"72","AT1G05675"
"73","AT1G05693"
"74","AT1G05707"
"75","AT1G05723"
"76","AT1G05727"
"77","AT1G05747"
"78","AT1G05757"
"79","AT1G05783"
"80","AT1G05933"
"81","AT1G05977"
"82","AT1G05993"
"83","AT1G06020"
"84","AT1G06100"
"85","AT1G06117"
"86","AT1G06135"
"87","AT1G06148"
"88","AT1G06163"
"89","AT1G06170"
"90","AT1G06217"
"91","AT1G06243"
"92","AT1G06273"
"93","AT1G06350"
"94","AT1G06457"
"95","AT1G06487"
"96","AT1G06537"
"97","AT1G06547"
"98","AT1G06583"
"99","AT1G06587"
"100","AT1G06613"
"101","AT1G06645"
"102","AT1G06717"
"103","AT1G06750"
"104","AT1G06753"
"105","AT1G06757"
"106","AT1G06830"
"107","AT1G06963"
"108","AT1G06970"
"109","AT1G07023"
"110","AT1G07267"
"111","AT1G07340"
"112","AT1G07430"
"113","AT1G07476"
"114","AT1G07493"
"115","AT1G07653"
"116","AT1G07663"
"117","AT1G07690"
"118","AT1G07693"
"119","AT1G07697"
"120","AT1G07720"
"121","AT1G07823"
"122","AT1G07850"
"123","AT1G07853"
"124","AT1G07880"
"125","AT1G07900"
"126","AT1G07913"
"127","AT1G07943"
"128","AT1G07963"
"129","AT1G07987"
"130","AT1G08005"
"131","AT1G08073"
"132","AT1G08093"
"133","AT1G08097"
"134","AT1G08115"
"135","AT1G08120"
"136","AT1G08123"
"137","AT1G08147"
"138","AT1G08165"
"139","AT1G08323"
"140","AT1G08440"
"141","AT1G08457"
"142","AT1G08547"
"143","AT1G08557"
"144","AT1G08563"
"145","AT1G08567"
"146","AT1G08707"
"147","AT1G08823"
"148","AT1G08827"
"149","AT1G08853"
"150","AT1G08860"
"151","AT1G08867"
"152","AT1G08937"
"153","AT1G08967"
"154","AT1G09017"
"155","AT1G09067"
"156","AT1G09080"
"157","AT1G09127"
"158","AT1G09163"
"159","AT1G09180"
"160","AT1G09233"
"161","AT1G09257"
"162","AT1G09267"
"163","AT1G09287"
"164","AT1G09323"
"165","AT1G09421"
"166","AT1G09423"
"167","AT1G09427"
"168","AT1G09447"
"169","AT1G09453"
"170","AT1G09463"
"171","AT1G09467"
"172","AT1G09500"
"173","AT1G09510"
"174","AT1G09513"
"175","AT1G09527"
"176","AT1G09537"
"177","AT1G09557"
"178","AT1G09573"
"179","AT1G09603"
"180","AT1G09607"
"181","AT1G09720"
"182","AT1G09753"
"183","AT1G09757"
"184","AT1G09773"
"185","AT1G09777"
"186","AT1G09797"
"187","AT1G09823"
"188","AT1G09853"
"189","AT1G09897"
"190","AT1G09903"
"191","AT1G09917"
"192","AT1G09930"
"193","AT1G09950"
"194","AT1G10010"
"195","AT1G10385"
"196","AT1G10455"
"197","AT1G10710"
"198","AT1G10747"
"199","AT1G10875"
"200","AT1G11362"
"201","AT1G11470"
"202","AT1G11510"
"203","AT1G11560"
"204","AT1G11572"
"205","AT1G11600"
"206","AT1G11920"
"207","AT1G12294"
"208","AT1G12340"
"209","AT1G12570"
"210","AT1G12610"
"211","AT1G12663"
"212","AT1G12672"
"213","AT1G13200"
"214","AT1G13230"
"215","AT1G13400"
"216","AT1G13500"
"217","AT1G13608"
"218","AT1G14071"
"219","AT1G14440"
"220","AT1G14455"
"221","AT1G14550"
"222","AT1G14630"
"223","AT1G15015"
"224","AT1G15540"
"225","AT1G15600"
"226","AT1G15680"
"227","AT1G15830"
"228","AT1G15840"
"229","AT1G15980"
"230","AT1G16380"
"231","AT1G16420"
"232","AT1G16705"
"233","AT1G16770"
"234","AT1G16910"
"235","AT1G17030"
"236","AT1G17260"
"237","AT1G17310"
"238","AT1G17380"
"239","AT1G17600"
"240","AT1G17610"
"241","AT1G17700"
"242","AT1G17810"
"243","AT1G17830"
"244","AT1G17990"
"245","AT1G18310"
"246","AT1G18350"
"247","AT1G18400"
"248","AT1G18530"
"249","AT1G18879"
"250","AT1G18960"
"251","AT1G19160"
"252","AT1G19373"
"253","AT1G19390"
"254","AT1G19550"
"255","AT1G19610"
"256","AT1G19630"
"257","AT1G19890"
"258","AT1G20015"
"259","AT1G20130"
"260","AT1G20310"
"261","AT1G20400"
"262","AT1G20590"
"263","AT1G20860"
"264","AT1G20923"
"265","AT1G20925"
"266","AT1G21230"
"267","AT1G21326"
"268","AT1G21550"
"269","AT1G21860"
"270","AT1G22080"
"271","AT1G22110"
"272","AT1G22290"
"273","AT1G22380"
"274","AT1G22670"
"275","AT1G22680"
"276","AT1G22900"
"277","AT1G23070"
"278","AT1G23520"
"279","AT1G23540"
"280","AT1G23730"
"281","AT1G24260"
"282","AT1G24270"
"283","AT1G24470"
"284","AT1G24545"
"285","AT1G24570"
"286","AT1G24807"
"287","AT1G24909"
"288","AT1G25055"
"289","AT1G25155"
"290","AT1G25210"
"291","AT1G25240"
"292","AT1G25330"
"293","AT1G25988"
"294","AT1G26233"
"295","AT1G26410"
"296","AT1G26510"
"297","AT1G26560"
"298","AT1G26710"
"299","AT1G26762"
"300","AT1G27570"
"301","AT1G27580"
"302","AT1G27710"
"303","AT1G28010"
"304","AT1G28040"
"305","AT1G28265"
"306","AT1G28370"
"307","AT1G29090"
"308","AT1G29100"
"309","AT1G29660"
"310","AT1G29680"
"311","AT1G29775"
"312","AT1G30220"
"313","AT1G30455"
"314","AT1G30560"
"315","AT1G30740"
"316","AT1G30780"
"317","AT1G30950"
"318","AT1G31290"
"319","AT1G31960"
"320","AT1G32350"
"321","AT1G32560"
"322","AT1G32570"
"323","AT1G32585"
"324","AT1G32710"
"325","AT1G32960"
"326","AT1G33100"
"327","AT1G33870"
"328","AT1G33890"
"329","AT1G34140"
"330","AT1G34490"
"331","AT1G34500"
"332","AT1G34520"
"333","AT1G34540"
"334","AT1G35310"
"335","AT1G35617"
"336","AT1G35730"
"337","AT1G36580"
"338","AT1G42560"
"339","AT1G43000"
"340","AT1G43010"
"341","AT1G44010"
"342","AT1G44130"
"343","AT1G45010"
"344","AT1G45191"
"345","AT1G45201"
"346","AT1G45545"
"347","AT1G45616"
"348","AT1G47130"
"349","AT1G47350"
"350","AT1G47610"
"351","AT1G47690"
"352","AT1G47790"
"353","AT1G47890"
"354","AT1G47920"
"355","AT1G48020"
"356","AT1G48060"
"357","AT1G48180"
"358","AT1G48267"
"359","AT1G48400"
"360","AT1G48405"
"361","AT1G48720"
"362","AT1G48800"
"363","AT1G48820"
"364","AT1G49100"
"365","AT1G49130"
"366","AT1G49150"
"367","AT1G49225"
"368","AT1G49250"
"369","AT1G49450"
"370","AT1G49610"
"371","AT1G49700"
"372","AT1G49750"
"373","AT1G49938"
"374","AT1G49990"
"375","AT1G50610"
"376","AT1G50732"
"377","AT1G50750"
"378","AT1G50830"
"379","AT1G51000"
"380","AT1G51010"
"381","AT1G51090"
"382","AT1G51500"
"383","AT1G51538"
"384","AT1G51820"
"385","AT1G51870"
"386","AT1G51913"
"387","AT1G51920"
"388","AT1G51990"
"389","AT1G52110"
"390","AT1G52270"
"391","AT1G52440"
"392","AT1G52560"
"393","AT1G52580"
"394","AT1G52615"
"395","AT1G52690"
"396","AT1G52800"
"397","AT1G52855"
"398","AT1G52857"
"399","AT1G53541"
"400","AT1G53610"
"401","AT1G54070"
"402","AT1G54470"
"403","AT1G54560"
"404","AT1G54590"
"405","AT1G54760"
"406","AT1G54773"
"407","AT1G54820"
"408","AT1G55175"
"409","AT1G55260"
"410","AT1G55440"
"411","AT1G55525"
"412","AT1G55600"
"413","AT1G55720"
"414","AT1G55770"
"415","AT1G55945"
"416","AT1G56060"
"417","AT1G56150"
"418","AT1G56160"
"419","AT1G56240"
"420","AT1G56242"
"421","AT1G56250"
"422","AT1G56510"
"423","AT1G57670"
"424","AT1G57943"
"425","AT1G58215"
