"","X","col_GC_c1.which.mclass....1...1."
"3529",3529,"AT5G51710"
"648",648,"AT1G55475"
"2769",2769,"AT4G30090"
"537",537,"AT1G48040"
"2385",2385,"AT4G02260"
"1948",1948,"AT3G24090"
"1032",1032,"AT1G80640"
"2144",2144,"AT3G50220"
"248",248,"AT1G13970"
"170",170,"AT1G09320"
"313",313,"AT1G18300"
"270",270,"AT1G15820"
"3458",3458,"AT5G47530"
"2225",2225,"AT3G55550"
"3694",3694,"AT5G61810"
"2178",2178,"AT3G52115"
"708",708,"AT1G61430"
"1250",1250,"AT2G24592"
"664",664,"AT1G57790"
"746",746,"AT1G63520"
"840",840,"AT1G69200"
"1773",1773,"AT3G10440"
"3145",3145,"AT5G17050"
"71",71,"AT1G04773"
"94",94,"AT1G05770"
"2567",2567,"AT4G16980"
"2861",2861,"AT4G36840"
"14",14,"AT1G01790"
"1786",1786,"AT3G11580"
"2805",2805,"AT4G32450"
"3258",3258,"AT5G25110"
"849",849,"AT1G69800"
"79",79,"AT1G05280"
"114",114,"AT1G06787"
"1229",1229,"AT2G23290"
"1650",1650,"AT3G02535"
"3218",3218,"AT5G22690"
"488",488,"AT1G33280"
"972",972,"AT1G76580"
"1496",1496,"AT2G40810"
"2195",2195,"AT3G53510"
"569",569,"AT1G49910"
"3652",3652,"AT5G59250"
"3139",3139,"AT5G16320"
"503",503,"AT1G35560"
"2340",2340,"AT3G63510"
"1547",1547,"AT2G43560"
"335",335,"AT1G19700"
"3507",3507,"AT5G50780"
"2445",2445,"AT4G09060"
"2693",2693,"AT4G25090"
"2780",2780,"AT4G30700"
"2524",2524,"AT4G14490"
"3120",3120,"AT5G15025"
"3330",3330,"AT5G38550"
"3565",3565,"AT5G54030"
"526",526,"AT1G45163"
"133",133,"AT1G07730"
"1601",1601,"AT2G46915"
"2074",2074,"AT3G46950"
"2786",2786,"AT4G31050"
"2024",2024,"AT3G32030"
"2791",2791,"AT4G31270"
"2595",2595,"AT4G18820"
"1003",1003,"AT1G78540"
"1664",1664,"AT3G03535"
"723",723,"AT1G62200"
"2989",2989,"AT5G05130"
"3030",3030,"AT5G07580"
"1708",1708,"AT3G06290"
"2596",2596,"AT4G18910"
"2853",2853,"AT4G36160"
"1893",1893,"AT3G18880"
"3295",3295,"AT5G35170"
"2946",2946,"AT5G02360"
"1002",1002,"AT1G78510"
"1663",1663,"AT3G03505"
"2442",2442,"AT4G08815"
"2378",2378,"AT4G01920"
"171",171,"AT1G09390"
"408",408,"AT1G27070"
"3216",3216,"AT5G22608"
"2756",2756,"AT4G29190"
"2624",2624,"AT4G20840"
"2090",2090,"AT3G47700"
"1504",1504,"AT2G41330"
"1770",1770,"AT3G10300"
"3078",3078,"AT5G10605"
"3679",3679,"AT5G61040"
"983",983,"AT1G77400"
"718",718,"AT1G62010"
"3595",3595,"AT5G55680"
"272",272,"AT1G15885"
"141",141,"AT1G07910"
"3484",3484,"AT5G48790"
"2151",2151,"AT3G50460"
"1514",1514,"AT2G42130"
"2833",2833,"AT4G34480"
"1483",1483,"AT2G39730"
"2692",2692,"AT4G25070"
"2237",2237,"AT3G56320"
"845",845,"AT1G69550"
"2182",2182,"AT3G52450"
"269",269,"AT1G15730"
"3180",3180,"AT5G19160"
"3013",3013,"AT5G06740"
"29",29,"AT1G02910"
"3677",3677,"AT5G60870"
"2856",2856,"AT4G36550"
"102",102,"AT1G06287"
"2189",2189,"AT3G52840"
"3794",3794,"ATMG00070"
"296",296,"AT1G17590"
"3406",3406,"AT5G43730"
"3478",3478,"AT5G48570"
"1462",1462,"AT2G38110"
"1300",1300,"AT2G28830"
"1295",1295,"AT2G28400"
"42",42,"AT1G03660"
"3598",3598,"AT5G55830"
"935",935,"AT1G73860"
"3492",3492,"AT5G49410"
"2099",2099,"AT3G48110"
"2677",2677,"AT4G24020"
"2664",2664,"AT4G23190"
"1810",1810,"AT3G13980"
"3275",3275,"AT5G26770"
"2935",2935,"AT5G02000"
"1154",1154,"AT2G17880"
"2324",2324,"AT3G62080"
"17",17,"AT1G01970"
"2640",2640,"AT4G21534"
