"","WS_c1.which.mclass....2...1."
"1","AT1G01010"
"2","AT1G01040"
"3","AT1G01110"
"4","AT1G01240"
"5","AT1G01290"
"6","AT1G01350"
"7","AT1G01370"
"8","AT1G01430"
"9","AT1G01470"
"10","AT1G01540"
"11","AT1G01580"
"12","AT1G01630"
"13","AT1G01640"
"14","AT1G01650"
"15","AT1G01725"
"16","AT1G01770"
"17","AT1G01780"
"18","AT1G01990"
"19","AT1G02110"
"20","AT1G02120"
"21","AT1G02145"
"22","AT1G02150"
"23","AT1G02360"
"24","AT1G02370"
"25","AT1G02520"
"26","AT1G02610"
"27","AT1G02720"
"28","AT1G02750"
"29","AT1G02880"
"30","AT1G02890"
"31","AT1G02920"
"32","AT1G02930"
"33","AT1G02950"
"34","AT1G02960"
"35","AT1G02990"
"36","AT1G03030"
"37","AT1G03060"
"38","AT1G03090"
"39","AT1G03250"
"40","AT1G03290"
"41","AT1G03350"
"42","AT1G03365"
"43","AT1G03380"
"44","AT1G03410"
"45","AT1G03430"
"46","AT1G03475"
"47","AT1G03680"
"48","AT1G03687"
"49","AT1G03730"
"50","AT1G03740"
"51","AT1G03780"
"52","AT1G03840"
"53","AT1G03970"
"54","AT1G04000"
"55","AT1G04020"
"56","AT1G04120"
"57","AT1G04130"
"58","AT1G04183"
"59","AT1G04200"
"60","AT1G04210"
"61","AT1G04290"
"62","AT1G04300"
"63","AT1G04400"
"64","AT1G04530"
"65","AT1G04550"
"66","AT1G04610"
"67","AT1G04770"
"68","AT1G04780"
"69","AT1G04790"
"70","AT1G04830"
"71","AT1G04860"
"72","AT1G04900"
"73","AT1G04910"
"74","AT1G04970"
"75","AT1G05000"
"76","AT1G05055"
"77","AT1G05120"
"78","AT1G05147"
"79","AT1G05150"
"80","AT1G05170"
"81","AT1G05180"
"82","AT1G05190"
"83","AT1G05213"
"84","AT1G05270"
"85","AT1G05320"
"86","AT1G05340"
"87","AT1G05350"
"88","AT1G05380"
"89","AT1G05410"
"90","AT1G05430"
"91","AT1G05500"
"92","AT1G05520"
"93","AT1G05523"
"94","AT1G05560"
"95","AT1G05562"
"96","AT1G05650"
"97","AT1G05660"
"98","AT1G05710"
"99","AT1G05730"
"100","AT1G05750"
"101","AT1G05760"
"102","AT1G05780"
"103","AT1G05805"
"104","AT1G05810"
"105","AT1G05830"
"106","AT1G05860"
"107","AT1G05870"
"108","AT1G05910"
"109","AT1G05960"
"110","AT1G05970"
"111","AT1G06000"
"112","AT1G06002"
"113","AT1G06010"
"114","AT1G06060"
"115","AT1G06070"
"116","AT1G06090"
"117","AT1G06180"
"118","AT1G06190"
"119","AT1G06210"
"120","AT1G06310"
"121","AT1G06380"
"122","AT1G06450"
"123","AT1G06475"
"124","AT1G06560"
"125","AT1G06620"
"126","AT1G06630"
"127","AT1G06780"
"128","AT1G06790"
"129","AT1G06850"
"130","AT1G06930"
"131","AT1G07040"
"132","AT1G07110"
"133","AT1G07128"
"134","AT1G07130"
"135","AT1G07135"
"136","AT1G07175"
"137","AT1G07220"
"138","AT1G07230"
"139","AT1G07250"
"140","AT1G07300"
"141","AT1G07320"
"142","AT1G07373"
"143","AT1G07410"
"144","AT1G07480"
"145","AT1G07510"
"146","AT1G07530"
"147","AT1G07570"
"148","AT1G07615"
"149","AT1G07705"
"150","AT1G07780"
"151","AT1G07810"
"152","AT1G07950"
"153","AT1G07970"
"154","AT1G07980"
"155","AT1G07983"
"156","AT1G07990"
"157","AT1G08010"
"158","AT1G08030"
"159","AT1G08040"
"160","AT1G08125"
"161","AT1G08190"
"162","AT1G08210"
"163","AT1G08220"
"164","AT1G08230"
"165","AT1G08260"
"166","AT1G08320"
"167","AT1G08340"
"168","AT1G08350"
"169","AT1G08390"
"170","AT1G08420"
"171","AT1G08430"
"172","AT1G08460"
"173","AT1G08490"
"174","AT1G08550"
"175","AT1G08590"
"176","AT1G08592"
"177","AT1G08600"
"178","AT1G08620"
"179","AT1G08657"
"180","AT1G08670"
"181","AT1G08680"
"182","AT1G08700"
"183","AT1G08710"
"184","AT1G08750"
"185","AT1G08760"
"186","AT1G08800"
"187","AT1G08845"
"188","AT1G08890"
"189","AT1G08920"
"190","AT1G09010"
"191","AT1G09020"
"192","AT1G09090"
"193","AT1G09100"
"194","AT1G09230"
"195","AT1G09290"
"196","AT1G09300"
"197","AT1G09420"
"198","AT1G09470"
"199","AT1G09490"
"200","AT1G09540"
"201","AT1G09700"
"202","AT1G09730"
"203","AT1G09750"
"204","AT1G09795"
"205","AT1G09815"
"206","AT1G09830"
"207","AT1G09850"
"208","AT1G09927"
"209","AT1G09980"
"210","AT1G09995"
"211","AT1G10130"
"212","AT1G10150"
"213","AT1G10155"
"214","AT1G10170"
"215","AT1G10180"
"216","AT1G10210"
"217","AT1G10270"
"218","AT1G10310"
"219","AT1G10390"
