"","WS_c1.which.mclass....4...1."
"290","AT1G58684"
"291","AT1G58808"
"292","AT1G59359"
"293","AT1G59730"
"294","AT1G60350"
"295","AT1G60505"
"296","AT1G60525"
"297","AT1G60530"
"298","AT1G60720"
"299","AT1G60760"
"300","AT1G60787"
"301","AT1G60980"
"302","AT1G60986"
"303","AT1G61080"
"304","AT1G61160"
"305","AT1G61224"
"306","AT1G61226"
"307","AT1G61255"
"308","AT1G61290"
"309","AT1G61480"
"310","AT1G61566"
"311","AT1G61720"
"312","AT1G62000"
"313","AT1G62030"
"314","AT1G62035"
"315","AT1G62333"
"316","AT1G62360"
"317","AT1G62421"
"318","AT1G62580"
"319","AT1G62760"
"320","AT1G62900"
"321","AT1G62920"
"322","AT1G63350"
"323","AT1G63522"
"324","AT1G63860"
"325","AT1G63870"
"326","AT1G63880"
"327","AT1G64000"
"328","AT1G64130"
"329","AT1G64195"
"330","AT1G64235"
"331","AT1G64253"
"332","AT1G64405"
"333","AT1G64680"
"334","AT1G64710"
"335","AT1G64795"
"336","AT1G65150"
"337","AT1G65483"
"338","AT1G65486"
"339","AT1G65800"
"340","AT1G66060"
"341","AT1G66090"
"342","AT1G66235"
"343","AT1G66540"
"344","AT1G66870"
"345","AT1G66970"
"346","AT1G67020"
"347","AT1G67100"
"348","AT1G67195"
"349","AT1G67265"
"350","AT1G67623"
"351","AT1G67635"
"352","AT1G67670"
"353","AT1G67856"
"354","AT1G68190"
"355","AT1G69540"
"356","AT1G70260"
"357","AT1G70440"
"358","AT1G70640"
"359","AT1G70720"
"360","AT1G70910"
"361","AT1G71370"
"362","AT1G71390"
"363","AT1G72110"
"364","AT1G73050"
"365","AT1G73190"
"366","AT1G73510"
"367","AT1G73560"
"368","AT1G73810"
"369","AT1G74290"
"370","AT1G74453"
"371","AT1G74890"
"372","AT1G75160"
"373","AT1G75166"
"374","AT1G75430"
"375","AT1G75945"
"376","AT1G76062"
"377","AT1G76465"
"378","AT1G76750"
"379","AT1G76892"
"380","AT1G77090"
"381","AT1G77520"
"382","AT1G77730"
"383","AT1G78750"
"384","AT1G78990"
"385","AT1G79170"
"386","AT1G79400"
"387","AT1G80330"
"388","AT1G80390"
"389","AT1G80970"
"390","AT2G01023"
"391","AT2G01280"
"392","AT2G01422"
"393","AT2G02010"
"394","AT2G02147"
"395","AT2G02320"
"396","AT2G02340"
"397","AT2G02380"
"398","AT2G02990"
"399","AT2G03250"
"400","AT2G03821"
"401","AT2G03855"
"402","AT2G04145"
"403","AT2G04255"
"404","AT2G04378"
"405","AT2G04380"
"406","AT2G04405"
"407","AT2G04435"
"408","AT2G04715"
"409","AT2G05145"
"410","AT2G05185"
"411","AT2G05350"
"412","AT2G05370"
"413","AT2G05420"
"414","AT2G05505"
"415","AT2G05665"
"416","AT2G05675"
"417","AT2G05753"
"418","AT2G05825"
"419","AT2G06345"
"420","AT2G06365"
"421","AT2G06405"
"422","AT2G06615"
"423","AT2G06655"
"424","AT2G06765"
"425","AT2G06865"
"426","AT2G07042"
"427","AT2G07045"
"428","AT2G07345"
"429","AT2G07621"
"430","AT2G07625"
"431","AT2G07628"
"432","AT2G07632"
"433","AT2G07638"
"434","AT2G07643"
"435","AT2G07654"
"436","AT2G07667"
"437","AT2G07691"
"438","AT2G07705"
"439","AT2G07722"
"440","AT2G07728"
"441","AT2G08025"
"442","AT2G08205"
"443","AT2G08235"
"444","AT2G08295"
"445","AT2G08320"
"446","AT2G08455"
"447","AT2G08460"
"448","AT2G08505"
"449","AT2G08530"
"450","AT2G08675"
"451","AT2G08700"
"452","AT2G08740"
"453","AT2G08795"
"454","AT2G08850"
"455","AT2G08870"
"456","AT2G08955"
"457","AT2G09025"
"458","AT2G09045"
"459","AT2G09165"
"460","AT2G09170"
"461","AT2G09195"
"462","AT2G09255"
"463","AT2G09365"
"464","AT2G09440"
"465","AT2G09460"
"466","AT2G09525"
"467","AT2G09540"
"468","AT2G09610"
"469","AT2G09685"
"470","AT2G09705"
"471","AT2G09775"
"472","AT2G09795"
"473","AT2G09885"
"474","AT2G09935"
"475","AT2G09965"
"476","AT2G10537"
"477","AT2G10931"
"478","AT2G11035"
"479","AT2G11205"
"480","AT2G11815"
"481","AT2G12170"
"482","AT2G12461"
"483","AT2G13810"
"484","AT2G13965"
"485","AT2G14080"
"486","AT2G14160"
"487","AT2G15080"
"488","AT2G15128"
"489","AT2G15292"
"490","AT2G16005"
"491","AT2G17050"
"492","AT2G17295"
"493","AT2G17590"
"494","AT2G17680"
"495","AT2G17920"
"496","AT2G18340"
"497","AT2G18420"
"498","AT2G18490"
"499","AT2G18685"
"500","AT2G19150"
"501","AT2G19700"
"502","AT2G19960"
"503","AT2G20170"
"504","AT2G20380"
"505","AT2G20570"
"506","AT2G20721"
"507","AT2G21030"
"508","AT2G21200"
"509","AT2G21237"
"510","AT2G21260"
"511","AT2G21490"
"512","AT2G21650"
"513","AT2G21770"
"514","AT2G22121"
"515","AT2G22340"
"516","AT2G22426"
"517","AT2G22590"
"518","AT2G22820"
"519","AT2G22821"
"520","AT2G23096"
"521","AT2G23190"
"522","AT2G23830"
"523","AT2G24285"
"524","AT2G24450"
"525","AT2G24681"
"526","AT2G24710"
"527","AT2G24850"
"528","AT2G25150"
"529","AT2G25215"
"530","AT2G25440"
"531","AT2G25482"
"532","AT2G25600"
"533","AT2G26620"
"534","AT2G26720"
"535","AT2G26820"
"536","AT2G27160"
"537","AT2G27229"
"538","AT2G27270"
"539","AT2G27320"
"540","AT2G27750"
"541","AT2G27780"
"542","AT2G28140"
"543","AT2G28490"
"544","AT2G29110"
"545","AT2G29360"
"546","AT2G30650"
"547","AT2G30690"
"548","AT2G30945"
"549","AT2G31250"
"550","AT2G31425"
"551","AT2G31590"
"552","AT2G32160"
"553","AT2G32290"
"554","AT2G32315"
"555","AT2G32370"
"556","AT2G32530"
"557","AT2G32680"
"558","AT2G32770"
"559","AT2G32860"
"560","AT2G32885"
"561","AT2G33100"
"562","AT2G33230"
"563","AT2G33300"
"564","AT2G34186"
"565","AT2G34925"
"566","AT2G35070"
"567","AT2G35382"
"568","AT2G35384"
"569","AT2G35747"
"570","AT2G35990"
"571","AT2G36180"
"572","AT2G36255"
"573","AT2G36560"
"574","AT2G36695"
"575","AT2G36710"
"576","AT2G36792"
"577","AT2G36815"
"578","AT2G36920"
"579","AT2G37140"
"580","AT2G37805"
"581","AT2G38255"
"582","AT2G38890"
"583","AT2G39030"
"584","AT2G39175"
"585","AT2G39470"
"586","AT2G39640"
"587","AT2G40008"
"588","AT2G40010"
"589","AT2G40670"
"590","AT2G40925"
"591","AT2G40955"
"592","AT2G41440"
"593","AT2G41445"
"594","AT2G41590"
"595","AT2G42560"
"596","AT2G43010"
"597","AT2G43137"
"598","AT2G43138"
"599","AT2G43141"
"600","AT2G43255"
"601","AT2G43390"
"602","AT2G43510"
"603","AT2G43660"
"604","AT2G44195"
"605","AT2G44250"
"606","AT2G44390"
"607","AT2G44400"
"608","AT2G44460"
"609","AT2G44995"
"610","AT2G45130"
"611","AT2G45550"
"612","AT2G45560"
"613","AT2G45780"
"614","AT2G45930"
"615","AT2G45940"
"616","AT2G46440"
"617","AT2G46450"
"618","AT2G46455"
"619","AT2G46480"
"620","AT2G46493"
"621","AT2G46995"
"622","AT2G47115"
"623","AT2G47340"
"624","AT2G47780"
"625","AT2G47950"
"626","AT3G01015"
"627","AT3G01085"
"628","AT3G01165"
"629","AT3G01313"
"630","AT3G01326"
"631","AT3G01365"
"632","AT3G01485"
"633","AT3G01845"
"634","AT3G01935"
"635","AT3G02015"
"636","AT3G02035"
"637","AT3G02075"
"638","AT3G02405"
"639","AT3G02425"
"640","AT3G02455"
"641","AT3G02500"
"642","AT3G02525"
"643","AT3G02695"
"644","AT3G02885"
"645","AT3G02895"
"646","AT3G03075"
"647","AT3G03135"
"648","AT3G03341"
"649","AT3G03430"
"650","AT3G03445"
"651","AT3G03455"
"652","AT3G03510"
"653","AT3G03585"
"654","AT3G03620"
"655","AT3G03635"
"656","AT3G03745"
"657","AT3G03825"
"658","AT3G03930"
"659","AT3G03975"
"660","AT3G04015"
"661","AT3G04035"
"662","AT3G04050"
"663","AT3G04065"
"664","AT3G04155"
"665","AT3G04165"
"666","AT3G04175"
"667","AT3G04275"
"668","AT3G04510"
"669","AT3G04660"
"670","AT3G04700"
"671","AT3G04785"
"672","AT3G05145"
"673","AT3G05265"
"674","AT3G05310"
"675","AT3G05335"
"676","AT3G05600"
"677","AT3G05780"
"678","AT3G05860"
"679","AT3G05945"
"680","AT3G05955"
"681","AT3G06085"
"682","AT3G06260"
"683","AT3G06495"
"684","AT3G06805"
"685","AT3G07005"
"686","AT3G07255"
"687","AT3G07265"
"688","AT3G07515"
"689","AT3G07625"
"690","AT3G07655"
"691","AT3G07665"
"692","AT3G07735"
"693","AT3G07895"
"694","AT3G07970"
"695","AT3G08100"
"696","AT3G08135"
"697","AT3G08175"
"698","AT3G08350"
"699","AT3G08410"
"700","AT3G08425"
"701","AT3G08475"
"702","AT3G08585"
"703","AT3G08605"
"704","AT3G08655"
"705","AT3G08700"
"706","AT3G08745"
"707","AT3G08750"
"708","AT3G08755"
"709","AT3G08765"
"710","AT3G08855"
"711","AT3G09055"
"712","AT3G09065"
"713","AT3G09105"
"714","AT3G09162"
"715","AT3G09305"
"716","AT3G09335"
"717","AT3G09345"
"718","AT3G09450"
"719","AT3G09525"
"720","AT3G09545"
"721","AT3G09555"
"722","AT3G09620"
"723","AT3G09625"
"724","AT3G09640"
"725","AT3G09775"
"726","AT3G09935"
"727","AT3G10113"
"728","AT3G10240"
"729","AT3G10510"
"730","AT3G11010"
"731","AT3G11325"
"732","AT3G11350"
"733","AT3G11370"
"734","AT3G11415"
"735","AT3G11860"
"736","AT3G11980"
"737","AT3G12660"
"738","AT3G12720"
"739","AT3G12833"
"740","AT3G12840"
"741","AT3G13140"
"742","AT3G13240"
"743","AT3G13276"
"744","AT3G13390"
"745","AT3G13403"
"746","AT3G13525"
"747","AT3G13640"
"748","AT3G13660"
"749","AT3G13680"
"750","AT3G13898"
"751","AT3G13960"
"752","AT3G14030"
"753","AT3G14210"
"754","AT3G14620"
"755","AT3G14640"
"756","AT3G14820"
"757","AT3G14950"
"758","AT3G15740"
"759","AT3G15870"
"760","AT3G15960"
"761","AT3G16040"
"762","AT3G16120"
"763","AT3G16175"
"764","AT3G16540"
"765","AT3G17760"
"766","AT3G18291"
"767","AT3G18320"
"768","AT3G18360"
"769","AT3G18530"
"770","AT3G18535"
"771","AT3G18720"
"772","AT3G19090"
"773","AT3G19270"
"774","AT3G19595"
"775","AT3G20140"
"776","AT3G20400"
"777","AT3G20580"
"778","AT3G21370"
"779","AT3G21760"
"780","AT3G22650"
"781","AT3G22770"
"782","AT3G22820"
"783","AT3G23420"
"784","AT3G23950"
"785","AT3G24332"
"786","AT3G24540"
"787","AT3G24614"
"788","AT3G24780"
"789","AT3G25010"
"790","AT3G25011"
"791","AT3G25013"
"792","AT3G25760"
"793","AT3G26180"
"794","AT3G26230"
"795","AT3G26237"
"796","AT3G26480"
"797","AT3G26612"
"798","AT3G26742"
"799","AT3G26813"
"800","AT3G26819"
"801","AT3G27250"
"802","AT3G27440"
"803","AT3G27620"
"804","AT3G27650"
"805","AT3G27660"
"806","AT3G27720"
"807","AT3G27900"
"808","AT3G27940"
"809","AT3G27980"
"810","AT3G27990"
"811","AT3G28155"
"812","AT3G28220"
"813","AT3G28335"
"814","AT3G28470"
"815","AT3G28560"
"816","AT3G28590"
"817","AT3G28635"
"818","AT3G28890"
"819","AT3G29190"
"820","AT3G29631"
"821","AT3G29633"
"822","AT3G29638"
"823","AT3G29644"
"824","AT3G30720"
"825","AT3G30770"
"826","AT3G42725"
"827","AT3G43250"
"828","AT3G43630"
"829","AT3G43740"
"830","AT3G44006"
"831","AT3G44060"
"832","AT3G44240"
"833","AT3G44550"
"834","AT3G44695"
"835","AT3G44700"
"836","AT3G44703"
"837","AT3G44710"
"838","AT3G44755"
"839","AT3G44798"
"840","AT3G44830"
"841","AT3G45110"
"842","AT3G45160"
"843","AT3G45490"
"844","AT3G45638"
"845","AT3G45860"
"846","AT3G46230"
"847","AT3G46490"
"848","AT3G46658"
"849","AT3G46660"
"850","AT3G46730"
"851","AT3G46840"
"852","AT3G46910"
"853","AT3G47030"
"854","AT3G47090"
"855","AT3G47150"
"856","AT3G47348"
"857","AT3G47675"
"858","AT3G47680"
"859","AT3G47750"
"860","AT3G47790"
"861","AT3G47870"
"862","AT3G48640"
"863","AT3G48835"
"864","AT3G48840"
"865","AT3G49110"
"866","AT3G49155"
"867","AT3G49230"
"868","AT3G49260"
"869","AT3G49520"
"870","AT3G49580"
"871","AT3G50400"
"872","AT3G50480"
"873","AT3G50710"
"874","AT3G50825"
"875","AT3G50890"
"876","AT3G50940"
"877","AT3G51570"
"878","AT3G51760"
"879","AT3G52130"
"880","AT3G52526"
"881","AT3G53235"
"882","AT3G53250"
"883","AT3G53650"
"884","AT3G53690"
"885","AT3G54065"
"886","AT3G54240"
"887","AT3G54530"
"888","AT3G54800"
"889","AT3G55210"
"890","AT3G55500"
"891","AT3G55800"
"892","AT3G55860"
"893","AT3G55935"
"894","AT3G57100"
"895","AT3G57210"
"896","AT3G57370"
"897","AT3G58550"
"898","AT3G59510"
"899","AT3G59740"
"900","AT3G60700"
"901","AT3G60760"
"902","AT3G60890"
"903","AT3G60970"
"904","AT3G60990"
"905","AT3G61028"
"906","AT3G61182"
"907","AT3G61250"
"908","AT3G61510"
"909","AT3G61700"
"910","AT3G61870"
"911","AT3G61920"
"912","AT3G62230"
"913","AT3G62499"
"914","AT3G62510"
"915","AT3G62750"
"916","AT3G63052"
"917","AT3G63088"
"918","AT3G63093"
"919","AT3G66656"
"920","AT4G00130"
"921","AT4G00180"
"922","AT4G00920"
"923","AT4G01023"
"924","AT4G01390"
"925","AT4G01593"
"926","AT4G01595"
"927","AT4G01735"
"928","AT4G01740"
"929","AT4G01780"
"930","AT4G01970"
"931","AT4G02465"
"932","AT4G02780"
"933","AT4G03220"
"934","AT4G03505"
"935","AT4G03540"
"936","AT4G03715"
"937","AT4G03805"
"938","AT4G03955"
"939","AT4G04205"
"940","AT4G04345"
"941","AT4G04465"
"942","AT4G04475"
"943","AT4G04760"
"944","AT4G04995"
"945","AT4G05091"
"946","AT4G05100"
"947","AT4G05315"
"948","AT4G05335"
"949","AT4G05380"
"950","AT4G05405"
"951","AT4G05631"
"952","AT4G05650"
"953","AT4G05755"
"954","AT4G05810"
"955","AT4G05940"
"956","AT4G05950"
"957","AT4G06015"
"958","AT4G06060"
"959","AT4G06080"
"960","AT4G06160"
"961","AT4G06240"
"962","AT4G06315"
"963","AT4G06335"
"964","AT4G06780"
"965","AT4G06785"
"966","AT4G06810"
"967","AT4G06955"
"968","AT4G07100"
"969","AT4G07105"
"970","AT4G07120"
"971","AT4G07150"
"972","AT4G07160"
"973","AT4G07170"
"974","AT4G07408"
"975","AT4G07455"
"976","AT4G07868"
"977","AT4G07975"
"978","AT4G08005"
"979","AT4G08255"
"980","AT4G08525"
"981","AT4G08620"
"982","AT4G08755"
"983","AT4G08868"
"984","AT4G08874"
"985","AT4G08925"
"986","AT4G08990"
"987","AT4G09130"
"988","AT4G09200"
"989","AT4G09300"
"990","AT4G09310"
"991","AT4G09365"
"992","AT4G09525"
"993","AT4G09785"
"994","AT4G09850"
"995","AT4G09855"
"996","AT4G09870"
"997","AT4G09940"
"998","AT4G10507"
"999","AT4G10613"
"1000","AT4G11000"
"1001","AT4G11020"
"1002","AT4G11070"
"1003","AT4G11393"
"1004","AT4G11460"
"1005","AT4G11470"
"1006","AT4G11810"
"1007","AT4G11890"
"1008","AT4G12480"
"1009","AT4G12860"
"1010","AT4G12950"
"1011","AT4G12990"
"1012","AT4G13095"
"1013","AT4G13230"
"1014","AT4G13240"
"1015","AT4G13245"
"1016","AT4G13450"
"1017","AT4G13554"
"1018","AT4G13555"
"1019","AT4G13680"
"1020","AT4G13790"
"1021","AT4G13800"
"1022","AT4G14368"
"1023","AT4G14785"
"1024","AT4G14905"
"1025","AT4G15025"
"1026","AT4G15310"
"1027","AT4G15396"
"1028","AT4G15953"
"1029","AT4G16050"
"1030","AT4G16160"
"1031","AT4G16530"
"1032","AT4G16810"
"1033","AT4G16820"
"1034","AT4G16855"
"1035","AT4G16955"
"1036","AT4G16957"
"1037","AT4G17480"
"1038","AT4G17660"
"1039","AT4G17710"
"1040","AT4G17780"
"1041","AT4G17920"
"1042","AT4G17980"
"1043","AT4G18080"
"1044","AT4G18190"
"1045","AT4G18203"
"1046","AT4G18220"
"1047","AT4G18395"
"1048","AT4G19500"
"1049","AT4G19645"
"1050","AT4G19810"
"1051","AT4G19940"
"1052","AT4G20095"
"1053","AT4G20370"
"1054","AT4G20700"
"1055","AT4G20900"
"1056","AT4G20990"
"1057","AT4G21445"
"1058","AT4G22475"
"1059","AT4G22620"
"1060","AT4G23170"
"1061","AT4G23220"
"1062","AT4G23260"
"1063","AT4G23720"
"1064","AT4G23882"
"1065","AT4G24000"
"1066","AT4G24120"
"1067","AT4G24140"
"1068","AT4G24410"
"1069","AT4G24413"
"1070","AT4G24715"
"1071","AT4G24972"
"1072","AT4G25470"
"1073","AT4G25530"
"1074","AT4G26260"
"1075","AT4G26330"
"1076","AT4G26390"
"1077","AT4G26466"
"1078","AT4G26701"
"1079","AT4G26830"
"1080","AT4G27220"
"1081","AT4G28110"
"1082","AT4G28340"
"1083","AT4G28460"
"1084","AT4G28755"
"1085","AT4G28815"
"1086","AT4G29030"
"1087","AT4G29640"
"1088","AT4G29658"
"1089","AT4G29760"
"1090","AT4G29770"
"1091","AT4G29980"
"1092","AT4G30380"
"1093","AT4G30880"
"1094","AT4G30972"
"1095","AT4G31710"
"1096","AT4G31715"
"1097","AT4G31740"
"1098","AT4G31805"
"1099","AT4G31830"
"1100","AT4G32500"
"1101","AT4G32535"
"1102","AT4G33290"
"1103","AT4G33390"
"1104","AT4G33450"
"1105","AT4G33885"
"1106","AT4G33930"
"1107","AT4G33970"
"1108","AT4G34210"
