TAIR,SYMBOL,Log2fc_.Col.0_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_dark.
AT5G57380,VIN3,0,0,0,0,0,-5.433093,0,0,0,0,0,0,0,-4.989292,0,0,0,0,0,0,0
AT5G57550,XTH25,0,-2.333757,-2.682906,0,0,-3.164575,0,0,0,-1.889758,-2.238907,0,0,-2.720576,0,0,0,0,0,-3.181166,-2.737167
AT5G60780,ATNRT2.3,0,0,0,0,-2.177114,-2.741543,0,0,0,0,0,0,-1.733294,-2.297723,0,0,0,0,0,-3.37187,-2.92805
AT5G60830,AtbZIP70,0,-0.9833922,0,-1.501522,0,-3.616447,0,-1.4907,0,-0.5390558,0,-1.057186,0,-3.172111,0,-1.046364,0,-3.641081,-3.196745,-1.62259,-1.178254
AT5G62230,ERL1,0,0,0,0,-0.8953959,0,-4.652001,0,0,0,0,0,-0.4517021,0,-4.208307,0,0,0,0,0,0
AT5G63750,ARI13,0,0,0,0,0,0,0,-3.426578,0,0,0,0,0,0,0,-2.982733,0,-2.836133,-2.392288,-3.181549,-2.737705
AT5G66700,ATHB53,0,-5.017078,-9.146829,-5.117619,0,-5.413749,0,-2.718834,0,-4.572953,-8.702704,-4.673494,0,-4.969624,0,-2.274709,0,-6.2319,-5.787775,-6.123689,-5.679565
ATMG00600,ORF106C,0,-0.956316,-2.820796,0,0,0,0,-2.287176,-3.479435,-0.5121851,-2.376665,0,0,0,0,-1.843045,-3.035304,0,0,-0.8381685,-0.3940376
ATMG00910,ORF215A,0,0,0,0,0,-6.92116,-7.715261,-7.044833,-7.236544,0,0,0,0,-6.476823,-7.270923,-6.600496,-6.792206,0,0,0,0
ATMG01270,RPS7,0,0,-2.819265,0,0,0,-4.268124,0,0,0,-2.374825,0,0,0,-3.823684,0,0,0,0,0,0
