TAIR,SYMBOL,Log2fc_.root_FLT.v.root_GC.,Log2fc_.root_FLT.v.leaf_FLT.,Log2fc_.root_FLT.v.leaf_GC.
AT3G09290,TAC1,-7.081900777,0,-7.536568215
AT3G12240,SCPL15,-8.722259275,-1.899275877,-8.431135748
AT3G12720,ATMYB67,-8.38261235,0,-8.507202559
AT3G16440,ATMLP-300B,-9.153422463,-1.012562499,-8.841294187
AT3G20880,WIP4,-4.746607538,-1.922948822,-4.438943457
AT3G21720,ICL,-8.965923375,-2.478155181,-9.866649756
AT3G21800,UGT71B8,-3.890318575,0,-4.309615048
AT3G23380,RIC5,-3.828340651,0,-2.165128801
AT3G24540,AtPERK3,-4.397588375,0,-3.660607089
AT3G25260,AtNPF4.1,-4.22837982,0,-3.675237116
AT3G27070,TOM20-1,-5.944092114,0,-5.948828914
AT3G28290,AT14A,-5.529338302,0,-4.441820645
AT3G28300,AT14A,-5.529338302,0,-4.441820645
AT3G29780,RALFL27,-5.92015552,0,-5.391300348
AT3G30210,ATMYB121,-5.091606733,-1.005979621,-5.156078376
AT3G30260,AGL79,-8.94679032,-2.480272637,-8.961565562
AT3G30350,GLV3,-8.018960676,0,-7.541997556
AT3G44550,FAR5,-11.26357598,-2.815222742,-10.92195514
AT3G46330,MEE39,-9.61238239,0,-9.768675682
AT3G46760,LecRK-S.3,-6.492962192,0,-6.017381043
AT3G47710,BHLH161,-8.350684788,0,-7.854753369
AT3G47760,ABCA5,-7.575395557,0,-7.211318597
AT3G47770,ABCA6,-6.783542576,0,-5.497380759
AT3G52970,CYP76G1,-9.641205602,0,-8.276206494
AT3G55550,LecRK-S.4,-5.963982074,0,-5.959238616
AT3G56380,ARR17,-5.83099082,-3.048414524,-5.123972838
AT3G58190,ASL16,-6.695215526,0,-6.771035961
AT3G62210,EDA32,-8.758033877,-2.901149424,-8.917394882
AT3G62760,ATGSTF13,-10.15598281,-2.906149284,-9.720637286
AT3G63088,DVL14,0,-4.828147834,-1.393922157
AT4G01770,RGXT1,-7.327898858,0,-6.715291572
AT4G01820,ABCB3,-5.362009697,0,-3.764988328
AT4G01830,ABCB5,-8.193887742,0,-7.571279673
AT4G04930,DES-1-LIKE,-4.691599161,0,-4.681008583
AT4G10350,ANAC070,-6.684488015,0,-6.541730151
AT4G11070,AtWRKY41,-4.450132261,-0.908989376,-3.909528567
AT4G12050,AHL26,-11.20756862,-4.480328704,-11.01251017
AT4G13090,XTH2,-3.888951408,0,-3.976843651
AT4G13280,ATTPS12,-10.99746808,-1.913230873,-11.16759443
AT4G13300,ATTPS13,-4.657688662,0,-3.249942783
AT4G13890,EDA36,-8.122935936,-1.020033482,-7.747178933
AT4G15340,04C11,-8.74310465,-2.470827483,-8.468115928
AT4G15350,CYP705A2,-6.657241557,0,-6.207657786
AT4G15360,CYP705A3,-6.536870146,-1.005722144,-5.92030766
AT4G15370,BARS1,-4.686331048,0,-4.544698639
AT4G15396,CYP702A6,-7.694364069,-1.869922172,-7.850962415
AT4G15400,ABS1,-9.841519672,-2.481804569,-9.779448624
AT4G17785,MYB39,-8.127737621,-1.016612833,-7.493089753
AT4G19690,ATIRT1,-9.030972147,0,-9.564307205
AT4G21340,B70,-9.061092064,0,-8.738186148
AT4G21440,ATM4,-3.426997053,0,-3.283801418
AT4G23070,ATRBL7,-7.765010419,-1.903422952,-7.268999827
AT4G23496,SP1L5,-10.17048111,-3.218519783,-9.880560152
AT4G25560,AtMYB18,-8.670295247,-1.126791084,-8.254476277
AT4G26560,CBL7,-4.944597072,0,-5.380617416
AT4G26930,AtMYB97,-3.034074407,-1.005745098,-3.091681886
AT4G27170,AT2S4,-3.882553432,0,-4.210273755
AT4G27550,ATTPS4,-5.086764738,0,-5.739698349
AT4G28110,AtMYB41,-8.421790739,0,-7.515902385
AT4G28365,AtENODL3,-3.562848542,0,-1.915981883
AT4G28620,ABCB24,-5.604631284,-1.894856411,-4.921066961
AT4G29305,LCR25,-4.063604282,-1.009554892,-4.11891336
AT4G31320,SAUR37,-9.535427586,0,-9.347066982
AT4G31710,ATGLR2.4,-5.730063654,0,-5.515312058
AT4G31940,CYP82C4,-7.410003661,0,-7.473571264
AT4G32500,AKT5,-3.450752858,0,-3.748146863
AT4G33450,ATMYB69,-7.783747141,0,-8.22147763
AT4G33880,RSL2,-8.844885474,0,-8.396706641
AT4G34440,AtPERK5,-1.493781513,-1.867714601,-3.193793595
AT4G37050,AtPLAIVC,-6.226806316,0,-6.250205904
AT4G37060,AtPLAIVB,-5.30079142,0,-4.215154783
AT4G37340,CYP81D3,-9.573134238,-3.218867111,-9.199444928
AT5G01330,PDC3,-8.920561095,-1.900838736,-8.479183215
AT5G01490,ATCAX4,-8.453873081,-1.907248779,-7.998968163
AT5G03570,ATIREG2,-9.720255224,0,-9.892816814
AT5G06080,LBD33,-4.233482712,0,-4.797550927
AT5G06090,ATGPAT7,-9.851532648,-2.481550185,-9.329244124
AT5G06500,AGL96,-5.027588404,0,-4.289407958
AT5G06740,LecRK-S.5,-10.05353377,-2.890364683,-9.894276583
AT5G07050,UMAMIT9,-3.926903613,0,-5.019768878
AT5G07190,ATS3,-5.400820439,-1.026320105,-4.788713143
AT5G07390,ATRBOHA,-9.567335697,-0.973540786,-9.415548923
AT5G07480,KUOX1,-2.635052959,0,-3.26256728
AT5G09640,SCPL19,-4.128134672,0,-4.341459806
AT5G09978,PEP7,-7.71817338,-1.007337779,-7.788291319
AT5G13670,UMAMIT15,-3.598854019,0,-1.331017609
AT5G13910,LEP,-9.235101576,-2.482495911,-9.483503495
AT5G15290,CASP5,-7.031860896,0,-7.507396873
AT5G15725,GLV9,-7.039402485,0,-6.960406336
AT5G15890,TBL21,-9.435593702,-2.48347588,-9.11830962
AT5G17430,BBM,-8.832443982,0,-8.678458772
AT5G17810,WOX12,-5.997828464,-1.03274662,-6.039439103
