TAIR,SYMBOL,Log2fc_.Ws_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Ws_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Ws_GC_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0_FLT_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0_FLT_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Ws_FLT_dark.v.Col.0_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Ws_FLT_dark.v.Col.0_GC_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_GC_dark.
AT5G23000,ATMYB37,0,0,0,0,0,-2.845163,-2.836681,-3.754503,-3.746022,0,0,-3.636691,-3.62821,-3.769169,-3.760687,-2.409516,-2.401035,0,0,-4.765253,-4.756771
AT5G24550,BGLU32,0,0,0,0,0,-2.516851,-2.507837,0,0,0,0,0,0,-3.594362,-3.585347,0,0,0,0,-1.312362,-1.303348
AT5G24655,LSU4,0,0,0,0,0,-5.355302,-5.350742,-5.44188,-5.437321,-6.481341,-6.476781,-3.403667,-3.399107,-6.593394,-6.588834,-3.419826,-3.415266,-6.676029,-6.671469,-5.997906,-5.993346
AT5G24660,LSU2,0,0,0,0,0,-4.87756,-4.872311,-6.526299,-6.52105,-6.285374,-6.280126,-6.357642,-6.352393,-6.903181,-6.897932,-5.973331,-5.968082,-7.334653,-7.329404,-6.113147,-6.107899
AT5G24860,ATFPF1,0,0,-2.615391,0,-2.610411,-1.679457,-1.674477,-0.6212473,-0.6162679,-1.619718,-1.614738,-2.750676,-2.745696,-0.6194156,-0.6144362,-5.690747,-5.685768,-5.111935,-5.106956,-3.247801,-3.242822
AT5G26140,ATLOG9,0,0,0,0,0,0,0,0,0,-3.298721,-3.294256,0,0,-1.376838,-1.372373,0,0,-3.684881,-3.680416,0,0
AT5G26220,AtGGCT2;1,0,0,0,0,0,-1.591359,-1.583859,0,0,-0.6768096,-0.6693087,0,0,-1.712115,-1.704614,-4.721054,-4.713553,0,0,0,0
AT5G26950,AGL93,0,0,0,0,0,-4.041209,-4.03531,-2.283706,-2.277806,-4.207165,-4.201266,0,0,-0.7005383,-0.694639,-4.394996,-4.389096,-2.918281,-2.912382,-2.111034,-2.105134
AT5G27060,AtRLP53,0,0,0,0,0,-3.417054,-3.406428,-3.788481,-3.777854,-3.523257,-3.51263,0,0,-3.541337,-3.53071,-2.784233,-2.773606,-2.85212,-2.841493,-5.479051,-5.468424
AT5G28030,DES1,0,0,0,0,0,-2.996382,-2.986746,-1.833809,-1.824173,-1.801487,-1.791851,-3.674065,-3.664429,-1.732708,-1.723072,-3.504803,-3.495167,-4.152324,-4.142688,-3.339593,-3.329957
AT5G36110,CYP716A1,0,-1.157784,0,-1.148678,0,-0.8018894,-0.7927833,-3.345362,-3.336256,0,0,-5.422723,-5.413617,-5.159262,-5.150156,-7.077589,-7.068483,-5.737531,-5.728424,-4.933184,-4.924078
AT5G36970,NHL25,0,0,0,0,0,0,0,-3.885395,-3.878492,0,0,-2.633774,-2.626872,0,0,0,0,0,0,0,0
AT5G37820,NIP4;2,0,0,0,0,0,0,0,0,0,-0.7458789,-0.7389133,-4.232643,-4.225677,0,0,-2.835219,-2.828254,0,0,-4.174497,-4.167532
AT5G38430,RBCS1B,0,-4.558798,0,-4.550412,0,0,0,0,0,-5.500846,-5.49246,0,0,0,0,0,0,-1.528858,-1.520472,0,0
AT5G38800,AtbZIP43,0,0,0,0,0,0,0,0,0,0,0,-2.856181,-2.851809,0,0,-4.188908,-4.184536,0,0,0,0
AT5G39190,ATGER2,0,0,0,0,0,0,0,-6.315126,-6.308739,-2.300159,-2.293771,-3.392702,-3.386315,0,0,-4.639708,-4.63332,-5.816147,-5.809759,-7.513583,-7.507195
AT5G42120,LecRK-S.6,0,-2.699473,-3.124639,-2.689619,-3.114785,-2.940474,-2.93062,0,0,-4.1943,-4.184445,-3.457303,-3.447449,0,0,0,0,0,0,-2.097959,-2.088105
AT5G42410,SAUR43,0,-1.957072,0,-1.955067,0,0,0,0,0,-0.6753879,-0.6733824,0,0,0,0,-2.407253,-2.405248,-2.827695,-2.82569,-1.88667,-1.884665
AT5G42600,MRN1,0,0,-27.8777,0,-27.85845,0,0,0,0,0,0,-30.98104,-30.96179,-24.72458,-24.70533,-27.48654,-27.46729,-28.53704,-28.51779,-31.87924,-31.85998
AT5G43650,BHLH92,0,0,0,0,0,0,0,-3.793668,-3.786563,0,0,-1.174761,-1.167656,-3.116646,-3.109542,-1.391765,-1.38466,0,0,-3.313241,-3.306136
AT5G45070,AtPP2-A8,0,0,0,0,0,-8.156973,-8.148223,-8.959237,-8.950487,-8.430055,-8.421304,-8.322333,-8.313582,-10.09836,-10.08961,-10.14893,-10.14018,-9.339966,-9.331216,-9.710059,-9.701308
AT5G45080,AtPP2-A6,0,0,0,0,0,-7.845929,-7.837115,-8.091173,-8.082359,-7.670883,-7.662069,-7.508931,-7.500117,-9.466288,-9.457474,-9.372079,-9.363264,-8.613124,-8.60431,-7.755054,-7.74624
AT5G45090,AtPP2-A7,0,0,0,0,0,-3.482926,-3.475519,-3.08446,-3.077052,-1.297604,-1.290196,-3.192749,-3.185341,-5.937909,-5.930501,-4.915883,-4.908475,-1.979007,-1.971599,-3.948146,-3.940738
AT5G46510,VICTL,0,0,0,0,0,-8.030641,-8.019383,-7.883396,-7.872138,-7.627234,-7.615976,-8.477771,-8.466513,-7.631798,-7.62054,-8.856927,-8.84567,-8.437197,-8.425939,-8.035521,-8.024263
AT5G46520,VICTR,0,0,0,0,0,-6.729658,-6.718594,-6.637589,-6.626525,-6.665489,-6.654426,-6.035276,-6.024213,-7.243032,-7.231968,-7.082885,-7.071821,-7.284986,-7.273923,-6.765905,-6.754841
AT5G47470,UMAMIT7,0,-2.196124,-2.851316,-2.187711,-2.842903,-1.926375,-1.917962,0,0,-0.796376,-0.7879632,0,0,-2.412093,-2.403681,-1.145823,-1.13741,0,0,-3.124565,-3.116152
AT5G50580,AT-SAE1-2,0,-29.03941,-34.19762,-29.03188,-34.19008,0,0,-35.03629,-35.02875,-33.61326,-33.60573,-35.01855,-35.01101,0,0,0,0,0,0,-33.40917,-33.40163
AT5G51330,DYAD,0,0,0,0,0,-3.719225,-3.709396,-4.445097,-4.435268,-1.775575,-1.765745,-1.915274,-1.905444,0,0,-2.46,-2.450171,-1.18838,-1.178551,-2.84618,-2.83635
AT5G51480,SKS2,0,-1.134211,-4.022871,-1.124058,-4.012717,-1.572322,-1.562168,0,0,-3.219018,-3.208864,0,0,0,0,0,0,-3.147988,-3.137835,0,0
