TAIR,SYMBOL,Log2fc_.root_GC.v.leaf_FLT.,Log2fc_.root_GC.v.leaf_GC.,Log2fc_.root_GC.v.root_FLT.
AT4G29470,PLA2-DELTA,-1.405724905,-3.889133838,-2.853632177
AT4G34530,CIB1,-11.97038873,-6.26171693,-11.43241742
AT4G35650,IDH-III,-4.121085745,-3.292022166,-4.610396716
AT4G37990,ATCAD8,-6.815143321,-2.219384977,-3.872771568
AT4G38000,DOF4.7,-2.362275614,0,-4.613641499
AT4G38825,SAUR13,-8.157683743,0,-6.857623697
AT4G38850,ATSAUR15,-5.398958783,0,-6.761160991
AT4G38880,ASE3,-4.050263804,-1.914207278,-3.874772207
AT4G39250,ATRL1,-7.178624476,0,-6.534861158
AT4G39340,EC1.4,-4.020008212,0,-4.764767386
AT4G39500,CYP96A11,-3.571397646,0,-4.348053228
AT5G02110,CYCD7,-5.301291543,0,-5.931868679
AT5G04180,ACA3,-3.681817371,0,-4.275048869
AT5G08150,SOB5,-7.933248583,-0.892206728,-7.828432897
AT5G11190,SHN2,-6.84611497,0,-6.095490611
AT5G15800,AGL2,-5.407644474,0,-5.452163844
AT5G18010,SAUR19,-6.597109428,0,-6.79374857
AT5G18050,SAUR22,-6.657097744,0,-7.110184463
AT5G18060,SAUR23,-7.682365956,0,-8.163300034
AT5G19470,atnudt24,-6.21027058,0,-7.242985585
AT5G24150,SQE5,-9.91932566,-1.80471853,-11.70845083
AT5G25980,BGLU37,-7.214086339,0,-7.631773
AT5G35490,ATMRU1,-8.873994062,-1.809159071,-9.03250499
AT5G36910,THI2.2,-5.231712257,0,-8.193854812
AT5G37300,WSD1,-6.390024995,0,-6.705229283
AT5G39860,BHLH136,-6.635564823,0,-8.070766527
AT5G45830,ATDOG1,-8.119881296,-4.387997689,-8.589196056
AT5G46520,VICTR,-5.725437687,-0.866626347,-5.648788077
AT5G53390,FOP1,-2.867270896,0,-4.455862224
AT5G53660,AtGRF7,-7.448286936,0,-7.140093635
AT5G53870,AtENODL1,-7.471478311,0,-7.724801074
AT5G56490,AtGulLO4,-8.194252341,0,-8.131232296
AT5G60220,TET4,-3.960390262,0,-4.09956085
AT5G61160,AACT1,-11.15287644,-2.351827958,-9.629505989
AT5G62040,BFT,-4.661077308,0,-4.281549908
AT5G62850,AtSWEET5,-4.994823794,0,-4.121432059
AT5G64800,CLE21,-5.34620469,-0.901256633,-4.99775396
ATCG00360,YCF3,-3.283911913,-1.650308574,-3.778075815
ATCG00440,NDHC,-6.527510413,-2.509896613,-6.81833497
ATCG00650,RPS18,-4.429026328,-1.69597366,-2.881652215
ATMG01080,ATP9,-3.762151531,-2.030512057,-3.931429133
