TAIR,SYMBOL,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0_GC_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0.PhyD_FLT_dark.
AT5G54610,ANK,0,-0.7102492,-1.379437,0,0,-1.298977,-1.968166,0,0,-2.799624,-3.388352,-1.810263,-2.398991,-0.419082,-1.00781,0,0,-1.574386,-2.163114,0,0
AT5G57260,CYP71B10,0,-0.7102348,0,-2.88385,0,-1.298926,0,-3.472541,0,0,0,-1.555343,-2.144034,0,0,0,0,-1.583368,-2.172059,-1.062486,-1.651177
AT5G57380,VIN3,0,-4.890156,0,0,0,-5.479782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT5G57550,XTH25,0,-2.62245,0,0,0,-3.209081,0,0,0,0,0,-2.639041,-3.225672,0,0,0,0,-1.791632,-2.378263,-2.140781,-2.727412
AT5G58080,ARR18,0,-0.7104121,0,0,0,-1.300123,0,0,0,-0.5355864,-1.125297,-2.376176,-2.965887,-2.346586,-2.936297,0,0,-2.17104,-2.760751,0,0
AT5G63450,CYP94B1,0,-1.976908,0,-0.8979553,0,-2.566148,0,-1.487194,0,0,0,-0.3180853,-0.9073244,-2.926938,-3.516177,0,0,0,0,0,0
AT5G63580,ATFLS2,0,0,0,-0.917549,0,0,0,-1.505014,0,0,0,-3.619812,-4.207277,-2.949367,-3.536832,0,0,0,0,0,0
AT5G63750,ARI13,0,0,0,-2.883807,0,0,0,-3.472811,0,-2.293362,-2.882366,-2.638778,-3.227783,0,0,0,0,0,0,0,0
AT5G64667,IDL2,0,-0.7093722,0,-3.271964,0,-1.293072,0,-3.855664,0,0,0,0,0,-0.4204776,-1.004178,0,0,0,0,-3.798352,-4.382052
AT5G65158,PLAT3,0,-1.469075,-1.697147,0,-2.496104,-2.052339,-2.28041,0,-3.079368,-1.354876,-1.93814,-2.725374,-3.308638,-1.557917,-2.141181,-0.8679624,-1.451226,-3.857157,-4.44042,-4.090958,-4.674222
AT5G65730,XTH6,0,-2.47258,0,-0.8949594,0,-3.060635,0,-1.483014,0,-0.535684,-1.123738,-2.377208,-2.965263,-1.5342,-2.122255,0,0,-2.826997,-3.415051,0,0
ATMG00550,ORF160,0,-2.220939,0,0,0,-2.793114,0,0,0,-1.494746,-2.06692,0,0,-0.9995743,-1.571748,0,0,-2.382225,-2.954399,0,0
ATMG00600,ORF106C,0,0,0,-1.758101,-2.95036,0,0,-2.307976,-3.500235,0,0,-0.3090931,-0.8589686,0,0,0,0,-0.4272406,-0.9771161,-2.29172,-2.841596
ATMG00740,ORF100A,0,-1.656442,0,-1.797823,-2.204923,-2.201203,0,-2.342584,-2.749684,-2.303824,-2.848585,-1.077236,-1.621998,-0.4348436,-0.9796047,-2.496193,-3.040954,-0.4254961,-0.9702571,-1.096257,-1.641018
ATMG00750,ORF119,0,-0.7095226,-1.546825,0,0,-1.267864,-2.105167,0,0,-1.866168,-2.42451,-1.053367,-1.611709,-0.4293044,-0.9876461,-1.891637,-2.449978,-0.4307074,-0.9890491,-1.807205,-2.365547
ATMG00910,ORF215A,0,-6.381144,-7.175245,-6.504817,-6.696527,-6.960586,-7.754687,-7.084259,-7.27597,0,0,0,0,0,0,0,0,0,0,0,0
ATMG01110,ORF251,0,0,0,-1.689622,-4.33516,0,0,-2.271558,-4.917097,-2.70197,-3.283906,0,0,0,0,-1.467347,-2.049284,0,0,-2.300496,-2.882432
ATMG01270,RPS7,0,0,-3.731483,0,0,0,-4.300875,0,0,0,0,0,0,0,0,0,0,0,0,-2.282624,-2.852016
