TAIR,SYMBOL,Log2fc_.Ws_GC_Alight.v.Ws_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Ws_GC_dark.v.Ws_FLT_dark.
AT4G18190,ATPUP6,0,-1.397426,-1.558392,-1.603875,-1.764841,0,0,-4.538233,-4.699199,-3.125304,-3.28627,-4.894092,-5.055058,-1.029,-1.189966,0,0,0,0,0,0
AT4G18195,ATPUP8,0,0,0,-3.776246,-3.934983,0,0,-0.9368397,-1.095577,-3.281836,-3.440573,-4.438546,-4.597283,-2.117072,-2.275809,-4.958126,-5.116863,-3.097946,-3.256683,0,0
AT4G19810,ChiC,0,-0.5237195,-0.6804867,0,0,0,0,0,0,-3.20451,-3.361277,-2.431744,-2.588511,-0.9499418,-1.106709,0,0,-2.140813,-2.29758,0,0
AT4G20370,TSF,0,0,0,0,0,0,0,0,0,0,0,-1.105851,-1.301101,-3.777964,-3.973214,-1.311959,-1.50721,0,0,0,0
AT4G20990,ACA4,0,-0.5737602,-0.7676669,-2.774068,-2.967975,-2.487587,-2.681494,0,0,-1.202237,-1.396144,0,0,-1.646208,-1.840115,0,0,0,0,0,0
AT4G23170,CRK9,0,0,0,0,0,0,0,-2.276586,-2.431014,0,0,0,0,-3.773965,-3.928393,0,0,-0.7833096,-0.9377374,0,0
AT4G23220,CRK14,0,0,0,-0.3832449,-0.5355089,0,0,-3.012861,-3.165125,0,0,0,0,-2.176246,-2.32851,-2.817255,-2.969519,0,0,0,0
AT4G24000,ATCSLG2,0,-2.359464,-2.50861,0,0,0,0,0,0,0,0,0,0,0,0,-1.598737,-1.747883,0,0,-3.201332,-3.350478
AT4G24120,ATYSL1,0,-0.6166421,-0.761979,0,0,-1.1094,-1.254737,-2.408391,-2.553728,-1.836656,-1.981993,-2.221111,-2.366448,0,0,-4.276118,-4.421455,0,0,0,0
AT4G25530,FWA,0,-1.37614,-1.523411,-2.642231,-2.789502,-1.613542,-1.760812,-0.9497432,-1.097014,-0.5328095,-0.6800803,0,0,0,0,-0.4508531,-0.5981239,0,0,0,0
