TAIR,SYMBOL,Log2fc_.Col.0_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Col.0_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_FLT_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Col.0_FLT_dark.v.Col.0_GC_dark.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_FLT_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_FLT_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_FLT_dark.v.Ws_GC_dark.
AT2G46480,GAUT2,0,0,0,-0.8924681,0,-3.969244,-0.813365,0,0,-2.119479,0,0,0,-1.120069,0,-4.196845,-1.040966,0,0,-2.34708,0
AT3G03840,SAUR27,0,-0.8467918,0,0,0,0,-0.8059907,-3.903315,-2.781704,0,0,-1.075363,0,0,0,0,-1.034562,-4.131887,-3.010275,0,0
AT3G05790,LON4,0,0,0,0,0,0,0,0,-3.780896,-3.274551,-1.140594,0,0,0,0,0,0,0,-4.00824,-3.501895,-1.367938
AT3G16380,PAB6,0,0,0,0,0,-4.545961,-0.7980887,0,-4.106963,0,-4.055519,0,0,0,0,-4.773613,-1.025741,0,-4.334616,0,-4.283172
AT3G19270,CYP707A4,0,-3.694891,0,-2.73772,0,0,-4.416779,0,0,0,0,-3.92263,0,-2.965459,0,0,-4.644518,0,0,0,0
AT3G20950,CYP705A32,0,0,0,0,0,0,0,-6.201618,-3.667821,-5.510118,-5.904778,0,0,0,0,0,0,-6.429067,-3.89527,-5.737567,-6.132227
AT3G21055,PSBTN,0,-5.481092,-3.931807,-0.9528507,0,-4.702635,-0.8924265,-5.052814,0,-6.006428,0,-5.709615,-4.16033,-1.181374,0,-4.931158,-1.12095,-5.281338,0,-6.234951,0
AT3G21090,ABCG15,0,0,0,0,0,-1.387748,0,0,-4.784941,0,-1.161133,0,0,0,0,-1.615136,0,0,-5.012328,0,-1.388521
AT3G21760,HYR1,0,-3.594692,0,0,0,-1.387612,0,-2.50057,0,-1.316481,-2.224809,-3.822356,0,0,0,-1.615276,0,-2.728234,0,-1.544145,-2.452472
AT3G26180,CYP71B20,0,0,-1.452902,-5.030371,0,0,0,0,0,0,0,0,-1.680468,-5.257937,0,0,0,0,0,0,0
AT3G27503,SCRL19,0,-2.561686,0,-0.8662086,-1.504204,0,0,-3.58705,-3.149948,0,-1.149766,-2.790935,0,-1.095458,-1.733454,0,0,-3.8163,-3.379197,0,-1.379015
AT3G27620,AOX1C,0,-3.296116,-2.708523,-0.8769998,0,-3.413918,-2.84182,0,0,0,0,-3.523903,-2.93631,-1.104787,0,-3.641705,-3.069608,0,0,0,0
AT3G27710,ARARI3,0,0,-2.701357,-1.596247,0,-2.904066,0,0,-4.185549,0,-1.160222,0,-2.929007,-1.823897,0,-3.131716,0,0,-4.413199,0,-1.387872
AT3G30725,AtGDU6,0,0,-2.671389,0,-2.195817,0,-4.52177,-6.193822,-6.845991,-2.163558,-7.00081,0,-2.900399,0,-2.424826,0,-4.75078,-6.422832,-7.075001,-2.392568,-7.22982
AT3G44900,ATCHX4,0,0,-1.28414,-0.8796454,0,0,0,-2.624884,0,0,-3.321732,0,-1.511519,-1.107025,0,0,0,-2.852263,0,0,-3.549112
AT3G47770,ABCA6,0,-2.692428,0,-2.536417,0,-3.672414,0,-2.136043,-6.244396,0,-5.240555,-2.92017,0,-2.764159,0,-3.900156,0,-2.363785,-6.472139,0,-5.468297
AT3G48280,CYP71A25,0,0,0,0,-1.488336,-1.387662,-0.7987161,0,-5.203028,-3.987089,-1.808738,0,0,0,-1.715947,-1.615273,-1.026327,0,-5.430639,-4.2147,-2.036349
AT3G51200,SAUR18,0,-0.8503674,-2.466416,0,0,-2.588419,0,0,-3.734668,-1.430493,-1.145699,-1.080284,-2.696333,0,0,-2.818336,0,0,-3.964585,-1.66041,-1.375616
AT3G51420,ATSSL4,0,-2.064386,0,-2.009125,0,0,0,-2.844641,0,-2.869195,-1.160574,-2.291953,0,-2.236692,0,0,0,-3.072208,0,-3.096762,-1.388141
AT3G51820,ATG4,0,-4.323009,0,-0.8782867,0,-3.011465,0,-4.012438,0,-4.279244,-3.328125,-4.550554,0,-1.105832,0,-3.239011,0,-4.239984,0,-4.50679,-3.555671
AT3G53280,CYP71B5,0,0,0,0,0,0,0,-3.463868,-1.793869,-1.316399,-3.835224,0,0,0,0,0,0,-3.691517,-2.021517,-1.544047,-4.062873
AT3G55290,SDRd,0,-2.572055,-2.367582,-0.8854254,-5.142296,-3.567846,0,0,0,-2.124545,-4.511685,-2.799877,-2.595403,-1.113247,-5.370118,-3.795668,0,0,0,-2.352367,-4.739507
AT3G55500,ATEXP16,0,-3.820257,-3.817558,0,0,-3.114099,-2.059782,0,0,0,0,-4.048214,-4.045515,0,0,-3.342056,-2.287739,0,0,0,0
AT3G56380,ARR17,0,0,0,0,0,0,-1.528771,-3.340182,-2.571847,0,-1.772279,0,0,0,0,0,-1.757983,-3.569394,-2.801059,0,-2.001491
AT3G60100,CSY5,0,-0.8538996,0,-2.16959,0,0,-3.239682,0,0,0,-3.606323,-1.08155,0,-2.397241,0,0,-3.467332,0,0,0,-3.833974
AT3G61175,LCR52,0,0,0,0,0,0,0,-4.305712,-2.115967,-1.544004,0,0,0,0,0,0,0,-4.533737,-2.343992,-1.772029,0
