"","col_GC_c1.which.mclass....6...1."
"1","AT1G01183"
"2","AT1G01680"
"3","AT1G03506"
"4","AT1G03790"
"5","AT1G04500"
"6","AT1G04560"
"7","AT1G04800"
"8","AT1G05383"
"9","AT1G05693"
"10","AT1G06135"
"11","AT1G06148"
"12","AT1G06350"
"13","AT1G06645"
"14","AT1G07476"
"15","AT1G07493"
"16","AT1G08457"
"17","AT1G08547"
"18","AT1G08853"
"19","AT1G09267"
"20","AT1G09447"
"21","AT1G09720"
"22","AT1G09853"
"23","AT1G10875"
"24","AT1G11510"
"25","AT1G11920"
"26","AT1G13200"
"27","AT1G13608"
"28","AT1G14440"
"29","AT1G14550"
"30","AT1G15015"
"31","AT1G15600"
"32","AT1G15840"
"33","AT1G17260"
"34","AT1G18310"
"35","AT1G18350"
"36","AT1G18400"
"37","AT1G18530"
"38","AT1G19390"
"39","AT1G20310"
"40","AT1G20590"
"41","AT1G21550"
"42","AT1G22380"
"43","AT1G24260"
"44","AT1G24470"
"45","AT1G24807"
"46","AT1G25055"
"47","AT1G25210"
"48","AT1G25988"
"49","AT1G27570"
"50","AT1G27710"
"51","AT1G28010"
"52","AT1G29660"
"53","AT1G30220"
"54","AT1G30560"
"55","AT1G30780"
"56","AT1G30950"
"57","AT1G31960"
"58","AT1G32350"
"59","AT1G34490"
"60","AT1G35617"
"61","AT1G36580"
"62","AT1G42560"
"63","AT1G45191"
"64","AT1G47610"
"65","AT1G47790"
"66","AT1G48060"
"67","AT1G48800"
"68","AT1G49225"
"69","AT1G50830"
"70","AT1G51000"
"71","AT1G51010"
"72","AT1G51538"
"73","AT1G51990"
"74","AT1G52690"
"75","AT1G55175"
"76","AT1G55260"
"77","AT1G55525"
"78","AT1G55600"
"79","AT1G55720"
"80","AT1G56150"
"81","AT1G56242"
"82","AT1G58936"
"83","AT1G59790"
"84","AT1G60986"
"85","AT1G61710"
"86","AT1G62360"
"87","AT1G62421"
"88","AT1G63070"
"89","AT1G63320"
"90","AT1G63540"
"91","AT1G63600"
"92","AT1G64260"
"93","AT1G64795"
"94","AT1G65140"
"95","AT1G65480"
"96","AT1G65490"
"97","AT1G66000"
"98","AT1G66360"
"99","AT1G66870"
"100","AT1G66920"
"101","AT1G66950"
"102","AT1G66960"
"103","AT1G66970"
"104","AT1G67100"
"105","AT1G67220"
"106","AT1G69470"
"107","AT1G69990"
"108","AT1G70390"
"109","AT1G72110"
"110","AT1G73510"
"111","AT1G73700"
"112","AT1G74820"
"113","AT1G74990"
"114","AT1G76750"
"115","AT1G76965"
"116","AT1G77160"
"117","AT1G77210"
"118","AT1G78160"
"119","AT1G80390"
"120","AT1G80580"
"121","AT1G80590"
"122","AT2G01360"
"123","AT2G01810"
"124","AT2G02490"
"125","AT2G02640"
"126","AT2G03130"
"127","AT2G03460"
"128","AT2G04005"
"129","AT2G04190"
"130","AT2G04220"
"131","AT2G05420"
"132","AT2G05505"
"133","AT2G05585"
"134","AT2G05642"
"135","AT2G05915"
"136","AT2G06002"
"137","AT2G06305"
"138","AT2G06365"
"139","AT2G09175"
"140","AT2G09460"
"141","AT2G09565"
"142","AT2G09970"
"143","AT2G10553"
"144","AT2G10615"
"145","AT2G11271"
"146","AT2G12905"
"147","AT2G13950"
"148","AT2G14070"
"149","AT2G15090"
"150","AT2G15555"
"151","AT2G16190"
"152","AT2G17470"
"153","AT2G17680"
"154","AT2G17690"
"155","AT2G17850"
"156","AT2G18490"
"157","AT2G19920"
"158","AT2G21330"
"159","AT2G22750"
"160","AT2G22820"
