"","col_GC_c1.which.mclass....1...1."
"290","AT1G13130"
"291","AT1G13143"
"292","AT1G13230"
"293","AT1G13250"
"294","AT1G13370"
"295","AT1G13490"
"296","AT1G13500"
"297","AT1G13790"
"298","AT1G14455"
"299","AT1G14600"
"300","AT1G14630"
"301","AT1G14640"
"302","AT1G15125"
"303","AT1G15165"
"304","AT1G15260"
"305","AT1G15320"
"306","AT1G15530"
"307","AT1G15540"
"308","AT1G15680"
"309","AT1G15770"
"310","AT1G15980"
"311","AT1G16120"
"312","AT1G16230"
"313","AT1G16380"
"314","AT1G16420"
"315","AT1G16440"
"316","AT1G16530"
"317","AT1G16705"
"318","AT1G16750"
"319","AT1G16770"
"320","AT1G16910"
"321","AT1G17020"
"322","AT1G17030"
"323","AT1G17200"
"324","AT1G17235"
"325","AT1G17345"
"326","AT1G17420"
"327","AT1G17610"
"328","AT1G17630"
"329","AT1G17700"
"330","AT1G17810"
"331","AT1G17830"
"332","AT1G17960"
"333","AT1G18020"
"334","AT1G18193"
"335","AT1G18197"
"336","AT1G18410"
"337","AT1G18835"
"338","AT1G18870"
"339","AT1G18879"
"340","AT1G18990"
"341","AT1G19070"
"342","AT1G19160"
"343","AT1G19200"
"344","AT1G19373"
"345","AT1G19550"
"346","AT1G19610"
"347","AT1G19630"
"348","AT1G19750"
"349","AT1G19890"
"350","AT1G19900"
"351","AT1G20015"
"352","AT1G20080"
"353","AT1G20120"
"354","AT1G20130"
"355","AT1G20150"
"356","AT1G20400"
"357","AT1G20860"
"358","AT1G20870"
"359","AT1G20925"
"360","AT1G20990"
"361","AT1G21130"
"362","AT1G21250"
"363","AT1G21320"
"364","AT1G21500"
"365","AT1G21528"
"366","AT1G21810"
"367","AT1G21860"
"368","AT1G21990"
"369","AT1G22000"
"370","AT1G22080"
"371","AT1G22110"
"372","AT1G22160"
"373","AT1G22250"
"374","AT1G22260"
"375","AT1G22290"
"376","AT1G22430"
"377","AT1G22480"
"378","AT1G22590"
"379","AT1G22670"
"380","AT1G22680"
"381","AT1G22810"
"382","AT1G22900"
"383","AT1G23070"
"384","AT1G23110"
"385","AT1G23210"
"386","AT1G23450"
"387","AT1G23510"
"388","AT1G23520"
"389","AT1G23540"
"390","AT1G23740"
"391","AT1G23965"
"392","AT1G23985"
"393","AT1G23995"
"394","AT1G24000"
"395","AT1G24020"
"396","AT1G24420"
"397","AT1G24485"
"398","AT1G24545"
"399","AT1G24570"
"400","AT1G24575"
"401","AT1G24909"
"402","AT1G25155"
"403","AT1G25240"
"404","AT1G25277"
"405","AT1G25330"
"406","AT1G25400"
"407","AT1G25422"
"408","AT1G25440"
"409","AT1G26230"
"410","AT1G26360"
"411","AT1G26410"
"412","AT1G26420"
"413","AT1G26510"
"414","AT1G26540"
"415","AT1G26560"
"416","AT1G26710"
"417","AT1G26762"
"418","AT1G26770"
"419","AT1G27080"
"420","AT1G27580"
"421","AT1G27610"
"422","AT1G27820"
"423","AT1G28040"
"424","AT1G28170"
"425","AT1G28230"
"426","AT1G28265"
"427","AT1G28270"
"428","AT1G28327"
"429","AT1G28480"
"430","AT1G28570"
"431","AT1G28600"
"432","AT1G28610"
"433","AT1G28660"
"434","AT1G29090"
"435","AT1G29100"
"436","AT1G29395"
"437","AT1G29420"
"438","AT1G29500"
"439","AT1G29540"
"440","AT1G29600"
"441","AT1G29670"
"442","AT1G29680"
"443","AT1G29780"
"444","AT1G30135"
"445","AT1G30455"
"446","AT1G30740"
"447","AT1G30800"
"448","AT1G30850"
"449","AT1G31200"
"450","AT1G31290"
"451","AT1G31485"
"452","AT1G31580"
"453","AT1G31750"
"454","AT1G31772"
"455","AT1G31920"
"456","AT1G31990"
"457","AT1G32060"
"458","AT1G32120"
"459","AT1G32172"
"460","AT1G32385"
"461","AT1G32540"
"462","AT1G32560"
"463","AT1G32570"
"464","AT1G32710"
"465","AT1G32713"
"466","AT1G32850"
"467","AT1G32950"
"468","AT1G33090"
"469","AT1G33320"
"470","AT1G33430"
"471","AT1G33600"
"472","AT1G33670"
"473","AT1G33870"
"474","AT1G34047"
"475","AT1G34050"
"476","AT1G34500"
"477","AT1G34510"
"478","AT1G34540"
"479","AT1G35140"
"480","AT1G35180"
"481","AT1G35515"
"482","AT1G35625"
"483","AT1G35730"
"484","AT1G35830"
"485","AT1G36622"
"486","AT1G36992"
"487","AT1G42970"
"488","AT1G43000"
"489","AT1G43010"
"490","AT1G44010"
"491","AT1G44030"
"492","AT1G44414"
"493","AT1G44542"
"494","AT1G44575"
"495","AT1G45201"
"496","AT1G45474"
"497","AT1G45545"
"498","AT1G45616"
"499","AT1G46984"
"500","AT1G47130"
"501","AT1G47280"
"502","AT1G47350"
"503","AT1G47690"
"504","AT1G47990"
"505","AT1G48020"
"506","AT1G48180"
"507","AT1G48195"
"508","AT1G48267"
"509","AT1G48325"
"510","AT1G48400"
"511","AT1G48405"
"512","AT1G48470"
"513","AT1G48670"
"514","AT1G48700"
"515","AT1G48720"
"516","AT1G49010"
"517","AT1G49130"
"518","AT1G49150"
"519","AT1G49210"
"520","AT1G49220"
"521","AT1G49250"
"522","AT1G49330"
"523","AT1G49405"
"524","AT1G49450"
"525","AT1G49530"
"526","AT1G49610"
"527","AT1G49700"
"528","AT1G49750"
"529","AT1G49790"
"530","AT1G49900"
"531","AT1G49920"
"532","AT1G50180"
"533","AT1G50190"
"534","AT1G50280"
"535","AT1G50390"
"536","AT1G50610"
"537","AT1G50732"
"538","AT1G50750"
"539","AT1G51030"
"540","AT1G51090"
"541","AT1G51460"
"542","AT1G51480"
"543","AT1G51500"
"544","AT1G51620"
"545","AT1G51770"
"546","AT1G51870"
"547","AT1G51880"
"548","AT1G51960"
"549","AT1G52110"
"550","AT1G52130"
"551","AT1G52220"
"552","AT1G52230"
"553","AT1G52270"
"554","AT1G52400"
"555","AT1G52410"
"556","AT1G52415"
"557","AT1G52430"
"558","AT1G52440"
"559","AT1G52560"
"560","AT1G52570"
"561","AT1G52800"
"562","AT1G52855"
"563","AT1G52880"
"564","AT1G53090"
"565","AT1G53100"
"566","AT1G53540"
"567","AT1G53610"
"568","AT1G53620"
"569","AT1G53625"
"570","AT1G53640"
"571","AT1G53801"
"572","AT1G53935"
"573","AT1G53990"
"574","AT1G54160"
"575","AT1G54215"
"576","AT1G54280"
"577","AT1G54470"
"578","AT1G54560"
"579","AT1G54760"
"580","AT1G54820"
"581","AT1G54940"
"582","AT1G54970"
"583","AT1G55230"
"584","AT1G55240"
"585","AT1G55290"
"586","AT1G55440"
"587","AT1G55640"
"588","AT1G55673"
"589","AT1G55755"
"590","AT1G55775"
"591","AT1G55803"
"592","AT1G56060"
"593","AT1G56160"
"594","AT1G56165"
"595","AT1G56270"
"596","AT1G56540"
"597","AT1G56555"
"598","AT1G57670"
"599","AT1G57770"
"600","AT1G57943"
"601","AT1G57980"
"602","AT1G58150"
"603","AT1G58215"
"604","AT1G58300"
"605","AT1G58320"
"606","AT1G58420"
"607","AT1G58807"
"608","AT1G58808"
"609","AT1G58848"
"610","AT1G59124"
"611","AT1G59530"
"612","AT1G59620"
"613","AT1G59670"
"614","AT1G59725"
"615","AT1G59860"
