"","col_GC_c1.which.mclass....2...1."
"1","AT1G01370"
"2","AT1G01430"
"3","AT1G01448"
"4","AT1G01770"
"5","AT1G01780"
"6","AT1G01950"
"7","AT1G02000"
"8","AT1G02260"
"9","AT1G02720"
"10","AT1G02730"
"11","AT1G02810"
"12","AT1G02960"
"13","AT1G02990"
"14","AT1G03090"
"15","AT1G03250"
"16","AT1G03260"
"17","AT1G03365"
"18","AT1G03457"
"19","AT1G03475"
"20","AT1G03770"
"21","AT1G03905"
"22","AT1G04000"
"23","AT1G04020"
"24","AT1G04130"
"25","AT1G04200"
"26","AT1G04290"
"27","AT1G04770"
"28","AT1G04790"
"29","AT1G04830"
"30","AT1G04837"
"31","AT1G04900"
"32","AT1G05055"
"33","AT1G05120"
"34","AT1G05160"
"35","AT1G05190"
"36","AT1G05470"
"37","AT1G05560"
"38","AT1G05562"
"39","AT1G05730"
"40","AT1G05810"
"41","AT1G05830"
"42","AT1G05860"
"43","AT1G05970"
"44","AT1G06150"
"45","AT1G06180"
"46","AT1G06240"
"47","AT1G06380"
"48","AT1G06450"
"49","AT1G06500"
"50","AT1G06560"
"51","AT1G06590"
"52","AT1G06770"
"53","AT1G06780"
"54","AT1G06820"
"55","AT1G07040"
"56","AT1G07110"
"57","AT1G07220"
"58","AT1G07230"
"59","AT1G07320"
"60","AT1G07520"
"61","AT1G07570"
"62","AT1G07615"
"63","AT1G07705"
"64","AT1G07728"
"65","AT1G07780"
"66","AT1G07893"
"67","AT1G07980"
"68","AT1G07983"
"69","AT1G08030"
"70","AT1G08040"
"71","AT1G08220"
"72","AT1G08340"
"73","AT1G08390"
"74","AT1G08490"
"75","AT1G08590"
"76","AT1G08592"
"77","AT1G08710"
"78","AT1G08750"
"79","AT1G08760"
"80","AT1G08780"
"81","AT1G08845"
"82","AT1G09010"
"83","AT1G09060"
"84","AT1G09230"
"85","AT1G09300"
"86","AT1G09470"
"87","AT1G09490"
"88","AT1G09700"
"89","AT1G09795"
"90","AT1G09830"
"91","AT1G09850"
"92","AT1G09910"
"93","AT1G09970"
"94","AT1G09995"
"95","AT1G10020"
"96","AT1G10150"
"97","AT1G10155"
"98","AT1G10170"
"99","AT1G10450"
"100","AT1G10570"
"101","AT1G10650"
"102","AT1G10750"
"103","AT1G10780"
"104","AT1G10870"
"105","AT1G10910"
"106","AT1G11060"
"107","AT1G11090"
"108","AT1G11120"
"109","AT1G11130"
"110","AT1G11220"
"111","AT1G11280"
"112","AT1G11390"
"113","AT1G11660"
"114","AT1G11720"
"115","AT1G11760"
"116","AT1G11780"
"117","AT1G11790"
"118","AT1G11820"
"119","AT1G12020"
"120","AT1G12260"
"121","AT1G12450"
"122","AT1G12470"
"123","AT1G12680"
"124","AT1G12930"
"125","AT1G12970"
"126","AT1G12990"
"127","AT1G13020"
"128","AT1G13030"
"129","AT1G13180"
"130","AT1G13190"
"131","AT1G13210"
"132","AT1G13350"
"133","AT1G13460"
"134","AT1G13530"
"135","AT1G13580"
"136","AT1G13750"
"137","AT1G13770"
"138","AT1G13860"
"139","AT1G13880"
"140","AT1G13960"
"141","AT1G14020"
"142","AT1G14140"
"143","AT1G14180"
"144","AT1G14200"
"145","AT1G14560"
"146","AT1G14820"
"147","AT1G14910"
"148","AT1G15000"
"149","AT1G15002"
"150","AT1G15030"
"151","AT1G15060"
"152","AT1G15170"
"153","AT1G15220"
"154","AT1G15330"
"155","AT1G15430"
"156","AT1G15470"
"157","AT1G15480"
"158","AT1G15660"
"159","AT1G15710"
"160","AT1G15760"
"161","AT1G15780"
"162","AT1G16020"
"163","AT1G16070"
"164","AT1G16220"
"165","AT1G16280"
"166","AT1G16430"
"167","AT1G16570"
"168","AT1G16630"
"169","AT1G16680"
"170","AT1G16800"
"171","AT1G17060"
"172","AT1G17140"
"173","AT1G17145"
"174","AT1G17160"
"175","AT1G17360"
"176","AT1G17410"
"177","AT1G17440"
"178","AT1G17500"
"179","AT1G17550"
"180","AT1G17580"
"181","AT1G17680"
"182","AT1G17690"
"183","AT1G17760"
"184","AT1G17850"
"185","AT1G17930"
"186","AT1G17980"
"187","AT1G18040"
"188","AT1G18160"
"189","AT1G18340"
"190","AT1G18370"
"191","AT1G18600"
"192","AT1G18630"
"193","AT1G18650"
"194","AT1G18660"
"195","AT1G18680"
"196","AT1G18745"
"197","AT1G18850"
"198","AT1G18900"
"199","AT1G18910"
"200","AT1G19080"
"201","AT1G19170"
"202","AT1G19370"
"203","AT1G19430"
"204","AT1G19485"
"205","AT1G19690"
"206","AT1G19710"
"207","AT1G19740"
"208","AT1G19860"
"209","AT1G19968"
"210","AT1G20370"
"211","AT1G20380"
"212","AT1G20410"
"213","AT1G20670"
"214","AT1G20760"
"215","AT1G20880"
"216","AT1G20910"
"217","AT1G20930"
"218","AT1G21065"
"219","AT1G21070"
"220","AT1G21160"
"221","AT1G21200"
"222","AT1G21370"
"223","AT1G21440"
"224","AT1G21480"
"225","AT1G21580"
"226","AT1G21600"
"227","AT1G21610"
"228","AT1G21700"
"229","AT1G21830"
"230","AT1G21840"
"231","AT1G22020"
"232","AT1G22070"
"233","AT1G22170"
"234","AT1G22400"
"235","AT1G22510"
"236","AT1G22700"
"237","AT1G22730"
"238","AT1G22850"
"239","AT1G22882"
"240","AT1G22940"
"241","AT1G22950"
"242","AT1G22960"
"243","AT1G23050"
"244","AT1G23052"
"245","AT1G23205"
"246","AT1G23480"
"247","AT1G23890"
"248","AT1G23935"
"249","AT1G23950"
"250","AT1G24130"
"251","AT1G24280"
"252","AT1G24340"
"253","AT1G24610"
"254","AT1G24706"
"255","AT1G25320"
"256","AT1G25470"
"257","AT1G25520"
"258","AT1G25540"
"259","AT1G25570"
"260","AT1G25580"
"261","AT1G26120"
"262","AT1G26160"
"263","AT1G26170"
"264","AT1G26260"
"265","AT1G26370"
"266","AT1G26450"
"267","AT1G26520"
"268","AT1G26660"
"269","AT1G26870"
"270","AT1G27030"
"271","AT1G27100"
"272","AT1G27565"
"273","AT1G27595"
"274","AT1G27660"
"275","AT1G27695"
"276","AT1G27750"
"277","AT1G27840"
"278","AT1G27850"
"279","AT1G27900"
"280","AT1G28090"
"281","AT1G28100"
"282","AT1G28240"
"283","AT1G28260"
"284","AT1G28350"
"285","AT1G28410"
"286","AT1G28440"
"287","AT1G28520"
"288","AT1G28685"
"289","AT1G29120"
"290","AT1G29160"
"291","AT1G29170"
"292","AT1G29300"
"293","AT1G29340"
"294","AT1G29390"
"295","AT1G29550"
"296","AT1G29630"
"297","AT1G29760"
"298","AT1G30080"
"299","AT1G30320"
"300","AT1G30330"
"301","AT1G30450"
"302","AT1G30460"
"303","AT1G30470"
"304","AT1G30480"
"305","AT1G30490"
"306","AT1G30600"
"307","AT1G30620"
"308","AT1G30680"
"309","AT1G30825"
"310","AT1G30900"
"311","AT1G31220"
"312","AT1G31230"
"313","AT1G31360"
"314","AT1G31500"
"315","AT1G31814"
"316","AT1G31930"
"317","AT1G32160"
"318","AT1G32240"
"319","AT1G32330"
"320","AT1G32360"
"321","AT1G32500"
"322","AT1G32730"
"323","AT1G32810"
"324","AT1G32860"
"325","AT1G33060"
"326","AT1G33080"
"327","AT1G33170"
"328","AT1G33270"
"329","AT1G33330"
"330","AT1G33360"
"331","AT1G33400"
"332","AT1G33410"
"333","AT1G33415"
"334","AT1G33420"
"335","AT1G33480"
"336","AT1G33780"
"337","AT1G34065"
"338","AT1G34150"
"339","AT1G34200"
"340","AT1G34360"
"341","AT1G34470"
"342","AT1G34770"
"343","AT1G34780"
"344","AT1G35470"
"345","AT1G35510"
"346","AT1G36070"
"347","AT1G36390"
"348","AT1G42430"
"349","AT1G43650"
"350","AT1G43790"
"351","AT1G44110"
"352","AT1G44608"
"353","AT1G44780"
"354","AT1G44960"
"355","AT1G45207"
"356","AT1G45233"
"357","AT1G45332"
"358","AT1G47395"
"359","AT1G47400"
"360","AT1G47750"
"361","AT1G48090"
"362","AT1G48210"
"363","AT1G48270"
"364","AT1G48315"
"365","AT1G48320"
"366","AT1G48360"
"367","AT1G48430"
"368","AT1G48460"
"369","AT1G48480"
"370","AT1G48490"
"371","AT1G48520"
"372","AT1G48570"
"373","AT1G48605"
"374","AT1G48970"
"375","AT1G49170"
"376","AT1G49245"
"377","AT1G49350"
"378","AT1G49360"
"379","AT1G49390"
"380","AT1G49475"
"381","AT1G49540"
"382","AT1G49580"
"383","AT1G49720"
"384","AT1G49740"
"385","AT1G49780"
"386","AT1G49840"
"387","AT1G49870"
"388","AT1G50030"
"389","AT1G50055"
"390","AT1G50170"
"391","AT1G50300"
"392","AT1G50410"
"393","AT1G50440"
"394","AT1G50520"
"395","AT1G50560"
"396","AT1G50575"
"397","AT1G50580"
"398","AT1G50620"
"399","AT1G51130"
"400","AT1G51190"
"401","AT1G51540"
"402","AT1G51560"
"403","AT1G51660"
"404","AT1G51680"
"405","AT1G51720"
"406","AT1G51740"
"407","AT1G51745"
"408","AT1G51940"
"409","AT1G51950"
"410","AT1G52140"
"411","AT1G52260"
"412","AT1G52280"
"413","AT1G52310"
"414","AT1G52320"
"415","AT1G52780"
"416","AT1G52825"
"417","AT1G53030"
"418","AT1G53070"
"419","AT1G53120"
"420","AT1G53140"
"421","AT1G53165"
"422","AT1G53170"
"423","AT1G53390"
"424","AT1G53460"
"425","AT1G53470"
"426","AT1G53510"
"427","AT1G53520"
"428","AT1G53570"
"429","AT1G53590"
"430","AT1G53720"
"431","AT1G53730"
"432","AT1G53770"
"433","AT1G54120"
"434","AT1G54140"
"435","AT1G54150"
"436","AT1G54180"
"437","AT1G54260"
"438","AT1G54310"
"439","AT1G54340"
"440","AT1G54380"
"441","AT1G54385"
"442","AT1G54440"
"443","AT1G54510"
"444","AT1G54650"
"445","AT1G54710"
"446","AT1G54730"
"447","AT1G54850"
"448","AT1G55090"
"449","AT1G55130"
"450","AT1G55140"
"451","AT1G55150"
"452","AT1G55270"
"453","AT1G55325"
"454","AT1G55350"
"455","AT1G55460"
"456","AT1G55540"
"457","AT1G55620"
"458","AT1G55750"
"459","AT1G55760"
"460","AT1G55820"
"461","AT1G55830"
"462","AT1G55960"
"463","AT1G56000"
"464","AT1G56020"
