"","phyD_GC_c1.which.mclass....5...1."
"1","AT1G01020"
"2","AT1G01070"
"3","AT1G01160"
"4","AT1G01170"
"5","AT1G01210"
"6","AT1G01230"
"7","AT1G01300"
"8","AT1G01360"
"9","AT1G01470"
"10","AT1G01490"
"11","AT1G01510"
"12","AT1G01725"
"13","AT1G01730"
"14","AT1G01820"
"15","AT1G01910"
"16","AT1G01940"
"17","AT1G01960"
"18","AT1G02080"
"19","AT1G02090"
"20","AT1G02100"
"21","AT1G02120"
"22","AT1G02160"
"23","AT1G02335"
"24","AT1G02410"
"25","AT1G02560"
"26","AT1G02816"
"27","AT1G02850"
"28","AT1G02870"
"29","AT1G02880"
"30","AT1G02930"
"31","AT1G03040"
"32","AT1G03080"
"33","AT1G03090"
"34","AT1G03110"
"35","AT1G03140"
"36","AT1G03150"
"37","AT1G03210"
"38","AT1G03230"
"39","AT1G03330"
"40","AT1G03360"
"41","AT1G03410"
"42","AT1G03610"
"43","AT1G03910"
"44","AT1G04080"
"45","AT1G04140"
"46","AT1G04170"
"47","AT1G04183"
"48","AT1G04190"
"49","AT1G04260"
"50","AT1G04340"
"51","AT1G04430"
"52","AT1G04440"
"53","AT1G04503"
"54","AT1G04510"
"55","AT1G04590"
"56","AT1G04630"
"57","AT1G04680"
"58","AT1G04940"
"59","AT1G04960"
"60","AT1G04980"
"61","AT1G04985"
"62","AT1G05147"
"63","AT1G05205"
"64","AT1G05250"
"65","AT1G05340"
"66","AT1G05350"
"67","AT1G05360"
"68","AT1G05380"
"69","AT1G05560"
"70","AT1G05620"
"71","AT1G05680"
"72","AT1G05720"
"73","AT1G05785"
"74","AT1G05840"
"75","AT1G05890"
"76","AT1G05940"
"77","AT1G06090"
"78","AT1G06110"
"79","AT1G06200"
"80","AT1G06220"
"81","AT1G06230"
"82","AT1G06390"
"83","AT1G06400"
"84","AT1G06410"
"85","AT1G06470"
"86","AT1G06530"
"87","AT1G06540"
"88","AT1G06550"
"89","AT1G06570"
"90","AT1G06620"
"91","AT1G06670"
"92","AT1G06700"
"93","AT1G06720"
"94","AT1G06870"
"95","AT1G06890"
"96","AT1G06900"
"97","AT1G06960"
"98","AT1G07020"
"99","AT1G07030"
"100","AT1G07040"
"101","AT1G07070"
"102","AT1G07080"
"103","AT1G07135"
"104","AT1G07210"
"105","AT1G07310"
"106","AT1G07350"
"107","AT1G07360"
"108","AT1G07370"
"109","AT1G07470"
"110","AT1G07640"
"111","AT1G07660"
"112","AT1G07670"
"113","AT1G07750"
"114","AT1G07790"
"115","AT1G07830"
"116","AT1G07960"
"117","AT1G07985"
"118","AT1G08037"
"119","AT1G08110"
"120","AT1G08160"
"121","AT1G08230"
"122","AT1G08370"
"123","AT1G08430"
"124","AT1G08450"
"125","AT1G08500"
"126","AT1G08510"
"127","AT1G08570"
"128","AT1G08580"
"129","AT1G08650"
"130","AT1G08660"
"131","AT1G08770"
"132","AT1G08780"
"133","AT1G08803"
"134","AT1G08820"
"135","AT1G08930"
"136","AT1G08970"
"137","AT1G09140"
"138","AT1G09160"
"139","AT1G09250"
"140","AT1G09270"
"141","AT1G09280"
"142","AT1G09330"
"143","AT1G09520"
"144","AT1G09570"
"145","AT1G09580"
"146","AT1G09620"
"147","AT1G09630"
"148","AT1G09645"
"149","AT1G09660"
"150","AT1G09760"
"151","AT1G09815"
"152","AT1G09840"
"153","AT1G09920"
"154","AT1G09932"
"155","AT1G09970"
"156","AT1G10070"
"157","AT1G10120"
"158","AT1G10200"
"159","AT1G10290"
"160","AT1G10380"
"161","AT1G10410"
"162","AT1G10430"
"163","AT1G10500"
"164","AT1G10530"
"165","AT1G10580"
"166","AT1G10600"
"167","AT1G10760"
"168","AT1G10865"
"169","AT1G10890"
"170","AT1G10940"
"171","AT1G10990"
"172","AT1G11185"
"173","AT1G11240"
"174","AT1G11260"
"175","AT1G11310"
"176","AT1G11360"
"177","AT1G11400"
"178","AT1G11430"
"179","AT1G11480"
"180","AT1G11530"
"181","AT1G11750"
"182","AT1G11860"
"183","AT1G11890"
"184","AT1G12110"
"185","AT1G12120"
"186","AT1G12160"
"187","AT1G12270"
"188","AT1G12360"
"189","AT1G12390"
"190","AT1G12410"
"191","AT1G12520"
"192","AT1G12580"
"193","AT1G12640"
"194","AT1G12650"
"195","AT1G12760"
"196","AT1G12780"
"197","AT1G12810"
"198","AT1G12820"
"199","AT1G12830"
"200","AT1G12850"
"201","AT1G13060"
"202","AT1G13080"
"203","AT1G13110"
"204","AT1G13245"
"205","AT1G13280"
"206","AT1G13300"
"207","AT1G13320"
"208","AT1G13360"
"209","AT1G13380"
"210","AT1G13450"
"211","AT1G13730"
"212","AT1G13950"
"213","AT1G13980"
"214","AT1G14000"
"215","AT1G14010"
"216","AT1G14060"
"217","AT1G14210"
"218","AT1G14220"
"219","AT1G14290"
"220","AT1G14300"
"221","AT1G14380"
"222","AT1G14453"
"223","AT1G14510"
"224","AT1G14570"
"225","AT1G14610"
"226","AT1G14620"
"227","AT1G14650"
"228","AT1G14685"
"229","AT1G14690"
"230","AT1G14730"
"231","AT1G14740"
"232","AT1G14810"
"233","AT1G14830"
"234","AT1G14860"
"235","AT1G14890"
"236","AT1G14900"
"237","AT1G15010"
"238","AT1G15200"
"239","AT1G15210"
"240","AT1G15230"
"241","AT1G15250"
"242","AT1G15340"
"243","AT1G15370"
"244","AT1G15390"
"245","AT1G15420"
"246","AT1G15500"
"247","AT1G15740"
"248","AT1G15750"
"249","AT1G15860"
"250","AT1G15880"
"251","AT1G15920"
"252","AT1G15960"
"253","AT1G16000"
"254","AT1G16190"
"255","AT1G16210"
"256","AT1G16350"
