"","phyD_GC_c1.which.mclass....3...1."
"1","AT1G01150"
"2","AT1G01183"
"3","AT1G01680"
"4","AT1G01695"
"5","AT1G02205"
"6","AT1G02510"
"7","AT1G02820"
"8","AT1G03390"
"9","AT1G03790"
"10","AT1G04083"
"11","AT1G04343"
"12","AT1G04403"
"13","AT1G04427"
"14","AT1G04500"
"15","AT1G04560"
"16","AT1G04703"
"17","AT1G04800"
"18","AT1G04817"
"19","AT1G05297"
"20","AT1G05303"
"21","AT1G05353"
"22","AT1G05383"
"23","AT1G05493"
"24","AT1G05510"
"25","AT1G05550"
"26","AT1G05675"
"27","AT1G05693"
"28","AT1G05723"
"29","AT1G05757"
"30","AT1G05920"
"31","AT1G06487"
"32","AT1G06537"
"33","AT1G06587"
"34","AT1G06613"
"35","AT1G06645"
"36","AT1G06830"
"37","AT1G06963"
"38","AT1G07340"
"39","AT1G07430"
"40","AT1G07476"
"41","AT1G07493"
"42","AT1G07657"
"43","AT1G07720"
"44","AT1G07887"
"45","AT1G07900"
"46","AT1G07943"
"47","AT1G07963"
"48","AT1G07987"
"49","AT1G08090"
"50","AT1G08093"
"51","AT1G08123"
"52","AT1G08440"
"53","AT1G08457"
"54","AT1G08867"
"55","AT1G09080"
"56","AT1G09157"
"57","AT1G09163"
"58","AT1G09260"
"59","AT1G09447"
"60","AT1G09500"
"61","AT1G09510"
"62","AT1G09513"
"63","AT1G09573"
"64","AT1G09720"
"65","AT1G09853"
"66","AT1G10010"
"67","AT1G10385"
"68","AT1G10455"
"69","AT1G10540"
"70","AT1G10588"
"71","AT1G10640"
"72","AT1G11470"
"73","AT1G11560"
"74","AT1G12570"
"75","AT1G12672"
"76","AT1G13200"
"77","AT1G14550"
"78","AT1G15015"
"79","AT1G15540"
"80","AT1G15580"
"81","AT1G15600"
"82","AT1G15680"
"83","AT1G16705"
"84","AT1G17810"
"85","AT1G17990"
"86","AT1G18310"
"87","AT1G18350"
"88","AT1G18870"
"89","AT1G19890"
"90","AT1G20080"
"91","AT1G20590"
"92","AT1G21550"
"93","AT1G21890"
"94","AT1G22380"
"95","AT1G22900"
"96","AT1G23070"
"97","AT1G23520"
"98","AT1G24260"
"99","AT1G24485"
"100","AT1G24545"
"101","AT1G24807"
"102","AT1G24909"
"103","AT1G25155"
"104","AT1G25210"
"105","AT1G25988"
"106","AT1G26410"
"107","AT1G27565"
"108","AT1G27570"
"109","AT1G28040"
"110","AT1G28265"
"111","AT1G28270"
"112","AT1G28327"
"113","AT1G29090"
"114","AT1G29100"
"115","AT1G29500"
"116","AT1G29680"
"117","AT1G30220"
"118","AT1G30740"
"119","AT1G31960"
"120","AT1G32060"
"121","AT1G32172"
"122","AT1G32560"
"123","AT1G32960"
"124","AT1G33670"
