"","X","phyD_GC_c1.which.mclass....2...1."
"2765",2765,"AT3G21180"
"1489",1489,"AT2G01913"
"1146",1146,"AT1G66660"
"3463",3463,"AT4G03340"
"2999",2999,"AT3G47180"
"4117",4117,"AT4G35840"
"5170",5170,"AT5G52880"
"941",941,"AT1G55110"
"203",203,"AT1G08540"
"5512",5512,"ATCG01040"
"3772",3772,"AT4G19390"
"4999",4999,"AT5G45300"
"4437",4437,"AT5G09285"
"3221",3221,"AT3G56000"
"2216",2216,"AT2G43880"
"3287",3287,"AT3G59040"
"5259",5259,"AT5G57170"
"1986",1986,"AT2G34530"
"4491",4491,"AT5G11990"
"4915",4915,"AT5G41380"
"5390",5390,"AT5G63080"
"4480",4480,"AT5G11330"
"4776",4776,"AT5G27030"
"228",228,"AT1G09450"
"2943",2943,"AT3G44435"
"3279",3279,"AT3G58800"
"4042",4042,"AT4G32030"
"1087",1087,"AT1G63250"
"4439",4439,"AT5G09380"
"611",611,"AT1G27680"
"3211",3211,"AT3G55550"
"536",536,"AT1G23010"
"1194",1194,"AT1G68340"
"2392",2392,"AT3G04020"
"4790",4790,"AT5G27690"
"5220",5220,"AT5G55390"
"1300",1300,"AT1G73120"
"2000",2000,"AT2G35200"
"1697",1697,"AT2G20550"
"3408",3408,"AT4G01030"
"1509",1509,"AT2G03050"
"5385",5385,"AT5G62940"
"1231",1231,"AT1G69800"
"63",63,"AT1G03830"
"1211",1211,"AT1G68910"
"522",522,"AT1G22460"
"1779",1779,"AT2G24190"
"3039",3039,"AT3G48800"
"5270",5270,"AT5G57780"
"4091",4091,"AT4G34160"
"3345",3345,"AT3G61670"
"5088",5088,"AT5G49680"
"3414",3414,"AT4G01270"
"4935",4935,"AT5G42440"
"5404",5404,"AT5G63690"
"899",899,"AT1G53460"
"3902",3902,"AT4G25390"
"2857",2857,"AT3G26290"
"1413",1413,"AT1G78130"
"1438",1438,"AT1G79350"
"3793",3793,"AT4G20030"
"2432",2432,"AT3G05932"
"2238",2238,"AT2G45023"
"2378",2378,"AT3G03470"
"472",472,"AT1G19840"
"781",781,"AT1G47750"
"328",328,"AT1G13540"
"2477",2477,"AT3G07940"
"2178",2178,"AT2G42485"
"5060",5060,"AT5G48620"
"4602",4602,"AT5G18460"
"401",401,"AT1G16905"
"2382",2382,"AT3G03630"
"5242",5242,"AT5G56380"
"4351",4351,"AT5G05570"
"518",518,"AT1G22220"
"4453",4453,"AT5G09800"
"2661",2661,"AT3G16290"
"3590",3590,"AT4G12000"
"2545",2545,"AT3G11290"
"1113",1113,"AT1G64795"
"5180",5180,"AT5G53190"
"4483",4483,"AT5G11430"
"127",127,"AT1G05700"
"842",842,"AT1G50910"
"3563",3563,"AT4G10800"
"3129",3129,"AT3G51860"
