"","phyD_GC_c1.which.mclass....2...1."
"289","AT1G11940"
"290","AT1G11950"
"291","AT1G12030"
"292","AT1G12040"
"293","AT1G12140"
"294","AT1G12210"
"295","AT1G12211"
"296","AT1G12244"
"297","AT1G12290"
"298","AT1G12380"
"299","AT1G12420"
"300","AT1G12430"
"301","AT1G12460"
"302","AT1G12600"
"303","AT1G12610"
"304","AT1G12620"
"305","AT1G12710"
"306","AT1G12730"
"307","AT1G12740"
"308","AT1G12750"
"309","AT1G12770"
"310","AT1G12775"
"311","AT1G12790"
"312","AT1G12800"
"313","AT1G12860"
"314","AT1G12880"
"315","AT1G12930"
"316","AT1G12970"
"317","AT1G13020"
"318","AT1G13050"
"319","AT1G13090"
"320","AT1G13100"
"321","AT1G13180"
"322","AT1G13270"
"323","AT1G13330"
"324","AT1G13410"
"325","AT1G13420"
"326","AT1G13430"
"327","AT1G13448"
"328","AT1G13540"
"329","AT1G13550"
"330","AT1G13740"
"331","AT1G13770"
"332","AT1G13820"
"333","AT1G13860"
"334","AT1G13870"
"335","AT1G13910"
"336","AT1G13940"
"337","AT1G13970"
"338","AT1G14150"
"339","AT1G14180"
"340","AT1G14185"
"341","AT1G14310"
"342","AT1G14460"
"343","AT1G14480"
"344","AT1G14530"
"345","AT1G14540"
"346","AT1G14580"
"347","AT1G14590"
"348","AT1G14687"
"349","AT1G14720"
"350","AT1G14770"
"351","AT1G14790"
"352","AT1G14840"
"353","AT1G14970"
"354","AT1G15050"
"355","AT1G15060"
"356","AT1G15080"
"357","AT1G15170"
"358","AT1G15175"
"359","AT1G15215"
"360","AT1G15220"
"361","AT1G15290"
"362","AT1G15310"
"363","AT1G15490"
"364","AT1G15610"
"365","AT1G15620"
"366","AT1G15630"
"367","AT1G15700"
"368","AT1G15720"
"369","AT1G15730"
"370","AT1G15790"
"371","AT1G15820"
"372","AT1G15870"
"373","AT1G15885"
"374","AT1G15890"
"375","AT1G15900"
"376","AT1G16022"
"377","AT1G16060"
"378","AT1G16080"
"379","AT1G16110"
"380","AT1G16160"
"381","AT1G16220"
"382","AT1G16250"
"383","AT1G16310"
"384","AT1G16330"
"385","AT1G16370"
"386","AT1G16390"
"387","AT1G16489"
"388","AT1G16490"
"389","AT1G16500"
"390","AT1G16540"
"391","AT1G16590"
"392","AT1G16630"
"393","AT1G16650"
"394","AT1G16670"
"395","AT1G16690"
"396","AT1G16720"
"397","AT1G16790"
"398","AT1G16820"
"399","AT1G16825"
"400","AT1G16830"
"401","AT1G16905"
"402","AT1G16930"
