"","phyD_GC_c1.which.mclass....4...1."
"1","AT1G02305"
"2","AT1G03850"
"3","AT1G05570"
"4","AT1G05575"
"5","AT1G06040"
"6","AT1G06640"
"7","AT1G09070"
"8","AT1G09430"
"9","AT1G09740"
"10","AT1G10140"
"11","AT1G11670"
"12","AT1G11910"
"13","AT1G12010"
"14","AT1G12440"
"15","AT1G13260"
"16","AT1G13930"
"17","AT1G15040"
"18","AT1G15100"
"19","AT1G15400"
"20","AT1G15670"
"21","AT1G16170"
"22","AT1G16240"
"23","AT1G18300"
"24","AT1G18740"
"25","AT1G19180"
"26","AT1G19770"
"27","AT1G19960"
"28","AT1G21000"
"29","AT1G21770"
"30","AT1G21780"
"31","AT1G23800"
"32","AT1G25550"
"33","AT1G27290"
"34","AT1G27730"
"35","AT1G28580"
"36","AT1G29280"
"37","AT1G29970"
"38","AT1G30360"
"39","AT1G32170"
"40","AT1G32630"
"41","AT1G32640"
"42","AT1G32790"
"43","AT1G33055"
"44","AT1G35516"
"45","AT1G47128"
"46","AT1G48440"
"47","AT1G49300"
"48","AT1G49310"
"49","AT1G49500"
"50","AT1G49570"
"51","AT1G50740"
"52","AT1G51070"
"53","AT1G53210"
"54","AT1G53560"
"55","AT1G53580"
"56","AT1G53910"
"57","AT1G54320"
"58","AT1G55850"
"59","AT1G58235"
"60","AT1G59900"
"61","AT1G63180"
"62","AT1G65510"
"63","AT1G66180"
"64","AT1G69760"
"65","AT1G70660"
"66","AT1G71340"
"67","AT1G73260"
"68","AT1G73540"
"69","AT1G74458"
"70","AT1G74660"
"71","AT1G74920"
"72","AT1G74930"
"73","AT1G76410"
"74","AT1G76600"
"75","AT1G77450"
"76","AT1G78000"
"77","AT1G78670"
"78","AT1G80180"
"79","AT1G80920"
"80","AT2G02160"
"81","AT2G02960"
"82","AT2G04410"
"83","AT2G04690"
"84","AT2G13360"
"85","AT2G14900"
"86","AT2G14910"
"87","AT2G15970"
"88","AT2G16720"
"89","AT2G17380"
"90","AT2G18160"
"91","AT2G18980"
"92","AT2G19110"
"93","AT2G20230"
"94","AT2G22870"
"95","AT2G25250"
"96","AT2G25450"
"97","AT2G25810"
"98","AT2G26355"
"99","AT2G27080"
"100","AT2G28780"
"101","AT2G29995"
"102","AT2G30440"
"103","AT2G30520"
"104","AT2G31350"
"105","AT2G32150"
"106","AT2G32300"
"107","AT2G33630"
"108","AT2G33770"
"109","AT2G34470"
"110","AT2G34585"
"111","AT2G35050"
"112","AT2G37180"
"113","AT2G37480"
"114","AT2G38800"
"115","AT2G39570"
"116","AT2G40000"
"117","AT2G40113"
"118","AT2G40140"
"119","AT2G40970"
"120","AT2G41010"
"121","AT2G43535"
"122","AT2G43820"
"123","AT2G43910"
"124","AT2G45980"
"125","AT2G46490"
"126","AT2G47160"
"127","AT2G47270"
"128","AT2G47400"
"129","AT3G01290"
"130","AT3G01520"
"131","AT3G01690"
"132","AT3G01950"
"133","AT3G06125"
"134","AT3G06420"
"135","AT3G06850"
"136","AT3G07560"
"137","AT3G09390"
"138","AT3G10020"
"139","AT3G10740"
"140","AT3G10985"
"141","AT3G11780"
"142","AT3G11800"
"143","AT3G12800"
"144","AT3G12920"
"145","AT3G14100"
"146","AT3G14230"
"147","AT3G14260"
"148","AT3G14280"
"149","AT3G14940"
"150","AT3G15210"
"151","AT3G15630"
"152","AT3G15810"
"153","AT3G16440"
"154","AT3G16800"
"155","AT3G19390"
"156","AT3G20370"
"157","AT3G21710"
"158","AT3G21720"
"159","AT3G22200"
"160","AT3G23175"
"161","AT3G24100"
"162","AT3G43800"
"163","AT3G44310"
"164","AT3G45300"
"165","AT3G45600"
"166","AT3G47160"
"167","AT3G47510"
"168","AT3G48360"
"169","AT3G48680"
"170","AT3G48990"
"171","AT3G50500"
"172","AT3G50970"
"173","AT3G51840"
"174","AT3G51910"
"175","AT3G51920"
"176","AT3G52060"
"177","AT3G54040"
"178","AT3G54590"
"179","AT3G56880"
"180","AT3G57050"
"181","AT3G57450"
"182","AT3G58680"
"183","AT3G59350"
"184","AT3G60300"
"185","AT3G61060"
"186","AT3G61190"
"187","AT3G61200"
"188","AT3G61260"
"189","AT3G62580"
"190","AT3G63080"
"191","AT3G63210"
"192","AT3G63310"
"193","AT4G00430"
"194","AT4G00585"
"195","AT4G01480"
"196","AT4G02370"
"197","AT4G06744"
"198","AT4G07820"
"199","AT4G08555"
"200","AT4G11360"
"201","AT4G12080"
"202","AT4G14716"
"203","AT4G15610"
"204","AT4G17900"
"205","AT4G19030"
"206","AT4G19840"
"207","AT4G20362"
"208","AT4G21450"
"209","AT4G21980"
"210","AT4G23710"
"211","AT4G24570"
"212","AT4G24690"
"213","AT4G25170"
"214","AT4G27280"
"215","AT4G28040"
"216","AT4G28240"
"217","AT4G28270"
"218","AT4G28300"
"219","AT4G28770"
"220","AT4G30440"
"221","AT4G30460"
"222","AT4G30530"
"223","AT4G33150"
"224","AT4G33420"
"225","AT4G34410"
"226","AT4G36410"
"227","AT4G37520"
"228","AT4G38220"
"229","AT4G38470"
"230","AT4G38540"
"231","AT4G38932"
"232","AT4G39660"
"233","AT4G39780"
"234","AT4G40060"
"235","AT5G02840"
"236","AT5G03455"
"237","AT5G04470"
"238","AT5G05440"
"239","AT5G06320"
"240","AT5G06865"
"241","AT5G07220"
"242","AT5G07870"
"243","AT5G10540"
"244","AT5G10625"
"245","AT5G10695"
"246","AT5G11090"
"247","AT5G11280"
"248","AT5G11520"
"249","AT5G12210"
"250","AT5G13180"
"251","AT5G13560"
"252","AT5G16370"
"253","AT5G18110"
"254","AT5G18130"
"255","AT5G18140"
"256","AT5G18170"
"257","AT5G18310"
"258","AT5G18650"
"259","AT5G19230"
"260","AT5G19250"
"261","AT5G19530"
"262","AT5G20250"
"263","AT5G21170"
"264","AT5G22000"
"265","AT5G23040"
"266","AT5G23380"
"267","AT5G23660"
"268","AT5G24735"
"269","AT5G25265"
"270","AT5G25460"
"271","AT5G25770"
"272","AT5G25940"
"273","AT5G37770"
"274","AT5G40670"
"275","AT5G42890"
"276","AT5G43150"
"277","AT5G43180"
"278","AT5G43350"
"279","AT5G43520"
"280","AT5G44790"
"281","AT5G44920"
"282","AT5G46780"
