"","X","phyD_GC_c1.which.mclass....7...1."
"2241",2241,"AT4G05220"
"1365",1365,"AT2G35382"
"2141",2141,"AT3G61150"
"1651",1651,"AT3G07725"
"471",471,"AT1G29560"
"234",234,"AT1G09987"
"447",447,"AT1G26500"
"1359",1359,"AT2G35170"
"9",9,"AT1G01570"
"2143",2143,"AT3G61170"
"2640",2640,"AT4G36070"
"2568",2568,"AT4G29250"
"2852",2852,"AT5G10140"
"1459",1459,"AT2G42640"
"1412",1412,"AT2G39435"
"1861",1861,"AT3G23440"
"3312",3312,"AT5G57450"
"2253",2253,"AT4G06410"
"1884",1884,"AT3G25690"
"917",917,"AT1G76100"
"678",678,"AT1G60030"
"269",269,"AT1G12100"
"2817",2817,"AT5G07975"
"3242",3242,"AT5G50690"
"3041",3041,"AT5G33399"
"571",571,"AT1G49010"
"1221",1221,"AT2G23987"
"2571",2571,"AT4G29420"
"1550",1550,"AT3G02365"
"1909",1909,"AT3G27510"
"3310",3310,"AT5G57390"
"246",246,"AT1G10657"
"3280",3280,"AT5G54165"
"3252",3252,"AT5G51810"
"5",5,"AT1G01310"
"1260",1260,"AT2G27610"
"38",38,"AT1G03340"
"3200",3200,"AT5G47510"
"1793",1793,"AT3G18282"
"761",761,"AT1G65230"
"3373",3373,"AT5G64110"
"772",772,"AT1G66465"
"2956",2956,"AT5G19490"
"3026",3026,"AT5G26865"
"2137",2137,"AT3G60990"
"1954",1954,"AT3G44765"
"1609",1609,"AT3G05190"
"2394",2394,"AT4G16960"
"2725",2725,"AT5G02390"
"566",566,"AT1G48580"
"1976",1976,"AT3G46660"
"984",984,"AT2G01175"
"3080",3080,"AT5G39130"
"1779",1779,"AT3G17280"
"2815",2815,"AT5G07780"
"8",8,"AT1G01480"
"1504",1504,"AT2G46510"
"765",765,"AT1G65850"
"1853",1853,"AT3G23020"
"1654",1654,"AT3G07805"
"709",709,"AT1G62260"
"1892",1892,"AT3G26120"
"778",778,"AT1G66930"
"1443",1443,"AT2G41340"
"2935",2935,"AT5G17260"
"2086",2086,"AT3G56790"
"3372",3372,"AT5G64060"
"1959",1959,"AT3G45290"
"2211",2211,"AT4G03010"
"569",569,"AT1G48740"
"2085",2085,"AT3G56650"
"3001",3001,"AT5G24510"
"1315",1315,"AT2G32200"
"1595",1595,"AT3G04450"
"1798",1798,"AT3G18870"
"1001",1001,"AT2G02380"
"975",975,"AT1G79915"
"194",194,"AT1G08973"
"2277",2277,"AT4G08867"
"2428",2428,"AT4G19590"
"2768",2768,"AT5G04310"
"331",331,"AT1G16030"
"1038",1038,"AT2G04842"
"1332",1332,"AT2G32940"
"1290",1290,"AT2G30370"
"582",582,"AT1G50270"
"790",790,"AT1G68110"
"1224",1224,"AT2G24220"
"402",402,"AT1G21326"
"755",755,"AT1G64930"
"2024",2024,"AT3G50685"
"2601",2601,"AT4G33000"
"1199",1199,"AT2G21820"
"2687",2687,"AT4G40063"
"1715",1715,"AT3G11110"
"618",618,"AT1G53090"
"2510",2510,"AT4G25220"
"529",529,"AT1G35230"
"2314",2314,"AT4G11950"
"1442",1442,"AT2G41312"
"1430",1430,"AT2G40850"
"895",895,"AT1G74650"
"2441",2441,"AT4G20770"
"3127",3127,"AT5G42450"
"841",841,"AT1G70985"
"548",548,"AT1G44318"
"2293",2293,"AT4G10000"
"2638",2638,"AT4G35783"
"1837",1837,"AT3G22060"
"2824",2824,"AT5G08310"
"1839",1839,"AT3G22142"
"97",97,"AT1G05400"
"1429",1429,"AT2G40720"
"3105",3105,"AT5G40720"
"309",309,"AT1G14490"
"1350",1350,"AT2G34360"
"956",956,"AT1G78750"
"1558",1558,"AT3G02565"
"2404",2404,"AT4G17970"
"1734",1734,"AT3G13240"
"3249",3249,"AT5G51451"
"830",830,"AT1G70475"
"2002",2002,"AT3G48550"
"2795",2795,"AT5G06530"
"184",184,"AT1G08463"
"2996",2996,"AT5G24060"
"3335",3335,"AT5G59865"
"2282",2282,"AT4G09080"
"2769",2769,"AT5G04360"
"2027",2027,"AT3G50890"
"2146",2146,"AT3G61660"
"1723",1723,"AT3G12410"
"2738",2738,"AT5G02940"
"1228",1228,"AT2G24560"
"1394",1394,"AT2G37920"
"745",745,"AT1G64380"
"1787",1787,"AT3G17717"
"1666",1666,"AT3G08450"
"1885",1885,"AT3G25805"
"96",96,"AT1G05333"
"2615",2615,"AT4G33810"
"1952",1952,"AT3G44716"
"3156",3156,"AT5G44572"
"3108",3108,"AT5G41470"
"143",143,"AT1G07017"
"2091",2091,"AT3G57180"
"1245",1245,"AT2G26480"
"2261",2261,"AT4G06985"
"607",607,"AT1G52450"
"217",217,"AT1G09543"
"798",798,"AT1G68390"
"1906",1906,"AT3G27290"
"125",125,"AT1G06163"
"2923",2923,"AT5G16023"
"3401",3401,"AT5G66350"
"3443",3443,"ATCG01120"
"3369",3369,"AT5G63350"
"2838",2838,"AT5G09360"
"1971",1971,"AT3G46480"
"2251",2251,"AT4G06235"
"2429",2429,"AT4G19630"
"415",415,"AT1G22830"
"1619",1619,"AT3G05430"
"1529",1529,"AT3G01140"
"3265",3265,"AT5G52760"
"2969",2969,"AT5G20810"
"1881",1881,"AT3G25570"
"1455",1455,"AT2G42360"
"504",504,"AT1G32510"
"1999",1999,"AT3G48420"
"3256",3256,"AT5G52050"
"1983",1983,"AT3G46890"
"3352",3352,"AT5G61455"
"675",675,"AT1G59725"
"2839",2839,"AT5G09385"
"245",245,"AT1G10460"
"3181",3181,"AT5G46115"
"325",325,"AT1G15460"
"2296",2296,"AT4G10370"
"2368",2368,"AT4G15360"
"206",206,"AT1G09420"
"2884",2884,"AT5G13220"
"87",87,"AT1G05033"
"2742",2742,"AT5G03165"
"3446",3446,"ATMG00060"
"1694",1694,"AT3G09895"
"2928",2928,"AT5G16540"
"708",708,"AT1G62035"
"1356",1356,"AT2G34940"
"2100",2100,"AT3G57740"
"713",713,"AT1G62420"
"3088",3088,"AT5G39680"
"2082",2082,"AT3G56330"
"3330",3330,"AT5G59650"
"2460",2460,"AT4G21890"
"568",568,"AT1G48700"
"973",973,"AT1G79890"
"54",54,"AT1G04067"
"814",814,"AT1G69350"
"527",527,"AT1G34640"
"137",137,"AT1G06647"
"2249",2249,"AT4G06195"
"525",525,"AT1G34460"
"1690",1690,"AT3G09685"
"910",910,"AT1G75690"
"700",700,"AT1G61490"
"2115",2115,"AT3G59010"
"1832",1832,"AT3G21210"
"2515",2515,"AT4G25380"
"3157",3157,"AT5G44575"
"575",575,"AT1G49380"
"124",124,"AT1G06160"
"1196",1196,"AT2G21595"
"2302",2302,"AT4G11230"
"3051",3051,"AT5G36670"
"2707",2707,"AT5G01550"
"1965",1965,"AT3G45720"
"1352",1352,"AT2G34430"
"2005",2005,"AT3G48700"
"3207",3207,"AT5G48060"
"1212",1212,"AT2G22905"
"2739",2739,"AT5G02950"
"3338",3338,"AT5G59990"
"602",602,"AT1G52120"
"2731",2731,"AT5G02690"
"2911",2911,"AT5G14960"
"139",139,"AT1G06690"
"3425",3425,"ATCG00070"
"1998",1998,"AT3G48390"
"2462",2462,"AT4G21903"
"663",663,"AT1G57560"
"2703",2703,"AT5G01420"
"373",373,"AT1G18940"
