"","phyD_GC_c1.which.mclass....6...1."
"1","AT1G01010"
"2","AT1G01060"
"3","AT1G01110"
"4","AT1G01180"
"5","AT1G01240"
"6","AT1G01260"
"7","AT1G01290"
"8","AT1G01350"
"9","AT1G01370"
"10","AT1G01430"
"11","AT1G01448"
"12","AT1G01540"
"13","AT1G01580"
"14","AT1G01630"
"15","AT1G01640"
"16","AT1G01650"
"17","AT1G01750"
"18","AT1G01770"
"19","AT1G01780"
"20","AT1G01920"
"21","AT1G01990"
"22","AT1G02000"
"23","AT1G02110"
"24","AT1G02145"
"25","AT1G02150"
"26","AT1G02170"
"27","AT1G02220"
"28","AT1G02260"
"29","AT1G02280"
"30","AT1G02330"
"31","AT1G02475"
"32","AT1G02520"
"33","AT1G02610"
"34","AT1G02680"
"35","AT1G02690"
"36","AT1G02720"
"37","AT1G02750"
"38","AT1G02810"
"39","AT1G02860"
"40","AT1G02890"
"41","AT1G02920"
"42","AT1G02950"
"43","AT1G02960"
"44","AT1G02990"
"45","AT1G03030"
"46","AT1G03060"
"47","AT1G03250"
"48","AT1G03260"
"49","AT1G03280"
"50","AT1G03290"
"51","AT1G03350"
"52","AT1G03365"
"53","AT1G03370"
"54","AT1G03380"
"55","AT1G03430"
"56","AT1G03457"
"57","AT1G03475"
"58","AT1G03530"
"59","AT1G03590"
"60","AT1G03680"
"61","AT1G03687"
"62","AT1G03730"
"63","AT1G03740"
"64","AT1G03760"
"65","AT1G03840"
"66","AT1G03905"
"67","AT1G03970"
"68","AT1G04000"
"69","AT1G04020"
"70","AT1G04030"
"71","AT1G04070"
"72","AT1G04120"
"73","AT1G04130"
"74","AT1G04200"
"75","AT1G04210"
"76","AT1G04280"
"77","AT1G04290"
"78","AT1G04300"
"79","AT1G04400"
"80","AT1G04520"
"81","AT1G04530"
"82","AT1G04537"
"83","AT1G04550"
"84","AT1G04770"
"85","AT1G04780"
"86","AT1G04790"
"87","AT1G04810"
"88","AT1G04830"
"89","AT1G04860"
"90","AT1G04900"
"91","AT1G04910"
"92","AT1G04945"
"93","AT1G04950"
"94","AT1G04970"
"95","AT1G04990"
"96","AT1G05010"
"97","AT1G05055"
"98","AT1G05060"
"99","AT1G05070"
"100","AT1G05120"
"101","AT1G05150"
"102","AT1G05170"
"103","AT1G05180"
"104","AT1G05190"
"105","AT1G05210"
"106","AT1G05213"
"107","AT1G05220"
"108","AT1G05270"
"109","AT1G05320"
