"","X","WS_c1.which.mclass....4...1."
"5225",5225,"AT5G50390"
"960",960,"AT1G55520"
"4101",4101,"AT4G31420"
"796",796,"AT1G47230"
"3533",3533,"AT4G02720"
"2885",2885,"AT3G21810"
"1528",1528,"AT2G04620"
"3178",3178,"AT3G51430"
"368",368,"AT1G15510"
"252",252,"AT1G10720"
"463",463,"AT1G19580"
"400",400,"AT1G16800"
"5126",5126,"AT5G46280"
"3299",3299,"AT3G56210"
"5476",5476,"AT5G61580"
"3229",3229,"AT3G53630"
"1050",1050,"AT1G61667"
"1853",1853,"AT2G28150"
"985",985,"AT1G56320"
"1107",1107,"AT1G64660"
"1247",1247,"AT1G71340"
"2631",2631,"AT3G11820"
"4666",4666,"AT5G15640"
"105",105,"AT1G04990"
"139",139,"AT1G06490"
"3810",3810,"AT4G18465"
"4246",4246,"AT4G37090"
"20",20,"AT1G01780"
"2652",2652,"AT3G12700"
"4164",4164,"AT4G33890"
"4837",4837,"AT5G23530"
"1261",1261,"AT1G71960"
"116",116,"AT1G05360"
"168",168,"AT1G07830"
"1825",1825,"AT2G26680"
"2451",2451,"AT3G05150"
"4780",4780,"AT5G20400"
"725",725,"AT1G33265"
"1444",1444,"AT1G79950"
"2222",2222,"AT2G43490"
"3262",3262,"AT3G54860"
"845",845,"AT1G49950"
"5428",5428,"AT5G59210"
"5622",5622,"AT5G66900"
"747",747,"AT1G34510"
"3479",3479,"AT4G00170"
"2300",2300,"AT2G46630"
"498",498,"AT1G21410"
"5214",5214,"AT5G50110"
"3637",3637,"AT4G11210"
"4005",4005,"AT4G27652"
"4135",4135,"AT4G32670"
"3755",3755,"AT4G16330"
"4641",4641,"AT5G14500"
"4954",4954,"AT5G36890"
"5304",5304,"AT5G54145"
"782",782,"AT1G44820"
"198",198,"AT1G08720"
"2382",2382,"AT3G02875"
"3086",3086,"AT3G47080"
"4147",4147,"AT4G33060"
"3013",3013,"AT3G28670"
"4155",4155,"AT4G33490"
"3864",3864,"AT4G21470"
"1493",1493,"AT2G02090"
"2478",2478,"AT3G06240"
"1076",1076,"AT1G63260"
"4452",4452,"AT5G06580"
"4514",4514,"AT5G08710"
"2545",2545,"AT3G08720"
"3867",3867,"AT4G21540"
"4252",4252,"AT4G37190"
"2820",2820,"AT3G19840"
"4910",4910,"AT5G27550"
"4390",4390,"AT5G04340"
"5580",5580,"AT5G65460"
"5579",5579,"AT5G65450"
"3641",3641,"AT4G11630"
"3545",3545,"AT4G03090"
"255",255,"AT1G10870"
"608",608,"AT1G27200"
"4796",4796,"AT5G22050"
"4111",4111,"AT4G31750"
"3914",3914,"AT4G23710"
"3117",3117,"AT3G48330"
"2243",2243,"AT2G44680"
"2641",2641,"AT3G12270"
"4593",4593,"AT5G12050"
"5490",5490,"AT5G62200"
"1467",1467,"AT2G01060"
"1071",1071,"AT1G62990"
"5366",5366,"AT5G57035"
"406",406,"AT1G17070"
"210",210,"AT1G09100"
"5202",5202,"AT5G49710"
"3211",3211,"AT3G52870"
"2261",2261,"AT2G45315"
"4232",4232,"AT4G36500"
"2215",2215,"AT2G43290"
"4020",4020,"AT4G28060"
"3341",3341,"AT3G58100"
"1262",1262,"AT1G71990"
"3260",3260,"AT3G54840"
"402",402,"AT1G16840"
"4752",4752,"AT5G19380"
"4503",4503,"AT5G08415"
"43",43,"AT1G02660"
"5497",5497,"AT5G62440"
"4270",4270,"AT4G37880"
"152",152,"AT1G07230"
"3273",3273,"AT3G55260"
"1869",1869,"AT2G28930"
"443",443,"AT1G18890"
"5093",5093,"AT5G45010"
"5203",5203,"AT5G49840"
"2187",2187,"AT2G41980"
"1944",1944,"AT2G32270"
"1937",1937,"AT2G32070"
"63",63,"AT1G03365"
"5384",5384,"AT5G57700"
"1399",1399,"AT1G77770"
"5226",5226,"AT5G50400"
"3142",3142,"AT3G49750"
"4008",4008,"AT4G27730"
"3988",3988,"AT4G27050"
"2710",2710,"AT3G15260"
"4904",4904,"AT5G27395"
"4395",4395,"AT5G04540"
"1728",1728,"AT2G22420"
"3481",3481,"AT4G00231"
"25",25,"AT1G01920"
"3955",3955,"AT4G25470"
"316",316,"AT1G13690"
"2415",2415,"AT3G03810"
"4063",4063,"AT4G29940"
"1233",1233,"AT1G70690"
"4399",4399,"AT5G04850"
"3375",3375,"AT3G59630"
"3940",3940,"AT4G24670"
"5320",5320,"AT5G55050"
"2180",2180,"AT2G41770"
"5216",5216,"AT5G50180"
"4213",4213,"AT4G35580"
"2856",2856,"AT3G20960"
"1998",1998,"AT2G34610"
"5224",5224,"AT5G50380"
"4905",4905,"AT5G27400"
"4732",4732,"AT5G18640"
"735",735,"AT1G33970"
"111",111,"AT1G05205"
"2584",2584,"AT3G10310"
"4980",4980,"AT5G38690"
"1295",1295,"AT1G73240"
"1921",1921,"AT2G31260"
"4308",4308,"AT4G39870"
"997",997,"AT1G57700"
"841",841,"AT1G49740"
"4283",4283,"AT4G38440"
"3734",3734,"AT4G15770"
"4811",4811,"AT5G22410"
"99",99,"AT1G04910"
"1508",1508,"AT2G02820"
"737",737,"AT1G34020"
"1210",1210,"AT1G69750"
"3349",3349,"AT3G58570"
"4543",4543,"AT5G10280"
"3431",3431,"AT3G61830"
"3296",3296,"AT3G56110"
"5266",5266,"AT5G52200"
"671",671,"AT1G30070"
"226",226,"AT1G09850"
"2349",2349,"AT3G01560"
"4312",4312,"AT4G39990"
"3403",3403,"AT3G60950"
"3487",3487,"AT4G00500"
"3697",3697,"AT4G14455"
"612",612,"AT1G27330"
"1274",1274,"AT1G72360"
"2907",2907,"AT3G22990"
"812",812,"AT1G48170"
"2022",2022,"AT2G35690"
"4876",4876,"AT5G25540"
"5229",5229,"AT5G50430"
"2319",2319,"AT2G47600"
"1537",1537,"AT2G04940"
"1792",1792,"AT2G25270"
"4927",4927,"AT5G28150"
"3832",3832,"AT4G19660"
"4712",4712,"AT5G17790"
"3937",3937,"AT4G24590"
"3162",3162,"AT3G50800"
"4737",4737,"AT5G18770"
"2036",2036,"AT2G36360"
