"","WS_c1.which.mclass....4...1."
"290","AT1G12560"
"291","AT1G12640"
"292","AT1G12650"
"293","AT1G12680"
"294","AT1G12740"
"295","AT1G12810"
"296","AT1G12850"
"297","AT1G12910"
"298","AT1G12930"
"299","AT1G12950"
"300","AT1G12990"
"301","AT1G13000"
"302","AT1G13030"
"303","AT1G13120"
"304","AT1G13190"
"305","AT1G13210"
"306","AT1G13220"
"307","AT1G13250"
"308","AT1G13340"
"309","AT1G13350"
"310","AT1G13380"
"311","AT1G13390"
"312","AT1G13450"
"313","AT1G13460"
"314","AT1G13570"
"315","AT1G13580"
"316","AT1G13690"
"317","AT1G13710"
"318","AT1G13860"
"319","AT1G13880"
"320","AT1G13900"
"321","AT1G13940"
"322","AT1G13960"
"323","AT1G13970"
"324","AT1G13990"
"325","AT1G14010"
"326","AT1G14020"
"327","AT1G14120"
"328","AT1G14160"
"329","AT1G14170"
"330","AT1G14200"
"331","AT1G14220"
"332","AT1G14230"
"333","AT1G14240"
"334","AT1G14290"
"335","AT1G14300"
"336","AT1G14330"
"337","AT1G14340"
"338","AT1G14350"
"339","AT1G14360"
"340","AT1G14380"
"341","AT1G14450"
"342","AT1G14460"
"343","AT1G14510"
"344","AT1G14560"
"345","AT1G14580"
"346","AT1G14590"
"347","AT1G14685"
"348","AT1G14790"
"349","AT1G14890"
"350","AT1G14900"
"351","AT1G14960"
"352","AT1G14970"
"353","AT1G15000"
"354","AT1G15002"
"355","AT1G15020"
"356","AT1G15030"
"357","AT1G15110"
"358","AT1G15230"
"359","AT1G15270"
"360","AT1G15350"
"361","AT1G15370"
"362","AT1G15400"
"363","AT1G15420"
"364","AT1G15430"
"365","AT1G15470"
"366","AT1G15480"
"367","AT1G15490"
"368","AT1G15510"
"369","AT1G15540"
"370","AT1G15570"
"371","AT1G15625"
"372","AT1G15660"
"373","AT1G15670"
"374","AT1G15710"
"375","AT1G15810"
"376","AT1G15860"
"377","AT1G15910"
"378","AT1G15920"
"379","AT1G15940"
"380","AT1G15960"
"381","AT1G15970"
"382","AT1G16020"
"383","AT1G16030"
"384","AT1G16040"
"385","AT1G16060"
"386","AT1G16070"
"387","AT1G16170"
"388","AT1G16190"
"389","AT1G16280"
"390","AT1G16300"
"391","AT1G16310"
"392","AT1G16340"
"393","AT1G16520"
"394","AT1G16570"
"395","AT1G16610"
"396","AT1G16630"
"397","AT1G16680"
"398","AT1G16740"
"399","AT1G16780"
"400","AT1G16800"
"401","AT1G16810"
"402","AT1G16840"
"403","AT1G16900"
"404","AT1G16930"
"405","AT1G16970"
"406","AT1G17070"
"407","AT1G17080"
"408","AT1G17120"
"409","AT1G17130"
"410","AT1G17160"
"411","AT1G17180"
"412","AT1G17230"
"413","AT1G17232"
"414","AT1G17280"
"415","AT1G17340"
"416","AT1G17430"
"417","AT1G17440"
"418","AT1G17450"
"419","AT1G17530"
"420","AT1G17550"
"421","AT1G17680"
"422","AT1G17690"
"423","AT1G17730"
"424","AT1G17744"
"425","AT1G17760"
"426","AT1G17820"
"427","AT1G17870"
"428","AT1G17970"
"429","AT1G18100"
"430","AT1G18190"
"431","AT1G18300"
"432","AT1G18370"
"433","AT1G18390"
"434","AT1G18420"
"435","AT1G18480"
"436","AT1G18490"
"437","AT1G18570"
"438","AT1G18580"
"439","AT1G18600"
"440","AT1G18700"
