"","WS_GC_c1.which.mclass....6...1."
"1","AT1G01020"
"2","AT1G01110"
"3","AT1G01290"
"4","AT1G01350"
"5","AT1G01370"
"6","AT1G01430"
"7","AT1G01650"
"8","AT1G02110"
"9","AT1G02145"
"10","AT1G02150"
"11","AT1G02170"
"12","AT1G02330"
"13","AT1G02370"
"14","AT1G02520"
"15","AT1G02680"
"16","AT1G02720"
"17","AT1G02960"
"18","AT1G03060"
"19","AT1G03250"
"20","AT1G03280"
"21","AT1G03350"
"22","AT1G03365"
"23","AT1G03475"
"24","AT1G03687"
"25","AT1G03730"
"26","AT1G03780"
"27","AT1G03840"
"28","AT1G04020"
"29","AT1G04130"
"30","AT1G04210"
"31","AT1G04260"
"32","AT1G04290"
"33","AT1G04300"
"34","AT1G04530"
"35","AT1G04537"
"36","AT1G04550"
"37","AT1G04635"
"38","AT1G04790"
"39","AT1G04860"
"40","AT1G04900"
"41","AT1G04910"
"42","AT1G04985"
"43","AT1G05055"
"44","AT1G05070"
"45","AT1G05150"
"46","AT1G05170"
"47","AT1G05180"
"48","AT1G05190"
"49","AT1G05210"
"50","AT1G05270"
"51","AT1G05350"
"52","AT1G05360"
"53","AT1G05380"
"54","AT1G05410"
"55","AT1G05430"
"56","AT1G05500"
"57","AT1G05520"
"58","AT1G05730"
"59","AT1G05785"
"60","AT1G05805"
"61","AT1G05870"
"62","AT1G05970"
"63","AT1G06010"
"64","AT1G06150"
"65","AT1G06190"
"66","AT1G06210"
"67","AT1G06227"
"68","AT1G06290"
"69","AT1G06310"
"70","AT1G06380"
"71","AT1G06450"
"72","AT1G06475"
"73","AT1G06560"
"74","AT1G06790"
"75","AT1G06930"
"76","AT1G07350"
"77","AT1G07510"
"78","AT1G07530"
"79","AT1G07615"
"80","AT1G07705"
"81","AT1G07780"
"82","AT1G07810"
"83","AT1G07893"
"84","AT1G07970"
"85","AT1G07980"
"86","AT1G07983"
"87","AT1G08010"
"88","AT1G08037"
"89","AT1G08125"
"90","AT1G08190"
"91","AT1G08260"
"92","AT1G08390"
"93","AT1G08420"
"94","AT1G08477"
"95","AT1G08490"
"96","AT1G08550"
"97","AT1G08600"
"98","AT1G08620"
"99","AT1G08657"
"100","AT1G08700"
"101","AT1G08750"
"102","AT1G08845"
"103","AT1G08970"
"104","AT1G09130"
"105","AT1G09230"
"106","AT1G09290"
"107","AT1G09300"
"108","AT1G09420"
"109","AT1G09470"
"110","AT1G09490"
"111","AT1G09700"
"112","AT1G09795"
"113","AT1G09815"
"114","AT1G09830"
"115","AT1G09932"
"116","AT1G09995"
"117","AT1G10130"
"118","AT1G10170"
