"","X","WS_FLT_c1.which.mclass....4...1."
"2044",2044,"AT3G59580"
"1770",1770,"AT3G22840"
"2430",2430,"AT4G24413"
"3211",3211,"AT5G56850"
"556",556,"AT1G48720"
"120",120,"AT1G05997"
"1155",1155,"AT2G20170"
"2224",2224,"AT4G08235"
"2948",2948,"AT5G28380"
"2616",2616,"AT5G01515"
"1899",1899,"AT3G45130"
"1306",1306,"AT2G36255"
"1937",1937,"AT3G47710"
"3099",3099,"AT5G46440"
"1170",1170,"AT2G21480"
"2646",2646,"AT5G03165"
"2895",2895,"AT5G22608"
"581",581,"AT1G51090"
"3305",3305,"ATCG00870"
"2812",2812,"AT5G13181"
"134",134,"AT1G06237"
"1733",1733,"AT3G18775"
"1930",1930,"AT3G47100"
"2379",2379,"AT4G19645"
"640",640,"AT1G55770"
"2611",2611,"AT5G01165"
"360",360,"AT1G18310"
"1889",1889,"AT3G44710"
"3176",3176,"AT5G53902"
"702",702,"AT1G62421"
"1406",1406,"AT2G46450"
"2816",2816,"AT5G13630"
"3068",3068,"AT5G44495"
"764",764,"AT1G66940"
"1175",1175,"AT2G21770"
"997",997,"AT2G07702"
"2002",2002,"AT3G54450"
"887",887,"AT2G01280"
"2792",2792,"AT5G09910"
"723",723,"AT1G63910"
"3317",3317,"ATMG00240"
"711",711,"AT1G63070"
"307",307,"AT1G12070"
"1044",1044,"AT2G08765"
"1783",1783,"AT3G23950"
"3092",3092,"AT5G45910"
"2400",2400,"AT4G21920"
"1962",1962,"AT3G50390"
"2984",2984,"AT5G38080"
"3111",3111,"AT5G47610"
"2894",2894,"AT5G22545"
"1327",1327,"AT2G38890"
"527",527,"AT1G44575"
"2287",2287,"AT4G11700"
"1674",1674,"AT3G13403"
"828",828,"AT1G74035"
"842",842,"AT1G75166"
"2222",2222,"AT4G08045"
"1425",1425,"AT3G01045"
"3165",3165,"AT5G52940"
"1392",1392,"AT2G45243"
"277",277,"AT1G09833"
"457",457,"AT1G29410"
"192",192,"AT1G08093"
"1450",1450,"AT3G01835"
"1275",1275,"AT2G33130"
"2961",2961,"AT5G36220"
"2692",2692,"AT5G05490"
"235",235,"AT1G09157"
"1393",1393,"AT2G45410"
"3066",3066,"AT5G44390"
"2544",2544,"AT4G35485"
"303",303,"AT1G11590"
"2603",2603,"AT5G00865"
"1556",1556,"AT3G06925"
"2098",2098,"AT4G00953"
"1487",1487,"AT3G03325"
"650",650,"AT1G56510"
"3026",3026,"AT5G41460"
"2618",2618,"AT5G01545"
"74",74,"AT1G05020"
"492",492,"AT1G32850"
"2080",2080,"AT3G62510"
"1827",1827,"AT3G27440"
"1215",1215,"AT2G26515"
"3220",3220,"AT5G58610"
"392",392,"AT1G22290"
"3031",3031,"AT5G41750"
"1786",1786,"AT3G24280"
"1913",1913,"AT3G46340"
"1650",1650,"AT3G11050"
"181",181,"AT1G07853"
"3319",3319,"ATMG00280"
"2633",2633,"AT5G02515"
"1113",1113,"AT2G13905"
"853",853,"AT1G76952"
"79",79,"AT1G05103"
"1101",1101,"AT2G10940"
"1264",1264,"AT2G32140"
"1947",1947,"AT3G48835"
"225",225,"AT1G08860"
"222",222,"AT1G08847"
"1934",1934,"AT3G47660"
"1639",1639,"AT3G09995"
"1749",1749,"AT3G20520"
"2113",2113,"AT4G01780"
"395",395,"AT1G22590"
"2760",2760,"AT5G08860"
"1581",1581,"AT3G08240"
"1510",1510,"AT3G04085"
"3199",3199,"AT5G55270"
"3076",3076,"AT5G44760"
"2251",2251,"AT4G09165"
"496",496,"AT1G33100"
"2212",2212,"AT4G07290"
"169",169,"AT1G07547"
