"","WS_FLT_c1.which.mclass....4...1."
"289","AT1G10385"
"290","AT1G10455"
"291","AT1G10640"
"292","AT1G10680"
"293","AT1G10747"
"294","AT1G10770"
"295","AT1G10790"
"296","AT1G11330"
"297","AT1G11350"
"298","AT1G11362"
"299","AT1G11470"
"300","AT1G11510"
"301","AT1G11560"
"302","AT1G11572"
"303","AT1G11590"
"304","AT1G11600"
"305","AT1G11920"
"306","AT1G12013"
"307","AT1G12070"
"308","AT1G12130"
"309","AT1G12294"
"310","AT1G12570"
"311","AT1G12610"
"312","AT1G12663"
"313","AT1G12900"
"314","AT1G13230"
"315","AT1G13310"
"316","AT1G13400"
"317","AT1G13490"
"318","AT1G13608"
"319","AT1G13790"
"320","AT1G14071"
"321","AT1G14550"
"322","AT1G14630"
"323","AT1G14640"
"324","AT1G14960"
"325","AT1G15015"
"326","AT1G15125"
"327","AT1G15320"
"328","AT1G15540"
"329","AT1G15580"
"330","AT1G15600"
"331","AT1G15610"
"332","AT1G15620"
"333","AT1G15680"
"334","AT1G15772"
"335","AT1G15830"
"336","AT1G15840"
"337","AT1G15885"
"338","AT1G15890"
"339","AT1G15980"
"340","AT1G16120"
"341","AT1G16230"
"342","AT1G16260"
"343","AT1G16380"
"344","AT1G16530"
"345","AT1G16705"
"346","AT1G16770"
"347","AT1G16910"
"348","AT1G17240"
"349","AT1G17260"
"350","AT1G17310"
"351","AT1G17420"
"352","AT1G17600"
"353","AT1G17610"
"354","AT1G17700"
"355","AT1G17810"
"356","AT1G17960"
"357","AT1G17990"
"358","AT1G18020"
"359","AT1G18197"
"360","AT1G18310"
"361","AT1G18530"
"362","AT1G18870"
"363","AT1G18879"
"364","AT1G18960"
"365","AT1G18990"
"366","AT1G19070"
"367","AT1G19160"
"368","AT1G19373"
"369","AT1G19390"
"370","AT1G19394"
"371","AT1G19610"
"372","AT1G20015"
"373","AT1G20020"
"374","AT1G20120"
"375","AT1G20310"
"376","AT1G20400"
"377","AT1G20870"
"378","AT1G20923"
"379","AT1G20925"
"380","AT1G20990"
"381","AT1G21120"
"382","AT1G21230"
"383","AT1G21500"
"384","AT1G21510"
"385","AT1G21550"
"386","AT1G21860"
"387","AT1G21890"
"388","AT1G22000"
"389","AT1G22080"
"390","AT1G22110"
"391","AT1G22250"
"392","AT1G22290"
"393","AT1G22380"
"394","AT1G22480"
"395","AT1G22590"
"396","AT1G22680"
"397","AT1G22810"
"398","AT1G23070"
"399","AT1G23201"
"400","AT1G23450"
"401","AT1G23510"
"402","AT1G23520"
"403","AT1G23730"
"404","AT1G23740"
"405","AT1G23935"
"406","AT1G23950"
"407","AT1G23960"
"408","AT1G23965"
"409","AT1G24000"
"410","AT1G24020"
"411","AT1G24260"
"412","AT1G24470"
"413","AT1G24480"
"414","AT1G24485"
"415","AT1G24545"
"416","AT1G24570"
"417","AT1G24575"
"418","AT1G24577"
"419","AT1G24800"
"420","AT1G24807"
"421","AT1G24851"
"422","AT1G24880"
"423","AT1G24881"
"424","AT1G24996"
"425","AT1G25054"
"426","AT1G25055"
"427","AT1G25098"
"428","AT1G25141"
"429","AT1G25150"
"430","AT1G25175"
"431","AT1G25210"
"432","AT1G25211"
"433","AT1G25330"
"434","AT1G25422"
"435","AT1G25440"
"436","AT1G26233"
"437","AT1G26410"
"438","AT1G26510"
"439","AT1G26540"
"440","AT1G26710"
"441","AT1G26762"
"442","AT1G27080"
"443","AT1G27565"
"444","AT1G27710"
"445","AT1G27820"
"446","AT1G28040"
"447","AT1G28170"
"448","AT1G28265"
"449","AT1G28327"
"450","AT1G28370"
"451","AT1G28450"
"452","AT1G28570"
"453","AT1G28610"
"454","AT1G29000"
"455","AT1G29071"
"456","AT1G29395"
"457","AT1G29410"
"458","AT1G29420"
"459","AT1G29500"
"460","AT1G29590"
"461","AT1G29600"
"462","AT1G29680"
"463","AT1G29775"
"464","AT1G29780"
"465","AT1G30220"
"466","AT1G30370"
"467","AT1G30455"
"468","AT1G30560"
"469","AT1G30740"
"470","AT1G30780"
"471","AT1G30860"
"472","AT1G30920"
"473","AT1G30950"
"474","AT1G31243"
"475","AT1G31258"
"476","AT1G31290"
"477","AT1G31430"
"478","AT1G31485"
"479","AT1G31580"
"480","AT1G31750"
"481","AT1G31772"
"482","AT1G31820"
"483","AT1G31960"
"484","AT1G32120"
"485","AT1G32350"
"486","AT1G32385"
"487","AT1G32560"
"488","AT1G32570"
"489","AT1G32585"
"490","AT1G32710"
"491","AT1G32713"
"492","AT1G32850"
"493","AT1G32950"
"494","AT1G32960"
"495","AT1G33090"
"496","AT1G33100"
"497","AT1G33430"
"498","AT1G33600"
"499","AT1G33670"
