"","col_GC_c1.which.mclass....1...1."
"1","AT1G01183"
"2","AT1G01520"
"3","AT1G01560"
"4","AT1G01600"
"5","AT1G01680"
"6","AT1G02770"
"7","AT1G02820"
"8","AT1G02980"
"9","AT1G03445"
"10","AT1G03502"
"11","AT1G03506"
"12","AT1G03710"
"13","AT1G03790"
"14","AT1G04013"
"15","AT1G04023"
"16","AT1G04037"
"17","AT1G04147"
"18","AT1G04187"
"19","AT1G04193"
"20","AT1G04223"
"21","AT1G04227"
"22","AT1G04267"
"23","AT1G04343"
"24","AT1G04363"
"25","AT1G04397"
"26","AT1G04403"
"27","AT1G04427"
"28","AT1G04467"
"29","AT1G04493"
"30","AT1G04497"
"31","AT1G04500"
"32","AT1G04507"
"33","AT1G04523"
"34","AT1G04560"
"35","AT1G04563"
"36","AT1G04567"
"37","AT1G04577"
"38","AT1G04580"
"39","AT1G04625"
"40","AT1G04643"
"41","AT1G04657"
"42","AT1G04703"
"43","AT1G04713"
"44","AT1G04800"
"45","AT1G04817"
"46","AT1G04853"
"47","AT1G04913"
"48","AT1G05083"
"49","AT1G05103"
"50","AT1G05203"
"51","AT1G05207"
"52","AT1G05243"
"53","AT1G05297"
"54","AT1G05303"
"55","AT1G05317"
"56","AT1G05327"
"57","AT1G05330"
"58","AT1G05383"
"59","AT1G05417"
"60","AT1G05423"
"61","AT1G05450"
"62","AT1G05493"
"63","AT1G05510"
"64","AT1G05550"
"65","AT1G05693"
"66","AT1G05707"
"67","AT1G05723"
"68","AT1G05727"
"69","AT1G05747"
"70","AT1G05757"
"71","AT1G05783"
"72","AT1G05933"
"73","AT1G05977"
"74","AT1G05993"
"75","AT1G06020"
"76","AT1G06100"
"77","AT1G06117"
"78","AT1G06135"
"79","AT1G06148"
"80","AT1G06163"
"81","AT1G06170"
"82","AT1G06273"
"83","AT1G06350"
"84","AT1G06457"
"85","AT1G06487"
"86","AT1G06537"
"87","AT1G06547"
"88","AT1G06583"
"89","AT1G06587"
"90","AT1G06613"
"91","AT1G06645"
"92","AT1G06717"
"93","AT1G06750"
"94","AT1G06757"
"95","AT1G06830"
"96","AT1G06963"
"97","AT1G07023"
"98","AT1G07267"
"99","AT1G07340"
"100","AT1G07430"
"101","AT1G07476"
"102","AT1G07493"
"103","AT1G07653"
"104","AT1G07663"
"105","AT1G07690"
"106","AT1G07693"
"107","AT1G07697"
"108","AT1G07720"
"109","AT1G07823"
"110","AT1G07850"
"111","AT1G07853"
"112","AT1G07880"
"113","AT1G07900"
"114","AT1G07943"
"115","AT1G07963"
"116","AT1G07987"
"117","AT1G08005"
"118","AT1G08093"
"119","AT1G08097"
"120","AT1G08115"
"121","AT1G08120"
"122","AT1G08123"
"123","AT1G08147"
"124","AT1G08165"
"125","AT1G08273"
"126","AT1G08323"
"127","AT1G08440"
"128","AT1G08457"
"129","AT1G08547"
"130","AT1G08557"
"131","AT1G08563"
"132","AT1G08567"
"133","AT1G08633"
"134","AT1G08707"
"135","AT1G08827"
"136","AT1G08853"
"137","AT1G08860"
"138","AT1G08867"
"139","AT1G08937"
"140","AT1G09017"
"141","AT1G09067"
"142","AT1G09080"
"143","AT1G09127"
"144","AT1G09163"
"145","AT1G09180"
"146","AT1G09257"
"147","AT1G09267"
"148","AT1G09287"
"149","AT1G09421"
"150","AT1G09423"
"151","AT1G09427"
"152","AT1G09447"
"153","AT1G09463"
"154","AT1G09467"
"155","AT1G09500"
"156","AT1G09513"
"157","AT1G09527"
"158","AT1G09537"
"159","AT1G09573"
"160","AT1G09603"
"161","AT1G09607"
"162","AT1G09720"
"163","AT1G09757"
"164","AT1G09773"
"165","AT1G09777"
"166","AT1G09853"
"167","AT1G09897"
"168","AT1G09903"
"169","AT1G09917"
"170","AT1G09930"
"171","AT1G10010"
"172","AT1G10385"
"173","AT1G10455"
"174","AT1G10747"
"175","AT1G10875"
"176","AT1G11362"
"177","AT1G11470"
"178","AT1G11510"
"179","AT1G11560"
"180","AT1G11572"
"181","AT1G11600"
"182","AT1G11920"
"183","AT1G12340"
"184","AT1G12570"
"185","AT1G12610"
"186","AT1G12663"
"187","AT1G12672"
"188","AT1G13200"
"189","AT1G13230"
"190","AT1G13400"
"191","AT1G13500"
"192","AT1G13608"
"193","AT1G14071"
"194","AT1G14440"
"195","AT1G14455"
"196","AT1G14550"
"197","AT1G15015"
"198","AT1G15540"
"199","AT1G15600"
"200","AT1G15680"
"201","AT1G15830"
"202","AT1G15840"
"203","AT1G16380"
"204","AT1G16420"
"205","AT1G16705"
"206","AT1G16770"
"207","AT1G16910"
"208","AT1G17260"
"209","AT1G17310"
"210","AT1G17380"
"211","AT1G17600"
"212","AT1G17610"
"213","AT1G17700"
"214","AT1G17810"
"215","AT1G17830"
"216","AT1G18197"
"217","AT1G18310"
"218","AT1G18350"
"219","AT1G18400"
"220","AT1G18530"
"221","AT1G18879"
"222","AT1G18960"
"223","AT1G18990"
"224","AT1G19160"
"225","AT1G19373"
"226","AT1G19390"
"227","AT1G19550"
"228","AT1G19610"
"229","AT1G19630"
"230","AT1G19890"
"231","AT1G20130"
"232","AT1G20310"
"233","AT1G20400"
"234","AT1G20590"
"235","AT1G20860"
"236","AT1G20923"
"237","AT1G21230"
"238","AT1G21550"
"239","AT1G21860"
"240","AT1G22080"
"241","AT1G22290"
"242","AT1G22380"
"243","AT1G22670"
"244","AT1G22680"
"245","AT1G22900"
"246","AT1G23070"
"247","AT1G23540"
"248","AT1G23730"
"249","AT1G24260"
"250","AT1G24270"
"251","AT1G24470"
"252","AT1G24545"
"253","AT1G24570"
"254","AT1G24807"
"255","AT1G24909"
"256","AT1G25055"
"257","AT1G25155"
"258","AT1G25210"
"259","AT1G25240"
"260","AT1G25988"
"261","AT1G26410"
"262","AT1G26510"
"263","AT1G26560"
"264","AT1G26762"
"265","AT1G27570"
"266","AT1G27710"
"267","AT1G28010"
"268","AT1G28040"
"269","AT1G28265"
"270","AT1G28370"
"271","AT1G29090"
"272","AT1G29660"
"273","AT1G29680"
"274","AT1G29775"
"275","AT1G30135"
"276","AT1G30220"
"277","AT1G30455"
"278","AT1G30560"
"279","AT1G30740"
"280","AT1G30780"
"281","AT1G30950"
"282","AT1G31290"
"283","AT1G31960"
"284","AT1G32172"
"285","AT1G32350"
"286","AT1G32560"
"287","AT1G32710"
"288","AT1G32960"
"289","AT1G33100"
"290","AT1G33430"
"291","AT1G33670"
"292","AT1G33870"
"293","AT1G33890"
"294","AT1G34140"
"295","AT1G34490"
"296","AT1G34500"
"297","AT1G34520"
"298","AT1G34540"
"299","AT1G35310"
"300","AT1G35617"
"301","AT1G36580"
"302","AT1G42560"
"303","AT1G43000"
"304","AT1G44010"
"305","AT1G44130"
"306","AT1G45010"
"307","AT1G45191"
"308","AT1G45201"
"309","AT1G45545"
"310","AT1G47130"
"311","AT1G47350"
"312","AT1G47610"
"313","AT1G47690"
"314","AT1G47790"
"315","AT1G47890"
"316","AT1G47920"
"317","AT1G48020"
"318","AT1G48060"
"319","AT1G48267"
"320","AT1G48400"
"321","AT1G48405"
"322","AT1G48800"
"323","AT1G48820"
"324","AT1G49100"
"325","AT1G49130"
"326","AT1G49150"
"327","AT1G49225"
"328","AT1G49250"
"329","AT1G49450"
"330","AT1G49610"
"331","AT1G49700"
"332","AT1G49750"
"333","AT1G49990"
"334","AT1G50180"
"335","AT1G50610"
"336","AT1G50750"
"337","AT1G50830"
"338","AT1G51000"
"339","AT1G51010"
"340","AT1G51500"
"341","AT1G51538"
"342","AT1G51820"
"343","AT1G51870"
"344","AT1G51913"
"345","AT1G51920"
"346","AT1G51990"
"347","AT1G52110"
"348","AT1G52130"
"349","AT1G52440"
"350","AT1G52560"
"351","AT1G52580"
"352","AT1G52615"
"353","AT1G52690"
"354","AT1G52800"
"355","AT1G52855"
"356","AT1G52857"
"357","AT1G53541"
"358","AT1G53610"
"359","AT1G54070"
"360","AT1G54470"
"361","AT1G54560"
"362","AT1G54590"
"363","AT1G54760"
"364","AT1G54773"
"365","AT1G54820"
"366","AT1G55175"
"367","AT1G55230"
"368","AT1G55260"
"369","AT1G55440"
"370","AT1G55525"
"371","AT1G55550"
"372","AT1G55600"
"373","AT1G55720"
"374","AT1G55770"
"375","AT1G55945"
"376","AT1G56060"
"377","AT1G56150"
"378","AT1G56160"
"379","AT1G56240"
"380","AT1G56242"
"381","AT1G56250"
"382","AT1G56510"
"383","AT1G57670"
"384","AT1G57943"
"385","AT1G58300"
"386","AT1G58807"
"387","AT1G58936"
"388","AT1G59124"
"389","AT1G59218"
"390","AT1G59670"
"391","AT1G59790"
"392","AT1G60270"
"393","AT1G60350"
"394","AT1G60720"
"395","AT1G60760"
"396","AT1G60830"
"397","AT1G60970"
"398","AT1G60980"
"399","AT1G60986"
"400","AT1G61224"
"401","AT1G61226"
"402","AT1G61290"
"403","AT1G61300"
"404","AT1G61710"
"405","AT1G61720"
"406","AT1G62030"
"407","AT1G62035"
"408","AT1G62190"
"409","AT1G62240"
"410","AT1G62360"
"411","AT1G62421"
"412","AT1G62450"
"413","AT1G62760"
"414","AT1G62900"
"415","AT1G62920"
"416","AT1G63070"
"417","AT1G63105"
"418","AT1G63320"
"419","AT1G63340"
"420","AT1G63350"
"421","AT1G63390"
"422","AT1G63522"
"423","AT1G63540"
"424","AT1G63550"
"425","AT1G63600"
