"","col_GC_c1.which.mclass....6...1."
"1","AT1G01020"
"2","AT1G01060"
"3","AT1G01110"
"4","AT1G01210"
"5","AT1G01300"
"6","AT1G01350"
"7","AT1G01360"
"8","AT1G01630"
"9","AT1G01725"
"10","AT1G01730"
"11","AT1G01750"
"12","AT1G01820"
"13","AT1G01910"
"14","AT1G01920"
"15","AT1G01940"
"16","AT1G01960"
"17","AT1G02080"
"18","AT1G02090"
"19","AT1G02100"
"20","AT1G02330"
"21","AT1G02335"
"22","AT1G02410"
"23","AT1G02560"
"24","AT1G02680"
"25","AT1G02690"
"26","AT1G02850"
"27","AT1G02870"
"28","AT1G03040"
"29","AT1G03080"
"30","AT1G03110"
"31","AT1G03140"
"32","AT1G03150"
"33","AT1G03280"
"34","AT1G03350"
"35","AT1G03360"
"36","AT1G03430"
"37","AT1G03590"
"38","AT1G03610"
"39","AT1G03910"
"40","AT1G04030"
"41","AT1G04070"
"42","AT1G04260"
"43","AT1G04440"
"44","AT1G04520"
"45","AT1G04537"
"46","AT1G04590"
"47","AT1G04780"
"48","AT1G04810"
"49","AT1G04940"
"50","AT1G04950"
"51","AT1G04960"
"52","AT1G04980"
"53","AT1G04985"
"54","AT1G05070"
"55","AT1G05147"
"56","AT1G05150"
"57","AT1G05180"
"58","AT1G05210"
"59","AT1G05350"
"60","AT1G05360"
"61","AT1G05380"
"62","AT1G05430"
"63","AT1G05500"
"64","AT1G05523"
"65","AT1G05570"
"66","AT1G05785"
"67","AT1G05840"
"68","AT1G05870"
"69","AT1G05890"
"70","AT1G05940"
"71","AT1G05960"
"72","AT1G06130"
"73","AT1G06210"
"74","AT1G06220"
"75","AT1G06230"
"76","AT1G06290"
"77","AT1G06410"
"78","AT1G06470"
"79","AT1G06530"
"80","AT1G06540"
"81","AT1G06550"
"82","AT1G06570"
"83","AT1G06670"
"84","AT1G06720"
"85","AT1G06870"
"86","AT1G06900"
"87","AT1G06960"
"88","AT1G07030"
"89","AT1G07310"
"90","AT1G07350"
"91","AT1G07470"
"92","AT1G07480"
"93","AT1G07670"
"94","AT1G07840"
"95","AT1G07950"
"96","AT1G08037"
"97","AT1G08210"
"98","AT1G08230"
"99","AT1G08260"
"100","AT1G08370"
"101","AT1G08450"
"102","AT1G08500"
"103","AT1G08510"
"104","AT1G08570"
"105","AT1G08640"
"106","AT1G08660"
"107","AT1G08700"
"108","AT1G08770"
"109","AT1G08820"
"110","AT1G08930"
"111","AT1G08970"
"112","AT1G09070"
"113","AT1G09100"
"114","AT1G09130"
"115","AT1G09160"
"116","AT1G09250"
"117","AT1G09280"
"118","AT1G09520"
"119","AT1G09580"
"120","AT1G09645"
"121","AT1G09815"
"122","AT1G09870"
"123","AT1G09920"
"124","AT1G09970"
"125","AT1G10140"
"126","AT1G10290"
"127","AT1G10380"
"128","AT1G10430"
"129","AT1G10470"
"130","AT1G10500"
"131","AT1G10530"
"132","AT1G10580"
"133","AT1G10760"
"134","AT1G10865"
"135","AT1G10890"
"136","AT1G10940"
"137","AT1G11000"
"138","AT1G11020"
"139","AT1G11175"
"140","AT1G11200"
"141","AT1G11240"
"142","AT1G11260"
"143","AT1G11310"
"144","AT1G11430"
"145","AT1G11890"
"146","AT1G11905"
"147","AT1G12120"
"148","AT1G12160"
"149","AT1G12270"
"150","AT1G12360"
"151","AT1G12400"
"152","AT1G12410"
"153","AT1G12500"
"154","AT1G12520"
"155","AT1G12530"
"156","AT1G12580"
"157","AT1G12640"
"158","AT1G12650"
"159","AT1G12760"
"160","AT1G12810"
"161","AT1G12820"
"162","AT1G12830"
"163","AT1G12845"
"164","AT1G12850"
"165","AT1G13220"
"166","AT1G13245"
"167","AT1G13260"
"168","AT1G13320"
"169","AT1G13390"
"170","AT1G13450"
"171","AT1G13635"
"172","AT1G13640"
"173","AT1G13690"
"174","AT1G13730"
"175","AT1G13980"
"176","AT1G14000"
"177","AT1G14060"
"178","AT1G14220"
"179","AT1G14300"
"180","AT1G14380"
"181","AT1G14410"
"182","AT1G14453"
"183","AT1G14570"
"184","AT1G14650"
"185","AT1G14685"
"186","AT1G14690"
"187","AT1G14710"
"188","AT1G14730"
"189","AT1G14740"
"190","AT1G15020"
"191","AT1G15200"
"192","AT1G15230"
"193","AT1G15280"
"194","AT1G15390"
"195","AT1G15405"
"196","AT1G15440"
"197","AT1G15670"
"198","AT1G15740"
"199","AT1G15810"
"200","AT1G15860"
"201","AT1G15910"
"202","AT1G15920"
"203","AT1G15960"
"204","AT1G16010"
"205","AT1G16040"
"206","AT1G16190"
"207","AT1G16210"
"208","AT1G16840"
"209","AT1G16860"
"210","AT1G16870"
"211","AT1G16900"
"212","AT1G16916"
"213","AT1G17130"
"214","AT1G17147"
"215","AT1G17210"
"216","AT1G17280"
"217","AT1G17350"
"218","AT1G17430"
"219","AT1G17455"
"220","AT1G17490"
"221","AT1G17510"
"222","AT1G17530"
"223","AT1G17620"
"224","AT1G17720"
"225","AT1G17730"
"226","AT1G17745"
"227","AT1G17970"
"228","AT1G18100"
"229","AT1G18150"
"230","AT1G18250"
"231","AT1G18470"
"232","AT1G18480"
"233","AT1G18500"
"234","AT1G18840"
"235","AT1G18890"
"236","AT1G18980"
"237","AT1G19180"
"238","AT1G19240"
"239","AT1G19300"
"240","AT1G19310"
"241","AT1G19400"
"242","AT1G19580"
"243","AT1G19600"
"244","AT1G19660"
"245","AT1G19680"
"246","AT1G19800"
"247","AT1G19835"
"248","AT1G19850"
"249","AT1G19880"
"250","AT1G20070"
"251","AT1G20110"
"252","AT1G20140"
"253","AT1G20460"
"254","AT1G20490"
"255","AT1G20540"
"256","AT1G20575"
"257","AT1G20610"
"258","AT1G20770"
"259","AT1G20890"
"260","AT1G20900"
"261","AT1G20920"
"262","AT1G20970"
"263","AT1G20980"
"264","AT1G21080"
"265","AT1G21450"
"266","AT1G21630"
"267","AT1G21660"
"268","AT1G21690"
"269","AT1G21710"
"270","AT1G21740"
"271","AT1G21760"
"272","AT1G21880"
"273","AT1G21920"
"274","AT1G22065"
"275","AT1G22200"
"276","AT1G22330"
"277","AT1G22360"
"278","AT1G22440"
"279","AT1G22500"
"280","AT1G22620"
"281","AT1G22640"
"282","AT1G22710"
"283","AT1G22750"
"284","AT1G22790"
"285","AT1G22885"
"286","AT1G22910"
"287","AT1G22920"
"288","AT1G22970"
"289","AT1G23020"
"290","AT1G23030"
"291","AT1G23040"
"292","AT1G23080"
"293","AT1G23220"
"294","AT1G23260"
"295","AT1G23310"
"296","AT1G23800"
"297","AT1G23870"
"298","AT1G23960"
"299","AT1G24120"
"300","AT1G24240"
"301","AT1G24267"
"302","AT1G24350"
"303","AT1G24450"
"304","AT1G24460"
"305","AT1G24764"
"306","AT1G24793"
"307","AT1G25054"
"308","AT1G25150"
"309","AT1G25175"
"310","AT1G25211"
"311","AT1G25220"
"312","AT1G25280"
"313","AT1G25350"
"314","AT1G25420"
"315","AT1G25510"
"316","AT1G25530"
"317","AT1G25560"
"318","AT1G25682"
"319","AT1G26270"
"320","AT1G26300"
"321","AT1G26340"
"322","AT1G26440"
"323","AT1G26460"
"324","AT1G26580"
"325","AT1G26640"
"326","AT1G26690"
"327","AT1G26920"
"328","AT1G26940"
"329","AT1G26945"
"330","AT1G27000"
"331","AT1G27140"
"332","AT1G27150"
"333","AT1G27340"
"334","AT1G27390"
"335","AT1G27540"
"336","AT1G27600"
"337","AT1G27930"
"338","AT1G28060"
"339","AT1G28120"
"340","AT1G28200"
"341","AT1G28310"
"342","AT1G28395"
"343","AT1G28420"
"344","AT1G28490"
"345","AT1G28510"
"346","AT1G28580"
"347","AT1G29040"
"348","AT1G29050"
"349","AT1G29260"
"350","AT1G29320"
"351","AT1G29330"
"352","AT1G29418"
"353","AT1G29785"
"354","AT1G29790"
"355","AT1G29880"
"356","AT1G29890"
