"","col_GC_c1.which.mclass....9...1."
"290","AT1G17680"
"291","AT1G17790"
"292","AT1G17850"
"293","AT1G17940"
"294","AT1G18030"
"295","AT1G18060"
"296","AT1G18090"
"297","AT1G18190"
"298","AT1G18300"
"299","AT1G18335"
"300","AT1G18360"
"301","AT1G18390"
"302","AT1G18415"
"303","AT1G18440"
"304","AT1G18550"
"305","AT1G18560"
"306","AT1G18590"
"307","AT1G18620"
"308","AT1G18660"
"309","AT1G18680"
"310","AT1G18690"
"311","AT1G18900"
"312","AT1G18910"
"313","AT1G19010"
"314","AT1G19220"
"315","AT1G19270"
"316","AT1G19290"
"317","AT1G19480"
"318","AT1G19490"
"319","AT1G19690"
"320","AT1G19740"
"321","AT1G19950"
"322","AT1G19970"
"323","AT1G19980"
"324","AT1G20060"
"325","AT1G20065"
"326","AT1G20270"
"327","AT1G20300"
"328","AT1G20480"
"329","AT1G20510"
"330","AT1G20550"
"331","AT1G20690"
"332","AT1G20691"
"333","AT1G20830"
"334","AT1G20880"
"335","AT1G20910"
"336","AT1G21170"
"337","AT1G21200"
"338","AT1G21270"
"339","AT1G21280"
"340","AT1G21350"
"341","AT1G21640"
"342","AT1G21650"
"343","AT1G22020"
"344","AT1G22040"
"345","AT1G22310"
"346","AT1G22403"
"347","AT1G22540"
"348","AT1G22660"
"349","AT1G22700"
"350","AT1G22770"
"351","AT1G22860"
"352","AT1G22870"
"353","AT1G22882"
"354","AT1G22940"
"355","AT1G22960"
"356","AT1G23050"
"357","AT1G23052"
"358","AT1G23150"
"359","AT1G23160"
"360","AT1G23170"
"361","AT1G23205"
"362","AT1G23230"
"363","AT1G23330"
"364","AT1G23340"
"365","AT1G23390"
"366","AT1G23460"
"367","AT1G23530"
"368","AT1G23935"
"369","AT1G23950"
"370","AT1G23970"
"371","AT1G23980"
"372","AT1G24030"
"373","AT1G24040"
"374","AT1G24090"
"375","AT1G24095"
"376","AT1G24100"
"377","AT1G24130"
"378","AT1G24265"
"379","AT1G24280"
"380","AT1G24290"
"381","AT1G24300"
"382","AT1G24320"
"383","AT1G24340"
"384","AT1G24490"
"385","AT1G24600"
"386","AT1G24706"
"387","AT1G24800"
"388","AT1G25145"
"389","AT1G25290"
"390","AT1G25375"
"391","AT1G25450"
"392","AT1G25470"
"393","AT1G25480"
"394","AT1G25540"
"395","AT1G25570"
"396","AT1G26090"
"397","AT1G26150"
"398","AT1G26160"
"399","AT1G26208"
"400","AT1G26218"
"401","AT1G26330"
"402","AT1G26370"
"403","AT1G26520"
"404","AT1G26620"
"405","AT1G26680"
"406","AT1G26730"
"407","AT1G26760"
"408","AT1G26870"
"409","AT1G27070"
"410","AT1G27120"
"411","AT1G27200"
"412","AT1G27360"
"413","AT1G27370"
"414","AT1G27430"
"415","AT1G27460"
"416","AT1G27500"
"417","AT1G27620"
"418","AT1G27670"
"419","AT1G27680"
"420","AT1G27690"
"421","AT1G27752"
"422","AT1G27850"
"423","AT1G27880"
"424","AT1G27920"
"425","AT1G27960"
"426","AT1G27980"
"427","AT1G28050"
"428","AT1G28080"
"429","AT1G28090"
"430","AT1G28240"
"431","AT1G28260"
"432","AT1G28320"
"433","AT1G28380"
"434","AT1G28390"
"435","AT1G28470"
"436","AT1G28530"
"437","AT1G28685"
"438","AT1G28715"
"439","AT1G28760"
"440","AT1G28815"
"441","AT1G29030"
"442","AT1G29120"
"443","AT1G29170"
"444","AT1G29270"
"445","AT1G29300"
"446","AT1G29340"
"447","AT1G29355"
"448","AT1G29380"
"449","AT1G29410"
"450","AT1G29465"
"451","AT1G29530"
"452","AT1G29630"
"453","AT1G29640"
"454","AT1G29690"
"455","AT1G29710"
"456","AT1G29800"
"457","AT1G29840"
"458","AT1G29960"
"459","AT1G30090"
"460","AT1G30240"
"461","AT1G30410"
"462","AT1G30420"
"463","AT1G30475"
"464","AT1G30490"
"465","AT1G30540"
"466","AT1G30545"
"467","AT1G30570"
"468","AT1G30620"
"469","AT1G30650"
"470","AT1G30680"
"471","AT1G30755"
"472","AT1G30810"
"473","AT1G30840"
"474","AT1G30845"
"475","AT1G30960"
"476","AT1G31010"
"477","AT1G31150"
"478","AT1G31170"
"479","AT1G31175"
"480","AT1G31220"
"481","AT1G31320"
"482","AT1G31335"
"483","AT1G31360"
"484","AT1G31410"
"485","AT1G31460"
"486","AT1G31470"
"487","AT1G31480"
"488","AT1G31650"
"489","AT1G31720"
"490","AT1G31810"
"491","AT1G31814"
"492","AT1G31835"
"493","AT1G31870"
"494","AT1G32150"
"495","AT1G32160"
"496","AT1G32200"
"497","AT1G32330"
"498","AT1G32340"
"499","AT1G32360"
"500","AT1G32530"
"501","AT1G32583"
"502","AT1G32610"
"503","AT1G32730"
"504","AT1G32760"
"505","AT1G32810"
"506","AT1G33060"
"507","AT1G33080"
"508","AT1G33102"
"509","AT1G33170"
"510","AT1G33280"
"511","AT1G33290"
"512","AT1G33330"
"513","AT1G33390"
"514","AT1G33400"
"515","AT1G33420"
"516","AT1G33480"
"517","AT1G33540"
"518","AT1G33590"
"519","AT1G33610"
"520","AT1G33770"
"521","AT1G34210"
"522","AT1G34270"
"523","AT1G34300"
"524","AT1G34355"
"525","AT1G34360"
"526","AT1G34470"
"527","AT1G34670"
"528","AT1G34750"
"529","AT1G35260"
"530","AT1G35340"
"531","AT1G35460"
"532","AT1G35510"
"533","AT1G35610"
"534","AT1G36070"
"535","AT1G36280"
"536","AT1G36320"
"537","AT1G36990"
"538","AT1G38131"
"539","AT1G42470"
"540","AT1G43020"
"541","AT1G43245"
"542","AT1G43620"
"543","AT1G43650"
"544","AT1G44050"
"545","AT1G44100"
"546","AT1G44120"
"547","AT1G44125"
"548","AT1G44780"
"549","AT1G44790"
"550","AT1G44920"
"551","AT1G44970"
"552","AT1G45150"
"553","AT1G45160"
"554","AT1G45207"
"555","AT1G45230"
"556","AT1G45233"
"557","AT1G45249"
"558","AT1G47056"
"559","AT1G47240"
"560","AT1G47271"
"561","AT1G47340"
"562","AT1G47720"
"563","AT1G47750"
"564","AT1G48040"
"565","AT1G48050"
"566","AT1G48120"
"567","AT1G48270"
"568","AT1G48310"
"569","AT1G48315"
"570","AT1G48320"
"571","AT1G48355"
"572","AT1G48360"
"573","AT1G48370"
"574","AT1G48460"
"575","AT1G48480"
"576","AT1G48490"
"577","AT1G48520"
"578","AT1G48560"
"579","AT1G48770"
"580","AT1G48960"
"581","AT1G48970"
"582","AT1G49110"
"583","AT1G49350"
"584","AT1G49390"
"585","AT1G49540"
"586","AT1G49630"
"587","AT1G49710"
"588","AT1G49740"
"589","AT1G49780"
"590","AT1G49840"
"591","AT1G49870"
"592","AT1G49880"
"593","AT1G49980"
"594","AT1G50030"
"595","AT1G50170"
"596","AT1G50240"
"597","AT1G50360"
"598","AT1G50460"
"599","AT1G50520"
"600","AT1G50560"
"601","AT1G50580"
"602","AT1G50659"
"603","AT1G50730"
"604","AT1G50840"
"605","AT1G50900"
"606","AT1G50910"
"607","AT1G50970"
"608","AT1G51310"
"609","AT1G51350"
"610","AT1G51380"
"611","AT1G51430"
"612","AT1G51450"
"613","AT1G51550"
"614","AT1G51560"
"615","AT1G51580"
"616","AT1G51610"
"617","AT1G51640"
"618","AT1G51645"
"619","AT1G51660"
"620","AT1G51720"
"621","AT1G51800"
"622","AT1G51940"
"623","AT1G51950"
"624","AT1G51965"
"625","AT1G52160"
"626","AT1G52190"
"627","AT1G52260"
"628","AT1G52320"
"629","AT1G52330"
"630","AT1G52520"
"631","AT1G52565"
"632","AT1G52630"
"633","AT1G53035"
"634","AT1G53140"
"635","AT1G53163"
"636","AT1G53200"
"637","AT1G53390"
"638","AT1G53440"
"639","AT1G53450"
"640","AT1G53460"
"641","AT1G53490"
"642","AT1G53650"
"643","AT1G53670"
"644","AT1G53730"
"645","AT1G53770"
"646","AT1G53800"
"647","AT1G53860"
"648","AT1G54010"
"649","AT1G54110"
"650","AT1G54120"
"651","AT1G54180"
"652","AT1G54200"
"653","AT1G54217"
"654","AT1G54220"
"655","AT1G54260"
"656","AT1G54290"
"657","AT1G54310"
"658","AT1G54380"
"659","AT1G54510"
"660","AT1G54520"
"661","AT1G54650"
"662","AT1G54680"
"663","AT1G54710"
"664","AT1G54730"
"665","AT1G54850"
"666","AT1G54960"
"667","AT1G55120"
"668","AT1G55170"
"669","AT1G55180"
"670","AT1G55250"
"671","AT1G55270"
"672","AT1G55300"
"673","AT1G55325"
"674","AT1G55380"
"675","AT1G55430"
"676","AT1G55460"
"677","AT1G55510"
"678","AT1G55590"
"679","AT1G55610"
"680","AT1G55630"
"681","AT1G55675"
"682","AT1G55750"
"683","AT1G55760"
"684","AT1G55820"
"685","AT1G55830"
"686","AT1G55870"
"687","AT1G55910"
"688","AT1G55915"
"689","AT1G55930"
"690","AT1G56000"
"691","AT1G56050"
"692","AT1G56080"
"693","AT1G56090"
"694","AT1G56140"
"695","AT1G56145"
"696","AT1G56170"
"697","AT1G56310"
