Gene,TotalEvidenceCounts,EvidenceHit:WS_c1_which_mclass____6___1_,EvidenceGO:WS_c1_which_mclass____6___1_,EvidencePPI:WS_c1_which_mclass____6___1_
820343,3.0,1,1,1
821807,3.0,1,1,1
818304,3.0,1,1,1
832950,3.0,1,1,1
834459,3.0,1,1,1
826987,3.0,1,1,1
817876,3.0,1,1,1
835185,3.0,1,1,1
841868,3.0,1,1,1
827145,3.0,1,1,1
823721,3.0,1,1,1
843835,3.0,1,1,1
834913,3.0,1,1,1
840521,3.0,1,1,1
823955,3.0,1,1,1
831419,3.0,1,1,1
836388,3.0,1,1,1
820006,3.0,1,1,1
819358,3.0,1,1,1
831100,3.0,1,1,1
829022,3.0,1,1,1
835840,3.0,1,1,1
828409,3.0,1,1,1
831720,3.0,1,1,1
826624,3.0,1,1,1
838023,3.0,1,1,1
836451,3.0,1,1,1
840011,3.0,1,1,1
828853,3.0,1,1,1
838927,3.0,1,1,1
817601,3.0,1,1,1
817083,3.0,1,1,1
821163,3.0,1,1,1
840194,3.0,1,1,1
818708,3.0,1,1,1
830090,3.0,1,1,1
835926,3.0,1,1,1
827931,3.0,1,1,1
831049,3.0,1,1,1
821983,3.0,1,1,1
824781,3.0,1,1,1
831856,3.0,1,1,1
819386,3.0,1,1,1
820929,3.0,1,1,1
826515,3.0,1,1,1
827479,3.0,1,1,1
844314,3.0,1,1,1
837953,3.0,1,1,1
836360,3.0,1,1,1
839868,3.0,1,1,1
818280,3.0,1,1,1
835342,3.0,1,1,1
829568,3.0,1,1,1
836476,3.0,1,1,1
842072,3.0,1,1,1
817231,3.0,1,1,1
838590,3.0,1,1,1
836301,3.0,1,1,1
826730,3.0,1,1,1
826746,3.0,1,1,1
819236,3.0,1,1,1
816386,3.0,1,1,1
839489,3.0,1,1,1
844112,3.0,1,1,1
832497,3.0,1,1,1
832520,3.0,1,1,1
827039,3.0,1,1,1
839429,3.0,1,1,1
818741,3.0,1,1,1
834951,3.0,1,1,1
818766,3.0,1,1,1
829697,3.0,1,1,1
842087,3.0,1,1,1
838847,3.0,1,1,1
829943,3.0,1,1,1
835504,3.0,1,1,1
818188,3.0,1,1,1
843310,3.0,1,1,1
843491,3.0,1,1,1
840032,3.0,1,1,1
840115,3.0,1,1,1
830029,3.0,1,1,1
825494,3.0,1,1,1
817332,3.0,1,1,1
835035,3.0,1,1,1
841425,3.0,1,1,1
831332,3.0,1,1,1
818265,3.0,1,1,1
840158,3.0,1,1,1
821964,3.0,1,1,1
838614,3.0,1,1,1
835615,3.0,1,1,1
822117,3.0,1,1,1
829504,3.0,1,1,1
829489,3.0,1,1,1
824858,3.0,1,1,1
824153,3.0,1,1,1
836390,3.0,1,1,1
835427,3.0,1,1,1
820140,3.0,1,1,1
821313,3.0,1,1,1
840799,3.0,1,1,1
829330,3.0,1,1,1
837610,3.0,1,1,1
836391,3.0,1,1,1
827226,3.0,1,1,1
829678,3.0,1,1,1
818382,3.0,1,1,1
828805,3.0,1,1,1
834417,3.0,1,1,1
838916,3.0,1,1,1
818531,3.0,1,1,1
835701,3.0,1,1,1
843215,3.0,1,1,1
822519,3.0,1,1,1
843903,3.0,1,1,1
836321,3.0,1,1,1
842833,3.0,1,1,1
844754,3.0,1,1,1
824468,3.0,1,1,1
843771,3.0,1,1,1
835157,3.0,1,1,1
839501,3.0,1,1,1
829376,3.0,1,1,1
824318,3.0,1,1,1
842785,3.0,1,1,1
839009,3.0,1,1,1
820722,3.0,1,1,1
831398,3.0,1,1,1
826702,3.0,1,1,1
839630,3.0,1,1,1
832327,3.0,1,1,1
843934,3.0,1,1,1
833836,3.0,1,1,1
841447,3.0,1,1,1
824034,3.0,1,1,1
824395,3.0,1,1,1
819182,3.0,1,1,1
824511,3.0,1,1,1
