"","X","WS_c1.which.mclass....3...1."
"1858",1858,"AT3G59530"
"2963",2963,"AT5G57690"
"6",6,"AT1G01380"
"350",350,"AT1G26390"
"2689",2689,"AT5G26790"
"2027",2027,"AT4G11230"
"1670",1670,"AT3G28880"
"2087",2087,"AT4G15320"
"1969",1969,"AT4G06195"
"1056",1056,"AT2G26940"
"827",827,"AT2G01880"
"2673",2673,"AT5G25310"
"1186",1186,"AT2G36660"
"224",224,"AT1G13610"
"1399",1399,"AT3G06160"
"629",629,"AT1G65810"
"1610",1610,"AT3G24900"
"2337",2337,"AT4G36950"
"2351",2351,"AT4G38000"
"978",978,"AT2G19240"
"510",510,"AT1G53340"
"1761",1761,"AT3G49960"
"1318",1318,"AT3G01420"
"2026",2026,"AT4G11210"
"984",984,"AT2G19660"
"345",345,"AT1G25425"
"136",136,"AT1G08073"
"93",93,"AT1G05760"
"616",616,"AT1G64583"
"2407",2407,"AT5G02200"
"2229",2229,"AT4G27220"
"1233",1233,"AT2G40710"
"756",756,"AT1G74545"
"1279",1279,"AT2G45580"
"3100",3100,"ATMG00500"
"2745",2745,"AT5G39420"
"553",553,"AT1G58300"
"499",499,"AT1G52800"
"2380",2380,"AT5G01070"
"2037",2037,"AT4G11720"
"1872",1872,"AT3G60961"
"2997",2997,"AT5G60335"
"3087",3087,"ATCG00890"
"860",860,"AT2G04621"
"955",955,"AT2G17430"
"537",537,"AT1G56160"
"409",409,"AT1G31950"
"1113",1113,"AT2G31210"
"2547",2547,"AT5G10990"
"1292",1292,"AT2G46990"
"1443",1443,"AT3G09790"
"15",15,"AT1G02070"
"567",567,"AT1G60987"
"216",216,"AT1G13140"
"1073",1073,"AT2G28420"
"127",127,"AT1G07607"
"1798",1798,"AT3G53590"
"587",587,"AT1G62280"
"1592",1592,"AT3G23190"
"1190",1190,"AT2G37030"
"912",912,"AT2G09090"
"1724",1724,"AT3G46650"
"2103",2103,"AT4G16640"
"2988",2988,"AT5G59662"
"425",425,"AT1G34670"
"1497",1497,"AT3G14225"
"2985",2985,"AT5G59510"
"76",76,"AT1G05163"
"2246",2246,"AT4G28410"
"1842",1842,"AT3G58060"
"2931",2931,"AT5G55370"
"1690",1690,"AT3G43190"
"1420",1420,"AT3G08070"
"1510",1510,"AT3G15534"
"1202",1202,"AT2G37925"
"1506",1506,"AT3G15300"
"1703",1703,"AT3G45000"
"317",317,"AT1G22600"
