"","X","WS_c1.which.mclass....7...1."
"2635",2635,"AT4G12120"
"1606",1606,"AT2G40720"
"2518",2518,"AT4G01200"
"1941",1941,"AT3G13674"
"554",554,"AT1G31020"
"275",275,"AT1G13195"
"526",526,"AT1G29450"
"1599",1599,"AT2G40205"
"11",11,"AT1G01570"
"2521",2521,"AT4G01390"
"3106",3106,"AT4G39670"
"3022",3022,"AT4G35070"
"3356",3356,"AT5G14280"
"1717",1717,"AT2G46970"
"1662",1662,"AT2G43610"
"2191",2191,"AT3G29034"
"3898",3898,"AT5G59240"
"2651",2651,"AT4G13100"
"2217",2217,"AT3G44790"
"1079",1079,"AT1G76620"
"798",798,"AT1G61400"
"316",316,"AT1G15310"
"3316",3316,"AT5G10946"
"3817",3817,"AT5G53220"
"3581",3581,"AT5G37500"
"672",672,"AT1G51090"
"1438",1438,"AT2G29440"
"3027",3027,"AT4G35420"
"1825",1825,"AT3G06455"
"2248",2248,"AT3G47660"
"4057",4057,"ATCG00540"
"289",289,"AT1G14040"
"3863",3863,"AT5G57220"
"3830",3830,"AT5G54569"
"5",5,"AT1G01225"
"1484",1484,"AT2G33060"
"45",45,"AT1G03300"
"3770",3770,"AT5G49920"
"2112",2112,"AT3G23610"
"896",896,"AT1G66920"
"3974",3974,"AT5G63970"
"909",909,"AT1G67570"
"3483",3483,"AT5G23130"
"3566",3566,"AT5G35490"
"4071",4071,"ATMG00410"
"2303",2303,"AT3G50770"
"1897",1897,"AT3G10185"
"2821",2821,"AT4G22280"
"3212",3212,"AT5G05880"
"667",667,"AT1G50630"
"2329",2329,"AT3G52105"
"1160",1160,"AT2G01730"
"3631",3631,"AT5G40550"
"2097",2097,"AT3G22690"
"3318",3318,"AT5G10970"
"9",9,"AT1G01450"
"1774",1774,"AT3G03750"
"901",901,"AT1G67210"
"2185",2185,"AT3G28500"
"1951",1951,"AT3G13910"
"836",836,"AT1G62880"
"2231",2231,"AT3G46110"
"917",917,"AT1G67856"
"1702",1702,"AT2G45600"
"3462",3462,"AT5G20670"
"2460",2460,"AT3G60890"
"3978",3978,"AT5G64060"
"2311",2311,"AT3G51075"
"2608",2608,"AT4G10130"
"671",671,"AT1G51080"
"4008",4008,"AT5G65575"
"3540",3540,"AT5G26720"
"1551",1551,"AT2G37678"
"1882",1882,"AT3G09730"
"2121",2121,"AT3G24450"
"1181",1181,"AT2G03330"
"1150",1150,"AT2G01090"
"228",228,"AT1G10990"
"2688",2688,"AT4G14590"
"2865",2865,"AT4G24340"
"3268",3268,"AT5G08310"
"391",391,"AT1G19210"
"1225",1225,"AT2G09350"
"1572",1572,"AT2G38695"
"1523",1523,"AT2G36010"
"687",687,"AT1G51790"
"933",933,"AT1G68725"
"1445",1445,"AT2G30000"
"475",475,"AT1G24265"
"892",892,"AT1G66520"
"2390",2390,"AT3G56300"
"3072",3072,"AT4G38150"
"1415",1415,"AT2G28110"
"3173",3173,"AT5G03490"
"2025",2025,"AT3G17660"
"730",730,"AT1G54450"
"2965",2965,"AT4G30570"
"624",624,"AT1G47340"
"2733",2733,"AT4G17280"
"1703",1703,"AT2G45750"
"1690",1690,"AT2G45023"
"1057",1057,"AT1G75110"
"2884",2884,"AT4G25540"
"3695",3695,"AT5G44480"
"994",994,"AT1G72240"
"648",648,"AT1G49180"
"2710",2710,"AT4G15480"
"3118",3118,"AT4G40085"
"2170",2170,"AT3G27660"
"3338",3338,"AT5G12360"
"2173",2173,"AT3G27870"
"115",115,"AT1G05750"
"1689",1689,"AT2G44993"
"3671",3671,"AT5G43050"
"365",365,"AT1G17640"
"1595",1595,"AT2G39880"
"1130",1130,"AT1G79910"
"1842",1842,"AT3G07525"
"2843",2843,"AT4G23550"
"2050",2050,"AT3G19250"
"3842",3842,"AT5G55830"
"981",981,"AT1G71430"
"2367",2367,"AT3G55090"
